,Concept_ID,ab,ba
0,Auge::N,ала,күҙ
1,Ohr::N,алымҳа,ҡолаҡ
2,Nase::N,аҧынҵа,танау
3,Mund::N,аҧышə,ауыҙ
4,Zahn::N,ахаҧыц,теш
5,Zunge::N,абз,тел
6,Lippe::N,ақьышə,ирен
7,Wange::N,аӡамҩа,яцаҡтар
8,Gesicht::N,аҿы,бит
9,Stirn::N,алахь,маңлай
10,Haar::N,ахəыц,сәс
11,Schnurrbart::N,аҧаҵа,мылтыҡ
12,Bart::N,ажакьа,һаҡал
13,Kinn::N,ацламкəыгə,эйэк
14,Kiefer[Anatomie]::N,ацламҳəа,яңаҡ һөйәге
15,Kehle::N,ахəда,тамаҡ
16,Hals::N,ахəда,муйын
17,Genick::N,ахəдаџьал,соңҡа
18,Kopf::N,ахы,баш
19,Rücken::N,азқəа,арҡа
20,Bauch::N,амгəа,ҡорһаҡ
21,Nabel::N,аҷапан,кендек
22,Busen::N,агəыҧҳəы,күкрәк
23,Brust::N,агəышҧы,түш
24,Schulter::N,ажəҩахыр,яурын
25,Arm::N,амахəар,ҡул
26,Ellenbogen::N,амашьхəылҵ,терһәк
27,Hand::N,анапы,ҡул
28,Hand::N,анапы,ҡул суғы
29,Handfläche::N,анапсаргəыҵа,ус төбө
30,Finger::N,анацəа,бармаҡ
31,Fingernagel::N,анапхыц,тырнаҡ
32,Nagel[Anatomie]::N,ашьапхыц,тырнаҡ
33,Zeh::N,ашьацəа,бармаҡ
34,Fuß::N,ашьапсыргəыҵа,табан
35,Ferse::N,ашьхəа,үксә
36,Knie::N,ашьамхы,тубыҡ
37,Oberschenkel::N,ауаҭəа,сандыр
38,Bein::N,ашьапы,аяҡ
39,Körper::N,ацəеижь,тән
40,Haut::N,ацəа,тире
41,Blut::N,ашьа,ҡан
42,Ader::N,ада,тамыр
43,Sehne::N,адаш,һеңер
44,Sehne::N,адаш,тарамыш
45,Knochen::N,абаҩ,һойәк
46,Gehirn::N,ахшлыбаҩ,мейе
47,Gehirn::N,ахшыбаҩ,мейе
48,Herz::N,агəы,йорәк
49,Magen::N,аца,ашҡаҙан
50,Magen::N,ацар,ашҡаҙан
51,Leber::N,агəаҵəа,бауыр
52,Atem::N,аҧсыҧлагаҩгара,һулыш
53,Hunger::N,амла,аслыҡ
54,Träne::N,алабжыш,күҙ иәше
55,Geschmack::N,агьама,тәм
56,Geruch::N,афҩы,еҫ
57,Schlaf::N,ацəа,йоҡлау
58,Traum::N,аҧхыӡ,төш
59,Himmel::N,ажəҩан,күк
60,Sonne::N,амра,ҡояш
61,Mond::N,амза,ай
62,Stern::N,аеҵəа,йондоҙ
63,Luft::N,аҳаир,һауа
64,Wind::N,аҧша,ел
65,Welle::N,ацəқəырҧа,тулҡын
66,Wasser::N,аӡы,һыу
67,Stein::N,ахаҳə,таш
68,Boden::N,адгьыл,тупраҡ
69,Erde::N,адгьыл,балсҡ
70,Staub::N,асаба,туҙан
71,Rauch::N,алҩа,төтөн
72,Funke::N,акəиц,осҡон
73,Funke::N,ацҧхь,осҡон
74,Feuer::N,амца,ут
75,Licht::N,алашара,яҡтылыҡ
76,Schatten::N,ашəшьыра,күләгә
77,Wetter::N,амш,һауа торошо
78,Nebel::N,анаҟəа,төман
79,Wolke::N,аҧсҭҳəа,болот
80,Regen::N,ақəа,ямғыр
81,Schnee::N,асы,ҡар
82,Eis::N,аҵаа,боҙ
83,Frost::N,аҵаа,һалҡын
84,Kälte::N,ахьҭа,һыуыҡ
85,Hitze::N,ашоура,томра
86,Hitze::N,ашоура,эҫелек
87,Raureif::N,аҵааҧшқа,ҡырау
88,Regenbogen::N,ацəаҟəа,йәйғор
89,Donner::N,адыд,күк күкрәү
90,Strömung::N,аиасра,ағым
91,Strömung::N,амҩасра,ағым
92,Tropfen::N,ацəыкəбар,тамсы
93,Schaum::N,ашəах,күбек
94,Schmutz::N,алымт,батҡаҡ
95,See::N,аӡиа,күл
96,Sumpf::N,аӡмах,һаҙлык
97,Wiese::N,адəы,болон
98,Wald::N,абна,урман
99,Hügel::N,ахəы,түбә
100,Anhöhe::N,аҳаракыра,түбә
101,Anhöhe::N,аҳаракыра,ҡалҡыулыҡ
102,Berg::N,ашьха,тау
103,Gipfel::N,ацəқəа,түбә
104,Höhle::N,аҳаҧы,мәмерйә
105,Abhang::N,анаара,ипкен
106,Quelle::N,аҵҵырҭа,шишмә
107,Bach::N,акəараҷҷа,шишмә
108,Fluss::N,аӡиас,йылға
109,Ufer::N,ахықə,яр
110,Küste::N,ахықə,яр буйы
111,Festland::N,абарра,ҡоро ер
112,Meer::N,амшын,диңгез
113,Bucht::N,аӡбжьахала,бухта
114,Insel::N,адгьылбжьаха,үтрау
115,Blume::N,ашəҭ,сәскә
116,Gras::N,аҳасакьын,үлән
117,Wurzel::N,адац,тамыр
118,Baum::N,аҵла,ағас
119,Stamm::N,ашьапы,олон
120,Stamm::N,ашьапы,көбәк
121,Rinde::N,ацəа,ҡабыҡ
122,Ast::N,амахə,ботаҡ
123,Ast::N,амахəҭа,ботаҡ
124,Zweig::N,амахə,ботаҡ
125,Zweig::N,амахə,тармаҡ
126,Zweig::N,амахəҭа,ботаҡ
127,Zweig::N,амахəҭа,тармаҡ
128,Blatt::N,абҕьы,япраҡ
129,Birke::N,аҵааҵла,ҡайын
130,Kiefer[Baum]::N,амза,ҡарғай
131,Weide[Baum]::N,аҧслыш,тал
132,Tanne::N,аҧсаӡ,шыршы
133,Horn::N,атəыҩа,мөғөҙ
134,Feder::N,ахӡы,ҡауырһын
135,Fell::N,ацəа,тире
136,Flügel::N,амҵəыжəа,ҡанат
137,Klaue::N,ашьапхыц,тырнаҡ
138,Schwanz::N,аҵыхəа,ҡойроҡ
139,Ei::N,акəтаӷь,йомортҡа
140,Nest::N,аҭра,оя
141,Nest::N,аҵысҭра,оя
142,Bau::N,аҭыҩра,оң
143,Tier::N,аҧстəы,жайуан
144,Tier::N,аҧстəы,йыртҡыс
145,Tier::N,агыгшəыг,жайуан
146,Tier::N,агыгшəыг,йыртҡыс
147,Herde::N,агəарҭа,көтөү
148,Kuh::N,ажə,һыйыр
149,Bulle::N,ацə,үгеҙ
