,Concept_ID,ab,cs
0,Auge::N,ала,oko
1,Ohr::N,алымҳа,ucho
2,Nase::N,аҧынҵа,nos
3,Mund::N,аҧышə,pusa
4,Zahn::N,ахаҧыц,zub
5,Zunge::N,абз,jazyk
6,Lippe::N,ақьышə,ret
7,Wange::N,аӡамҩа,tvář
8,Gesicht::N,аҿы,obličej
9,Stirn::N,алахь,čelo
10,Haar::N,ахəыц,vlas
11,Haar::N,ахəыц,vlasy
12,Schnurrbart::N,аҧаҵа,kníry
13,Bart::N,ажакьа,vousy
14,Kinn::N,ацламкəыгə,brada
15,Kiefer[Anatomie]::N,ацламҳəа,čelist
16,Kehle::N,ахəда,hrdlo
17,Hals::N,ахəда,krk
18,Genick::N,ахəдаџьал,týl
19,Kopf::N,ахы,hlava
20,Rücken::N,азқəа,záda
21,Rücken::N,азқəа,hřbet
22,Bauch::N,амгəа,břicho
23,Nabel::N,аҷапан,pupek
24,Busen::N,агəыҧҳəы,ňadra
25,Brust::N,агəышҧы,prsa
26,Schulter::N,ажəҩахыр,plece
27,Schulter::N,ажəҩахыр,rameno
28,Arm::N,амахəар,ruka
29,Ellenbogen::N,амашьхəылҵ,loket
30,Hand::N,анапы,ruka
31,Handfläche::N,анапсаргəыҵа,dlaň
32,Finger::N,анацəа,prst
33,Fingernagel::N,анапхыц,nehet
34,Nagel[Anatomie]::N,ашьапхыц,nehet
35,Zeh::N,ашьацəа,prst u nohy
36,Fuß::N,ашьапсыргəыҵа,noha
37,Ferse::N,ашьхəа,pata
38,Knie::N,ашьамхы,koleno
39,Oberschenkel::N,ауаҭəа,stehno
40,Bein::N,ашьапы,noha
41,Körper::N,ацəеижь,tělo
42,Haut::N,ацəа,kůže
43,Blut::N,ашьа,krev
44,Ader::N,ада,céva
45,Sehne::N,адаш,šlacha
46,Knochen::N,абаҩ,kost
47,Gehirn::N,ахшлыбаҩ,mozek
48,Gehirn::N,ахшыбаҩ,mozek
49,Herz::N,агəы,srdce
50,Magen::N,аца,žaludek
51,Magen::N,ацар,žaludek
52,Leber::N,агəаҵəа,játra
53,Atem::N,аҧсыҧлагаҩгара,dech
54,Hunger::N,амла,hlad
55,Träne::N,алабжыш,slza
56,Geschmack::N,агьама,vkus
57,Geruch::N,афҩы,vůně
