,Concept_ID,ab,de
0,Auge::N,ала,Auge
1,Ohr::N,алымҳа,Ohr
2,Nase::N,аҧынҵа,Nase
3,Mund::N,аҧышə,Mund
4,Zahn::N,ахаҧыц,Zahn
5,Zunge::N,абз,Zunge
6,Lippe::N,ақьышə,Lippe
7,Wange::N,аӡамҩа,Wange
8,Gesicht::N,аҿы,Gesicht
9,Stirn::N,алахь,Stirn
10,Haar::N,ахəыц,Haar
11,Schnurrbart::N,аҧаҵа,Schnurrbart
12,Bart::N,ажакьа,Bart
13,Kinn::N,ацламкəыгə,Kinn
14,Kiefer[Anatomie]::N,ацламҳəа,Kiefer
15,Kehle::N,ахəда,Kehle
16,Hals::N,ахəда,Hals
17,Genick::N,ахəдаџьал,Genick
18,Kopf::N,ахы,Kopf
19,Rücken::N,азқəа,Rücken
20,Bauch::N,амгəа,Bauch
21,Nabel::N,аҷапан,Nabel
22,Busen::N,агəыҧҳəы,Busen
23,Brust::N,агəышҧы,Brust
24,Schulter::N,ажəҩахыр,Schulter
25,Arm::N,амахəар,Arm
26,Ellenbogen::N,амашьхəылҵ,Ellenbogen
27,Hand::N,анапы,Hand
28,Handfläche::N,анапсаргəыҵа,Handfläche
29,Finger::N,анацəа,Finger
30,Fingernagel::N,анапхыц,Fingernagel
31,Nagel[Anatomie]::N,ашьапхыц,Nagel
32,Zeh::N,ашьацəа,Zeh
33,Fuß::N,ашьапсыргəыҵа,Fuß
34,Ferse::N,ашьхəа,Ferse
35,Knie::N,ашьамхы,Knie
36,Oberschenkel::N,ауаҭəа,Oberschenkel
37,Bein::N,ашьапы,Bein
38,Körper::N,ацəеижь,Körper
39,Haut::N,ацəа,Haut
40,Blut::N,ашьа,Blut
41,Ader::N,ада,Ader
42,Sehne::N,адаш,Sehne
43,Knochen::N,абаҩ,Knochen
44,Gehirn::N,ахшлыбаҩ,Gehirn
45,Gehirn::N,ахшыбаҩ,Gehirn
46,Herz::N,агəы,Herz
47,Magen::N,аца,Magen
48,Magen::N,ацар,Magen
49,Leber::N,агəаҵəа,Leber
50,Atem::N,аҧсыҧлагаҩгара,Atem
51,Hunger::N,амла,Hunger
52,Träne::N,алабжыш,Träne
53,Geschmack::N,агьама,Geschmack
54,Geruch::N,афҩы,Geruch
55,Schlaf::N,ацəа,Schlaf
56,Traum::N,аҧхыӡ,Traum
57,Himmel::N,ажəҩан,Himmel
58,Sonne::N,амра,Sonne
59,Mond::N,амза,Mond
60,Stern::N,аеҵəа,Stern
61,Luft::N,аҳаир,Luft
62,Wind::N,аҧша,Wind
63,Welle::N,ацəқəырҧа,Welle
64,Wasser::N,аӡы,Wasser
65,Stein::N,ахаҳə,Stein
66,Boden::N,адгьыл,Boden
67,Erde::N,адгьыл,Erde
68,Staub::N,асаба,Staub
69,Rauch::N,алҩа,Rauch
70,Funke::N,акəиц,Funke
71,Funke::N,ацҧхь,Funke
72,Feuer::N,амца,Feuer
73,Licht::N,алашара,Licht
74,Schatten::N,ашəшьыра,Schatten
75,Wetter::N,амш,Wetter
76,Nebel::N,анаҟəа,Nebel
