,Concept_ID,ab,tt
0,Auge::N,ала,күз
1,Ohr::N,алымҳа,колак
2,Nase::N,аҧынҵа,борын
3,Mund::N,аҧышə,авыз
4,Mund::N,аҧышə,тамак
5,Zahn::N,ахаҧыц,теш
6,Zunge::N,абз,тел
7,Lippe::N,ақьышə,ирен
8,Wange::N,аӡамҩа,яңак
9,Gesicht::N,аҿы,йөз
10,Stirn::N,алахь,маңгай
11,Haar::N,ахəыц,чәч
12,Schnurrbart::N,аҧаҵа,мыек
13,Bart::N,ажакьа,сакал
14,Kinn::N,ацламкəыгə,ияк
15,Kiefer[Anatomie]::N,ацламҳəа,казналык
16,Kehle::N,ахəда,тамак
17,Hals::N,ахəда,бугаз
18,Genick::N,ахəдаџьал,җилкә
19,Kopf::N,ахы,баш
20,Rücken::N,азқəа,сырт
21,Bauch::N,амгəа,корсак
22,Nabel::N,аҷапан,кендек
23,Busen::N,агəыҧҳəы,түш
24,Brust::N,агəышҧы,имчәк
25,Brust::N,агəышҧы,күкрәк
26,Schulter::N,ажəҩахыр,иңбаш
27,Schulter::N,ажəҩахыр,кулбаш
28,Arm::N,амахəар,кул
29,Ellenbogen::N,амашьхəылҵ,терсәк
30,Hand::N,анапы,кул
31,Handfläche::N,анапсаргəыҵа,уч
32,Finger::N,анацəа,бармак
33,Fingernagel::N,анапхыц,тырнак
34,Nagel[Anatomie]::N,ашьапхыц,тырнак
35,Zeh::N,ашьацəа,бармак
36,Fuß::N,ашьапсыргəыҵа,табан
37,Ferse::N,ашьхəа,үкчә
38,Knie::N,ашьамхы,тез
39,Oberschenkel::N,ауаҭəа,бот
40,Bein::N,ашьапы,аяк
41,Körper::N,ацəеижь,тән
42,Körper::N,ацəеижь,җисем
43,Haut::N,ацəа,тире
44,Blut::N,ашьа,кан
45,Ader::N,ада,тамыр
46,Sehne::N,адаш,сеңер
47,Knochen::N,абаҩ,сөяк
48,Gehirn::N,ахшлыбаҩ,ми
49,Gehirn::N,ахшыбаҩ,ми
50,Herz::N,агəы,йөрәк
51,Magen::N,аца,ашказаны
52,Magen::N,ацар,ашказаны
53,Leber::N,агəаҵəа,бавыр
54,Atem::N,аҧсыҧлагаҩгара,сулыш
55,Hunger::N,амла,ачлык
56,Träne::N,алабжыш,яшь
57,Geschmack::N,агьама,тәм
58,Geschmack::N,агьама,зәвык
59,Geruch::N,афҩы,ис
60,Schlaf::N,ацəа,йокы
61,Traum::N,аҧхыӡ,төш
62,Himmel::N,ажəҩан,күк
63,Sonne::N,амра,кояш
64,Mond::N,амза,ай
65,Stern::N,аеҵəа,йолдыз
66,Luft::N,аҳаир,һава
67,Wind::N,аҧша,җил
68,Welle::N,ацəқəырҧа,дулкын
69,Wasser::N,аӡы,су
70,Stein::N,ахаҳə,таш
71,Boden::N,адгьыл,туфрак
72,Erde::N,адгьыл,җир
73,Staub::N,асаба,тузан
74,Rauch::N,алҩа,төтен
75,Funke::N,акəиц,очкын
76,Funke::N,ацҧхь,очкын
77,Feuer::N,амца,ут
78,Licht::N,алашара,якты
79,Schatten::N,ашəшьыра,күләгә
80,Wetter::N,амш,һава
81,Nebel::N,анаҟəа,томан
82,Wolke::N,аҧсҭҳəа,болыт
83,Regen::N,ақəа,яңгыр
84,Schnee::N,асы,кар
85,Eis::N,аҵаа,боз
86,Frost::N,аҵаа,суык
87,Frost::N,аҵаа,салкын
88,Kälte::N,ахьҭа,суык
89,Kälte::N,ахьҭа,салкын
90,Hitze::N,ашоура,эсселек
91,Raureif::N,аҵааҧшқа,бәс
92,Raureif::N,аҵааҧшқа,сыкы
93,Regenbogen::N,ацəаҟəа,салават күпере
94,Donner::N,адыд,күкрәү
95,Strömung::N,аиасра,агыш'агым
96,Strömung::N,амҩасра,агыш'агым
97,Tropfen::N,ацəыкəбар,тамчы
98,Schaum::N,ашəах,күбек
99,Schmutz::N,алымт,пычрак
100,See::N,аӡиа,күл
101,Sumpf::N,аӡмах,саз
102,Wiese::N,адəы,болын
103,Wald::N,абна,урман
104,Hügel::N,ахəы,калку
105,Anhöhe::N,аҳаракыра,үр
106,Berg::N,ашьха,тау
107,Gipfel::N,ацəқəа,оч
108,Höhle::N,аҳаҧы,мәгарә
109,Abhang::N,анаара,кабырга
110,Quelle::N,аҵҵырҭа,чишмә
111,Bach::N,акəараҷҷа,елга
112,Fluss::N,аӡиас,дәрья
113,Ufer::N,ахықə,су кырые
114,Küste::N,ахықə,яр буе
115,Festland::N,абарра,коры җир
116,Meer::N,амшын,диңгез
117,Bucht::N,аӡбжьахала,бухта
118,Bucht::N,аӡбжьахала,култык
119,Insel::N,адгьылбжьаха,атау
120,Insel::N,адгьылбжьаха,утрау
121,Blume::N,ашəҭ,чәчкә
122,Gras::N,аҳасакьын,үлән
123,Wurzel::N,адац,тамыр
124,Baum::N,аҵла,агач
125,Stamm::N,ашьапы,кәүсә
126,Rinde::N,ацəа,кабык
127,Ast::N,амахə,ботак
128,Ast::N,амахəҭа,ботак
129,Zweig::N,амахə,ботак
130,Zweig::N,амахə,тармак
131,Zweig::N,амахəҭа,ботак
132,Zweig::N,амахəҭа,тармак
133,Blatt::N,абҕьы,яфрак
134,Birke::N,аҵааҵла,каен
135,Kiefer[Baum]::N,амза,нарат
136,Weide[Baum]::N,аҧслыш,тал
137,Tanne::N,аҧсаӡ,чыршы
138,Horn::N,атəыҩа,мөгез
139,Feder::N,ахӡы,йон
140,Fell::N,ацəа,тире
141,Flügel::N,амҵəыжəа,канат
142,Klaue::N,ашьапхыц,тырнак
143,Schwanz::N,аҵыхəа,койрык
144,Ei::N,акəтаӷь,күкәй
145,Ei::N,акəтаӷь,йомырка
146,Nest::N,аҭра,оя
147,Nest::N,аҵысҭра,оя
148,Bau::N,аҭыҩра,өн
149,Tier::N,аҧстəы,хайван
150,Tier::N,агыгшəыг,хайван
151,Herde::N,агəарҭа,көтү
152,Kuh::N,ажə,сыер
153,Bulle::N,ацə,үгез
154,Pferd::N,аҽы,ат
155,Schaf::N,ауаса,сарык
156,Schwein::N,аҳəа,дуңгыз
157,Hund::N,ала,эт
158,Katze::N,ацгəы,песи
159,Bär::N,амшə,аю
160,Eichhörnchen::N,аеш,тиен
161,Elch::N,аҽаҩа,поши
162,Fuchs::N,абгахəыҷы,төлке
163,Hase::N,ажьа,куян
164,Maus::N,аҳəынаҧ,тычкан
165,Wolf::N,абгаду,бүре
166,Vogel::N,аҧсаатə,кош
167,Huhn::N,акəты,тавык
168,Hahn::N,арбаҕь,әтәч
169,Gans::N,аҟыз,каз
170,Adler::N,ауарба,каракош
171,Ente::N,акəата,үрдәк
172,Eule::N,аты,ябалак
173,Kranich::N,апҟа,торна
174,Krähe::N,аҟəараан,карга
175,Kuckuck::N,акəыкəу,күке
176,Kuckuck::N,акəыкəу,кәккүк
177,Schwan::N,агьад,аккош
178,Fisch::N,аҧсыӡ,балык
179,Barsch::N,ацəыбла,алабуга
180,Hecht::N,ахиаала,чуртан
181,Schlange[Tier]::N,амаҭ,елан
182,Wurm::N,ахəа,корт
183,Wurm::N,ахəац,корт
184,Spinne::N,абызкаҭаҳа,үрмәкүч
185,Ameise::N,ашышкамс,кырмыска
186,Laus::N,аҵа,бет
187,Mücke::N,акəыбры,черки
188,Mücke::N,акəыбры,озынборын
189,Fliege::N,амҵ,чебен
190,Schmetterling::N,аҧарҧалыкь,күбәләк
191,Beere::N,аргуц,җиләк
192,Apfel::N,аҵəа,алма
193,Pilz::N,акəкəбаа,гөмбә
194,Zwiebel::N,аџьымшьы,суган
195,Zwiebel::N,аџьымшьы,суганбаш
196,Zwiebel::N,аџьымшьхы,суган
197,Zwiebel::N,аџьымшьхы,суганбаш
198,Saat::N,ажəла,орлык
199,Korn::N,арыц,иген
