,Concept_ID,ady,lv
0,Auge::N,нэ,син
1,Auge::N,нэ,acs
2,Ohr::N,тхьакӏу́м,пель
3,Ohr::N,тхьакӏу́м,auss
4,Nase::N,пэ,ныр
5,Nase::N,пэ,deguns
6,Mund::N,жэ,вом
7,Mund::N,жэ,mute
8,Zahn::N,цэ,пинь
9,Zahn::N,цэ,zobs
10,Zunge::N,бзэгу,кыв
11,Zunge::N,бзэгу,mēle
12,Lippe::N,ӏупшӏэ́,вом дор
13,Lippe::N,ӏупшӏэ́,lūpa
14,Wange::N,нэкӏу́шъу,бан
15,Wange::N,нэкӏу́шъу,vaigs
16,Gesicht::N,нэ́гу,чужӧм
17,Gesicht::N,нэ́гу,seja
18,Gesicht::N,нэ́гу,ģīmis
19,Stirn::N,натӏэ́,плеш
20,Stirn::N,натӏэ́,кымӧс
21,Stirn::N,натӏэ́,piere
22,Haar::N,шъхьацы́,си
23,Haar::N,шъхьацы́,юрси
24,Haar::N,шъхьацы́,mats
25,Bart::N,жакӏэ́,тош
26,Bart::N,жакӏэ́,bārda
27,Kinn::N,жэкӏэпэпкъ,тшӧка
28,Kinn::N,жэкӏэпэпкъ,zods
29,Kinn::N,жэкӏэпэпкъ,smakrs
30,Kiefer[Anatomie]::N,жэпкъы́,черлы
31,Kiefer[Anatomie]::N,жэпкъы́,алака лы
32,Kiefer[Anatomie]::N,жэпкъы́,вомкӧтш лы
33,Kiefer[Anatomie]::N,жэпкъы́,žoklis
34,Kehle::N,чый,голя
35,Kehle::N,чый,rīkle
36,Hals::N,пшъэ,сьылі
37,Hals::N,пшъэ,kakls
38,Genick::N,шъхьэпхэтыку,юрбӧр
39,Genick::N,шъхьэпхэтыку,балябӧж
40,Genick::N,шъхьэпхэтыку,sprands
41,Kopf::N,шъхьэ́,юр
42,Kopf::N,шъхьэ́,galva
43,Rücken::N,кӏыбы́,мыш
44,Rücken::N,кӏыбы́,mugura
45,Bauch::N,ныбэ́,рушку
46,Bauch::N,ныбэ́,vēders
47,Busen::N,бгъэ́,морӧс
48,Busen::N,бгъэ́,krūts
49,Brust::N,бгъэ́,морӧс
50,Brust::N,бгъэ́,krūts
51,Schulter::N,блыпкъ,пельпом
