,Concept_ID,av,fr
0,Ohr::N,гӏин,oreille
1,Nase::N,мегӏер,nez
2,Mund::N,кӏал,bouche
3,Zahn::N,гӏус,dent
4,Zunge::N,мацӏ,langue
5,Lippe::N,кӏветӏ,lèvre
6,Wange::N,гӏоно,joue
7,Gesicht::N,гьумер,face
8,Gesicht::N,гьумер,visage
9,Stirn::N,нодо,front
10,Haar::N,рас,cheveu
11,Schnurrbart::N,михъ,moustache
12,Bart::N,мегеж,barbe
13,Kinn::N,нилъу,menton
14,Kiefer[Anatomie]::N,чанагъ,mâchoire
15,Kehle::N,щекъер,gorge
16,Hals::N,габур,cou
17,Genick::N,гъванща,nuque
18,Kopf::N,бетӏер,tête
19,Rücken::N,мугъ,dos
20,Bauch::N,чехь,ventre
21,Nabel::N,цӏину,nombril
22,Busen::N,керен,sein
23,Brust::N,керен,poitrine
24,Schulter::N,гъажазубетӏер,épaule
25,Arm::N,гъеж,bras
26,Ellenbogen::N,гӏункӏрукь,coude
27,Hand::N,квер,main
28,Handfläche::N,огъохъат,paume
29,Handfläche::N,жанисахъат,paume
30,Finger::N,килищ,doigt
31,Fingernagel::N,малъ,ongle
32,Nagel[Anatomie]::N,малъ,ongle
33,Zeh::N,килищ,orteil
34,Zeh::N,килищ,doigt de pied
35,Fuß::N,хӏетӏ,pied
36,Fuß::N,хӏетӏе,pied
37,Ferse::N,эгъе,talon
38,Knie::N,наку,genou
39,Oberschenkel::N,мачӏ,cuisse
40,Bein::N,бох,jambe
41,Körper::N,къаркъала,corps
42,Haut::N,тӏом,peau
43,Blut::N,би,sang
44,Ader::N,бидурихь,veine
45,Knochen::N,ракьа,os
46,Gehirn::N,гӏадалнах,cerveau
47,Herz::N,ракӏ,cœur
48,Magen::N,кванирукъ,estomac
49,Leber::N,тӏул,foie
50,Atem::N,хӏухь,haleine
51,Hunger::N,ракъи,faim
52,Träne::N,магӏу,larme
53,Geschmack::N,тату,goût
54,Geschmack::N,тату,saveur
55,Geruch::N,махӏ,odeur
56,Schlaf::N,макьу,sommeil
57,Traum::N,макьу,songe
58,Himmel::N,зоб,ciel
59,Sonne::N,бакъ,soleil
60,Mond::N,моцӏ,lune
61,Stern::N,цӏва,étoile
62,Luft::N,гьава,air
63,Wind::N,гьури,vent
64,Welle::N,карачел,vague
65,Wasser::N,лъим,eau
66,Stein::N,гьецӏо,pierre
67,Boden::N,ракь,sol
68,Boden::N,ракь,terrain
69,Erde::N,ракь,terre
70,Erde::N,дуниял,terre
71,Staub::N,хӏур,poussière
72,Rauch::N,кӏкӏуй,fumée
73,Feuer::N,цӏа,feu
74,Licht::N,канлъи,lumière
75,Schatten::N,рагӏад,ombre
76,Wetter::N,гьава-бакъ,temps
77,Nebel::N,гӏодобнакӏкӏ,brume
78,Nebel::N,гӏодобнакӏкӏ,brouillard
79,Wolke::N,накӏкӏ,nuage
80,Regen::N,цӏад,pluie
81,Schnee::N,гӏазу,neige
82,Eis::N,цӏер,glace
83,Frost::N,замгьари,gel
84,Frost::N,замгьари,gelée
85,Kälte::N,квач,froid
86,Hitze::N,багӏари,chaleur
87,Raureif::N,мартӏ,givre
88,Regenbogen::N,нур,arc-en-ciel
89,Regenbogen::N,чамбара,arc-en-ciel
90,Donner::N,гъугъай,tonnerre
91,Donner::N,гъугъади,tonnerre
92,Strömung::N,чвахи,courant
93,Tropfen::N,резел,goutte
94,Tropfen::N,тӏинкӏ,goutte
95,Tropfen::N,къатӏра,goutte
96,Tropfen::N,тӏенкӏел,goutte
97,Schaum::N,полоп,écume
98,Schaum::N,полоп,mousse
99,Schmutz::N,чороклъи,boue
100,Schmutz::N,чороклъи,saleté
101,See::N,хӏор,lac
102,Sumpf::N,хьуцӏ,marais
103,Sumpf::N,хьуцӏ,marécage
104,Wiese::N,мегъ,pré
105,Wiese::N,гӏурдаллъи,pré
106,Wald::N,рохь,bois
107,Wald::N,рохь,forêt
108,Hügel::N,гохӏ,coteau
109,Hügel::N,гохӏ,colline
110,Anhöhe::N,сийитма,éminence
111,Anhöhe::N,сийитма,élévation
112,Berg::N,мегӏер,mont
113,Berg::N,мегӏер,montagne
114,Gipfel::N,тӏогь,cime
115,Gipfel::N,тӏогь,sommet
116,Höhle::N,нохъо,caverne
117,Abhang::N,лабаллъи,pente
118,Abhang::N,лабаллъи,versant
119,Quelle::N,ицц,source
120,Quelle::N,ицц,fontaine
121,Bach::N,лъар,ruisseau
122,Fluss::N,гӏор,fleuve
123,Fluss::N,гӏор,rivière
124,Ufer::N,рагӏал,bord
125,Ufer::N,рагӏал,rivage
126,Küste::N,рагӏал,côte
127,Festland::N,ракь,terre ferme
128,Festland::N,ракъдаллъи,terre ferme
129,Meer::N,ралъад,mer
130,Bucht::N,кӏветӏ,baie
131,Insel::N,чӏинкӏиллъи,île
132,Blume::N,тӏегь,fleur
133,Gras::N,хер,herbe
134,Wurzel::N,кьибил,racine
135,Baum::N,гъветӏ,arbre
136,Stamm::N,рохти,tronc
137,Rinde::N,макъар,écorce
138,Ast::N,ноцӏ,branche
139,Zweig::N,гӏаркьел,rameau
140,Blatt::N,тӏамах,feuille
141,Birke::N,мах,bouleau
142,Birke::N,махигъветӏ,bouleau
143,Kiefer[Baum]::N,накӏкӏигъветӏ,pin
144,Weide[Baum]::N,рицӏцӏ,saule
145,Weide[Baum]::N,рицӏцӏигъветӏ,saule
146,Tanne::N,ёлка,sapin
147,Horn::N,лълъар,corne
148,Feder::N,хӏули,plume
149,Fell::N,тӏом,peau
150,Fell::N,цӏоко,peau
151,Flügel::N,кваркьи,aile
152,Klaue::N,галъ,serre
153,Kralle::N,квачӏ,ongle
154,Kralle::N,квачӏ,griffe
155,Kralle::N,катиквачӏ,ongle
156,Kralle::N,катиквачӏ,griffe
157,Schwanz::N,рачӏ,queue
158,Ei::N,хоно,œuf
159,Nest::N,бусен,nid
160,Bau::N,каратӏ,terrier
161,Tier::N,хӏайван,animal
162,Herde::N,рехъен,troupeau
163,Herde::N,рехъед,troupeau
164,Kuh::N,гӏака,vache
165,Bulle::N,оц,taureau
166,Pferd::N,чу,cheval
