,Concept_ID,av,lbe
0,Ohr::N,гӏин,вичӏи
1,Nase::N,мегӏер,май
2,Mund::N,кӏал,кьацӏ
3,Zahn::N,гӏус,ккарччи
4,Zunge::N,мацӏ,маз
5,Lippe::N,кӏветӏ,мурччи
6,Wange::N,гӏоно,чӏав
7,Gesicht::N,гьумер,лажин
8,Stirn::N,нодо,ненттабакӏ
9,Haar::N,рас,чӏара
10,Schnurrbart::N,михъ,ссирссилтту
11,Bart::N,мегеж,чӏири
12,Kinn::N,нилъу,лунттубакӏ
13,Kiefer[Anatomie]::N,чанагъ,ххинчулул
14,Kehle::N,щекъер,кьакьари
15,Hals::N,габур,ссурссу
16,Genick::N,гъванща,махъабакӏ
17,Kopf::N,бетӏер,бакӏ
18,Rücken::N,мугъ,ттиликӏ
19,Bauch::N,чехь,лякьа
20,Nabel::N,цӏину,цӏумуккутӏ
21,Busen::N,керен,ккукку
22,Brust::N,керен,хъазам
23,Schulter::N,гъажазубетӏер,хъачӏ
24,Arm::N,гъеж,ка
25,Ellenbogen::N,гӏункӏрукь,ссюрхъ
26,Hand::N,квер,бартка
27,Handfläche::N,огъохъат,хъат
28,Handfläche::N,огъохъат,битӏянхъ
29,Handfläche::N,жанисахъат,хъат
30,Handfläche::N,жанисахъат,битӏянхъ
31,Finger::N,килищ,кӏисса
32,Fingernagel::N,малъ,михь
33,Nagel[Anatomie]::N,малъ,михь
34,Zeh::N,килищ,кӏисса
35,Fuß::N,хӏетӏ,чӏанччан
36,Fuß::N,хӏетӏе,чӏанччан
37,Ferse::N,эгъе,никъа
38,Knie::N,наку,ник
39,Oberschenkel::N,мачӏ,жира
40,Bein::N,бох,ччан
41,Körper::N,къаркъала,чурх
42,Haut::N,тӏом,бурчу
43,Blut::N,би,оь
44,Ader::N,бидурихь,тунну
45,Knochen::N,ракьа,ттаркӏ
46,Gehirn::N,гӏадалнах,ня
47,Herz::N,ракӏ,дакӏ
48,Herz::N,ракӏ,къюкӏ
49,Magen::N,кванирукъ,лякьа
50,Leber::N,тӏул,
51,Atem::N,хӏухь,ссихӏ ласаву
52,Atem::N,хӏухь,ссихӏ бигьаву
53,Hunger::N,ракъи,ккаши
54,Träne::N,магӏу,макь
55,Geschmack::N,тату,тӏин
56,Geschmack::N,тату,тӏааьн
57,Geruch::N,махӏ,кьанкь
58,Schlaf::N,макьу,шану
59,Traum::N,макьу,макӏру
60,Himmel::N,зоб,ссав
61,Sonne::N,бакъ,баргъ
62,Mond::N,моцӏ,барз
63,Stern::N,цӏва,цӏуку
64,Luft::N,гьава,гьава
65,Wind::N,гьури,марч
66,Welle::N,карачел,щатӏи
67,Wasser::N,лъим,щин
68,Stein::N,гьецӏо,чару
69,Boden::N,ракь,аьрщи
70,Erde::N,ракь,аьрщи
71,Erde::N,дуниял,аьрщи
72,Staub::N,хӏур,ххит
73,Rauch::N,кӏкӏуй,пуркӏу
74,Feuer::N,цӏа,цӏу
75,Licht::N,канлъи,чани
76,Schatten::N,рагӏад,ххют
77,Wetter::N,гьава-бакъ,гьава
78,Nebel::N,гӏодобнакӏкӏ,шархь ттурлу
79,Wolke::N,накӏкӏ,ттурлу
80,Regen::N,цӏад,гъарал
81,Schnee::N,гӏазу,марххала
82,Eis::N,цӏер,микӏ
83,Frost::N,замгьари,дяркъу
84,Frost::N,замгьари,замгьар
85,Kälte::N,квач,дяркъу
86,Hitze::N,багӏари,кӏиришиву
87,Raureif::N,мартӏ,сил
88,Raureif::N,мартӏ,бурса
89,Regenbogen::N,нур,ссурул ккуртта
90,Regenbogen::N,чамбара,ссурул ккуртта
91,Donner::N,гъугъай,къув
92,Donner::N,гъугъади,къув
93,Strömung::N,чвахи,экьинанаву
94,Tropfen::N,резел,кӏунтӏ
95,Tropfen::N,тӏинкӏ,кӏунтӏ
96,Tropfen::N,къатӏра,кӏунтӏ
97,Tropfen::N,тӏенкӏел,кӏунтӏ
98,Schaum::N,полоп,хьама
99,Schmutz::N,чороклъи,кьяркьи
100,See::N,хӏор,бяр
101,Sumpf::N,хьуцӏ,кунцӏа
102,Wiese::N,мегъ,кьан
103,Wiese::N,гӏурдаллъи,кьан
104,Wald::N,рохь,вацӏа
105,Hügel::N,гохӏ,бакӏу
106,Anhöhe::N,сийитма,
107,Berg::N,мегӏер,зунтту
108,Gipfel::N,тӏогь,мицӏ
109,Höhle::N,нохъо,нух
110,Abhang::N,лабаллъи,сун
111,Quelle::N,ицц,дайдихьу
112,Quelle::N,ицц,бакӏ
113,Bach::N,лъар,чӏрир нех
114,Fluss::N,гӏор,нех
115,Ufer::N,рагӏал,зума
116,Küste::N,рагӏал,зумаинхалу
117,Küste::N,рагӏал,зуманицӏалу
118,Festland::N,ракь,кьири
119,Festland::N,ракъдаллъи,кьири
120,Meer::N,ралъад,хьхьири
121,Bucht::N,кӏветӏ,
122,Insel::N,чӏинкӏиллъи,жазира
