,Concept_ID,az,ce
0,Auge::N,göz,бӏаьрг
1,Ohr::N,qulaq,лерг
2,Nase::N,burun,мара
3,Mund::N,ağız,бага
4,Zahn::N,diş,церг
5,Zunge::N,dil,мотт
6,Lippe::N,dodaq,балда
7,Wange::N,yanaq,бесни
8,Gesicht::N,üz,юьхь
9,Stirn::N,alın,хьаж
10,Haar::N,saç,мас
11,Schnurrbart::N,bığ,мекх
12,Bart::N,saqqal,маж
13,Kinn::N,çənə,чӏениг
14,Kiefer[Anatomie]::N,çənə,мочхал
15,Kehle::N,boğaz,къамкъарг
16,Hals::N,boyun,ворта
17,Genick::N,ənsə,кӏесаркӏаг
18,Kopf::N,baş,корта
19,Rücken::N,bel,букъ
20,Bauch::N,qarın,кийра
21,Nabel::N,göbək,цӏонга
22,Busen::N,məmə,зударийн накха
23,Brust::N,döş,накха
24,Schulter::N,çiyin,белш
25,Arm::N,qol,пхьарс
26,Ellenbogen::N,dirsək,пхьаьрсан гола
27,Hand::N,əl,куьг
28,Handfläche::N,ovuc,кераюкъ
29,Finger::N,barmaq,пӏелг
30,Fingernagel::N,barmaq dırnağı,мӏара
31,Nagel[Anatomie]::N,dırnak,мӏара
32,Zeh::N,ayaq barmağı,кога пӏелг
33,Fuß::N,ayaq,ког
34,Ferse::N,daban,кӏажа
35,Knie::N,diz,гола
36,Oberschenkel::N,bud,варе
37,Bein::N,qıç,ког
38,Körper::N,əndam,хӏума
39,Haut::N,dəri,чкъор
40,Blut::N,qan,цӏий
41,Ader::N,damar,пха
42,Sehne::N,vətər,хьорзам
43,Knochen::N,sümük,даьӏахк
44,Gehirn::N,beyin,хье
45,Herz::N,ürək,дог
46,Magen::N,mədə,зорх
47,Leber::N,qara ciyər,доӏах
48,Atem::N,nəfəs,садеӏар
49,Hunger::N,aclıq,мацалла
50,Träne::N,göz yaşı,бӏаьрхи
51,Geschmack::N,tam,чам
52,Geschmack::N,ləzzət,чам
53,Geruch::N,qoxu,хьожа
54,Schlaf::N,yuxu,наб
55,Traum::N,röya,гӏан
56,Himmel::N,göy,стигал
57,Himmel::N,səma,стигал
58,Sonne::N,günəş,малх
59,Mond::N,ay,бутт
60,Stern::N,ulduz,седа
61,Luft::N,hava,xӏаваъ
62,Wind::N,yel,мох
63,Wind::N,külək,мох
64,Welle::N,dalğa,тулгӏе
65,Wasser::N,su,хи
66,Stein::N,daş,тӏулг
67,Boden::N,yer,цӏенкъа
68,Boden::N,zəmin,цӏенкъа
69,Erde::N,yer torpaq,латта
70,Staub::N,toz,чан
71,Rauch::N,tüstü,кӏур
72,Funke::N,qığılcım,суй
73,Feuer::N,od,цӏе
74,Licht::N,işıq,серло
75,Schatten::N,kölgə,ӏиндагӏ
76,Wetter::N,hava,хенан хӏоттам
77,Nebel::N,duman,дохк
78,Wolke::N,bulud,марха
79,Regen::N,yağış,догӏа
80,Regen::N,yağmur,догӏа
81,Schnee::N,qar,ло
82,Eis::N,buz,ша
83,Frost::N,ayaz,шело
84,Kälte::N,soyuq,шело
85,Hitze::N,coşğunluq,йовхо
86,Raureif::N,qırov,йис
87,Regenbogen::N,göy qurşağı,стелаӏад
88,Donner::N,göy gurultusu,ткъес
89,Strömung::N,axın,дӏаэхар
90,Strömung::N,axın,дӏасалелар
91,Tropfen::N,damcı,тӏадам
92,Schaum::N,köpük,чопа
93,Schmutz::N,çamır,хатт
94,See::N,göl,ӏам
95,Sumpf::N,bataqlıq,уьшал
96,Moor::N,bataqlıq,уьшал
97,Wiese::N,çəmən,бай
98,Wald::N,meşə,хьун
99,Hügel::N,təpə,гу
100,Hügel::N,təpə,шу
101,Hügel::N,təpə,барз
102,Anhöhe::N,təpə,акъари
103,Berg::N,dağ,лам
104,Gipfel::N,zirvə,бохь
105,Höhle::N,mağara,хьех
106,Abhang::N,yamac,басе
107,Quelle::N,bulaq,шовда
108,Bach::N,kiçik çay,татол
109,Fluss::N,çay,хи
110,Ufer::N,kənar,хийист
111,Küste::N,sahil,йист
112,Festland::N,materik,латта
113,Meer::N,dəniz,xӏорд
114,Bucht::N,körfəz,чож
115,Insel::N,ada,гӏайре
116,Blume::N,çiçək,зезаг
117,Gras::N,ot,буц
118,Wurzel::N,kök,орам
119,Baum::N,ağac,дитт
120,Stamm::N,gövdə,гӏад
121,Stamm::N,gövdə,тайпа
122,Rinde::N,qabıq,кевстиг
123,Ast::N,şax,га
124,Zweig::N,budaq,га
125,Blatt::N,yarpaq,гӏа
126,Birke::N,tozağacı,дакх
127,Kiefer[Baum]::N,şam,бага
128,Weide[Baum]::N,söyüd,дак
129,Tanne::N,küknar,база
130,Horn::N,buynuz,маӏа
131,Feder::N,tük,пелаг
132,Feder::N,lələk,пелаг
133,Fell::N,xəz,цӏока
134,Flügel::N,qanad,тӏам
135,Klaue::N,pəncə,мӏара
136,Kralle::N,dırnaq,тlод
137,Schwanz::N,quyruq,цӏога
138,Ei::N,yumurta,xӏoa
139,Nest::N,yuva,бен
140,Bau::N,yuva,lуьрг
141,Tier::N,heyvan,дийнат
142,Herde::N,sürü,жа
143,Kuh::N,inək,етт
144,Bulle::N,öküz,сту
145,Pferd::N,at,говр
146,Schaf::N,qoyun,жий
147,Schaf::N,qoyun,уьстагӏ
148,Schwein::N,donuz,хьакха
149,Hund::N,it,жӏаьла
150,Hund::N,köpək,жӏаьла
151,Katze::N,pişik,цициг
152,Bär::N,ayı,ча
153,Eichhörnchen::N,dələ,тарсал
154,Elch::N,sığın,сай
155,Fuchs::N,tülkü,цхьогал
156,Hase::N,dovşan,пхьагал
157,Maus::N,siçan,дахка
158,Wolf::N,qurd,борз
159,Vogel::N,quş,олхазар
160,Schwarm::N,sürü,
161,Huhn::N,toyuq,котам
162,Hahn::N,xoruz,нӏаьна
163,Hahn::N,xoruz,боргӏал
164,Gans::N,qaz,гӏаз
165,Adler::N,qartal,aьрзу
166,Adler::N,qaraquş,aьрзу
167,Ente::N,ördək,бад
168,Eule::N,bayquş,бухӏа
169,Kranich::N,durna,гӏаргӏули
170,Krähe::N,qarğa,къиг
171,Kuckuck::N,ququ,aттйокх
172,Schwan::N,qu quşu,гӏургӏаз
173,Fisch::N,balıq,чӏара
174,Barsch::N,tar,окунь
175,Hecht::N,durnabalığı,гӏазкхийн чӏара
176,Schlange[Tier]::N,ilan,лаьхьа
177,Wurm::N,qurd,нӏаьна
178,Spinne::N,hörümçək,гезг
179,Ameise::N,qarışqa,зингат
180,Laus::N,bit,меза
181,Laus::N,bit,гӏениг
182,Mücke::N,ağcaqanad,чуьрк
183,Fliege::N,milçək,моза
184,Schmetterling::N,kəpənək,полла
185,Beere::N,gilə,цӏазам
186,Apfel::N,alma,ӏаж
187,Pilz::N,göbələk,жӏаьлин нускал
188,Zwiebel::N,soğan,xох
189,Saat::N,əkin,чlу
190,Korn::N,taxıl,буьртиг
191,Heu::N,quru ot,йол
192,Schale::N,qabıq,пардо
193,Grube::N,çuxur,ор
194,Falle::N,tələ,кӏело
195,Falle::N,duzaq,кӏело
196,Schlinge::N,ilmək,
197,Spur::N,iz,лар
198,Asche::N,kül,чим
199,Dreck::N,kir,мода
200,Eisen::N,dəmir,эчиг
201,Gold::N,altun,деши
202,Silber::N,gümüş,дети
203,Kohle::N,kömür,кӏора
204,Glas::N,şüşə,aнгали
205,Lehm::N,gil,поппар
206,Lehm::N,palçıq,поппар
207,Sand::N,qum,гӏум
208,Mensch::N,adam,адам
209,Mensch::N,insan,адам
210,Mann::N,kişi,майра
211,Frau::N,qadın,зуда
212,Kind::N,uşaq,бер
213,Junge::N,oğlan,жимха
214,Mädchen::N,qız,жима йоӏ
215,Familie::N,ailə,доьзал
216,Großvater::N,baba,ненада
217,Großmutter::N,nənə,денана
218,Eltern::N,valideyn,да-нана
219,Vater::N,ata,да
220,Mutter::N,ana,нана
221,Sohn::N,oğul,кӏант
222,Tochter::N,qız,йоӏ
223,Bruder::N,qardaş,ваша
224,Schwester::N,bacı,йиша
225,Onkel::N,əmi,деваша
226,Onkel::N,dayı,деваша
227,Tante::N,bibi,дейиша
228,Ehemann::N,ər,майра
229,Ehefrau::N,arvad,зуда
230,Freude::N,nəşə,самукъа
231,Freude::N,nəşə,хазахетар
232,Freude::N,sevinc,самукъа
233,Freude::N,sevinc,хазахетар
234,Gelächter::N,gülüş,белам
235,Gelächter::N,qəhqəhə,белам
236,Glück::N,səadət,ирс
237,Glück::N,xoşbəxtlik,ирс
238,Kummer::N,qəm,бала
239,Kummer::N,kədər,бала
240,Wunsch::N,arzu,лаам
241,Lust::N,həvəs,лаам
242,Geist::N,ruh,са
243,Gedanke::N,fikir,ойла
244,Gedanke::N,düşüncə,ойла
245,Gedächtnis::N,xatir,диццадалар
246,Gedächtnis::N,hafizə,диццадалар
247,Verstand::N,ağıl,хьекъал
248,Sinn::N,məna,маьӏна
249,Grund::N,səbəb,бахьана
250,Wahrheit::N,haqq,бакъдерг
251,Wahrheit::N,doğruluq,бакъдерг
252,Gespräch::N,söhbət,къамел
253,Gespräch::N,qonuşma,къамел
254,Märchen::N,nağıl,туьйра
255,Erzählung::N,hekayə,дийцар
256,Nachricht::N,xəbər,хаам
257,Neuigkeit::N,xəbər,керланиг
258,Neuigkeit::N,yenilik,керланиг
259,Name::N,ad,цӏе
260,Rätsel::N,tapmaca,хӏетал-метал
261,Rede::N,nitq,къамел
262,Sprache::N,dil,мотт
263,Stimme::N,səs,aз
264,Wort::N,söz,дош
265,Wort::N,kəlmə,дош
266,Zeichen::N,nişan,билгало
267,Ruf::N,çığırtı,кхайкхар
268,Lärm::N,gurultu,гӏовгӏа
269,Laut::N,səs,аз
270,Ton::N,ton,aз
271,Lied::N,mahnı,илли
272,Ruhe::N,sakitlik,тийналла
273,Leute::N,xalq,нах
274,Volk::N,millət,халкъ
275,Arbeit::N,iş,болх
276,Arbeit::N,əmək,болх
277,Gast::N,qonaq,хьаша
278,Gast::N,müsafir,хьаша
