,Concept_ID,az,hr
0,Auge::N,göz,oko
1,Ohr::N,qulaq,uho
2,Nase::N,burun,nos
3,Mund::N,ağız,usta
4,Zahn::N,diş,zub
5,Zunge::N,dil,jezik
6,Lippe::N,dodaq,usna
7,Wange::N,yanaq,obraz
8,Gesicht::N,üz,lice
9,Stirn::N,alın,čelo
10,Haar::N,saç,kosa
11,Schnurrbart::N,bığ,brkovi
12,Bart::N,saqqal,brada
13,Kinn::N,çənə,brada
14,Kinn::N,çənə,podbradak
15,Kiefer[Anatomie]::N,çənə,čeljust
16,Kehle::N,boğaz,grlo
17,Hals::N,boyun,vrat
18,Genick::N,ənsə,zatiljak
19,Kopf::N,baş,glava
20,Rücken::N,bel,leđa
21,Rücken::N,bel,hrbat
22,Bauch::N,qarın,trbuh
23,Nabel::N,göbək,pupak
24,Busen::N,məmə,sisa
25,Busen::N,məmə,njedra
26,Brust::N,döş,prsa
27,Schulter::N,çiyin,rame
28,Schulter::N,çiyin,pleći
29,Arm::N,qol,ruka
30,Ellenbogen::N,dirsək,lakat
31,Hand::N,əl,ruka
32,Handfläche::N,ovuc,dlan
33,Finger::N,barmaq,prst
34,Fingernagel::N,barmaq dırnağı,nokat
35,Nagel[Anatomie]::N,dırnak,nokat
36,Zeh::N,ayaq barmağı,nozni prst
37,Fuß::N,ayaq,noga
38,Fuß::N,ayaq,stopalo
39,Ferse::N,daban,peta
40,Knie::N,diz,koljeno
41,Oberschenkel::N,bud,bedro
42,Bein::N,qıç,noga
43,Körper::N,əndam,tijelo
44,Haut::N,dəri,put
45,Haut::N,dəri,koža
46,Blut::N,qan,krv
47,Ader::N,damar,žila
48,Sehne::N,vətər,tetiva
49,Knochen::N,sümük,kost
50,Gehirn::N,beyin,
51,Herz::N,ürək,srce
52,Magen::N,mədə,stomak
53,Magen::N,mədə,želudac
54,Leber::N,qara ciyər,jetra
55,Atem::N,nəfəs,dah
56,Hunger::N,aclıq,glad
57,Träne::N,göz yaşı,suza
58,Geschmack::N,tam,ukus
59,Geschmack::N,ləzzət,ukus
60,Geruch::N,qoxu,njuh
61,Geruch::N,qoxu,miris
62,Schlaf::N,yuxu,san
63,Traum::N,röya,san
64,Himmel::N,göy,nebo
65,Himmel::N,səma,nebo
66,Sonne::N,günəş,sunce
67,Mond::N,ay,mjesec
68,Stern::N,ulduz,zvijezda
69,Luft::N,hava,zrak
70,Wind::N,yel,vjetar
71,Wind::N,külək,vjetar
72,Welle::N,dalğa,val
73,Welle::N,dalğa,talas
74,Wasser::N,su,voda
75,Stein::N,daş,kamen
76,Boden::N,yer,tlo
77,Boden::N,yer,zemlja
78,Boden::N,zəmin,tlo
79,Boden::N,zəmin,zemlja
80,Erde::N,yer torpaq,zemlja
81,Staub::N,toz,prah
82,Staub::N,toz,prašina
83,Rauch::N,tüstü,dim
84,Funke::N,qığılcım,iskra
85,Funke::N,qığılcım,varnica
86,Feuer::N,od,vatra
87,Licht::N,işıq,svjetlo
88,Schatten::N,kölgə,hlad
89,Schatten::N,kölgə,sjena
90,Wetter::N,hava,vrijeme
91,Nebel::N,duman,magla
92,Wolke::N,bulud,oblak
93,Regen::N,yağış,kiša
94,Regen::N,yağmur,kiša
95,Schnee::N,qar,snijeg
96,Eis::N,buz,led
97,Frost::N,ayaz,mraz
98,Kälte::N,soyuq,studen
99,Kälte::N,soyuq,hladnoća
100,Hitze::N,coşğunluq,vrućina
101,Raureif::N,qırov,inje
102,Regenbogen::N,göy qurşağı,duga
103,Donner::N,göy gurultusu,grom
104,Donner::N,göy gurultusu,grmljavina
105,Strömung::N,axın,struja
106,Strömung::N,axın,strujanje
107,Tropfen::N,damcı,kap
108,Tropfen::N,damcı,kaplja
109,Schaum::N,köpük,pjena
110,Schmutz::N,çamır,nečistoća
111,Schmutz::N,çamır,prljavština
112,See::N,göl,jezero
113,Sumpf::N,bataqlıq,bara
114,Moor::N,bataqlıq,močvara
115,Wiese::N,çəmən,livada
116,Wald::N,meşə,šuma
117,Hügel::N,təpə,brijeg
118,Hügel::N,təpə,brežuljak
119,Anhöhe::N,təpə,uzvišica
120,Berg::N,dağ,brdo
121,Gipfel::N,zirvə,vrh
122,Höhle::N,mağara,pećina
123,Höhle::N,mağara,spilja
124,Abhang::N,yamac,obronak
125,Abhang::N,yamac,nizbrdica
126,Quelle::N,bulaq,izvor
127,Quelle::N,bulaq,vrelo
128,Bach::N,kiçik çay,potok
129,Fluss::N,çay,rijeka
130,Ufer::N,kənar,obala
131,Küste::N,sahil,obala
132,Küste::N,sahil,morska obala
133,Festland::N,materik,kopno
134,Meer::N,dəniz,more
135,Bucht::N,körfəz,zaliv
136,Insel::N,ada,ada
137,Insel::N,ada,otok
138,Blume::N,çiçək,cvijet
139,Gras::N,ot,trava
140,Wurzel::N,kök,korijen
141,Baum::N,ağac,drvo
142,Baum::N,ağac,stablo
143,Stamm::N,gövdə,deblo
144,Stamm::N,gövdə,stablo
145,Rinde::N,qabıq,kora
146,Ast::N,şax,grana
147,Zweig::N,budaq,grana
148,Blatt::N,yarpaq,list
149,Birke::N,tozağacı,breza
150,Kiefer[Baum]::N,şam,bor
151,Weide[Baum]::N,söyüd,iva
152,Weide[Baum]::N,söyüd,vŕba
153,Tanne::N,küknar,jela
154,Horn::N,buynuz,rog
155,Feder::N,tük,pero
156,Feder::N,lələk,pero
157,Fell::N,xəz,koža
158,Flügel::N,qanad,krilo
159,Klaue::N,pəncə,papak
160,Kralle::N,dırnaq,pandža
161,Schwanz::N,quyruq,rep
162,Ei::N,yumurta,jaje
163,Nest::N,yuva,gnijezdo
164,Bau::N,yuva,jazbina
165,Tier::N,heyvan,životinja
166,Herde::N,sürü,krdo
167,Herde::N,sürü,stado
168,Kuh::N,inək,krava
169,Bulle::N,öküz,bik
170,Pferd::N,at,konj
171,Schaf::N,qoyun,ovca
172,Schwein::N,donuz,svinja
173,Hund::N,it,pas
174,Hund::N,it,pseto
175,Hund::N,köpək,pas
176,Hund::N,köpək,pseto
177,Katze::N,pişik,mačka
178,Bär::N,ayı,medvjed
179,Eichhörnchen::N,dələ,vjeverica
180,Elch::N,sığın,los
181,Fuchs::N,tülkü,lisica
182,Hase::N,dovşan,zec
183,Maus::N,siçan,miš
184,Wolf::N,qurd,vuk
185,Wolf::N,qurd,kurjak
186,Vogel::N,quş,ptica
187,Schwarm::N,sürü,roj
188,Schwarm::N,sürü,jato
189,Huhn::N,toyuq,kokoš
190,Hahn::N,xoruz,kokot
191,Hahn::N,xoruz,pijevac
192,Gans::N,qaz,guska
193,Adler::N,qartal,orao
194,Adler::N,qaraquş,orao
195,Ente::N,ördək,patka
196,Eule::N,bayquş,sova
197,Kranich::N,durna,ždral
198,Krähe::N,qarğa,vrana
199,Kuckuck::N,ququ,kukavica
200,Schwan::N,qu quşu,labud
201,Fisch::N,balıq,riba
202,Barsch::N,tar,grgeč
203,Hecht::N,durnabalığı,štuka
204,Schlange[Tier]::N,ilan,guja
205,Schlange[Tier]::N,ilan,zmija
206,Wurm::N,qurd,crv
207,Spinne::N,hörümçək,pauk
208,Ameise::N,qarışqa,mrav
209,Laus::N,bit,uš
210,Mücke::N,ağcaqanad,komarac
211,Fliege::N,milçək,muha
212,Schmetterling::N,kəpənək,leptir
213,Beere::N,gilə,boba
214,Beere::N,gilə,bobica
215,Apfel::N,alma,jabuka
216,Pilz::N,göbələk,pečurka
217,Zwiebel::N,soğan,luk
218,Zwiebel::N,soğan,kapula
219,Saat::N,əkin,sjemenje
220,Korn::N,taxıl,zrno
221,Heu::N,quru ot,sijeno
222,Schale::N,qabıq,kora
223,Schale::N,qabıq,ljuska
224,Grube::N,çuxur,jama
225,Falle::N,tələ,zamka
226,Falle::N,tələ,klopka
227,Falle::N,duzaq,zamka
228,Falle::N,duzaq,klopka
229,Schlinge::N,ilmək,uzao
230,Schlinge::N,ilmək,petlja
231,Spur::N,iz,trag
232,Spur::N,iz,slijed
233,Asche::N,kül,pepeo
234,Dreck::N,kir,blato
235,Eisen::N,dəmir,željezo
236,Gold::N,altun,zlato
237,Silber::N,gümüş,srebro
238,Kohle::N,kömür,ugalj
239,Kohle::N,kömür,ugljen
240,Glas::N,şüşə,staklo
241,Lehm::N,gil,glina
242,Lehm::N,gil,ilovača
243,Lehm::N,palçıq,glina
244,Lehm::N,palçıq,ilovača
245,Sand::N,qum,pijesak
246,Mensch::N,adam,čovjek
247,Mensch::N,insan,čovjek
248,Mann::N,kişi,muškarac
249,Frau::N,qadın,žena
250,Kind::N,uşaq,čedo
251,Kind::N,uşaq,dijete
252,Junge::N,oğlan,momče
253,Junge::N,oğlan,dječak
254,Mädchen::N,qız,djevojka
255,Mädchen::N,qız,djevojčica
256,Familie::N,ailə,obitelj
257,Familie::N,ailə,porodica
258,Großvater::N,baba,djed
259,Großmutter::N,nənə,baka
260,Eltern::N,valideyn,roditelji
261,Vater::N,ata,otac
262,Mutter::N,ana,majka
263,Sohn::N,oğul,sin
264,Tochter::N,qız,kći
265,Tochter::N,qız,kćerka
266,Bruder::N,qardaş,brat
267,Schwester::N,bacı,sestra
268,Onkel::N,əmi,čika
269,Onkel::N,əmi,ujak
270,Onkel::N,dayı,čika
271,Onkel::N,dayı,ujak
272,Tante::N,bibi,ujna
273,Tante::N,bibi,tetka
274,Ehemann::N,ər,muž
275,Ehemann::N,ər,suprug
276,Ehefrau::N,arvad,žena
277,Ehefrau::N,arvad,supruga
278,Freude::N,nəşə,radost
279,Freude::N,sevinc,radost
280,Gelächter::N,gülüş,grohot
281,Gelächter::N,qəhqəhə,grohot
282,Glück::N,səadət,sreća
283,Glück::N,xoşbəxtlik,sreća
284,Kummer::N,qəm,jad
285,Kummer::N,qəm,briga
286,Kummer::N,kədər,jad
287,Kummer::N,kədər,briga
288,Wunsch::N,arzu,želja
289,Lust::N,həvəs,volja
290,Geist::N,ruh,duh
291,Gedanke::N,fikir,misao
292,Gedanke::N,düşüncə,misao
293,Gedächtnis::N,xatir,pamćenje
294,Gedächtnis::N,hafizə,pamćenje
295,Verstand::N,ağıl,um
296,Verstand::N,ağıl,razum
297,Sinn::N,məna,smisao
298,Sinn::N,məna,značenje
299,Grund::N,səbəb,razlog
300,Wahrheit::N,haqq,istina
301,Wahrheit::N,doğruluq,istina
302,Gespräch::N,söhbət,razgovor
303,Gespräch::N,qonuşma,razgovor
304,Märchen::N,nağıl,bajka
305,Erzählung::N,hekayə,priča
306,Erzählung::N,hekayə,pripovijest
307,Nachricht::N,xəbər,vijest
308,Neuigkeit::N,xəbər,novost
309,Neuigkeit::N,yenilik,novost
310,Name::N,ad,ime
311,Rätsel::N,tapmaca,zagonetka
312,Rede::N,nitq,govor
313,Rede::N,nitq,besjeda
314,Sprache::N,dil,jezik
315,Stimme::N,səs,glas
316,Wort::N,söz,riječ
317,Wort::N,kəlmə,riječ
318,Zeichen::N,nişan,znak
319,Ruf::N,çığırtı,povik
320,Ruf::N,çığırtı,poklik
321,Lärm::N,gurultu,buka
322,Lärm::N,gurultu,galama
323,Laut::N,səs,zvuk
324,Ton::N,ton,ton
325,Lied::N,mahnı,pjesma
326,Ruhe::N,sakitlik,tišina
327,Ruhe::N,sakitlik,počinak
328,Leute::N,xalq,ljudi
329,Volk::N,millət,puk
330,Volk::N,millət,narod
331,Arbeit::N,iş,rad
332,Arbeit::N,iş,posao
333,Arbeit::N,əmək,rad
334,Arbeit::N,əmək,posao
335,Gast::N,qonaq,gost
336,Gast::N,müsafir,gost
337,Geschenk::N,hədiyyə,dar
338,Geschenk::N,hədiyyə,poklon
339,Spiel::N,oyun,igra
340,Spiel::N,tamaşa,igra
341,Gesellschaft::N,cəmiyyet,društvo
342,Gesellschaft::N,cəmiyyet,kompanija
343,Hilfe::N,kömək,pomoć
344,Hilfe::N,yardım,pomoć
345,Freund::N,dost,prijatelj
346,Kamerad::N,yoldaş,drug
347,Kamerad::N,yoldaş,drugar
348,Angelegenheit::N,iş,posao
349,Anzahl::N,say,broj
350,Anzahl::N,say,brojnost
351,Art::N,çeşid,vid
352,Art::N,çeşid,vrst
353,Stück::N,dənə,komad
354,Stück::N,parça,komad
355,Teil::N,qisim,dio
356,Hälfte::N,yarım,polovina
357,Kreis::N,dairə,krug
358,Kreuz::N,xaç,križ
359,Linie::N,xətt,crta
360,Strich::N,cızıq,crta
361,Abstand::N,məsafə,razmak
362,Abstand::N,məsafə,odstojanje
363,Entfernung::N,məsafə,udaljenost
364,Entfernung::N,uzaqlıq,udaljenost
365,Gegend::N,bölgə,kraj
366,Gegend::N,bölgə,predeo
367,Platz::N,yer,mjesto
368,Ort::N,yer,mjesto
369,Seite::N,yan,bok
370,Seite::N,yan,strana
371,Seite::N,tərəf,bok
372,Seite::N,tərəf,strana
373,Mitte::N,orta,sredina
374,Gegenstand::N,şey,predmet
375,Sache::N,şey,posao
376,Rand::N,kənar,rub
377,Rand::N,kənar,kraj
378,Kante::N,tiyə,brid
379,Kante::N,tiyə,ivica
380,Kante::N,kənar,brid
381,Kante::N,kənar,ivica
382,Ecke::N,bucaq,ugao
383,Spitze::N,uc,vrh
384,Spitze::N,uc,šiljak
385,Ende::N,son,konac
386,Ende::N,axır,konac
387,Loch::N,deşik,rupa
388,Winkel::N,guşə,kut
389,Winkel::N,guşə,ugao
390,Muster::N,ülgü,uzor
391,Größe::N,böyüklük,veličina
392,Länge::N,uzunluq,duljina
393,Höhe::N,yüksəklik,visina
394,Gewicht::N,çəki,težina
395,Gewicht::N,ağırlıq,težina
396,Menge::N,miqdar,mnoštvo
397,Menge::N,miqdar,količina
398,Haufen::N,yığın,hrpa
399,Haufen::N,yığın,gomila
400,Reihe::N,səf,red
401,Reihe::N,sıra,red
402,Boot::N,qayıq,čun
403,Boot::N,qayıq,čamac
404,Ruder::N,kürək,veslo
405,Schlitten::N,kirşə,saone
406,Ski::N,xizək,ski
407,Ski::N,xizək,smučka
408,Lagerfeuer::N,düşərgə tonqalı,logorska vatra
409,Last::N,yük,tovar
410,Gang::N,yeriş,hod
411,Schritt::N,addım,korak
412,Norden::N,şimal,sjever
413,Süden::N,cənub,jug
414,Westen::N,qərb,zapad
415,Osten::N,şərq,istok
416,Holz::N,ağac,drvo
417,Holz::N,taxta,drvo
418,Brett::N,taxta,daska
419,Platte::N,lövhə,ploča
420,Stütze::N,dayaq,potpora
421,Stütze::N,dəstək,potpora
422,Stange::N,şüvül,motka
423,Stock::N,dəyənək,štap
424,Stock::N,dəyənək,palica
425,Stab::N,əsa,štap
426,Stab::N,əsa,šipka
427,Stab::N,şüvül,štap
428,Stab::N,şüvül,šipka
429,Rohr::N,boru,cijev
430,Rohr::N,truba,cijev
431,Haus::N,ev,kuća
432,Heim::N,ev,dom
433,Ofen::N,peç,peć
434,Ofen::N,soba,peć
435,Fußboden::N,döşəmə,pod
436,Tisch::N,masa,stol
437,Tisch::N,masa,trpeza
438,Stuhl::N,stul,stolac
439,Stuhl::N,stul,stolica
440,Wiege::N,beşik,kolijevka
441,Bett::N,yataq,krevet
442,Bett::N,yataq,postelja
443,Regal::N,rəf,polica
444,Kiste::N,yeşik,sanduk
445,Kiste::N,sandıq,sanduk
446,Fenster::N,pəncərə,prozor
447,Tür::N,qapı,vrata
448,Tor::N,darvaza,vrata
449,Tor::N,darvaza,kapija
450,Zaun::N,çəpər,plot
451,Zaun::N,çəpər,ograda
452,Dach::N,dam,krov
453,Leiter::N,nərdivan,ljestve
454,Leiter::N,nərdivan,ljestvice
455,Besen::N,süpürgə,metla
456,Spaten::N,kürək,ašov
457,Schaufel::N,kürək,lopata
458,Gabel::N,çəngəl,viljuška
459,Löffel::N,qaşıq,žlica
460,Messer::N,bıçaq,nož
461,Nagel::N,mıx,čavao
462,Netz::N,tor,mreža
463,Haken::N,çəngəl,kuka
464,Griff::N,qulp,držak
465,Griff::N,qulp,ručica
466,Griff::N,tutacaq,držak
467,Griff::N,tutacaq,ručica
468,Schloss::N,qıfıl,brava
469,Bild::N,rəsm,slika
470,Figur::N,şəkil,figura
471,Figur::N,heykəl,figura
472,Puppe::N,kukla,lutka
473,Puppe::N,gəlincik,lutka
474,Beutel::N,kisə,kesa
475,Beutel::N,torba,kesa
476,Bündel::N,bağlama,snop
477,Bündel::N,bağlama,svežanj
478,Tasche::N,çanta,torba
479,Tasche::N,çanta,taška
480,Eimer::N,vedrə,kabao
481,Eimer::N,çəllək,kabao
482,Deckel::N,qapaq,poklopac
483,Geschirr::N,qab-qazan,suđe
484,Geschirr::N,qab-qazan,posuđe
485,Sack::N,çuval,džak
486,Sack::N,çuval,vreća
487,Tasse::N,fincan,šalica
488,Topf::N,qazan,lonac
489,Kessel::N,qazan,kazan
490,Essen::N,yemək,obrok
491,Nahrung::N,qida,hrana
492,Speise::N,xörək,jelo
493,Fleisch::N,ət,meso
494,Getreide::N,taxıl,žito
495,Getreide::N,taxıl,žitarice
496,Brei::N,aş,kaša
497,Brei::N,sıyıq,kaša
498,Brot::N,çörək,kruh
499,Scheibe::N,dilim,kriška
500,Fett::N,yağ,mast
501,Fett::N,yağ,salo
502,Butter::N,kərə yağı,buter
503,Butter::N,kərə yağı,maslac
504,Öl::N,yağ,ulje
505,Salz::N,duz,sol
506,Suppe::N,şorba,supa
507,Honig::N,bal,med
508,Milch::N,süd,mlijeko
509,Tee::N,çay,čaj
510,Leder::N,dəri,koža
511,Wolle::N,yun,vuna
512,Stoff::N,qumaş,štof
513,Stoff::N,qumaş,tkanina
514,Nadel::N,iynə,igla
515,Faden::N,sap,nit
516,Faden::N,sap,konac
517,Knopf::N,düymə,dugme
518,Knoten::N,düyün,čvor
519,Knoten::N,düyün,uzao
520,Farbe::N,boya,farba
521,Kleidung::N,geyim,odjeća
522,Hemd::N,köynək,košulja
523,Kragen::N,yaxa,ovratnik
524,Ärmel::N,qol,rukav
525,Hose::N,şalvar,hlače
526,Gürtel::N,kəmər,pas
527,Gürtel::N,kəmər,pojas
528,Mütze::N,şapka,kapa
529,Schuh::N,tufli,cipela
530,Schuh::N,ayaqqabı,cipela
531,Stiefel::N,çəkmə,čizma
532,Ring::N,üzük,prsten
533,Band::N,lent,vrpca
534,Kamm::N,daraq,češalj
535,Spiegel::N,güzgü,zrcalo
536,Spiegel::N,güzgü,ogledalo
537,Riemen::N,qayış,kaiš
538,Riemen::N,qayış,remen
539,Schnur::N,ip,vrpca
540,Leine::N,kəmsik,uzica
541,Decke::N,ədyal,ćebe
542,Decke::N,ədyal,pokrivač
543,Decke::N,yorğan,ćebe
544,Decke::N,yorğan,pokrivač
545,Kissen::N,yastıq,jastuk
546,Tuch::N,şarf,rubac
547,Tuch::N,şarf,marama
548,Tuch::N,kaşne,rubac
549,Tuch::N,kaşne,marama
550,Handtuch::N,dəsmal,ručnik
551,Kraft::N,güc,snaga
552,Stärke::N,qüvvət,jakost
553,Gesundheit::N,sağlamlıq,zdravlje
554,Krankheit::N,xəstəlik,bolest
555,Schmerz::N,ağrı,bol
556,Schmerz::N,sancı,bol
557,Wunde::N,yara,rana
558,Fieber::N,isitmə,groznica
559,Fieber::N,qızdırma,groznica
560,Arznei::N,ilaç,lijek
561,Arznei::N,dərman,lijek
562,Brücke::N,körpü,most
563,Brücke::N,körpü,ćuprija
564,Brunnen::N,quyu,bunar
565,Brunnen::N,quyu,zdenac
566,Weide::N,otlaq,paša
567,Weide::N,otlaq,pašnjak
568,Pfad::N,cığır,staza
569,Weg::N,yol,put
570,Straße::N,küçə,drum
571,Straße::N,küçə,cesta
572,Dorf::N,kənd,selo
573,Stadt::N,şəhər,grad
574,Stadt::N,şəhər,varoš
575,Brief::N,məktub,list
576,Brief::N,məktub,pismo
