,Concept_ID,be,ca
0,Auge::N,вока,ull
1,Ohr::N,вуха,orella
2,Nase::N,нос,nas
3,Mund::N,рот,boca
4,Zahn::N,зуб,dent
5,Zunge::N,язык,llēngua
6,Lippe::N,губа,llavi
7,Wange::N,шчака,galta
8,Gesicht::N,твар,cara
9,Stirn::N,лоб,front
10,Haar::N,волас,cabēll
11,Haar::N,валасы,cabēll
12,Schnurrbart::N,вус,bigoti
13,Schnurrbart::N,вусы,bigoti
14,Bart::N,барада,barba
15,Kinn::N,падбародак,mentó
16,Kinn::N,падбародак,barbeta
17,Kiefer[Anatomie]::N,сківіца,queix
18,Kiefer[Anatomie]::N,сківіца,mandíbula
19,Kehle::N,горла,gola
20,Kehle::N,горла,gorja
21,Hals::N,шыя,coll
22,Genick::N,патыліца,nuca
23,Kopf::N,галава,cap
24,Rücken::N,спіна,esquena
25,Bauch::N,жывот,panxa
26,Nabel::N,пупок,llombrígol
27,Busen::N,грудзі,pit
28,Busen::N,грудзі,mama
29,Brust::N,грудзі,pit
30,Schulter::N,плячо,espatlla
31,Arm::N,рука,braç
32,Ellenbogen::N,локаць,colze
33,Hand::N,кісць,mà
34,Handfläche::N,далонь,palma
35,Finger::N,палец,dit
36,Fingernagel::N,ногаць,ungla
37,Nagel[Anatomie]::N,ногаць,ungla
38,Zeh::N,палец,dit del peu
39,Fuß::N,нага,peu
40,Ferse::N,пята,taló
41,Ferse::N,пятка,taló
42,Knie::N,калена,genoll
43,Oberschenkel::N,бядро,cuixa
44,Oberschenkel::N,сцягно,cuixa
45,Bein::N,нага,cama
46,Körper::N,цела,cos
47,Haut::N,скура,pell
48,Blut::N,кроў,sang
49,Ader::N,вена,vena
50,Ader::N,сасуд,vena
51,Sehne::N,жыла,tendó
52,Sehne::N,цеціва,tendó
53,Sehne::N,сухажылле,tendó
54,Knochen::N,косць,os
55,Gehirn::N,мозг,cervell
56,Herz::N,сэрца,cor
57,Magen::N,страўнік,estómac
58,Leber::N,печань,fetge
59,Atem::N,дыханне,alè
60,Atem::N,дыханне,hàlit
61,Hunger::N,голад,fam
62,Hunger::N,голад,gana
63,Träne::N,сляза,llàgrima
64,Geschmack::N,смак,gust
65,Geschmack::N,смак,sabor
66,Geruch::N,пах,olor
67,Schlaf::N,сон,son
68,Traum::N,сон,somni
69,Himmel::N,неба,celm
70,Sonne::N,сонца,sol
71,Mond::N,месяц,lluna
72,Stern::N,зорка,estel
73,Stern::N,зорка,estrella
74,Luft::N,паветра,aire
75,Wind::N,вецер,vent
76,Welle::N,хваля,ona
77,Wasser::N,вада,āigua
78,Stein::N,камень,pedra
79,Boden::N,глеба,sòl
80,Erde::N,зямля,terra
81,Staub::N,пыл,pols
82,Rauch::N,дым,fum
83,Funke::N,іскра,guspira
84,Funke::N,іскра,centella
85,Feuer::N,агонь,foc
86,Licht::N,святло,llum
87,Schatten::N,цень,ombra
88,Wetter::N,пагода,temps
89,Wetter::N,надворʼе,temps
90,Nebel::N,туман,boira
91,Wolke::N,воблака,núvol
