,Concept_ID,ca,ab
0,Auge::N,ull,ала
1,Ohr::N,orella,алымҳа
2,Nase::N,nas,аҧынҵа
3,Mund::N,boca,аҧышə
4,Zahn::N,dent,ахаҧыц
5,Zunge::N,llēngua,абз
6,Lippe::N,llavi,ақьышə
7,Wange::N,galta,аӡамҩа
8,Gesicht::N,cara,аҿы
9,Stirn::N,front,алахь
10,Haar::N,cabēll,ахəыц
11,Schnurrbart::N,bigoti,аҧаҵа
12,Bart::N,barba,ажакьа
13,Kinn::N,mentó,ацламкəыгə
14,Kinn::N,barbeta,ацламкəыгə
15,Kiefer[Anatomie]::N,queix,ацламҳəа
16,Kiefer[Anatomie]::N,mandíbula,ацламҳəа
17,Kehle::N,gola,ахəда
18,Kehle::N,gorja,ахəда
19,Hals::N,coll,ахəда
20,Genick::N,nuca,ахəдаџьал
21,Kopf::N,cap,ахы
22,Rücken::N,esquena,азқəа
23,Bauch::N,panxa,амгəа
24,Nabel::N,llombrígol,аҷапан
25,Busen::N,pit,агəыҧҳəы
26,Busen::N,mama,агəыҧҳəы
27,Brust::N,pit,агəышҧы
28,Schulter::N,espatlla,ажəҩахыр
29,Arm::N,braç,амахəар
30,Ellenbogen::N,colze,амашьхəылҵ
31,Hand::N,mà,анапы
32,Handfläche::N,palma,анапсаргəыҵа
33,Finger::N,dit,анацəа
34,Fingernagel::N,ungla,анапхыц
35,Nagel[Anatomie]::N,ungla,ашьапхыц
36,Zeh::N,dit del peu,ашьацəа
37,Fuß::N,peu,ашьапсыргəыҵа
38,Ferse::N,taló,ашьхəа
39,Knie::N,genoll,ашьамхы
40,Oberschenkel::N,cuixa,ауаҭəа
41,Bein::N,cama,ашьапы
42,Körper::N,cos,ацəеижь
43,Haut::N,pell,ацəа
44,Blut::N,sang,ашьа
45,Ader::N,vena,ада
46,Sehne::N,tendó,адаш
47,Knochen::N,os,абаҩ
48,Gehirn::N,cervell,ахшлыбаҩ
49,Gehirn::N,cervell,ахшыбаҩ
50,Herz::N,cor,агəы
51,Magen::N,estómac,аца
52,Magen::N,estómac,ацар
53,Leber::N,fetge,агəаҵəа
54,Atem::N,alè,аҧсыҧлагаҩгара
55,Atem::N,hàlit,аҧсыҧлагаҩгара
56,Hunger::N,fam,амла
57,Hunger::N,gana,амла
58,Träne::N,llàgrima,алабжыш
59,Geschmack::N,gust,агьама
60,Geschmack::N,sabor,агьама
61,Geruch::N,olor,афҩы
62,Schlaf::N,son,ацəа
63,Traum::N,somni,аҧхыӡ
64,Himmel::N,celm,ажəҩан
65,Sonne::N,sol,амра
66,Mond::N,lluna,амза
67,Stern::N,estel,аеҵəа
68,Stern::N,estrella,аеҵəа
69,Luft::N,aire,аҳаир
70,Wind::N,vent,аҧша
71,Welle::N,ona,ацəқəырҧа
72,Wasser::N,āigua,аӡы
73,Stein::N,pedra,ахаҳə
74,Boden::N,sòl,адгьыл
75,Erde::N,terra,адгьыл
76,Staub::N,pols,асаба
77,Rauch::N,fum,алҩа
78,Funke::N,guspira,акəиц
79,Funke::N,guspira,ацҧхь
80,Funke::N,centella,акəиц
81,Funke::N,centella,ацҧхь
82,Feuer::N,foc,амца
83,Licht::N,llum,алашара
84,Schatten::N,ombra,ашəшьыра
85,Wetter::N,temps,амш
86,Nebel::N,boira,анаҟəа
87,Wolke::N,núvol,аҧсҭҳəа
88,Regen::N,pluja,ақəа
89,Schnee::N,neu,асы
90,Eis::N,gel,аҵаа
91,Eis::N,glaç,аҵаа
92,Frost::N,glaçada,аҵаа
93,Kälte::N,fred,ахьҭа
94,Hitze::N,calor,ашоура
95,Raureif::N,gebre,аҵааҧшқа
96,Regenbogen::N,arc iris,ацəаҟəа
97,Donner::N,tro,адыд
98,Strömung::N,corrent,аиасра
99,Strömung::N,corrent,амҩасра
100,Tropfen::N,gota,ацəыкəбар
101,Schaum::N,escuma,ашəах
102,Schmutz::N,brutícia,алымт
103,See::N,llac,аӡиа
104,Sumpf::N,pantà,аӡмах
105,Moor::N,pantà,
106,Wiese::N,prat,адəы
107,Wiese::N,prada,адəы
108,Wald::N,bosc,абна
109,Hügel::N,puig,ахəы
110,Hügel::N,pujol,ахəы
111,Anhöhe::N,turó,аҳаракыра
112,Berg::N,muntanya,ашьха
113,Gipfel::N,cim,ацəқəа
114,Höhle::N,cova,аҳаҧы
115,Abhang::N,coster,анаара
116,Quelle::N,font,аҵҵырҭа
117,Bach::N,riera,акəараҷҷа
118,Fluss::N,riu,аӡиас
119,Ufer::N,riba,ахықə
120,Küste::N,costa,ахықə
121,Festland::N,terra ferma,абарра
122,Meer::N,mar,амшын
123,Bucht::N,cala,аӡбжьахала
124,Bucht::N,badia,аӡбжьахала
125,Insel::N,illa,адгьылбжьаха
126,Blume::N,flor,ашəҭ
127,Gras::N,herba,аҳасакьын
128,Wurzel::N,rel,адац
129,Wurzel::N,arrel,адац
130,Baum::N,arbre,аҵла
131,Stamm::N,tronc,ашьапы
132,Rinde::N,escorça,ацəа
133,Ast::N,branca,амахə
134,Ast::N,branca,амахəҭа
135,Zweig::N,ram,амахə
136,Zweig::N,ram,амахəҭа
137,Blatt::N,fulla,абҕьы
138,Birke::N,bedoll,аҵааҵла
139,Kiefer[Baum]::N,pi,амза
140,Weide[Baum]::N,salze,аҧслыш
141,Tanne::N,avet,аҧсаӡ
142,Horn::N,corn,атəыҩа
143,Horn::N,banya,атəыҩа
144,Feder::N,ploma,ахӡы
145,Fell::N,pell,ацəа
146,Flügel::N,ala,амҵəыжəа
147,Klaue::N,urpa,ашьапхыц
148,Kralle::N,grapa,
149,Schwanz::N,cua,аҵыхəа
150,Ei::N,ou,акəтаӷь
151,Nest::N,niu,аҭра
152,Nest::N,niu,аҵысҭра
153,Bau::N,cau,аҭыҩра
154,Tier::N,animāl,аҧстəы
155,Tier::N,animāl,агыгшəыг
156,Herde::N,ramat,агəарҭа
157,Kuh::N,vaca,ажə
158,Bulle::N,toro,ацə
159,Pferd::N,cavāll,аҽы
