,Concept_ID,ca,et
0,Auge::N,ull,silm
1,Ohr::N,orella,kõrv
2,Nase::N,nas,nina
3,Mund::N,boca,suu
4,Zahn::N,dent,hammas
5,Zunge::N,llēngua,keel
6,Lippe::N,llavi,huul
7,Wange::N,galta,põsk
8,Gesicht::N,cara,nägu
9,Stirn::N,front,otsmik
10,Haar::N,cabēll,juus
11,Schnurrbart::N,bigoti,vurrud
12,Schnurrbart::N,bigoti,vuntsid
13,Bart::N,barba,habe
14,Kinn::N,mentó,lõug
15,Kinn::N,barbeta,lõug
16,Kiefer[Anatomie]::N,queix,lõualuu
17,Kiefer[Anatomie]::N,mandíbula,lõualuu
18,Kehle::N,gola,kõri
19,Kehle::N,gorja,kõri
20,Hals::N,coll,kael
21,Genick::N,nuca,kukal
22,Kopf::N,cap,pea
23,Rücken::N,esquena,selg
24,Bauch::N,panxa,kõht
25,Nabel::N,llombrígol,naba
26,Busen::N,pit,rind
27,Busen::N,mama,rind
28,Brust::N,pit,rind
29,Schulter::N,espatlla,õlg
30,Arm::N,braç,käsivars
31,Ellenbogen::N,colze,küünarnukk
32,Hand::N,mà,käsi
33,Handfläche::N,palma,pihk
34,Finger::N,dit,sõrm
35,Fingernagel::N,ungla,küüs
36,Nagel[Anatomie]::N,ungla,küüs
37,Zeh::N,dit del peu,varvas
38,Fuß::N,peu,jalg
39,Ferse::N,taló,kand
40,Knie::N,genoll,põlv
41,Oberschenkel::N,cuixa,reis
42,Bein::N,cama,jalg
43,Körper::N,cos,ihu
44,Körper::N,cos,keha
45,Haut::N,pell,nahk
46,Blut::N,sang,veri
47,Ader::N,vena,veen
48,Sehne::N,tendó,kõõlus
49,Knochen::N,os,luu
50,Gehirn::N,cervell,aju
51,Herz::N,cor,süda
52,Magen::N,estómac,magu
53,Leber::N,fetge,maks
54,Atem::N,alè,hingeõhk
55,Atem::N,alè,hingamine
56,Atem::N,hàlit,hingeõhk
57,Atem::N,hàlit,hingamine
58,Hunger::N,fam,nälg
59,Hunger::N,gana,nälg
60,Träne::N,llàgrima,pisar
61,Geschmack::N,gust,maitse
62,Geschmack::N,sabor,maitse
63,Geruch::N,olor,lõhn
64,Schlaf::N,son,uni
65,Traum::N,somni,unenägu
66,Himmel::N,celm,taevas
67,Sonne::N,sol,päike
68,Mond::N,lluna,kuu
69,Stern::N,estel,täht
70,Stern::N,estrella,täht
71,Luft::N,aire,õhk
72,Wind::N,vent,tuul
73,Welle::N,ona,laine
74,Wasser::N,āigua,vesi
75,Stein::N,pedra,kivi
76,Boden::N,sòl,maa
77,Boden::N,sòl,pinnas
78,Erde::N,terra,maa
79,Staub::N,pols,põrm
80,Rauch::N,fum,suits
81,Funke::N,guspira,säde
82,Funke::N,centella,säde
83,Feuer::N,foc,tuli
84,Licht::N,llum,valgus
85,Schatten::N,ombra,vari
86,Wetter::N,temps,ilm
87,Nebel::N,boira,udu
88,Wolke::N,núvol,pilv
89,Regen::N,pluja,sadu
90,Schnee::N,neu,lumi
91,Eis::N,gel,jää
92,Eis::N,glaç,jää
93,Frost::N,glaçada,pakane
94,Kälte::N,fred,külm
