,Concept_ID,ca,lt
0,Auge::N,ull,akis
1,Ohr::N,orella,ausis
2,Nase::N,nas,nosis
3,Mund::N,boca,burna
4,Zahn::N,dent,dantis
5,Zunge::N,llēngua,liežuvis
6,Lippe::N,llavi,lūpa
7,Wange::N,galta,žandas
8,Wange::N,galta,skruostas
9,Gesicht::N,cara,veidas
10,Stirn::N,front,kakta
11,Haar::N,cabēll,plaukai
12,Schnurrbart::N,bigoti,ūsai
13,Bart::N,barba,barzda
14,Kinn::N,mentó,smakras
15,Kinn::N,barbeta,smakras
16,Kiefer[Anatomie]::N,queix,žandikaulis
17,Kiefer[Anatomie]::N,mandíbula,žandikaulis
18,Kehle::N,gola,gerklė
19,Kehle::N,gorja,gerklė
20,Hals::N,coll,kaklas
21,Genick::N,nuca,sprandas
22,Kopf::N,cap,galva
23,Rücken::N,esquena,nugara
24,Bauch::N,panxa,pilvas
25,Nabel::N,llombrígol,bamba
26,Busen::N,pit,krūtinė
27,Busen::N,mama,krūtinė
28,Brust::N,pit,krūtis
29,Schulter::N,espatlla,petys
30,Arm::N,braç,ranka
31,Ellenbogen::N,colze,alkūnė
32,Hand::N,mà,ranka
33,Hand::N,mà,plaštaka
34,Handfläche::N,palma,delnas
35,Handfläche::N,palma,plaštaka
36,Finger::N,dit,pirštas
37,Fingernagel::N,ungla,nagas
38,Nagel[Anatomie]::N,ungla,nagas
39,Zeh::N,dit del peu,pirštas
40,Fuß::N,peu,pėda
41,Ferse::N,taló,kulnas
42,Knie::N,genoll,kelis
43,Oberschenkel::N,cuixa,kulšis
44,Oberschenkel::N,cuixa,šlaunis
45,Bein::N,cama,koja
46,Körper::N,cos,kūnas
47,Haut::N,pell,oda
48,Blut::N,sang,kraujas
49,Ader::N,vena,kraujagyslė
50,Sehne::N,tendó,sausgyslė
51,Knochen::N,os,kaulas
52,Gehirn::N,cervell,smegenys
53,Herz::N,cor,širdis
54,Magen::N,estómac,skrandis
55,Leber::N,fetge,kepenys
56,Atem::N,alè,kvapas
57,Atem::N,hàlit,kvapas
58,Hunger::N,fam,badas
59,Hunger::N,fam,alkis
60,Hunger::N,gana,badas
61,Hunger::N,gana,alkis
62,Träne::N,llàgrima,ašara
63,Geschmack::N,gust,skonis
64,Geschmack::N,sabor,skonis
65,Geruch::N,olor,kvapas
66,Schlaf::N,son,miegas
67,Traum::N,somni,sapnas
68,Himmel::N,celm,dangus
69,Sonne::N,sol,saulė
70,Mond::N,lluna,mėnulis
71,Stern::N,estel,žvaigždė
72,Stern::N,estrella,žvaigždė
73,Luft::N,aire,oras
74,Wind::N,vent,vėjas
75,Welle::N,ona,banga
76,Welle::N,ona,vilnis
77,Wasser::N,āigua,vanduo
78,Stein::N,pedra,akmuo
79,Boden::N,sòl,žemė
80,Boden::N,sòl,dugnas
81,Erde::N,terra,žemė
82,Staub::N,pols,dulkės
83,Rauch::N,fum,dūmai
84,Funke::N,guspira,kibirkštis
85,Funke::N,centella,kibirkštis
86,Feuer::N,foc,ugnis
87,Licht::N,llum,šviesa
88,Schatten::N,ombra,paūksmė
89,Wetter::N,temps,oras
90,Nebel::N,boira,migla
91,Nebel::N,boira,rūkas
92,Wolke::N,núvol,debesis
93,Regen::N,pluja,lietus
94,Schnee::N,neu,sniegas
95,Eis::N,gel,ledas
96,Eis::N,glaç,ledas
97,Frost::N,glaçada,šalna
98,Kälte::N,fred,šaltis
99,Hitze::N,calor,karštis
100,Raureif::N,gebre,šerkšnas
101,Regenbogen::N,arc iris,vaivorykštė
102,Donner::N,tro,perkūnas
103,Donner::N,tro,griaustinis
104,Strömung::N,corrent,tėkmė
105,Tropfen::N,gota,lašas
106,Schaum::N,escuma,putos
107,Schmutz::N,brutícia,purvas
108,See::N,llac,ežeras
109,Sumpf::N,pantà,klampynė
110,Sumpf::N,pantà,liūnas
111,Moor::N,pantà,pelkė
112,Wiese::N,prat,pieva
113,Wiese::N,prada,pieva
114,Wald::N,bosc,miškas
115,Hügel::N,puig,kalva
116,Hügel::N,pujol,kalva
117,Anhöhe::N,turó,kauburys
118,Berg::N,muntanya,kalnas
119,Gipfel::N,cim,viršūnė
120,Höhle::N,cova,ola
