,Concept_ID,ca,tr
0,Auge::N,ull,göz
1,Ohr::N,orella,kulak
2,Nase::N,nas,burun
3,Mund::N,boca,ağız
4,Zahn::N,dent,diş
5,Zunge::N,llēngua,dil
6,Lippe::N,llavi,dudak
7,Wange::N,galta,yanak
8,Gesicht::N,cara,yüz
9,Stirn::N,front,alın
10,Haar::N,cabēll,saç
11,Schnurrbart::N,bigoti,bıyık
12,Bart::N,barba,sakal
13,Kinn::N,mentó,çene
14,Kinn::N,barbeta,çene
15,Kiefer[Anatomie]::N,queix,çene
16,Kiefer[Anatomie]::N,mandíbula,çene
17,Kehle::N,gola,boğaz
18,Kehle::N,gorja,boğaz
19,Hals::N,coll,boyun
20,Hals::N,coll,gerdan
21,Genick::N,nuca,ense
22,Kopf::N,cap,baş
23,Kopf::N,cap,kafa
24,Rücken::N,esquena,arka
25,Bauch::N,panxa,karın
26,Nabel::N,llombrígol,göbek
27,Busen::N,pit,koyun
28,Busen::N,mama,koyun
29,Brust::N,pit,göğüs
30,Schulter::N,espatlla,omuz
31,Arm::N,braç,kol
32,Ellenbogen::N,colze,dirsek
33,Hand::N,mà,el
34,Handfläche::N,palma,avuç
35,Handfläche::N,palma,el ayası
36,Finger::N,dit,parmak
37,Fingernagel::N,ungla,el tırnağı
38,Nagel[Anatomie]::N,ungla,tırnak
39,Zeh::N,dit del peu,ayak parmağı
40,Fuß::N,peu,ayak
41,Ferse::N,taló,topuk
42,Knie::N,genoll,diz
43,Oberschenkel::N,cuixa,uyluk
44,Bein::N,cama,bacak
45,Körper::N,cos,vücut
46,Haut::N,pell,cilt
47,Blut::N,sang,kan
48,Ader::N,vena,damar
49,Sehne::N,tendó,kiriş
50,Knochen::N,os,kemik
51,Gehirn::N,cervell,beyin
52,Herz::N,cor,kalp
53,Herz::N,cor,yürek
54,Magen::N,estómac,mide
55,Leber::N,fetge,karaciğer
56,Atem::N,alè,nefes
57,Atem::N,hàlit,nefes
58,Hunger::N,fam,açlık
59,Hunger::N,gana,açlık
60,Träne::N,llàgrima,gözyaşı
61,Geschmack::N,gust,tat
62,Geschmack::N,gust,lezzet
63,Geschmack::N,sabor,tat
64,Geschmack::N,sabor,lezzet
65,Geruch::N,olor,koku
66,Schlaf::N,son,uyku
67,Traum::N,somni,düş
68,Traum::N,somni,rüya
69,Himmel::N,celm,gök
70,Sonne::N,sol,güneş
71,Mond::N,lluna,ay
72,Stern::N,estel,yıldız
73,Stern::N,estrella,yıldız
74,Luft::N,aire,hava
75,Wind::N,vent,yel
76,Wind::N,vent,rüzgâr
77,Welle::N,ona,dalga
78,Wasser::N,āigua,su
79,Stein::N,pedra,taş
80,Boden::N,sòl,yer
81,Boden::N,sòl,zemin
82,Erde::N,terra,toprak
83,Staub::N,pols,toz
84,Rauch::N,fum,duman
85,Funke::N,guspira,kıvılcım
86,Funke::N,centella,kıvılcım
87,Feuer::N,foc,ateş
88,Licht::N,llum,ışık
89,Schatten::N,ombra,gölge
90,Wetter::N,temps,hava
91,Nebel::N,boira,pus
92,Wolke::N,núvol,bulut
93,Regen::N,pluja,yağmur
94,Schnee::N,neu,kar
95,Eis::N,gel,buz
96,Eis::N,glaç,buz
97,Frost::N,glaçada,don
98,Kälte::N,fred,soğukluk
99,Hitze::N,calor,sıcaklık
100,Raureif::N,gebre,kırç
101,Regenbogen::N,arc iris,gökkuşağı
102,Donner::N,tro,gök gürlemesi
103,Strömung::N,corrent,akıntı
104,Strömung::N,corrent,cereyan
105,Tropfen::N,gota,damla
106,Schaum::N,escuma,köpük
107,Schmutz::N,brutícia,çamur
108,Schmutz::N,brutícia,pislik
109,See::N,llac,göl
110,Sumpf::N,pantà,batak
111,Moor::N,pantà,cılgıt
