,Concept_ID,ce,de
0,Auge::N,бӏаьрг,Auge
1,Ohr::N,лерг,Ohr
2,Nase::N,мара,Nase
3,Mund::N,бага,Mund
4,Zahn::N,церг,Zahn
5,Zunge::N,мотт,Zunge
6,Lippe::N,балда,Lippe
7,Wange::N,бесни,Wange
8,Gesicht::N,юьхь,Gesicht
9,Stirn::N,хьаж,Stirn
10,Haar::N,мас,Haar
11,Schnurrbart::N,мекх,Schnurrbart
12,Bart::N,маж,Bart
13,Kinn::N,чӏениг,Kinn
14,Kiefer[Anatomie]::N,мочхал,Kiefer
15,Kehle::N,къамкъарг,Kehle
16,Hals::N,ворта,Hals
17,Genick::N,кӏесаркӏаг,Genick
18,Kopf::N,корта,Kopf
19,Rücken::N,букъ,Rücken
20,Bauch::N,кийра,Bauch
21,Nabel::N,цӏонга,Nabel
22,Busen::N,зударийн накха,Busen
23,Brust::N,накха,Brust
24,Schulter::N,белш,Schulter
25,Arm::N,пхьарс,Arm
26,Ellenbogen::N,пхьаьрсан гола,Ellenbogen
27,Hand::N,куьг,Hand
28,Handfläche::N,кераюкъ,Handfläche
29,Finger::N,пӏелг,Finger
30,Fingernagel::N,мӏара,Fingernagel
31,Nagel[Anatomie]::N,мӏара,Nagel
32,Zeh::N,кога пӏелг,Zeh
33,Fuß::N,ког,Fuß
34,Ferse::N,кӏажа,Ferse
35,Knie::N,гола,Knie
36,Oberschenkel::N,варе,Oberschenkel
37,Bein::N,ког,Bein
38,Körper::N,хӏума,Körper
39,Haut::N,чкъор,Haut
40,Blut::N,цӏий,Blut
41,Ader::N,пха,Ader
42,Sehne::N,хьорзам,Sehne
43,Knochen::N,даьӏахк,Knochen
44,Gehirn::N,хье,Gehirn
45,Herz::N,дог,Herz
46,Magen::N,зорх,Magen
47,Leber::N,доӏах,Leber
48,Atem::N,садеӏар,Atem
49,Hunger::N,мацалла,Hunger
50,Träne::N,бӏаьрхи,Träne
51,Geschmack::N,чам,Geschmack
52,Geruch::N,хьожа,Geruch
53,Schlaf::N,наб,Schlaf
54,Traum::N,гӏан,Traum
55,Himmel::N,стигал,Himmel
56,Sonne::N,малх,Sonne
57,Mond::N,бутт,Mond
58,Stern::N,седа,Stern
59,Luft::N,xӏаваъ,Luft
60,Wind::N,мох,Wind
61,Welle::N,тулгӏе,Welle
62,Wasser::N,хи,Wasser
63,Stein::N,тӏулг,Stein
64,Boden::N,цӏенкъа,Boden
65,Erde::N,латта,Erde
66,Staub::N,чан,Staub
67,Rauch::N,кӏур,Rauch
68,Funke::N,суй,Funke
69,Feuer::N,цӏе,Feuer
70,Licht::N,серло,Licht
71,Schatten::N,ӏиндагӏ,Schatten
72,Wetter::N,хенан хӏоттам,Wetter
73,Nebel::N,дохк,Nebel
74,Wolke::N,марха,Wolke
75,Regen::N,догӏа,Regen
76,Schnee::N,ло,Schnee
77,Eis::N,ша,Eis
78,Frost::N,шело,Frost
79,Kälte::N,шело,Kälte
80,Hitze::N,йовхо,Hitze
81,Raureif::N,йис,Raureif
82,Regenbogen::N,стелаӏад,Regenbogen
83,Donner::N,ткъес,Donner
84,Strömung::N,дӏаэхар,Strömung
85,Strömung::N,дӏасалелар,Strömung
86,Tropfen::N,тӏадам,Tropfen
87,Schaum::N,чопа,Schaum
88,Schmutz::N,хатт,Schmutz
89,See::N,ӏам,See
90,Sumpf::N,уьшал,Sumpf
91,Moor::N,уьшал,Moor
92,Wiese::N,бай,Wiese
93,Wald::N,хьун,Wald
94,Hügel::N,гу,Hügel
95,Hügel::N,шу,Hügel
96,Hügel::N,барз,Hügel
97,Anhöhe::N,акъари,Anhöhe
98,Berg::N,лам,Berg
99,Gipfel::N,бохь,Gipfel
100,Höhle::N,хьех,Höhle
101,Abhang::N,басе,Abhang
102,Quelle::N,шовда,Quelle
103,Bach::N,татол,Bach
104,Fluss::N,хи,Fluss
105,Ufer::N,хийист,Ufer
106,Küste::N,йист,Küste
107,Festland::N,латта,Festland
108,Meer::N,xӏорд,Meer
109,Bucht::N,чож,Bucht
110,Insel::N,гӏайре,Insel
111,Blume::N,зезаг,Blume
112,Gras::N,буц,Gras
113,Wurzel::N,орам,Wurzel
114,Baum::N,дитт,Baum
115,Stamm::N,гӏад,Stamm
116,Stamm::N,тайпа,Stamm
117,Rinde::N,кевстиг,Rinde
118,Ast::N,га,Ast
119,Zweig::N,га,Zweig
120,Blatt::N,гӏа,Blatt
121,Birke::N,дакх,Birke
122,Kiefer[Baum]::N,бага,Kiefer
123,Weide[Baum]::N,дак,Weide
124,Tanne::N,база,Tanne
125,Horn::N,маӏа,Horn
126,Feder::N,пелаг,Feder
127,Fell::N,цӏока,Fell
128,Flügel::N,тӏам,Flügel
129,Klaue::N,мӏара,Klaue
130,Kralle::N,тlод,Kralle
131,Schwanz::N,цӏога,Schwanz
132,Ei::N,xӏoa,Ei
133,Nest::N,бен,Nest
134,Bau::N,lуьрг,Bau
135,Tier::N,дийнат,Tier
136,Herde::N,жа,Herde
137,Kuh::N,етт,Kuh
138,Bulle::N,сту,Bulle
139,Pferd::N,говр,Pferd
140,Schaf::N,жий,Schaf
141,Schaf::N,уьстагӏ,Schaf
142,Schwein::N,хьакха,Schwein
143,Hund::N,жӏаьла,Hund
144,Katze::N,цициг,Katze
145,Bär::N,ча,Bär
146,Eichhörnchen::N,тарсал,Eichhörnchen
147,Elch::N,сай,Elch
148,Fuchs::N,цхьогал,Fuchs
149,Hase::N,пхьагал,Hase
150,Maus::N,дахка,Maus
151,Wolf::N,борз,Wolf
152,Vogel::N,олхазар,Vogel
153,Huhn::N,котам,Huhn
154,Hahn::N,нӏаьна,Hahn
155,Hahn::N,боргӏал,Hahn
156,Gans::N,гӏаз,Gans
157,Adler::N,aьрзу,Adler
158,Ente::N,бад,Ente
159,Eule::N,бухӏа,Eule
160,Kranich::N,гӏаргӏули,Kranich
161,Krähe::N,къиг,Krähe
162,Kuckuck::N,aттйокх,Kuckuck
163,Schwan::N,гӏургӏаз,Schwan
164,Fisch::N,чӏара,Fisch
165,Barsch::N,окунь,Barsch
166,Hecht::N,гӏазкхийн чӏара,Hecht
167,Schlange[Tier]::N,лаьхьа,Schlange
168,Wurm::N,нӏаьна,Wurm
169,Spinne::N,гезг,Spinne
170,Ameise::N,зингат,Ameise
171,Laus::N,меза,Laus
172,Laus::N,гӏениг,Laus
173,Mücke::N,чуьрк,Mücke
174,Fliege::N,моза,Fliege
175,Schmetterling::N,полла,Schmetterling
176,Beere::N,цӏазам,Beere
177,Apfel::N,ӏаж,Apfel
178,Pilz::N,жӏаьлин нускал,Pilz
179,Zwiebel::N,xох,Zwiebel
180,Saat::N,чlу,Saat
181,Korn::N,буьртиг,Korn
182,Heu::N,йол,Heu
183,Schale::N,пардо,Schale
184,Grube::N,ор,Grube
185,Falle::N,кӏело,Falle
186,Spur::N,лар,Spur
187,Asche::N,чим,Asche
188,Dreck::N,мода,Dreck
189,Eisen::N,эчиг,Eisen
190,Gold::N,деши,Gold
191,Silber::N,дети,Silber
192,Kohle::N,кӏора,Kohle
193,Glas::N,aнгали,Glas
194,Lehm::N,поппар,Lehm
195,Sand::N,гӏум,Sand
196,Mensch::N,адам,Mensch
197,Mann::N,майра,Mann
198,Frau::N,зуда,Frau
199,Kind::N,бер,Kind
200,Junge::N,жимха,Junge
201,Mädchen::N,жима йоӏ,Mädchen
202,Familie::N,доьзал,Familie
203,Großvater::N,ненада,Großvater
204,Großmutter::N,денана,Großmutter
205,Eltern::N,да-нана,Eltern
206,Vater::N,да,Vater
207,Mutter::N,нана,Mutter
208,Sohn::N,кӏант,Sohn
209,Tochter::N,йоӏ,Tochter
210,Bruder::N,ваша,Bruder
211,Schwester::N,йиша,Schwester
212,Onkel::N,деваша,Onkel
213,Tante::N,дейиша,Tante
214,Ehemann::N,майра,Ehemann
215,Ehefrau::N,зуда,Ehefrau
216,Freude::N,самукъа,Freude
217,Freude::N,хазахетар,Freude
218,Gelächter::N,белам,Gelächter
219,Glück::N,ирс,Glück
220,Kummer::N,бала,Kummer
221,Wunsch::N,лаам,Wunsch
222,Lust::N,лаам,Lust
223,Geist::N,са,Geist
224,Gedanke::N,ойла,Gedanke
225,Gedächtnis::N,диццадалар,Gedächtnis
226,Verstand::N,хьекъал,Verstand
227,Sinn::N,маьӏна,Sinn
228,Grund::N,бахьана,Grund
229,Wahrheit::N,бакъдерг,Wahrheit
230,Gespräch::N,къамел,Gespräch
231,Märchen::N,туьйра,Märchen
232,Erzählung::N,дийцар,Erzählung
233,Nachricht::N,хаам,Nachricht
234,Neuigkeit::N,керланиг,Neuigkeit
235,Name::N,цӏе,Name
236,Rätsel::N,хӏетал-метал,Rätsel
237,Rede::N,къамел,Rede
238,Sprache::N,мотт,Sprache
239,Stimme::N,aз,Stimme
