,Concept_ID,cs,kv
0,Auge::N,oko,син
1,Ohr::N,ucho,пель
2,Nase::N,nos,ныр
3,Mund::N,pusa,ӧм
4,Zahn::N,zub,пинь
5,Zunge::N,jazyk,кыв
6,Lippe::N,ret,тырп
7,Wange::N,tvář,рожабан
8,Gesicht::N,obličej,бан
9,Stirn::N,čelo,кымӧс
10,Haar::N,vlas,юрси
11,Haar::N,vlasy,юрси
12,Schnurrbart::N,kníry,уссэз
13,Bart::N,vousy,тош
14,Kinn::N,brada,тшӧка
15,Kiefer[Anatomie]::N,čelist,ан
16,Kehle::N,hrdlo,юан
17,Hals::N,krk,юан
18,Genick::N,týl,юр бӧр
19,Kopf::N,hlava,юр
20,Rücken::N,záda,мышк
21,Rücken::N,hřbet,мышк
22,Bauch::N,břicho,кынӧм
23,Nabel::N,pupek,гӧг
24,Busen::N,ňadra,морос
25,Brust::N,prsa,морос
26,Schulter::N,plece,пельпон
27,Schulter::N,rameno,пельпон
28,Arm::N,ruka,ки
29,Ellenbogen::N,loket,гырдзза
30,Hand::N,ruka,кикар
31,Handfläche::N,dlaň,ки пыдӧс
32,Finger::N,prst,чунь
33,Fingernagel::N,nehet,гыж
34,Nagel[Anatomie]::N,nehet,гыж
35,Zeh::N,prst u nohy,чунь
36,Fuß::N,noha,кокпыдӧс
37,Ferse::N,pata,кокдзир
38,Knie::N,koleno,пидзӧс
39,Oberschenkel::N,stehno,лядьбей
40,Bein::N,noha,кок
41,Körper::N,tělo,вывтыр
42,Haut::N,kůže,кучик
43,Blut::N,krev,вир
44,Ader::N,céva,сӧн
45,Sehne::N,šlacha,жила
46,Knochen::N,kost,коска
47,Gehirn::N,mozek,вем
48,Herz::N,srdce,сьӧлӧм
49,Magen::N,žaludek,жӧвдӧк
50,Leber::N,játra,мус
51,Atem::N,dech,лолалӧм
52,Hunger::N,hlad,тшыг
53,Träne::N,slza,синва
54,Geschmack::N,vkus,кӧр
55,Geruch::N,vůně,дук
56,Geruch::N,zápach,дук
57,Schlaf::N,spánek,он
58,Traum::N,sen,вӧт
59,Himmel::N,nebe,небо
60,Sonne::N,slunce,шондi
61,Mond::N,měsíc,тӧлiсь
62,Stern::N,hvězda,кӧдзыв
63,Luft::N,vzduch,ру
64,Wind::N,vítr,тӧв
65,Welle::N,vlna,гы
66,Wasser::N,voda,ва
67,Stein::N,kámen,из
68,Boden::N,půda,му
69,Erde::N,země,му
70,Staub::N,prach,бус
71,Rauch::N,dým,тшын
72,Rauch::N,kouř,тшын
73,Funke::N,jiskra,бичир
74,Feuer::N,oheň,би
75,Licht::N,světlo,би
76,Schatten::N,stín,вуджӧр
77,Wetter::N,počasí,погоддя
78,Nebel::N,mlha,туман
79,Wolke::N,mrak,кымӧр
80,Wolke::N,oblak,кымӧр
81,Regen::N,déšť,зэр
82,Schnee::N,sníh,лым
83,Eis::N,led,йы
84,Frost::N,mráz,мороз
85,Kälte::N,chlad,кӧдзыт
86,Hitze::N,horko,ӧд
87,Raureif::N,jinovatka,кижа
88,Regenbogen::N,duha,енӧшка
89,Donner::N,hrom,гым
90,Strömung::N,proudění,визывтӧм
91,Tropfen::N,kapka,тёп
92,Schaum::N,pěna,быг
