,Concept_ID,cv,fa
0,Auge::N,куҫ,چشم
1,Ohr::N,хӑлха,گوش
2,Nase::N,сӑмса,بینی
3,Mund::N,ҫӑвар,دهان
4,Zahn::N,шӑл,دندان
5,Zunge::N,чӗлхе,زبان
6,Lippe::N,тута,لب
7,Wange::N,пит ҫӑмарти,لپ
8,Gesicht::N,пит,رو
9,Gesicht::N,пит,چهره
10,Gesicht::N,пит-куҫ,رو
11,Gesicht::N,пит-куҫ,چهره
12,Stirn::N,ҫамка,پیشانی
13,Haar::N,ҫӳҫ,مو
14,Schnurrbart::N,усси,سبیل
15,Bart::N,сухал,ریش
16,Kinn::N,янах,چانه
17,Kiefer[Anatomie]::N,янах,فک
18,Kiefer[Anatomie]::N,янах,آرواره
19,Kehle::N,пыр,حلق
20,Kehle::N,карланкӑ,حلق
21,Hals::N,пыр,گردن
22,Genick::N,ӗнсе,پشت گردن
23,Kopf::N,пуҫ,سر
24,Kopf::N,пуҫ,کله
25,Rücken::N,ҫурӑм,پشت
26,Nabel::N,кӑвапа,ناف
27,Busen::N,кӑкӑр,پستان
28,Brust::N,умӗ,سینه
29,Schulter::N,хул пуҫҫи,دوش
30,Schulter::N,хул пуҫҫи,شانه
31,Arm::N,алӑ,بازو
32,Ellenbogen::N,чавса,آرنج
33,Hand::N,алӑ сыппи,دست
34,Handfläche::N,ал лаппи,کف دست
35,Finger::N,пӳрне,انگشت
36,Fingernagel::N,чӗрне,ناخن دست
37,Nagel[Anatomie]::N,чӗрне,ناخن
38,Zeh::N,пӳрне,انگشت پا
39,Fuß::N,ура лаппи,پا
40,Ferse::N,кӗле,پاشنه
41,Knie::N,чӗркуҫҫи,زانو
42,Oberschenkel::N,пӗҫӗ,ران
43,Bein::N,ура,پا
44,Bein::N,ура,لنگ
45,Körper::N,ӳт,تن
46,Körper::N,ӳт,بدن
47,Körper::N,ӳт-пӳ,تن
48,Körper::N,ӳт-пӳ,بدن
49,Haut::N,тир,پوست
50,Blut::N,юн,خون
51,Ader::N,вена,رگ
52,Sehne::N,шӑнӑр,زردپی
53,Knochen::N,шӑмӑ,استخوان
54,Gehirn::N,миме,مخ
55,Gehirn::N,миме,مغز
56,Herz::N,чӗре,دل
57,Herz::N,чӗре,قلب
58,Magen::N,хырӑмлӑх,معده
