,Concept_ID,cv,te
0,Auge::N,куҫ,కన్ను
1,Ohr::N,хӑлха,చెవి
2,Nase::N,сӑмса,ముక్కు
3,Mund::N,ҫӑвар,నోరు
4,Zahn::N,шӑл,పల్లు
5,Zunge::N,чӗлхе,నాలుక
6,Lippe::N,тута,పెదవి
7,Wange::N,пит ҫӑмарти,చెంప
8,Gesicht::N,пит,ముఖము
9,Gesicht::N,пит-куҫ,ముఖము
10,Stirn::N,ҫамка,నుదురు
11,Haar::N,ҫӳҫ,వెండ్రుక
12,Schnurrbart::N,усси,మీసము
13,Bart::N,сухал,గడ్డము
14,Kinn::N,янах,గడ్డము
15,Kiefer[Anatomie]::N,янах,దౌడ
16,Kehle::N,пыр,గొంతు
17,Kehle::N,карланкӑ,గొంతు
18,Hals::N,пыр,మెడ
19,Genick::N,ӗнсе,మూపు
20,Kopf::N,пуҫ,తల
21,Rücken::N,ҫурӑм,వెన్ను
22,Nabel::N,кӑвапа,బొడ్డు
23,Busen::N,кӑкӑр,స్తనము
24,Brust::N,умӗ,ఱొమ్ము
25,Schulter::N,хул пуҫҫи,భుజము
26,Arm::N,алӑ,చేయి
27,Ellenbogen::N,чавса,మోచేయి
28,Hand::N,алӑ сыппи,చేయి
29,Handfläche::N,ал лаппи,అరచేయు
30,Finger::N,пӳрне,చేతిప్రేలు
31,Fingernagel::N,чӗрне,గోరు
32,Nagel[Anatomie]::N,чӗрне,గోరు
33,Zeh::N,пӳрне,కాలిప్రేలు
34,Fuß::N,ура лаппи,అడుగు
35,Ferse::N,кӗле,మడమ
36,Knie::N,чӗркуҫҫи,మోకాలు
37,Oberschenkel::N,пӗҫӗ,తొడ
38,Bein::N,ура,కాలు
39,Körper::N,ӳт,కాయము
40,Körper::N,ӳт-пӳ,కాయము
41,Haut::N,тир,చర్మము
42,Blut::N,юн,రక్తము
43,Ader::N,вена,సిర
44,Sehne::N,шӑнӑр,స్నాయువు
45,Knochen::N,шӑмӑ,ఎముక
46,Gehirn::N,миме,మెదడు
47,Herz::N,чӗре,హృదయము
48,Magen::N,хырӑмлӑх,కడుపు
49,Leber::N,пӗвер,కాలేయము
50,Atem::N,сывлав,ఉపిరి
51,Hunger::N,выҫлӑх,ఆకలి
52,Träne::N,куҫҫуль,కన్నీటిచుక్క
53,Geschmack::N,техӗм,రుచి
54,Geruch::N,шӑршӑ,వాసన
55,Schlaf::N,ыйхӑ,నిద్ర
56,Traum::N,тӗлӗк,కల
57,Himmel::N,пӗлӗт,ఆకాశము
58,Sonne::N,хӗвел,సూర్యుడు
59,Mond::N,уйӑх,చంద్రుడు
60,Stern::N,ҫӑлтӑр,నక్షత్రము
61,Luft::N,сывлӑш,గాలి
62,Wind::N,ҫил,వీచుచున్నగాలి
63,Welle::N,хум,అల
