,Concept_ID,cy,sk
0,Auge::N,llygad,oko
1,Ohr::N,clust,ucho
2,Nase::N,trwyn,nos
3,Mund::N,ceg,ústa
4,Zahn::N,dant,zub
5,Zunge::N,tafod,jazyk
6,Lippe::N,gwefus,pera
7,Wange::N,boch,líce
8,Gesicht::N,wyneb,tvár
9,Gesicht::N,wyneb,obličaj
10,Stirn::N,talcen,čelo
11,Haar::N,blew,vlas
12,Schnurrbart::N,mwstas,fúzy
13,Bart::N,barf,brada
14,Kinn::N,gên,brada
15,Kiefer[Anatomie]::N,gên,čeľusť
16,Kehle::N,gwddf,hrdlo
17,Hals::N,gwddf,krk
18,Genick::N,gwar,väzy
19,Genick::N,gwegil,väzy
20,Kopf::N,pen,hlava
21,Rücken::N,cefn,chrbát
22,Bauch::N,bol,brucho
23,Nabel::N,bogail,pupok
24,Busen::N,bron,prsia
25,Brust::N,brest,hruď
26,Schulter::N,ysgwydd,plece
27,Arm::N,braich,rameno
28,Ellenbogen::N,penelin,lakeť
29,Hand::N,llaw,ruka
30,Handfläche::N,palf,dlaň
31,Finger::N,bys,prst
32,Fingernagel::N,ewin,necht
33,Nagel[Anatomie]::N,ewin,necht
34,Zeh::N,bys troed,prst na nohe
35,Fuß::N,troed,noha
36,Ferse::N,sawdl,päta
37,Knie::N,glin,koleno
38,Oberschenkel::N,clun,stehno
39,Bein::N,coes,noha
40,Körper::N,corff,telo
41,Haut::N,croen,koža
42,Blut::N,gwaed,krv
43,Ader::N,gwythïen,žila
44,Sehne::N,gewyn,šľacha
45,Knochen::N,asgwrn,kosť
46,Gehirn::N,ymennydd,mozog
47,Herz::N,calon,srdce
48,Magen::N,cylla,žalúdok
49,Magen::N,stumog,žalúdok
50,Leber::N,iau,pečeň
51,Atem::N,anadl,dych
52,Hunger::N,newyn,hlad
53,Träne::N,deigryn,slza
54,Geschmack::N,cyflas,chuť
55,Geruch::N,aroglau,pach
56,Schlaf::N,cwsg,spánok
57,Traum::N,breuddwyd,sen
58,Himmel::N,awyr,nebo
59,Sonne::N,haul,slnko
