,Concept_ID,cy,sq
0,Auge::N,llygad,sy
1,Ohr::N,clust,vesh
2,Nase::N,trwyn,hundë
3,Mund::N,ceg,gojë
4,Zahn::N,dant,dhëmb
5,Zunge::N,tafod,gjuhë
6,Lippe::N,gwefus,buzë
7,Wange::N,boch,faqe
8,Wange::N,boch,mollëz
9,Gesicht::N,wyneb,fytyrë
10,Stirn::N,talcen,ballë
11,Haar::N,blew,flokë
12,Schnurrbart::N,mwstas,mustaqe
13,Bart::N,barf,mjekër
14,Kinn::N,gên,mjekër
15,Kiefer[Anatomie]::N,gên,nofull
16,Kehle::N,gwddf,fyt
17,Kehle::N,gwddf,grykë
18,Hals::N,gwddf,qafë
19,Genick::N,gwar,arrëz
20,Genick::N,gwegil,arrëz
21,Kopf::N,pen,kokë
22,Rücken::N,cefn,kurriz
23,Bauch::N,bol,bark
24,Nabel::N,bogail,kërthizë
25,Busen::N,bron,gji
26,Brust::N,brest,gjoks
27,Brust::N,brest,kraharor
28,Schulter::N,ysgwydd,sup
29,Schulter::N,ysgwydd,krah
30,Arm::N,braich,krah
31,Ellenbogen::N,penelin,bërryl
32,Hand::N,llaw,dorë
33,Handfläche::N,palf,pëllëmbë
34,Finger::N,bys,gisht
35,Fingernagel::N,ewin,thua
36,Nagel[Anatomie]::N,ewin,thua
37,Zeh::N,bys troed,gisht i këmbës
38,Fuß::N,troed,këmbë
39,Ferse::N,sawdl,thembër
40,Knie::N,glin,gju
41,Oberschenkel::N,clun,kofshë
42,Bein::N,coes,këmbë
43,Körper::N,corff,trup
44,Haut::N,croen,lëkurë
45,Blut::N,gwaed,gjak
46,Ader::N,gwythïen,venë
47,Sehne::N,gewyn,dell
48,Knochen::N,asgwrn,asht
49,Knochen::N,asgwrn,kockë
50,Gehirn::N,ymennydd,tru
51,Herz::N,calon,zemër
52,Magen::N,cylla,stomak
53,Magen::N,stumog,stomak
54,Leber::N,iau,mëlçi
55,Atem::N,anadl,frymë
56,Hunger::N,newyn,uri
57,Träne::N,deigryn,lot
58,Geschmack::N,cyflas,shije
59,Geruch::N,aroglau,erë
60,Schlaf::N,cwsg,gjumë
61,Traum::N,breuddwyd,ëndërr
62,Himmel::N,awyr,qiell
63,Sonne::N,haul,diell
64,Mond::N,lleuad,hënë
65,Stern::N,seren,yll
66,Luft::N,awyr,ajër
67,Wind::N,gwynt,erë
68,Welle::N,ton,valë
69,Welle::N,ton,dallgë
70,Wasser::N,dŵr,ujë
71,Stein::N,carreg,gur
72,Boden::N,llawr,tokë
73,Boden::N,llawr,truall
74,Erde::N,pridd,dhe
75,Erde::N,pridd,baltë
76,Staub::N,llwch,pluhur
77,Rauch::N,mwg,tym
78,Funke::N,gwreichioni,xixë
79,Funke::N,gwreichioni,shkëndijë
80,Feuer::N,tân,zjarr
81,Licht::N,golau,dritë
82,Schatten::N,cysgod,hije
83,Wetter::N,tywydd,mot
84,Nebel::N,niwl,mjegull
85,Wolke::N,cwmwl,re
86,Regen::N,glaw,shi
87,Schnee::N,ôd,borë
88,Schnee::N,eira,borë
89,Eis::N,iâ,akull
90,Frost::N,rhew,ngricë
91,Kälte::N,oerni,të ftohtë
92,Kälte::N,annwyd,të ftohtë
93,Hitze::N,gwres,vapë
94,Hitze::N,gwres,nxehtësi
95,Raureif::N,barrug,cikmë
96,Regenbogen::N,enfys,ylber
97,Donner::N,tyrfau,gjëmim
98,Donner::N,tyrfau,bubullimë
99,Strömung::N,cerrynt,rrymë
100,Tropfen::N,dafn,pikë
101,Tropfen::N,diferyn,pikë
102,Schaum::N,ewyn,shkumë
103,Schmutz::N,baw,baltë
104,Schmutz::N,budreddi,baltë
105,See::N,llyn,liqen
106,Sumpf::N,cors,batak
107,Moor::N,rhos,kënetë
108,Wiese::N,dôl,livadh
109,Wald::N,coedwig,pyll
110,Hügel::N,bryn,kodër
111,Anhöhe::N,bryn,bregore
112,Berg::N,mynydd,mal
113,Gipfel::N,copa,kulm
114,Höhle::N,ogof,shpellë
115,Höhle::N,ogof,zgafelle
116,Abhang::N,llethr,shpat
117,Abhang::N,llethr,tatëpjetë
118,Quelle::N,tarddiad,krua
119,Quelle::N,tarddiad,burim
120,Quelle::N,ffynhonnell,krua
121,Quelle::N,ffynhonnell,burim
122,Bach::N,nant,virua
123,Bach::N,afonig,virua
124,Bach::N,cornant,virua
125,Fluss::N,afon,lumë
126,Ufer::N,glan,breg
127,Küste::N,traeth,anëdet
128,Küste::N,traeth,bregdet
129,Küste::N,arfordir,anëdet
130,Küste::N,arfordir,bregdet
131,Festland::N,tir,kontinent
132,Meer::N,môr,det
133,Bucht::N,bae,gji deti
134,Insel::N,ynys,ishull
135,Insel::N,ynys,ujdhesë
136,Blume::N,blodyn,lule
137,Gras::N,glaswellt,bar
138,Wurzel::N,gwreiddyn,rrënjë
139,Baum::N,coeden,pemë
140,Stamm::N,colfen,trung
141,Stamm::N,boncyff,trung
142,Rinde::N,rhisgl,lëvore
143,Ast::N,cangen,degë
144,Zweig::N,cainc,bisk
145,Zweig::N,cangen,bisk
146,Blatt::N,deilen,fletë
147,Blatt::N,deilen,gjethe
148,Birke::N,bedwen,mështekën
149,Kiefer[Baum]::N,pinwydden,pishë
150,Weide[Baum]::N,helygen,shelg
151,Tanne::N,ffynidwydden,bredh
152,Horn::N,corn,bri
153,Feder::N,plufyn,pupël
154,Fell::N,ffwr,lëkurë
155,Flügel::N,adain,krah
156,Flügel::N,adain,fletë
157,Klaue::N,crafanc,kthetër
158,Kralle::N,ewin,thua
159,Kralle::N,ewin,kthetër
160,Schwanz::N,cwt,bisht
161,Schwanz::N,cynffon,bisht
162,Ei::N,wy,vezë
163,Nest::N,nyth,fole
164,Bau::N,ffau,strofkë
165,Tier::N,anifail,kafshë
166,Herde::N,praidd,kope
167,Herde::N,praidd,grigjë
168,Herde::N,diadell,kope
169,Herde::N,diadell,grigjë
170,Kuh::N,buwch,lopë
171,Bulle::N,tarw,dem
172,Pferd::N,ceffyl,kalë
173,Schaf::N,dafad,dele
174,Schwein::N,mochyn,derr
175,Hund::N,ci,qen
176,Katze::N,cath,mace
177,Bär::N,arth,ari
178,Eichhörnchen::N,gwiwer,ketër
179,Elch::N,elc,dre brilopatë
180,Fuchs::N,cadno,dhelpër
181,Hase::N,ysgyfarnog,lepur
182,Maus::N,llygoden,mi
183,Wolf::N,blaidd,ujk
184,Vogel::N,aderyn,zog
185,Vogel::N,aderyn,shpend
186,Schwarm::N,haid,luzmë
187,Huhn::N,cyw,pulë
188,Hahn::N,ceiliog,gjel
189,Hahn::N,ceiliog,këndes
190,Gans::N,gŵydd,patë
191,Adler::N,eryr,shqiponjë
192,Ente::N,hwyad,rosë
193,Eule::N,tylluan,buf
194,Kranich::N,garan,lejlek
195,Kranich::N,garan,kurrillë
196,Kranich::N,crychydd,lejlek
197,Kranich::N,crychydd,kurrillë
198,Krähe::N,brân,sorrë
199,Kuckuck::N,cog,qyqe
200,Kuckuck::N,cwcw,qyqe
201,Schwan::N,alarch,mjellmë
202,Fisch::N,pysgod,peshk
203,Barsch::N,draenog,purtekë
204,Hecht::N,penhwyad,mlysh
205,Schlange[Tier]::N,neidr,gjarpër
206,Wurm::N,abwydyn,krimb
207,Wurm::N,pryf genwair,krimb
208,Spinne::N,cor,marimangë
209,Spinne::N,pryf copyn,marimangë
210,Ameise::N,morgrugyn,thnegël
211,Ameise::N,morgrugyn,milingonë
212,Laus::N,lleuen,morr
213,Mücke::N,gwybedyn,kunup
214,Mücke::N,gwybedyn,mushkonjë
215,Fliege::N,cleren,mizë
216,Schmetterling::N,glöyn byw,flutur
217,Schmetterling::N,iâr fach yr haf,flutur
218,Beere::N,aeronen,frutë
219,Beere::N,aeronen,manaferrë
220,Apfel::N,afal,mollë
221,Pilz::N,madarch,kërpudhë
222,Zwiebel::N,nionyn,qepë
223,Zwiebel::N,winwnsyn,qepë
224,Saat::N,had,farë
225,Korn::N,grawn,grurë
226,Korn::N,grawn,kokërr
227,Heu::N,gwair,sanë
228,Schale::N,croen,lëkurë
229,Schale::N,plisgyn,lëkurë
230,Grube::N,pwll,gropë
231,Grube::N,pydew,gropë
232,Falle::N,magl,kurth
233,Falle::N,magl,grackë
234,Schlinge::N,cwlwm rhedeg,nyjë
235,Spur::N,ôl,gjurmë
236,Asche::N,lludw,hi
237,Dreck::N,baw,baltë
238,Dreck::N,budreddi,baltë
239,Eisen::N,haearn,hekur
240,Gold::N,aur,ar
241,Gold::N,aur,flori
242,Silber::N,arian,argjend
243,Kohle::N,glo,qymyr
244,Glas::N,gwydr,qelq
245,Lehm::N,clai,argjilë
246,Sand::N,tywod,rërë
247,Mensch::N,dyn,njeri
248,Mann::N,dyn,burrë
249,Mann::N,dyn,mashkull
250,Frau::N,merch,grua
251,Frau::N,merch,femër
252,Frau::N,gwraig,grua
253,Frau::N,gwraig,femër
254,Kind::N,plentyn,kalama
255,Junge::N,hogyn,djalë
256,Junge::N,bachgen,djalë
257,Mädchen::N,merch,gocë
258,Mädchen::N,merch,vajzë
259,Mädchen::N,geneth,gocë
260,Mädchen::N,geneth,vajzë
261,Familie::N,teulu,familje
262,Familie::N,tylwyth,familje
263,Großvater::N,taid,gjysh
