,Concept_ID,cy,xal
0,Auge::N,llygad,нүдн
1,Ohr::N,clust,чикн
2,Nase::N,trwyn,хамр
3,Mund::N,ceg,амн
4,Zahn::N,dant,шүдн
5,Zunge::N,tafod,келн
6,Lippe::N,gwefus,урл
7,Wange::N,boch,халх
8,Gesicht::N,wyneb,нүр
9,Stirn::N,talcen,маңна
10,Haar::N,blew,үсн
11,Schnurrbart::N,mwstas,сахл
12,Bart::N,barf,сахл
13,Bart::N,barf,өргнә сахл
14,Kinn::N,gên,өргн
15,Kiefer[Anatomie]::N,gên,өргн
16,Kehle::N,gwddf,хол
17,Hals::N,gwddf,күзүн
18,Genick::N,gwar,гиҗг
19,Genick::N,gwegil,гиҗг
20,Kopf::N,pen,толһа
21,Rücken::N,cefn,нурһн
22,Bauch::N,bol,гесн
23,Nabel::N,bogail,киисн
24,Busen::N,bron,көкн
25,Brust::N,brest,чееҗ
26,Schulter::N,ysgwydd,ээм
27,Arm::N,braich,һар
28,Ellenbogen::N,penelin,тоха
29,Hand::N,llaw,баһлцг
30,Handfläche::N,palf,альхн
31,Finger::N,bys,хурһн
32,Finger::N,bys,һарин хурһн
33,Fingernagel::N,ewin,хумсн
34,Nagel[Anatomie]::N,ewin,хумсн
35,Zeh::N,bys troed,хурһн
36,Zeh::N,bys troed,көлин хурһн
37,Fuß::N,troed,тавг
38,Ferse::N,sawdl,өскә
39,Knie::N,glin,өвдг
40,Oberschenkel::N,clun,һуй
41,Bein::N,coes,көл
42,Körper::N,corff,махмуд
43,Haut::N,croen,арсн
44,Blut::N,gwaed,цусн
45,Ader::N,gwythïen,судцн
46,Sehne::N,gewyn,шүрүсн
47,Knochen::N,asgwrn,ясн
48,Gehirn::N,ymennydd,экн
49,Herz::N,calon,зүркн
50,Magen::N,cylla,гесн
51,Magen::N,stumog,гесн
52,Leber::N,iau,элкн
53,Atem::N,anadl,әмсхл
54,Hunger::N,newyn,харһнлһн
55,Träne::N,deigryn,нульмсн
56,Geschmack::N,cyflas,амтн
57,Geruch::N,aroglau,үнр
58,Schlaf::N,cwsg,нөр
59,Traum::N,breuddwyd,зүүдн
60,Himmel::N,awyr,теңгр
61,Sonne::N,haul,нарн
62,Mond::N,lleuad,сар
63,Stern::N,seren,одн
64,Luft::N,awyr,аһар
65,Wind::N,gwynt,салькн
66,Welle::N,ton,дольган
67,Wasser::N,dŵr,усн
68,Stein::N,carreg,чолун
69,Boden::N,llawr,Һазр
70,Erde::N,pridd,Һазр
71,Staub::N,llwch,тоосн
72,Rauch::N,mwg,утан
73,Funke::N,gwreichioni,очн
74,Feuer::N,tân,һал
75,Licht::N,golau,герл
76,Schatten::N,cysgod,сүүдр
77,Wetter::N,tywydd,теңгр
78,Nebel::N,niwl,будн
79,Wolke::N,cwmwl,үүлн
80,Regen::N,glaw,хур
81,Schnee::N,ôd,цасн
82,Schnee::N,eira,цасн
83,Eis::N,iâ,мөсн
84,Frost::N,rhew,киитн
85,Kälte::N,oerni,киитн
86,Kälte::N,annwyd,киитн
87,Hitze::N,gwres,халун
88,Raureif::N,barrug,цаң
89,Raureif::N,barrug,кирү
90,Regenbogen::N,enfys,солңһ
91,Donner::N,tyrfau,оһтрһун дун
92,Strömung::N,cerrynt,урсхл
93,Tropfen::N,dafn,дусал
94,Tropfen::N,diferyn,дусал
95,Schaum::N,ewyn,көөсн
96,Schmutz::N,baw,кир
97,Schmutz::N,budreddi,кир
98,See::N,llyn,нур
99,Sumpf::N,cors,унул
100,Moor::N,rhos,улм
101,Wiese::N,dôl,хадлһн
102,Wald::N,coedwig,ө-модн
103,Hügel::N,bryn,толһа
104,Anhöhe::N,bryn,хамр
105,Berg::N,mynydd,уул
106,Gipfel::N,copa,ора
107,Höhle::N,ogof,хадин көндә
108,Abhang::N,llethr,ташу
109,Quelle::N,tarddiad,булг
110,Quelle::N,ffynhonnell,булг
111,Bach::N,nant,һооҗур
112,Bach::N,afonig,һооҗур
113,Bach::N,cornant,һооҗур
114,Fluss::N,afon,һол
115,Ufer::N,glan,көвә
116,Küste::N,traeth,көвә
117,Küste::N,traeth,теңгсин көвә
118,Küste::N,arfordir,көвә
119,Küste::N,arfordir,теңгсин көвә
120,Festland::N,tir,хүүрә һазр
121,Meer::N,môr,теңгс
122,Bucht::N,bae,цекә
123,Bucht::N,bae,теңгсин цекә
124,Insel::N,ynys,арл
125,Blume::N,blodyn,цецг
126,Gras::N,glaswellt,ноһан
127,Wurzel::N,gwreiddyn,уңг
128,Baum::N,coeden,модн
129,Stamm::N,colfen,шилв
130,Stamm::N,colfen,һол модн
131,Stamm::N,boncyff,шилв
132,Stamm::N,boncyff,һол модн
133,Rinde::N,rhisgl,көрсн
134,Ast::N,cangen,ац
135,Zweig::N,cainc,ац
136,Zweig::N,cangen,ац
137,Blatt::N,deilen,хамтхасн
138,Birke::N,bedwen,хусм модн
139,Kiefer[Baum]::N,pinwydden,шар харһа
140,Weide[Baum]::N,helygen,удн
141,Tanne::N,ffynidwydden,җөөлн цаһан модн
142,Horn::N,corn,өвр
143,Feder::N,plufyn,өрвлг
144,Fell::N,ffwr,арсн
145,Flügel::N,adain,җивр
146,Klaue::N,crafanc,хумсн
147,Kralle::N,ewin,тавг
148,Schwanz::N,cwt,сүл
149,Schwanz::N,cynffon,сүл
150,Ei::N,wy,өндгн
151,Nest::N,nyth,үр
152,Bau::N,ffau,нүкн
153,Tier::N,anifail,мал
154,Herde::N,praidd,сүрг мал
155,Herde::N,diadell,сүрг мал
156,Kuh::N,buwch,үкр
157,Bulle::N,tarw,бух
158,Pferd::N,ceffyl,мөрн
159,Schaf::N,dafad,хөн
160,Schwein::N,mochyn,һаха
161,Hund::N,ci,ноха
162,Katze::N,cath,мис
163,Bär::N,arth,аю
164,Eichhörnchen::N,gwiwer,кермн
165,Elch::N,elc,хандһа
166,Fuchs::N,cadno,арат
167,Hase::N,ysgyfarnog,туула
168,Maus::N,llygoden,хулһн
169,Wolf::N,blaidd,чон
170,Vogel::N,aderyn,шовун
171,Schwarm::N,haid,зел
172,Huhn::N,cyw,така
173,Hahn::N,ceiliog,эр така
174,Gans::N,gŵydd,һалун
175,Adler::N,eryr,һәрд
176,Ente::N,hwyad,нуһсн
177,Eule::N,tylluan,һурвлһ
178,Kranich::N,garan,тоһрун
179,Kranich::N,crychydd,тоһрун
180,Krähe::N,brân,шаазһа
181,Kuckuck::N,cog,эргин хуцдг
182,Kuckuck::N,cwcw,эргин хуцдг
183,Schwan::N,alarch,хун
184,Fisch::N,pysgod,заһсн
185,Barsch::N,draenog,шүрг
186,Hecht::N,penhwyad,цурх
187,Schlange[Tier]::N,neidr,моһа
188,Wurm::N,abwydyn,өтн
189,Wurm::N,pryf genwair,өтн
190,Spinne::N,cor,аралҗн
191,Spinne::N,pryf copyn,аралҗн
192,Ameise::N,morgrugyn,шорһлҗн
193,Laus::N,lleuen,бөөсн
194,Mücke::N,gwybedyn,бөкүн
195,Fliege::N,cleren,батхн
196,Schmetterling::N,glöyn byw,эрвәкә
197,Schmetterling::N,iâr fach yr haf,эрвәкә
198,Beere::N,aeronen,бөөлҗрһн
199,Apfel::N,afal,альмн
200,Pilz::N,madarch,теңгрин ки
201,Zwiebel::N,nionyn,мәңгрснә толһа
202,Zwiebel::N,winwnsyn,мәңгрснә толһа
203,Saat::N,had,буудян экн
204,Korn::N,grawn,экн
205,Heu::N,gwair,өвсн
206,Schale::N,croen,хальсн
207,Schale::N,plisgyn,хальсн
208,Grube::N,pwll,нүкн
209,Grube::N,pydew,нүкн
210,Falle::N,magl,урх
211,Falle::N,magl,хавх
212,Schlinge::N,cwlwm rhedeg,бүтү
213,Spur::N,ôl,мөр
214,Asche::N,lludw,үмсн
215,Dreck::N,baw,бальчг
216,Dreck::N,budreddi,бальчг
217,Eisen::N,haearn,төмр
218,Gold::N,aur,алтн
219,Silber::N,arian,мөңгн
220,Silber::N,arian,цаһан мөңгн
221,Kohle::N,glo,нүүрсн
222,Glas::N,gwydr,шил
223,Lehm::N,clai,шавр
224,Sand::N,tywod,элсн
225,Mensch::N,dyn,күн
226,Mensch::N,dyn,күмн
227,Mann::N,dyn,эр
228,Frau::N,merch,күүкд күн
229,Frau::N,gwraig,күүкд күн
230,Kind::N,plentyn,үрн
231,Junge::N,hogyn,көвүн
232,Junge::N,bachgen,көвүн
233,Mädchen::N,merch,бичкн күүкн
234,Mädchen::N,geneth,бичкн күүкн
235,Familie::N,teulu,бүл
236,Familie::N,tylwyth,бүл
237,Großvater::N,taid,өвк эцк
238,Großvater::N,taid,наһц эцк
239,Großvater::N,tad-cu,өвк эцк
240,Großvater::N,tad-cu,наһц эцк
241,Großmutter::N,nain,эмг эк
242,Großmutter::N,nain,наһц эк
243,Großmutter::N,mam-gu,эмг эк
244,Großmutter::N,mam-gu,наһц эк
245,Eltern::N,rhieni,эк эцк хойр
246,Vater::N,tad,эцк
247,Mutter::N,mam,эк
248,Sohn::N,mab,көвүн
249,Tochter::N,merch,күүкн
250,Bruder::N,brawd,дү көвүн
251,Schwester::N,chwaer,эгч
252,Schwester::N,chwaer,дү күүкн
253,Onkel::N,ewythr,авһ
254,Onkel::N,ewythr,наһцх
255,Tante::N,modryb,наһц эгч
256,Ehemann::N,gŵr,залу
257,Ehefrau::N,gwraig,гергн
258,Freude::N,gorfoledd,байр
259,Gelächter::N,chwerthin,инәдн
260,Glück::N,hapusrwydd,җирһл
261,Glück::N,hapusrwydd,сәәхн җирһл
262,Kummer::N,galar,зовлң
263,Wunsch::N,dymuniad,дурн
264,Lust::N,chwant,җилвтлһн
265,Geist::N,ysbryd,зөрг
266,Gedanke::N,meddwl,ухан
267,Gedächtnis::N,cof,чееҗин тодлвр
268,Verstand::N,meddwl,ухан
269,Sinn::N,ystyr,учр-утх
270,Grund::N,achos,учр
271,Grund::N,achos,шалтан
272,Grund::N,rheswm,учр
273,Grund::N,rheswm,шалтан
274,Wahrheit::N,gwir,үнн
275,Wahrheit::N,gwirionedd,үнн
276,Gespräch::N,sgwrs,күүндвүр
277,Märchen::N,chwedl werin,тууль
278,Erzählung::N,stori,келвр
279,Nachricht::N,neges,медүллһн
280,Neuigkeit::N,newydd,зәңг
281,Name::N,enw,нерн
282,Rätsel::N,pos,тәәлвртә тууль
283,Rede::N,araith,келлһн
284,Sprache::N,iaith,келн
285,Stimme::N,llais,дун
286,Wort::N,gair,үг
287,Zeichen::N,arwydd,темдг
288,Ruf::N,galwad,дуудлһн
289,Lärm::N,trwst,шууган
290,Laut::N,sain,ә
291,Ton::N,tôn,дун
292,Lied::N,cân,дун
293,Ruhe::N,tawelwch,амулң
294,Leute::N,pobl,әмтн
295,Volk::N,pobl,улс
296,Arbeit::N,gwaith,көдлмш
297,Gast::N,gwestai,гиич
298,Geschenk::N,rhodd,белг
299,Geschenk::N,anrheg,белг
300,Spiel::N,chwarae,наадн
301,Gesellschaft::N,cwmni,олн
302,Hilfe::N,cymorth,нөкд
303,Freund::N,cyfaill,иньг
304,Kamerad::N,cydymaith,үр
305,Angelegenheit::N,pwnc,керг
306,Anzahl::N,cyfrif,то
307,Art::N,bath,зүүл
308,Stück::N,darn,хусг
309,Teil::N,rhan,хүв
310,Hälfte::N,hanner,өрәл
311,Kreis::N,cylch,төгрг
312,Kreuz::N,croes,кирс
313,Linie::N,llinell,зурасн
314,Strich::N,strôc,татасн
315,Strich::N,trawiad,татасн
316,Abstand::N,bwlch,зә
317,Abstand::N,pellter,зә
318,Entfernung::N,pellter,һазр
319,Gegend::N,cylch,һазр
320,Platz::N,lle,зә
321,Ort::N,lle,бәәрн
322,Seite::N,ochr,тал
323,Seite::N,ochr,хаҗу
324,Seite::N,ochr,хәврһ
325,Mitte::N,canol,дунд
326,Gegenstand::N,eitem,юмн
327,Sache::N,peth,юмн
328,Rand::N,cwr,зах
329,Rand::N,ymyl,зах
330,Kante::N,min,ирмәг
331,Kante::N,ymyl,ирмәг
332,Ecke::N,cornel,өнцг
333,Spitze::N,blaen,үзүр
334,Ende::N,pen,үзүр
335,Loch::N,twll,хаһрха
336,Winkel::N,congl,булң
337,Muster::N,patrwm,намч
338,Größe::N,maint,кемҗән
339,Größe::N,maintioli,кемҗән
340,Länge::N,hyd,ут
341,Höhe::N,uchder,өндр
342,Gewicht::N,pwysau,күнд
343,Gewicht::N,pwysau,чиңнүр
344,Menge::N,swm,ик
345,Menge::N,maint,ик
346,Haufen::N,pentwr,ова
347,Reihe::N,rhes,зерг
348,Reihe::N,rhes,зерглән
349,Boot::N,cwch,оңһц
350,Ruder::N,rhwyf,хәәв
351,Schlitten::N,sled,цан
352,Schlitten::N,car llusg,цан
353,Ski::N,sgi,лыҗ
354,Lagerfeuer::N,coelcerth,костёр
355,Last::N,llwyth,күнд
356,Gang::N,tro,йовлһн
357,Schritt::N,cam,ишкм
358,Norden::N,gogledd,ар үзг
359,Süden::N,de,өмн
360,Süden::N,de,өмн үзг
361,Westen::N,gorllewin,барун
362,Westen::N,gorllewin,барун үзг
363,Osten::N,dwyrain,зүн
364,Osten::N,dwyrain,зүн үзг
365,Holz::N,pren,модн
366,Brett::N,bwrdd,харһа
367,Brett::N,astell,харһа
368,Platte::N,llech,хавтха чолун
369,Stütze::N,ateg,тулг
370,Stütze::N,cynhalydd,тулг
371,Stange::N,polyn,уньн
372,Stock::N,ffon,модн
373,Stock::N,brigyn,модн
374,Stab::N,ffon,шуург
375,Rohr::N,pibell,турва
376,Haus::N,tŷ,гер
377,Heim::N,cartref,гер-бул
378,Ofen::N,stof,беш
379,Fußboden::N,llawr,девскр
380,Tisch::N,bwrdd,ширә
381,Stuhl::N,cadair,стул
382,Wiege::N,crud,өлгә
383,Wiege::N,crud,дүүҗң
384,Bett::N,gwely,орн
385,Bett::N,gwely,орндг
386,Regal::N,silff,таг
387,Regal::N,silff,тәвц
388,Kiste::N,bocs,яршг
389,Kiste::N,blwch,яршг
390,Fenster::N,ffenestr,терз
391,Tür::N,drws,үүдн
392,Tor::N,porth,үүдн
393,Tor::N,porth,өргн үүдн
394,Tor::N,porth,хашан үүдн
395,Zaun::N,ffens,хаша
396,Dach::N,to,деевр
397,Leiter::N,ysgol,шат
398,Leiter::N,ysgol,давшур
399,Besen::N,ysgub,сәвүр
400,Spaten::N,rhaw,күрз
401,Schaufel::N,rhaw,совг
402,Gabel::N,fforc,серә
403,Löffel::N,llwy,ухр
404,Messer::N,cyllell,утх
405,Nagel::N,hoel,хадасн
406,Netz::N,gwe,гөлм
407,Netz::N,rhwyd,гөлм
408,Haken::N,bach,дегә
409,Griff::N,carn,иш
410,Griff::N,carn,бәрүл
411,Schloss::N,clo,оньс
412,Bild::N,llun,зург
413,Bild::N,pictiwr,зург
414,Figur::N,ffigur,фигур
415,Puppe::N,dol,наадһа
416,Beutel::N,cwd,мишг
417,Bündel::N,bwndel,багла
418,Bündel::N,bwndel,боодһа
419,Bündel::N,coflaid,багла
420,Bündel::N,coflaid,боодһа
421,Tasche::N,cod,сумк
422,Eimer::N,bwced,суулһ
423,Eimer::N,cunnog,суулһ
424,Deckel::N,caead,бүркәсн
425,Geschirr::N,llestri,сав
426,Geschirr::N,llestri,сав-сарх
427,Sack::N,sach,мишг
428,Tasse::N,cwpan,ааһ
429,Topf::N,pot,кастрюль
430,Topf::N,crochan,кастрюль
431,Kessel::N,tegell,хәәсн
432,Essen::N,pryd o fwyd,зоогллһн
433,Nahrung::N,bwyd,теҗәл
434,Speise::N,saig,хот
435,Fleisch::N,cig,махн
436,Getreide::N,ŷd,хот болҗ эдлгддг цецгүдтә урһмл
437,Getreide::N,llafur,хот болҗ эдлгддг цецгүдтә урһмл
438,Brei::N,uwd,хаш
439,Brot::N,bara,өдмг
440,Scheibe::N,tafell,зүсм
441,Fett::N,saim,өөкн
442,Fett::N,braster,өөкн
443,Butter::N,ymenyn,тосн
444,Öl::N,olew,тосн
445,Salz::N,halen,давсн
446,Suppe::N,cawl,шөлн
447,Honig::N,mêl,бал
448,Milch::N,llaeth,үсн
449,Milch::N,llefrith,үсн
450,Tee::N,te,цә
451,Leder::N,lledr,арсн
452,Wolle::N,gwlân,утцн
453,Wolle::N,gwlân,эд
454,Stoff::N,lliain,эд
455,Stoff::N,brethyn,эд
456,Nadel::N,nodwydd,зүн
457,Faden::N,edau,утцн
458,Faden::N,edefyn,утцн
459,Knopf::N,botwm,товч
460,Knoten::N,cwlwm,зәңгдә
461,Farbe::N,paent,будг
462,Kleidung::N,dillad,хувцн
463,Kleidung::N,dillad,хувц-хунр
464,Kleidung::N,gwisgoedd,хувцн
465,Kleidung::N,gwisgoedd,хувц-хунр
466,Hemd::N,crys,киилг
467,Kragen::N,coler,зах
468,Ärmel::N,llawes,ханцн
469,Hose::N,trowsus,шалвур
470,Gürtel::N,gwregys,бүс
471,Mütze::N,cap,махла
472,Schuh::N,esgid,башмгуд
473,Stiefel::N,botasen,һосн
474,Ring::N,modrwy,билцг
475,Band::N,rhuban,лент
476,Kamm::N,crib,сам
477,Spiegel::N,drych,толь
478,Riemen::N,strap,бүс
479,Schnur::N,llinyn,деесн
480,Leine::N,tennyn,бурнтг
481,Leine::N,tennyn,нохан көтлвр
482,Decke::N,blanced,көнҗл
483,Decke::N,gwrthban,көнҗл
484,Kissen::N,clustog,дер
485,Kissen::N,gobennydd,дер
486,Tuch::N,sgarff,альчур
487,Handtuch::N,tywel,полотенц
488,Handtuch::N,tywel,һар-нүүрин альчур
489,Handtuch::N,lliain sychu,полотенц
490,Handtuch::N,lliain sychu,һар-нүүрин альчур
491,Kraft::N,grym,күчн
492,Stärke::N,nerth,чидл
493,Stärke::N,cryfder,чидл
494,Gesundheit::N,iechyd,эрүл-менд
495,Krankheit::N,afiechyd,өвчн
496,Krankheit::N,anhwylder,өвчн
497,Schmerz::N,poen,өвдлһн
498,Schmerz::N,gwayw,өвдлһн
499,Wunde::N,clwyf,шав
500,Fieber::N,twymyn,безг
501,Arznei::N,meddyginiaeth,эм
502,Brücke::N,pont,тагт
503,Brunnen::N,ffynnon,худг
504,Weide::N,porfa,малын идг
505,Pfad::N,llwybr,цувг
506,Weg::N,ffordd,хаалһ
507,Straße::N,heol,зам
508,Straße::N,ffordd,зам
509,Dorf::N,pentref,хотн
510,Stadt::N,tref,балһсн
511,Brief::N,llythyr,бичг
512,Buch::N,llyfr,дегтр
513,Buchstabe::N,llythyren,үзг
514,Zeitung::N,papur newydd,газет
515,Leben::N,bywyd,җирһл
516,Tod::N,marwolaeth,үкл
517,Tod::N,marwolaeth,өңгрлһн
518,Grab::N,bedd,оршалһна нүкн
519,Kirche::N,eglwys,чонҗ
520,Sünde::N,pechod,нүл
521,Sünde::N,pechod,килнц
522,Gott::N,duw,бурхн
523,Arbeiter::N,gweithiwr,көдлмшч
524,Chef::N,pennaeth,толһач
525,Meister::N,meistr,урн
526,Arzt::N,meddyg,эмч
527,Lehrer::N,athro,багш
528,Geld::N,pres,мөңгн
529,Geld::N,arian,мөңгн
530,Geschäft::N,busnes,көдлмш
531,Laden::N,siop,лавк
532,Preis::N,pris,үн
533,Ware::N,nwydd,эд-тавр
534,Nutzen::N,elw,олз
535,Nutzen::N,budd,олз
536,Reichtum::N,cyfoeth,зөөр
537,Welt::N,byd,орчлң
538,Welt::N,byd,делкә
539,Land::N,gwlad,орн-нутг
540,Staat::N,gwladwriaeth,государств
541,König::N,brenin,хан
