,Concept_ID,el,ta
0,Auge::N,μάτι,கண்
1,Auge::N,οφθαλμός,கண்
2,Ohr::N,αυτί,காது
3,Nase::N,μύτη,மூக்கு
4,Mund::N,στόμα,வாய்
5,Zahn::N,δόντι,பல்
6,Zunge::N,γλώσσα,நாக்கு
7,Lippe::N,χείλος,உதடு
8,Wange::N,παρειά,கன்னம்
9,Wange::N,μάγουλο,கன்னம்
10,Gesicht::N,πρόσωπο,முகம்
11,Stirn::N,μέτωπο,முன்னெற்றி
12,Haar::N,μαλλιά,முடி
13,Schnurrbart::N,μουστάκι,மீசை
14,Bart::N,γένια,தாடி
15,Kinn::N,πιγούνι,கீழதாடை
16,Kiefer[Anatomie]::N,σαγόνι,தாடை
17,Kehle::N,λαρύγγι,தொண்டை
18,Hals::N,λαιμός,கழுத்து
19,Genick::N,σβέρκος,கழுத்து
20,Kopf::N,κεφάλι,தலை
21,Rücken::N,ράχη,முதுகு
22,Bauch::N,κοιλιά,வயிறு
23,Nabel::N,αφαλός,தொப்புள்
24,Busen::N,στήθος,மார்பகம்
25,Brust::N,στήθος, மார்பு
26,Schulter::N,ώμος,தோள்பட்டை
27,Arm::N,χέρι,கரம்
28,Arm::N,μπράτςο,கரம்
29,Ellenbogen::N,αγκώνας,முழங்கை
30,Hand::N,χέρι,கை
31,Handfläche::N,παλάμη,உள்ளங்கை
32,Finger::N,δάχτυλο,விரல்
33,Fingernagel::N,νύχι,விரல் நகம்
34,Nagel[Anatomie]::N,νύχι,நகம்
35,Zeh::N,δάχτυλο του ποδιού,கால்விரல்
36,Fuß::N,πόδι,கால்
37,Ferse::N,φτέρνα,குதிகால்
38,Knie::N,γόνατο,முழங்கால்
39,Oberschenkel::N,μηρός,தொடை
40,Bein::N,πόδι,கால்
41,Körper::N,σώμα,உடல்
42,Körper::N,κορμί,உடல்
43,Haut::N,πετσί,சருமம்
44,Blut::N,αίμα,இரத்தம்
45,Ader::N,φλέβα,நாளம்
46,Sehne::N,νεύρο,தசைநார்
47,Sehne::N,τένοντας,தசைநார்
48,Knochen::N,οστό,எலுமபு
49,Knochen::N,κόκκαλο,எலுமபு
50,Gehirn::N,μυαλό,மூனை
51,Gehirn::N,εγκέφαλος,மூனை
52,Herz::N,καρδιά,இதயம
53,Magen::N,στομάχι,வயிறு
54,Leber::N,ήπαρ,கல்லீரல்
55,Leber::N,συκωτί,கல்லீரல்
56,Atem::N,αναπνοή,மூச்சு
57,Hunger::N,πείνα,பசி
58,Träne::N,δάκρυ,கண்ணீர்
59,Geschmack::N,γεύση,நறுமணம்
60,Geruch::N,οσμή,துர்நாற்றம்
61,Geruch::N,μυρωδία,துர்நாற்றம்
62,Schlaf::N,ύπνος,தூக்கம்
63,Traum::N,όνειρο,கனவு
64,Himmel::N,ουρανός,வானம்
65,Sonne::N,ήλιος,சூரியன்
66,Mond::N,σελήνη,சந்திரன்
67,Mond::N,φεγγάρι,சந்திரன்
68,Stern::N,άστρο,நட்சத்திரம்
69,Stern::N,αστέρι,நட்சத்திரம்
70,Luft::N,αέρας,காறறு
71,Wind::N,αέρας,காற்று
72,Wind::N,άνεμος,காற்று
73,Welle::N,κύμα,அலை
74,Wasser::N,νερό,நீர்
75,Stein::N,πέτρα,கல்
76,Boden::N,χώμα,தரை
77,Erde::N,γη,மண்
78,Staub::N,σκόνη,தூசி
79,Rauch::N,καπνός,புகை
80,Funke::N,σπίθα,தீப்பொறி
81,Funke::N,σπινθήρας,தீப்பொறி
82,Feuer::N,φωτιά,தீ
83,Licht::N,φως,வெளிச்சம்
84,Schatten::N,σκιά,நிழல்
85,Schatten::N,ίσκιος,நிழல்
86,Wetter::N,καιρός,வானிலை
87,Nebel::N,ομίχλη,பனிமூட்டம்
88,Wolke::N,σύννεφο,மேகம்
89,Regen::N,βροχή,மழை
90,Schnee::N,χιόνι,உறைபனி
91,Eis::N,πάγος,பனிக்கட்டி
92,Frost::N,παγωνία,உறைபனி
93,Kälte::N,κρύο,குளிர்ந்த
94,Kälte::N,ψύχος,குளிர்ந்த
95,Hitze::N,ζέστη,சூடு
96,Raureif::N,πάχνη,உறைபனி வெண்திரை
97,Regenbogen::N,ουράνιο τόξο,வானவில்
98,Donner::N,βροντή,இடி
99,Strömung::N,ρεύμα,நீரோட்டம்
100,Tropfen::N,στάλα,துளி
101,Schaum::N,αφρός,நுரை
102,Schmutz::N,βρωμιά,அழுக்கு
103,See::N,λίμνη,ஏரி
104,Sumpf::N,βάλτος,சதுப்பு நிலம்
105,Moor::N,έλος,முட்புதற்காடு
106,Wiese::N,λιβάδι,பசும் புல்தரை
107,Wald::N,δάσος,காடு
108,Hügel::N,λόφος,குன்று
109,Anhöhe::N,ύψωμα,பதுக்கை
110,Berg::N,όρος,மலை
111,Berg::N,βουνό,மலை
112,Gipfel::N,κορυφή,உச்சி மாநாடு
113,Höhle::N,σπηλιά,குகை
114,Abhang::N,πλαγιά,சரிவு
115,Quelle::N,πηγή,மூலம்
116,Quelle::N,βρύση,மூலம்
117,Bach::N,ρυάκι,ஓடை
118,Fluss::N,ποτάμι,ஆறு
