,Concept_ID,en,kv
0,Auge::N,eye,син
1,Ohr::N,ear,пель
2,Nase::N,nose,ныр
3,Mund::N,mouth,ӧм
4,Zahn::N,tooth,пинь
5,Zunge::N,tongue,кыв
6,Lippe::N,lip,тырп
7,Wange::N,cheek,рожабан
8,Gesicht::N,face,бан
9,Stirn::N,forehead,кымӧс
10,Haar::N,hair,юрси
11,Schnurrbart::N,moustache,уссэз
12,Bart::N,beard,тош
13,Kinn::N,chin,тшӧка
14,Kiefer[Anatomie]::N,jaw,ан
15,Kehle::N,throat,юан
16,Hals::N,neck,юан
17,Genick::N,nape,юр бӧр
18,Kopf::N,head,юр
19,Rücken::N,back,мышк
20,Rücken::N,spine,мышк
21,Bauch::N,belly,кынӧм
22,Nabel::N,navel,гӧг
23,Busen::N,bosom,морос
24,Brust::N,chest,морос
25,Brust::N,breast,морос
26,Schulter::N,shoulder,пельпон
27,Arm::N,arm,ки
28,Ellenbogen::N,elbow,гырдзза
29,Hand::N,hand,кикар
30,Handfläche::N,palm,ки пыдӧс
31,Finger::N,finger,чунь
32,Fingernagel::N,fingernail,гыж
33,Nagel[Anatomie]::N,nail,гыж
34,Zeh::N,toe,чунь
35,Fuß::N,foot,кокпыдӧс
36,Ferse::N,heel,кокдзир
37,Knie::N,knee,пидзӧс
38,Oberschenkel::N,thigh,лядьбей
39,Bein::N,leg,кок
40,Körper::N,body,вывтыр
41,Haut::N,skin,кучик
42,Blut::N,blood,вир
43,Ader::N,vein,сӧн
44,Sehne::N,sinew,жила
45,Knochen::N,bone,коска
46,Gehirn::N,brain,вем
47,Herz::N,heart,сьӧлӧм
48,Magen::N,stomach,жӧвдӧк
49,Leber::N,liver,мус
50,Atem::N,breath,лолалӧм
51,Hunger::N,hunger,тшыг
52,Träne::N,tear,синва
53,Geschmack::N,flavour,кӧр
54,Geschmack::N,flavor,кӧр
55,Geruch::N,odour,дук
56,Geruch::N,odor,дук
57,Schlaf::N,sleep,он
58,Traum::N,dream,вӧт
59,Himmel::N,sky,небо
60,Sonne::N,sun,шондi
61,Mond::N,moon,тӧлiсь
62,Stern::N,star,кӧдзыв
63,Luft::N,air,ру
64,Wind::N,wind,тӧв
65,Welle::N,wave,гы
66,Wasser::N,water,ва
67,Stein::N,stone,из
68,Boden::N,soil,му
69,Boden::N,ground,му
70,Erde::N,earth,му
71,Staub::N,dust,бус
72,Rauch::N,smoke,тшын
73,Funke::N,spark,бичир
74,Feuer::N,fire,би
75,Licht::N,light,би
76,Schatten::N,shadow,вуджӧр
77,Wetter::N,weather,погоддя
78,Nebel::N,fog,туман
79,Wolke::N,cloud,кымӧр
80,Regen::N,rain,зэр
81,Schnee::N,snow,лым
82,Eis::N,ice,йы
83,Frost::N,frost,мороз
84,Kälte::N,chill,кӧдзыт
85,Hitze::N,heat,ӧд
86,Raureif::N,hoarfrost,кижа
87,Regenbogen::N,rainbow,енӧшка
88,Donner::N,thunder,гым
89,Strömung::N,current,визывтӧм
90,Tropfen::N,drop,тёп
91,Schaum::N,foam,быг
92,Schmutz::N,dirt,нять
93,See::N,lake,ты
94,Sumpf::N,swamp,арай
95,Moor::N,moor,нюр
96,Wiese::N,meadow,видз
97,Wald::N,forest,вӧр
98,Hügel::N,hill,мыльк
99,Anhöhe::N,elevation,вывтас
100,Anhöhe::N,elevation,вылынін
101,Berg::N,mountain,керӧс
102,Gipfel::N,summit,йыв
103,Höhle::N,cave,нора
104,Abhang::N,slope,покат
105,Quelle::N,source,больган
106,Bach::N,brook,шор
107,Fluss::N,river,ю
108,Ufer::N,shore,берег
109,Küste::N,coast,берег
110,Festland::N,land,му
111,Meer::N,sea,море
112,Bucht::N,cove,курья
113,Insel::N,island,
114,Blume::N,flower,цветок
115,Gras::N,grass,турун
116,Wurzel::N,root,вуж
117,Baum::N,tree,пу
118,Stamm::N,trunk,мыр
119,Stamm::N,trunk,кер
120,Rinde::N,bark,кач
121,Ast::N,limb,ув
122,Zweig::N,branch,ув
123,Blatt::N,leaf,лист
124,Birke::N,birch,кыдз
125,Kiefer[Baum]::N,pine,пожум
126,Weide[Baum]::N,willow,бадь
127,Tanne::N,fir,кӧз
128,Horn::N,horn,сюр
129,Feder::N,feather,гӧн
130,Fell::N,fur,кучик
131,Flügel::N,wing,борд
132,Klaue::N,claw,гыж
133,Kralle::N,claw,кабыр
134,Schwanz::N,tail,бӧж
135,Ei::N,egg,кольть
136,Nest::N,nest,поз
137,Bau::N,lair,осьта
138,Bau::N,lair,нора
139,Tier::N,animal,зверь
140,Herde::N,flock,гурт
141,Kuh::N,cow,мӧс
142,Bulle::N,bull,ӧшка
143,Pferd::N,horse,вӧв
144,Schaf::N,sheep,баля
145,Schwein::N,pig,порсь
146,Hund::N,dog,пон
147,Katze::N,cat,кань
148,Bär::N,bear,ош
149,Eichhörnchen::N,squirrel,ур
150,Elch::N,elk,вӧр мӧс
151,Fuchs::N,fox,руч
152,Hase::N,hare,кӧч
153,Maus::N,mouse,шыр
154,Wolf::N,wolf,кӧин
155,Vogel::N,bird,кай
156,Schwarm::N,swarm,стая
157,Schwarm::N,swarm,чукӧр
158,Huhn::N,chicken,курӧг
159,Hahn::N,cock,петух
160,Hahn::N,cock,ай курӧг
161,Gans::N,goose,дзодзог
162,Adler::N,eagle,куч
163,Adler::N,eagle,кутш
164,Ente::N,duck,утка
165,Eule::N,owl,тупка
166,Kranich::N,crane,тури
167,Krähe::N,crow,рака
168,Kuckuck::N,cuckoo,кӧк
169,Schwan::N,swan,юсь
170,Fisch::N,fish,чери
171,Barsch::N,perch,ёкыш
172,Hecht::N,pike,сирпинь
173,Schlange[Tier]::N,snake,змей
174,Wurm::N,worm,номыр
175,Spinne::N,spider,черань
176,Ameise::N,ant,кӧдзывкар
177,Laus::N,louse,ляпа той
178,Mücke::N,midge,ном
179,Fliege::N,fly,гут
180,Schmetterling::N,butterfly,бабыв
181,Beere::N,berry,ягӧд
182,Apfel::N,apple,яблоко
183,Pilz::N,mushroom,тшак
184,Zwiebel::N,onion,грез
185,Saat::N,seed,кӧдзыс
186,Korn::N,grain,сю
187,Heu::N,hay,турун
188,Schale::N,husk,кыш
189,Schale::N,husk,киль
190,Grube::N,pit,яма
191,Falle::N,trap,нальк
