,Concept_ID,es,sk
0,Auge::N,ojo,oko
1,Ohr::N,oreja,ucho
2,Nase::N,nariz,nos
3,Mund::N,boca,ústa
4,Zahn::N,diente,zub
5,Zunge::N,lengua,jazyk
6,Lippe::N,labio,pera
7,Wange::N,mejilla,líce
8,Gesicht::N,cara,tvár
9,Gesicht::N,cara,obličaj
10,Stirn::N,frente,čelo
11,Haar::N,cabello,vlas
12,Schnurrbart::N,bigote,fúzy
13,Bart::N,barba,brada
14,Kinn::N,barbilla,brada
15,Kiefer[Anatomie]::N,mandíbula,čeľusť
16,Kehle::N,garganta,hrdlo
17,Hals::N,cuello,krk
18,Genick::N,nuca,väzy
19,Genick::N,cerviz,väzy
20,Kopf::N,cabeza,hlava
21,Rücken::N,espalda,chrbát
22,Bauch::N,vientre,brucho
23,Nabel::N,ombligo,pupok
24,Busen::N,pecho,prsia
25,Brust::N,pecho,hruď
26,Schulter::N,hombro,plece
27,Arm::N,brazo,rameno
28,Ellenbogen::N,codo,lakeť
29,Hand::N,mano,ruka
30,Handfläche::N,palma,dlaň
31,Finger::N,dedo,prst
32,Fingernagel::N,uña,necht
33,Nagel[Anatomie]::N,uña,necht
34,Zeh::N,dedo del pie,prst na nohe
35,Fuß::N,pie,noha
36,Ferse::N,talón,päta
37,Knie::N,rodilla,koleno
38,Oberschenkel::N,muslo,stehno
39,Bein::N,pierna,noha
40,Körper::N,cuerpo,telo
41,Haut::N,piel,koža
42,Blut::N,sangre,krv
43,Ader::N,vena,žila
44,Sehne::N,tendón,šľacha
45,Knochen::N,hueso,kosť
46,Gehirn::N,cerebro,mozog
47,Gehirn::N,encéfalo,mozog
48,Herz::N,corazón,srdce
49,Magen::N,estómago,žalúdok
50,Leber::N,hígado,pečeň
51,Atem::N,aliento,dych
52,Hunger::N,hambre,hlad
53,Träne::N,lágrima,slza
54,Geschmack::N,gusto,chuť
55,Geruch::N,olor,pach
56,Schlaf::N,sueño,spánok
57,Traum::N,sueño,sen
58,Traum::N,ensueño,sen
59,Himmel::N,cielo,nebo
60,Sonne::N,sol,slnko
61,Mond::N,luna,mesiac
62,Stern::N,estrella,hviezda
63,Luft::N,aire,vzduch
64,Wind::N,viento,vietor
65,Welle::N,ola,vlna
66,Welle::N,onda,vlna
67,Wasser::N,agua,voda
68,Stein::N,piedra,kameň
69,Boden::N,suelo,zem
70,Boden::N,suelo,pôda
71,Erde::N,tierra,zem
72,Staub::N,polvo,prach
73,Rauch::N,humo,dym
74,Funke::N,chispa,iskra
75,Feuer::N,fuego,oheň
76,Licht::N,luz,svetlo
77,Schatten::N,sombra,tieň
78,Wetter::N,tiempo,počasie
79,Nebel::N,niebla,hmla
80,Wolke::N,nube,oblak
81,Wolke::N,nube,mračno
82,Regen::N,lluvia,dážď
83,Schnee::N,nieve,sneh
84,Eis::N,hielo,ľad
85,Frost::N,helada,mráz
86,Kälte::N,frío,zima
87,Kälte::N,frío,chlad
88,Hitze::N,calor,horúčava
89,Raureif::N,escarcha,srieň
90,Raureif::N,escarcha,inovať
91,Regenbogen::N,arco iris,dúha
92,Donner::N,trueno,hrom
93,Strömung::N,corriente,prúdenie
94,Tropfen::N,gota,kvapka
95,Schaum::N,espuma,pena
96,Schmutz::N,suciedad,špina
97,Schmutz::N,suciedad,nečistota
98,See::N,lago,jazero
99,Sumpf::N,pantano,bahno
100,Moor::N,turbera,močiar
101,Wiese::N,prado,lúka
102,Wiese::N,pradera,lúka
103,Wald::N,bosque,les
104,Wald::N,bosque,hora
105,Hügel::N,colina,vŕšok
106,Anhöhe::N,cerro,výšina
107,Anhöhe::N,cerro,vyvýšenina
108,Berg::N,monte,hora
109,Berg::N,montaña,hora
