,Concept_ID,et,fi
0,Auge::N,silm,silmä
1,Ohr::N,kõrv,korva
2,Nase::N,nina,nenä
3,Mund::N,suu,suu
4,Zahn::N,hammas,hammas
5,Zunge::N,keel,kieli
6,Lippe::N,huul,huuli
7,Wange::N,põsk,poski
8,Gesicht::N,nägu,naama
9,Gesicht::N,nägu,kasvot
10,Stirn::N,otsmik,otsa
11,Haar::N,juus,hius
12,Haar::N,juus,tukka
13,Schnurrbart::N,vurrud,viikset
14,Schnurrbart::N,vuntsid,viikset
15,Bart::N,habe,parta
16,Kinn::N,lõug,leuka
17,Kiefer[Anatomie]::N,lõualuu,leukaluu
18,Kehle::N,kõri,kurkku
19,Hals::N,kael,kaula
20,Genick::N,kukal,niska
21,Kopf::N,pea,pää
22,Rücken::N,selg,selkä
23,Bauch::N,kõht,maha
24,Bauch::N,kõht,vatsa
25,Nabel::N,naba,napa
26,Busen::N,rind,rinta
27,Brust::N,rind,rinta
28,Schulter::N,õlg,olka
29,Schulter::N,õlg,hartia
30,Schulter::N,õlg,olkapää
31,Arm::N,käsivars,käsivarsi
32,Ellenbogen::N,küünarnukk,kyynärpää
33,Hand::N,käsi,käsi
34,Handfläche::N,pihk,kämmen
35,Finger::N,sõrm,sormi
36,Fingernagel::N,küüs,kynsi
37,Nagel[Anatomie]::N,küüs,kynsi
38,Zeh::N,varvas,varvas
39,Fuß::N,jalg,jalka
40,Ferse::N,kand,kantapää
41,Knie::N,põlv,polvi
42,Oberschenkel::N,reis,reisi
43,Bein::N,jalg,jalka
44,Körper::N,ihu,keho
45,Körper::N,ihu,ruumis
46,Körper::N,keha,keho
47,Körper::N,keha,ruumis
48,Haut::N,nahk,iho
49,Blut::N,veri,veri
50,Ader::N,veen,suoni
51,Sehne::N,kõõlus,jänne
52,Knochen::N,luu,luu
53,Gehirn::N,aju,aivot
54,Herz::N,süda,sydän
55,Magen::N,magu,maha
56,Magen::N,magu,vatsa
57,Leber::N,maks,maksa
58,Atem::N,hingeõhk,henki
59,Atem::N,hingeõhk,hengitys
60,Atem::N,hingamine,henki
61,Atem::N,hingamine,hengitys
62,Hunger::N,nälg,nälkä
63,Träne::N,pisar,kyynel
64,Geschmack::N,maitse,maku
65,Geruch::N,lõhn,haju
66,Schlaf::N,uni,uni
67,Traum::N,unenägu,uni
68,Himmel::N,taevas,taivas
69,Sonne::N,päike,aurinko
70,Mond::N,kuu,kuu
71,Stern::N,täht,tähti
72,Luft::N,õhk,ilma
73,Wind::N,tuul,tuuli
74,Welle::N,laine,aalto
75,Wasser::N,vesi,vesi
76,Stein::N,kivi,kivi
77,Boden::N,maa,maa
78,Boden::N,maa,maaperä
79,Boden::N,pinnas,maa
80,Boden::N,pinnas,maaperä
81,Erde::N,maa,maa
82,Staub::N,põrm,pöly
83,Rauch::N,suits,savu
84,Funke::N,säde,kipinä
85,Feuer::N,tuli,tuli
86,Licht::N,valgus,valo
87,Schatten::N,vari,varjo
88,Wetter::N,ilm,sää
89,Nebel::N,udu,sumu
90,Wolke::N,pilv,pilvi
91,Regen::N,sadu,sade
92,Schnee::N,lumi,lumi
93,Eis::N,jää,jää
94,Frost::N,pakane,halla
95,Frost::N,pakane,pakkanen
96,Kälte::N,külm,vilu
97,Kälte::N,külm,kylmyys
98,Kälte::N,külmus,vilu
99,Kälte::N,külmus,kylmyys
100,Hitze::N,kuumus,helle
101,Hitze::N,kuumus,kuumuus
102,Hitze::N,palavus,helle
103,Hitze::N,palavus,kuumuus
104,Raureif::N,härmatis,huurre
105,Regenbogen::N,vikerkaar,sateenkaari
106,Donner::N,kõu,jyrinä
107,Donner::N,müristamine,jyrinä
108,Strömung::N,voolus,virtaus
109,Strömung::N,jõevool,virtaus
110,Tropfen::N,tilk,tippa
111,Tropfen::N,tilk,pisara
112,Schaum::N,vaht,vaahto
113,Schmutz::N,pori,loka
114,Schmutz::N,mustus,loka
115,See::N,järv,järvi
116,Sumpf::N,soo,suo
117,Moor::N,raba,räme
118,Wiese::N,aas,niitty
119,Wiese::N,nurm,niitty
120,Wald::N,mets,metsä
121,Hügel::N,küngas,mäki
122,Hügel::N,küngas,kumpu
123,Hügel::N,küngas,kukkula
124,Anhöhe::N,küngas,mäki
125,Anhöhe::N,küngas,kumpare
126,Berg::N,mägi,mäki
127,Berg::N,mägi,vuori
128,Gipfel::N,mäetipp,laki
129,Gipfel::N,mäetipp,huippu
130,Höhle::N,koobas,luola
131,Abhang::N,nõlvak,rinne
132,Quelle::N,allikas,lähde
133,Bach::N,oja,puro
134,Fluss::N,jõgi,joki
135,Ufer::N,kallas,ranta
136,Küste::N,rannik,rannikko
137,Festland::N,mander,manner
138,Festland::N,maismaa,manner
139,Meer::N,meri,meri
140,Bucht::N,laht,lahti
141,Insel::N,saar,saari
142,Blume::N,lill,kukka
143,Gras::N,rohi,ruoho
144,Wurzel::N,juur,juuri
145,Baum::N,puu,puu
146,Stamm::N,tüvi,runko
147,Rinde::N,koor,kuori
148,Rinde::N,koor,parkki
149,Ast::N,oks,oksa
150,Zweig::N,oks,haara
151,Blatt::N,leht,lehti
152,Birke::N,kask,koivu
153,Kiefer[Baum]::N,mänd,mänty
154,Kiefer[Baum]::N,mänd,petäjä
155,Weide[Baum]::N,paju,paju
156,Tanne::N,nulg,kuusi
157,Horn::N,sarv,sarvi
158,Feder::N,sulg,sulka
159,Feder::N,sulg,höyhen
160,Fell::N,karvkate,talja
161,Fell::N,karusnahk,talja
162,Flügel::N,tiib,siipi
163,Flügel::N,tiivik,siipi
164,Klaue::N,küüs,kynsi
165,Kralle::N,küünis,kynsi
166,Schwanz::N,saba,häntä
167,Schwanz::N,saba,pyrstö
168,Ei::N,muna,muna
169,Nest::N,pesa,pesä
170,Bau::N,urg,pesä
171,Tier::N,loom,eläin
172,Herde::N,kari,lauma
173,Kuh::N,lehm,lehmä
174,Bulle::N,pull,sonni
175,Pferd::N,hobune,hevonen
176,Schaf::N,lammas,lammas
177,Schwein::N,siga,sika
178,Hund::N,koer,koira
179,Katze::N,kass,kissa
180,Bär::N,karu,karhu
181,Eichhörnchen::N,orav,orava
182,Elch::N,põder,hirvi
183,Fuchs::N,rebane,kettu
184,Hase::N,jänes,jänis
185,Maus::N,hiir,hiiri
186,Wolf::N,hunt,susi
187,Vogel::N,lind,lintu
188,Schwarm::N,parv,parvi
189,Huhn::N,kana,kana
190,Hahn::N,kukk,kukko
191,Gans::N,hani,hanhi
192,Adler::N,kotkas,kotka
193,Ente::N,part,ankka
194,Eule::N,kakk,pöllö
195,Eule::N,öökull,pöllö
196,Kranich::N,kurg,kurki
197,Krähe::N,vares,varis
198,Kuckuck::N,kägu,käki
199,Schwan::N,luik,joutsen
200,Fisch::N,kala,kala
201,Barsch::N,ahven,ahven
202,Hecht::N,haug,hauki
203,Schlange[Tier]::N,uss,käärme
204,Wurm::N,uss,mato
205,Wurm::N,vagel,mato
206,Spinne::N,ämblik,hämähäkki
207,Ameise::N,sipelgas,muurahainen
208,Laus::N,täi,täi
209,Mücke::N,sääsk,sääski
210,Mücke::N,sääsk,hyttynen
211,Fliege::N,kärbes,kärpänen
212,Schmetterling::N,liblikas,perhonen
213,Beere::N,mari,marja
214,Apfel::N,õun,omena
215,Pilz::N,seen,sieni
216,Zwiebel::N,sibul,sipuli
217,Saat::N,seeme,siemenet
218,Korn::N,iva,jyvä
219,Korn::N,iva,vilja
220,Korn::N,tera,jyvä
221,Korn::N,tera,vilja
222,Heu::N,hein,heinä
223,Schale::N,koor,kuori
224,Grube::N,kaevand,kuoppa
225,Falle::N,lõks,loukku
226,Falle::N,püünis,loukku
227,Schlinge::N,aas,ansa
228,Spur::N,jälg,jälki
229,Asche::N,tuhk,tuhka
230,Dreck::N,saast,lika
231,Dreck::N,mustus,lika
232,Eisen::N,raud,rauta
233,Gold::N,kuld,kulta
234,Silber::N,hõbe,hopea
235,Kohle::N,süsi,hiili
236,Glas::N,klaas,lasi
237,Lehm::N,savi,savi
238,Sand::N,liiv,hiekka
239,Mensch::N,inimene,ihminen
240,Mann::N,mees,mies
241,Frau::N,naine,nainen
242,Kind::N,laps,lapsi
243,Junge::N,poiss,poika
244,Mädchen::N,tüdruk,tyttö
245,Familie::N,perekond,perhe
246,Großvater::N,vanaisa,isoisä
247,Großmutter::N,vanaema,isoäiti
248,Eltern::N,vanemad,vanhemmat
249,Vater::N,isa,isä
250,Mutter::N,ema,äiti
251,Sohn::N,poeg,poika
252,Tochter::N,tütar,tytär
253,Bruder::N,vend,veli
254,Schwester::N,õde,sisko
255,Onkel::N,onu,eno
256,Onkel::N,onu,setä
257,Tante::N,tädi,täti
258,Ehemann::N,mees,mies
259,Ehemann::N,mees,aviomies
260,Ehemann::N,abikaasa,mies
261,Ehemann::N,abikaasa,aviomies
262,Ehefrau::N,naine,vaimo
263,Ehefrau::N,naine,aviovaimo
264,Ehefrau::N,abikaasa,vaimo
265,Ehefrau::N,abikaasa,aviovaimo
266,Freude::N,rõõm,ilo
267,Freude::N,rõõm,riemu
268,Gelächter::N,naer,nauru
269,Glück::N,õnn,onni
270,Kummer::N,mure,suru
271,Kummer::N,mure,murhe
272,Kummer::N,kurbus,suru
273,Kummer::N,kurbus,murhe
274,Wunsch::N,soov,toive
275,Wunsch::N,soov,toivomus
276,Lust::N,himu,himo
277,Geist::N,vaim,henki
278,Gedanke::N,mõte,aate
279,Gedanke::N,mõte,ajatus
280,Gedächtnis::N,mälu,muisti
281,Verstand::N,aru,äly
282,Verstand::N,aru,järki
283,Verstand::N,aru,ymmärrys
284,Verstand::N,mõistus,äly
285,Verstand::N,mõistus,järki
286,Verstand::N,mõistus,ymmärrys
287,Sinn::N,tähendus,merkitys
288,Grund::N,põhjus,syy
289,Grund::N,põhjus,peruste
290,Wahrheit::N,tõde,tosi
291,Wahrheit::N,tõde,totuus
292,Gespräch::N,kõne,puhelu
293,Gespräch::N,kõne,keskustelu
294,Gespräch::N,vestlus,puhelu
295,Gespräch::N,vestlus,keskustelu
296,Märchen::N,muinasjutt,satu
297,Erzählung::N,jutustus,tarina
298,Erzählung::N,jutustus,kertomus
299,Nachricht::N,teade,tieto
300,Nachricht::N,teade,ilmoitus
301,Neuigkeit::N,uudis,uutinen
302,Name::N,nimi,nimi
303,Rätsel::N,mõistatus,arvoitus
304,Rede::N,kõne,puhe
305,Sprache::N,keel,kieli
306,Stimme::N,hääl,ääni
307,Wort::N,sõna,sana
308,Zeichen::N,märk,merkki
309,Ruf::N,hüüe,kutsu
310,Lärm::N,müra,melu
311,Lärm::N,müra,hälinä
312,Laut::N,hääl,ääni
313,Ton::N,toon,sävel
314,Lied::N,laul,laulu
315,Ruhe::N,rahu,lepo
316,Ruhe::N,rahu,rauha
317,Ruhe::N,vaikus,lepo
318,Ruhe::N,vaikus,rauha
319,Leute::N,inimesed,väki
320,Leute::N,inimesed,ihmiset
321,Volk::N,rahvas,kansa
322,Arbeit::N,töö,työ
323,Gast::N,külaline,vieras
324,Geschenk::N,kingitus,lahja
325,Spiel::N,mäng,peli
326,Spiel::N,mäng,leikki
327,Gesellschaft::N,selts,seura
328,Hilfe::N,abi,apu
329,Freund::N,sõber,ystävä
330,Kamerad::N,sõber,toveri
331,Angelegenheit::N,asi,asia
332,Anzahl::N,arv,lukumäärä
333,Anzahl::N,hulk,lukumäärä
334,Art::N,liik,laji
335,Stück::N,tükk,pala
336,Stück::N,tükk,kappale
337,Teil::N,osa,osa
338,Hälfte::N,pool,puoli
339,Kreis::N,ring,ympyrä
340,Kreuz::N,rist,risti
341,Linie::N,joon,viiva
342,Strich::N,joon,piirto
343,Abstand::N,vahe,väli
344,Abstand::N,vahe,väljyys
345,Entfernung::N,kaugus,etäisyys
346,Entfernung::N,vahemaa,etäisyys
347,Gegend::N,ümbrus,seutu
348,Platz::N,ruum,tila
349,Ort::N,paik,kohta
350,Ort::N,paik,paikka
351,Seite::N,pool,sivu
352,Seite::N,pool,kylki
353,Mitte::N,keskpaik,keskus
354,Mitte::N,keskpaik,puoliväli
355,Gegenstand::N,ese,kalu
356,Gegenstand::N,ese,esine
357,Sache::N,ese,asia
358,Rand::N,äär,ääri
359,Rand::N,äär,syrjä
360,Rand::N,serv,ääri
361,Rand::N,serv,syrjä
362,Kante::N,kant,särmä
363,Ecke::N,nurk,nurkka
364,Spitze::N,teravik,terä
365,Spitze::N,teravik,kärki
366,Ende::N,ots,pää
367,Ende::N,ots,perä
368,Ende::N,jupp,pää
369,Ende::N,jupp,perä
370,Loch::N,auk,kolo
371,Loch::N,auk,reikä
372,Winkel::N,nurk,kulma
373,Muster::N,muster,kuvio
374,Größe::N,suurus,koko
375,Größe::N,suurus,suuruus
376,Länge::N,pikkus,pituus
377,Höhe::N,kõrgus,korkeus
378,Gewicht::N,kaal,paino
379,Gewicht::N,raskus,paino
380,Menge::N,arv,määrä
381,Menge::N,hulk,määrä
382,Haufen::N,hunnik,kasa
383,Reihe::N,rivi,rivi
384,Boot::N,paat,vene
385,Ruder::N,aer,airo
386,Schlitten::N,saan,reki
387,Schlitten::N,saan,kelkka
388,Ski::N,suusk,suksi
389,Lagerfeuer::N,lõke,nuotio
390,Last::N,koorem,kuorma
391,Gang::N,käik,kulku
392,Gang::N,käik,käynti
393,Schritt::N,samm,askel
394,Norden::N,põhi,pohjoinen
395,Süden::N,lõuna,etelä
396,Westen::N,lääs,länsi
397,Osten::N,ida,itä
398,Holz::N,puu,puu
399,Brett::N,saelaud,lauta
400,Platte::N,plaat,levy
401,Stütze::N,tugi,noja
402,Stange::N,latt,tanko
403,Stange::N,teivas,tanko
404,Stock::N,kepp,keppi
405,Stab::N,varras,sauva
406,Stab::N,varras,seiväs
407,Rohr::N,toru,putki
408,Haus::N,maja,talo
409,Heim::N,kodu,koti
410,Ofen::N,ahi,uuni
411,Fußboden::N,põrand,lattia
412,Tisch::N,laud,pöytä
413,Stuhl::N,tool,tuoli
414,Wiege::N,häll,kehto
415,Wiege::N,kätki,kehto
416,Bett::N,voodi,sänky
417,Regal::N,riiul,hylly
418,Kiste::N,kast,arkku
419,Kiste::N,kast,kirstu
420,Kiste::N,kast,laatikko
421,Fenster::N,aken,ikkuna
422,Tür::N,uks,ovi
423,Tor::N,värav,portti
424,Zaun::N,aed,aita
425,Zaun::N,tara,aita
426,Dach::N,katus,katto
427,Leiter::N,redel,tikkaat
428,Leiter::N,redel,tikapuut
429,Besen::N,luud,luuta
430,Spaten::N,labidas,lapio
431,Schaufel::N,kühvel,lapio
432,Gabel::N,kahvel,haarukka
433,Löffel::N,lusikas,lusikka
434,Messer::N,nuga,veitsi
435,Nagel::N,nael,naula
436,Netz::N,võrk,verkko
437,Haken::N,haak,haka
438,Haken::N,haak,koukku
439,Haken::N,konks,haka
440,Haken::N,konks,koukku
441,Griff::N,sang,ripa
442,Griff::N,sang,kahva
443,Griff::N,käepide,ripa
444,Griff::N,käepide,kahva
445,Schloss::N,lukk,lukko
446,Bild::N,pilt,kuva
447,Figur::N,kuju,kuvio
448,Figur::N,kujund,kuvio
449,Puppe::N,nukk,nukke
450,Beutel::N,paun,pussi
451,Bündel::N,kimp,nippu
452,Bündel::N,kimp,kimppu
453,Tasche::N,kott,laukku
454,Eimer::N,pang,sanko
455,Eimer::N,pang,ämpäri
456,Eimer::N,ämber,sanko
457,Eimer::N,ämber,ämpäri
458,Deckel::N,kaas,kansi
459,Geschirr::N,nõud,astia
460,Sack::N,kott,säkki
461,Tasse::N,tass,kuppi
462,Topf::N,pada,pata
463,Kessel::N,pada,kattila
464,Essen::N,söök,syönti
465,Nahrung::N,toit,ruoka
466,Nahrung::N,toit,ravinto
467,Speise::N,roog,ruoka
468,Fleisch::N,liha,liha
469,Getreide::N,teravili,vilja
470,Brei::N,puder,puuro
471,Brot::N,sai,leipä
