,Concept_ID,eu,ab
0,Auge::N,begi,ала
1,Ohr::N,belarri,алымҳа
2,Nase::N,sudur,аҧынҵа
3,Mund::N,aho,аҧышə
4,Zahn::N,hortz,ахаҧыц
5,Zunge::N,mihi,абз
6,Lippe::N,ezpain,ақьышə
7,Wange::N,masail,аӡамҩа
8,Gesicht::N,aurpegi,аҿы
9,Stirn::N,bekoki,алахь
10,Haar::N,ile,ахəыц
11,Haar::N,bilo,ахəыц
12,Schnurrbart::N,bibote,аҧаҵа
13,Schnurrbart::N,sudurpeko,аҧаҵа
14,Bart::N,bizar,ажакьа
15,Kinn::N,kokots,ацламкəыгə
16,Kiefer[Anatomie]::N,masailezur,ацламҳəа
17,Kehle::N,eztarri,ахəда
18,Hals::N,sama,ахəда
19,Genick::N,garondo,ахəдаџьал
20,Kopf::N,buru,ахы
21,Rücken::N,bizkar,азқəа
22,Bauch::N,sabel,амгəа
23,Nabel::N,zilbor,аҷапан
24,Busen::N,titi,агəыҧҳəы
25,Busen::N,ugatz,агəыҧҳəы
26,Brust::N,bular,агəышҧы
27,Schulter::N,besaburu,ажəҩахыр
28,Arm::N,beso,амахəар
29,Ellenbogen::N,ukondo,амашьхəылҵ
30,Hand::N,esku,анапы
31,Handfläche::N,ahur,анапсаргəыҵа
32,Finger::N,hatz,анацəа
33,Fingernagel::N,azazkal,анапхыц
34,Nagel[Anatomie]::N,azazkal,ашьапхыц
35,Zeh::N,behatz,ашьацəа
36,Fuß::N,oin,ашьапсыргəыҵа
37,Ferse::N,orpo,ашьхəа
38,Ferse::N,oinburu,ашьхəа
39,Knie::N,belaun,ашьамхы
40,Oberschenkel::N,izter,ауаҭəа
41,Bein::N,zango,ашьапы
42,Körper::N,soin,ацəеижь
43,Haut::N,azal,ацəа
44,Blut::N,odol,ашьа
45,Ader::N,zain,ада
46,Sehne::N,gihar-zain,адаш
47,Knochen::N,hezur,абаҩ
48,Gehirn::N,garun,ахшлыбаҩ
49,Gehirn::N,garun,ахшыбаҩ
