,Concept_ID,fa,ady
0,Auge::N,چشم,нэ
1,Ohr::N,گوش,тхьакӏу́м
2,Nase::N,بینی,пэ
3,Mund::N,دهان,жэ
4,Zahn::N,دندان,цэ
5,Zunge::N,زبان,бзэгу
6,Lippe::N,لب,ӏупшӏэ́
7,Wange::N,لپ,нэкӏу́шъу
8,Gesicht::N,رو,нэ́гу
9,Gesicht::N,چهره,нэ́гу
10,Stirn::N,پیشانی,натӏэ́
11,Haar::N,مو,шъхьацы́
12,Schnurrbart::N,سبیل,
13,Bart::N,ریش,жакӏэ́
14,Kinn::N,چانه,жэкӏэпэпкъ
15,Kiefer[Anatomie]::N,فک,жэпкъы́
16,Kiefer[Anatomie]::N,آرواره,жэпкъы́
17,Kehle::N,حلق,чый
18,Hals::N,گردن,пшъэ
19,Genick::N,پشت گردن,шъхьэпхэтыку
20,Kopf::N,سر,шъхьэ́
21,Kopf::N,کله,шъхьэ́
22,Rücken::N,پشت,кӏыбы́
23,Bauch::N,شکم,ныбэ́
24,Nabel::N,ناف,
25,Busen::N,پستان,бгъэ́
26,Brust::N,سینه,бгъэ́
27,Schulter::N,دوش,блыпкъ
28,Schulter::N,شانه,блыпкъ
29,Arm::N,بازو,ӏэ
30,Ellenbogen::N,آرنج,ӏэнтэ́гъу
31,Hand::N,دست,ӏэтхьэцу
32,Handfläche::N,کف دست,ӏэ́гу
33,Finger::N,انگشت,ӏэхъуа́мб
34,Fingernagel::N,ناخن دست,ӏэбжъа́н
35,Nagel[Anatomie]::N,ناخن,ӏэбжъа́н
36,Zeh::N,انگشت پا,ӏэхъуа́мб
37,Fuß::N,پا,лъэгу
38,Ferse::N,پاشنه,лъэдакъэ
39,Knie::N,زانو,лъагуа́ндж
40,Oberschenkel::N,ران,ко
41,Bein::N,پا,лъакъо́
42,Bein::N,لنگ,лъакъо́
43,Körper::N,تن,пкъышъол
44,Körper::N,بدن,пкъышъол
45,Haut::N,پوست,кӏы́шъу
46,Blut::N,خون,лъы
47,Ader::N,رگ,льытф
48,Sehne::N,زردپی,фэ
49,Knochen::N,استخوان,къупшъхьэ́
50,Gehirn::N,مخ,куцӏы
51,Gehirn::N,مغز,куцӏы
52,Herz::N,دل,гу
53,Herz::N,قلب,гу
54,Magen::N,معده,мышкӏу
55,Leber::N,کبد,шӏу
56,Atem::N,نفس,къэщэныр
57,Hunger::N,گرسنگی,гъаблэ́
58,Träne::N,اشک,нэпсы
59,Geschmack::N,مزه,ӏэшӏугъа́кӏ
60,Geruch::N,بو,мэ
61,Schlaf::N,خواب,пчыхьы́пӏ
62,Traum::N,رؤیا,пчыхьы́пӏ
63,Himmel::N,فلک,уашъо́
64,Himmel::N,آسمان,уашъо́
65,Sonne::N,آفتاب,тыгъэ
66,Sonne::N,خورشید,тыгъэ
67,Mond::N,ماه,мазэ
68,Stern::N,ستاره,жъуагъо́
69,Luft::N,هوا,жьы
70,Wind::N,باد,жьыбгъэ́
71,Welle::N,موج,ор
72,Welle::N,موج,оры
73,Wasser::N,آب,псы
74,Stein::N,سنگ,мыжъо́
75,Boden::N,زمین,чӏ́ыгу
76,Erde::N,خاک,чӏ́ыгу
77,Erde::N,زمین,чӏ́ыгу
78,Staub::N,گرد,сап
79,Staub::N,غبار,сап
80,Rauch::N,دود,ӏугъо́
81,Funke::N,جرقه,мэшӏуа́ч
82,Feuer::N,آتش,машӏо́
83,Licht::N,نور,нэфы
84,Licht::N,نور,нэфын
85,Licht::N,روشنی,нэфы
