,Concept_ID,fi,ja
0,Auge::N,silmä,目
1,Ohr::N,korva,耳
2,Nase::N,nenä,鼻
3,Mund::N,suu,口
4,Zahn::N,hammas,歯
5,Zunge::N,kieli,舌
6,Lippe::N,huuli,唇
7,Wange::N,poski,頬
8,Gesicht::N,naama,顔
9,Gesicht::N,kasvot,顔
10,Stirn::N,otsa,額
11,Haar::N,hius,髪
12,Haar::N,tukka,髪
13,Schnurrbart::N,viikset,口髭
14,Bart::N,parta,髭
15,Kinn::N,leuka,顎
16,Kiefer[Anatomie]::N,leukaluu,顎
17,Kehle::N,kurkku,喉
18,Hals::N,kaula,首
19,Genick::N,niska,首
20,Kopf::N,pää,頭
21,Rücken::N,selkä,背中
22,Bauch::N,maha,腹
23,Bauch::N,maha,お腹
24,Bauch::N,vatsa,腹
25,Bauch::N,vatsa,お腹
26,Nabel::N,napa,へそ
27,Busen::N,rinta,乳房
28,Brust::N,rinta,胸
29,Schulter::N,olka,肩
30,Schulter::N,hartia,肩
31,Schulter::N,olkapää,肩
32,Arm::N,käsivarsi,腕
33,Ellenbogen::N,kyynärpää,肘
34,Hand::N,käsi,手
35,Handfläche::N,kämmen,手のひら
36,Finger::N,sormi,指
37,Fingernagel::N,kynsi,爪
38,Nagel[Anatomie]::N,kynsi,爪
39,Zeh::N,varvas,足の指
40,Fuß::N,jalka,足
41,Ferse::N,kantapää,かかと
42,Knie::N,polvi,膝
43,Oberschenkel::N,reisi,上腿
44,Bein::N,jalka,足
45,Körper::N,keho,体
46,Körper::N,ruumis,体
47,Haut::N,iho,皮膚
48,Blut::N,veri,血
49,Ader::N,suoni,血管
50,Sehne::N,jänne,腱
51,Knochen::N,luu,骨
52,Gehirn::N,aivot,脳
53,Herz::N,sydän,心
54,Herz::N,sydän,心臓
55,Magen::N,maha,胃
56,Magen::N,vatsa,胃
57,Leber::N,maksa,肝臓
58,Atem::N,henki,息
59,Atem::N,henki,呼吸
60,Atem::N,hengitys,息
61,Atem::N,hengitys,呼吸
62,Hunger::N,nälkä,空腹
63,Träne::N,kyynel,涙
64,Geschmack::N,maku,味
65,Geruch::N,haju,匂い
66,Schlaf::N,uni,睡眠
67,Traum::N,uni,夢
68,Himmel::N,taivas,空
69,Sonne::N,aurinko,太陽
70,Mond::N,kuu,月
71,Stern::N,tähti,星
72,Luft::N,ilma,空気
73,Wind::N,tuuli,風
74,Welle::N,aalto,波
75,Wasser::N,vesi,水
76,Stein::N,kivi,石
77,Boden::N,maa,土地
78,Boden::N,maaperä,土地
79,Erde::N,maa,土
80,Staub::N,pöly,埃
81,Rauch::N,savu,煙
