,Concept_ID,fi,uk
0,Auge::N,silmä,око
1,Ohr::N,korva,вухо
2,Nase::N,nenä,ніс
3,Mund::N,suu,рот
4,Zahn::N,hammas,зуб
5,Zunge::N,kieli,язик
6,Lippe::N,huuli,губа
7,Wange::N,poski,щока
8,Gesicht::N,naama,обличчя
9,Gesicht::N,kasvot,обличчя
10,Stirn::N,otsa,лоб
11,Haar::N,hius,волосся
12,Haar::N,tukka,волосся
13,Schnurrbart::N,viikset,вуса
14,Bart::N,parta,борода
15,Kinn::N,leuka,підборіддя
16,Kiefer[Anatomie]::N,leukaluu,щелепа
17,Kehle::N,kurkku,горло
18,Hals::N,kaula,шия
19,Genick::N,niska,потилиця
20,Kopf::N,pää,голова
21,Rücken::N,selkä,спина
22,Bauch::N,maha,живіт
23,Bauch::N,vatsa,живіт
24,Nabel::N,napa,пупок
25,Busen::N,rinta,груди
26,Brust::N,rinta,груди
27,Schulter::N,olka,плече
28,Schulter::N,hartia,плече
29,Schulter::N,olkapää,плече
30,Arm::N,käsivarsi,рука
31,Ellenbogen::N,kyynärpää,лікоть
32,Hand::N,käsi,рука
33,Handfläche::N,kämmen,долоня
34,Finger::N,sormi,палець
35,Fingernagel::N,kynsi,ніготь
36,Nagel[Anatomie]::N,kynsi,ніготь
37,Zeh::N,varvas,палець на нозі
38,Fuß::N,jalka,нога
39,Ferse::N,kantapää,п’ятка
40,Knie::N,polvi,коліно
41,Oberschenkel::N,reisi,стегно
42,Bein::N,jalka,нога
43,Körper::N,keho,тіло
44,Körper::N,ruumis,тіло
45,Haut::N,iho,шкіра
46,Blut::N,veri,кров
47,Ader::N,suoni,вена
48,Sehne::N,jänne,сухожилля
49,Knochen::N,luu,кістка
50,Gehirn::N,aivot,мозок
51,Herz::N,sydän,серце
52,Magen::N,maha,шлунок
53,Magen::N,vatsa,шлунок
54,Leber::N,maksa,печінка
55,Atem::N,henki,дихання
56,Atem::N,hengitys,дихання
57,Hunger::N,nälkä,голод
58,Träne::N,kyynel,сльоза
59,Geschmack::N,maku,смак
60,Geruch::N,haju,запах
61,Schlaf::N,uni,сон
62,Schlaf::N,uni,сплячка
63,Traum::N,uni,сон
64,Himmel::N,taivas,небо
65,Sonne::N,aurinko,сонце
66,Mond::N,kuu,місяць
67,Stern::N,tähti,зірка
68,Luft::N,ilma,повітря
69,Wind::N,tuuli,вітер
70,Welle::N,aalto,хвиля
71,Wasser::N,vesi,вода
72,Stein::N,kivi,камінь
73,Boden::N,maa,ґрунт
74,Boden::N,maaperä,ґрунт
75,Erde::N,maa,земля
76,Staub::N,pöly,пил
77,Rauch::N,savu,дим
78,Funke::N,kipinä,іскра
79,Feuer::N,tuli,вогонь
80,Licht::N,valo,світло
81,Schatten::N,varjo,тінь
82,Wetter::N,sää,погода
83,Nebel::N,sumu,туман
84,Wolke::N,pilvi,хмара
85,Regen::N,sade,дощ
86,Schnee::N,lumi,сніг
87,Eis::N,jää,лід
88,Frost::N,halla,мороз
89,Frost::N,pakkanen,мороз
90,Kälte::N,vilu,холод
91,Kälte::N,kylmyys,холод
92,Hitze::N,helle,жар
93,Hitze::N,kuumuus,жар
94,Raureif::N,huurre,іній
95,Regenbogen::N,sateenkaari,райдуга
96,Donner::N,jyrinä,грім
97,Strömung::N,virtaus,струмина
98,Tropfen::N,tippa,крапля
99,Tropfen::N,pisara,крапля
100,Schaum::N,vaahto,піна
101,Schmutz::N,loka,бруд
102,See::N,järvi,озеро
103,Sumpf::N,suo,драговина
104,Moor::N,räme,болото
105,Wiese::N,niitty,луг
106,Wiese::N,niitty,лука
107,Wald::N,metsä,ліс
108,Hügel::N,mäki,горб
109,Hügel::N,kumpu,горб
110,Hügel::N,kukkula,горб
111,Anhöhe::N,mäki,височина
112,Anhöhe::N,kumpare,височина
113,Berg::N,mäki,гора
114,Berg::N,vuori,гора
115,Gipfel::N,laki,вершина
116,Gipfel::N,huippu,вершина
