,Concept_ID,fr,et
0,Auge::N,œil,silm
1,Ohr::N,oreille,kõrv
2,Nase::N,nez,nina
3,Mund::N,bouche,suu
4,Zahn::N,dent,hammas
5,Zunge::N,langue,keel
6,Lippe::N,lèvre,huul
7,Wange::N,joue,põsk
8,Gesicht::N,face,nägu
9,Gesicht::N,visage,nägu
10,Stirn::N,front,otsmik
11,Haar::N,cheveu,juus
12,Schnurrbart::N,moustache,vurrud
13,Schnurrbart::N,moustache,vuntsid
14,Bart::N,barbe,habe
15,Kinn::N,menton,lõug
16,Kiefer[Anatomie]::N,mâchoire,lõualuu
17,Kehle::N,gorge,kõri
18,Hals::N,cou,kael
19,Genick::N,nuque,kukal
20,Kopf::N,tête,pea
21,Rücken::N,dos,selg
22,Bauch::N,ventre,kõht
23,Nabel::N,nombril,naba
24,Busen::N,sein,rind
25,Brust::N,poitrine,rind
26,Schulter::N,épaule,õlg
27,Arm::N,bras,käsivars
28,Ellenbogen::N,coude,küünarnukk
29,Hand::N,main,käsi
30,Handfläche::N,paume,pihk
31,Finger::N,doigt,sõrm
32,Fingernagel::N,ongle,küüs
33,Nagel[Anatomie]::N,ongle,küüs
34,Zeh::N,orteil,varvas
35,Zeh::N,doigt de pied,varvas
36,Fuß::N,pied,jalg
37,Ferse::N,talon,kand
38,Knie::N,genou,põlv
39,Oberschenkel::N,cuisse,reis
40,Bein::N,jambe,jalg
41,Körper::N,corps,ihu
42,Körper::N,corps,keha
43,Haut::N,peau,nahk
44,Blut::N,sang,veri
45,Ader::N,veine,veen
46,Sehne::N,tendon,kõõlus
47,Knochen::N,os,luu
48,Gehirn::N,cerveau,aju
49,Herz::N,cœur,süda
50,Magen::N,estomac,magu
51,Leber::N,foie,maks
52,Atem::N,haleine,hingeõhk
53,Atem::N,haleine,hingamine
54,Hunger::N,faim,nälg
55,Träne::N,larme,pisar
56,Geschmack::N,goût,maitse
57,Geschmack::N,saveur,maitse
58,Geruch::N,odeur,lõhn
59,Schlaf::N,sommeil,uni
60,Traum::N,songe,unenägu
61,Himmel::N,ciel,taevas
62,Sonne::N,soleil,päike
63,Mond::N,lune,kuu
64,Stern::N,étoile,täht
65,Luft::N,air,õhk
66,Wind::N,vent,tuul
67,Welle::N,vague,laine
68,Wasser::N,eau,vesi
69,Stein::N,pierre,kivi
70,Boden::N,sol,maa
71,Boden::N,sol,pinnas
72,Boden::N,terrain,maa
73,Boden::N,terrain,pinnas
74,Erde::N,terre,maa
75,Staub::N,poussière,põrm
76,Rauch::N,fumée,suits
77,Funke::N,étincelle,säde
78,Feuer::N,feu,tuli
79,Licht::N,lumière,valgus
80,Schatten::N,ombre,vari
81,Wetter::N,temps,ilm
82,Nebel::N,brume,udu
83,Nebel::N,brouillard,udu
84,Wolke::N,nuage,pilv
85,Regen::N,pluie,sadu
86,Schnee::N,neige,lumi
87,Eis::N,glace,jää
88,Frost::N,gel,pakane
89,Frost::N,gelée,pakane
