,Concept_ID,ga,no
0,Auge::N,súil,øye
1,Ohr::N,cluas,øre
2,Nase::N,soc,nese
3,Mund::N,béal,munn
4,Zahn::N,fiacail,tann
5,Zunge::N,teanga,tunge
6,Lippe::N,liopa,leppe
7,Wange::N,grua,kinn
8,Wange::N,leiceann,kinn
9,Gesicht::N,éadan,fjes
10,Gesicht::N,éadan,ansikt
11,Gesicht::N,aghaidh,fjes
12,Gesicht::N,aghaidh,ansikt
13,Stirn::N,baithis,panne
14,Stirn::N,clár éadain,panne
15,Haar::N,gruaig,hår
16,Schnurrbart::N,croiméal,bart
17,Bart::N,féasóg,skjegg
18,Kinn::N,smig,hake
19,Kiefer[Anatomie]::N,giall,kjeve
20,Kehle::N,scornach,strupe
21,Hals::N,muinéal,hals
22,Genick::N,baic,nakke
23,Kopf::N,ceann,hode
24,Rücken::N,droim,rygg
25,Bauch::N,bolg,buk
26,Bauch::N,bolg,mage
27,Nabel::N,imleacán,navle
28,Busen::N,cíoch,barm
29,Brust::N,brollach,bryst
30,Schulter::N,gualainn,skulder
31,Arm::N,lámh,arm
32,Ellenbogen::N,uillinn,albue
33,Hand::N,lámh,hånd
34,Handfläche::N,bos,håndflate
35,Finger::N,méar,finger
36,Fingernagel::N,ionga,fingernegl
37,Nagel[Anatomie]::N,ionga,negl
38,Zeh::N,ladhar,tå
39,Fuß::N,cos,fot
40,Fuß::N,troigh,fot
41,Ferse::N,sáil,hæl
42,Knie::N,glúin,kne
43,Oberschenkel::N,ceathrú,lår
44,Bein::N,cos,bein
45,Körper::N,corp,kropp
46,Körper::N,corp,legeme
47,Körper::N,colainn,kropp
48,Körper::N,colainn,legeme
49,Haut::N,cneas,hud
50,Haut::N,cneas,skinn
51,Haut::N,craiceann,hud
52,Haut::N,craiceann,skinn
53,Blut::N,fuil,blod
54,Sehne::N,teannán,sene
55,Sehne::N,féitheog,sene
56,Knochen::N,cnámh,bein
57,Knochen::N,cnámh,knokkel
58,Gehirn::N,inchinn,hjerne
59,Herz::N,croí,hjerte
60,Magen::N,bolg,mage
61,Magen::N,goile,mage
62,Leber::N,ae,lever
63,Atem::N,anáil,pust
64,Hunger::N,ocras,sult
65,Träne::N,deoir,tåre
66,Geschmack::N,blas,smak
67,Geruch::N,boladh,lukt
68,Schlaf::N,suan,søvn
69,Schlaf::N,codladh,søvn
70,Traum::N,taibhreamh,drøm
71,Himmel::N,spéir,himmel
72,Sonne::N,grian,sol
73,Mond::N,ré,måne
74,Mond::N,gealach,måne
75,Stern::N,rinn,stjerne
76,Stern::N,réalta,stjerne
77,Luft::N,aer,luft
78,Wind::N,gaoth,vind
79,Welle::N,tonn,bølge
80,Wasser::N,uisce,vann
81,Stein::N,cloch,stein
82,Boden::N,talamh,bakke
83,Erde::N,cré,jord
84,Erde::N,ithir,jord
85,Staub::N,dusta,støv
86,Staub::N,deannach,støv
87,Rauch::N,toit,røyk
88,Rauch::N,deatach,røyk
89,Funke::N,drithle,gnist
90,Feuer::N,tine,ild
91,Licht::N,solas,lys
92,Schatten::N,scáth,skygge
93,Wetter::N,aimsir,vær
94,Nebel::N,ceo,tåke
95,Wolke::N,néal,sky
96,Wolke::N,scamall,sky
97,Regen::N,báisteach,regn
98,Regen::N,fearthainn,regn
99,Schnee::N,sneachta,snø
100,Eis::N,oighear,is
101,Frost::N,sioc,frost
102,Kälte::N,fuacht,kulde
103,Hitze::N,teas,hete
104,Hitze::N,teocht,hete
105,Raureif::N,sioc bán,rimfrost
106,Regenbogen::N,stua ceatha,regnbue
107,Regenbogen::N,bogha báistí,regnbue
108,Donner::N,toirneach,torden
109,Strömung::N,sruth,strømning
110,Tropfen::N,deoir,dråpe
111,Schaum::N,cúr,skum
112,Schmutz::N,salachar,søl
113,Schmutz::N,salachar,skitt
114,See::N,loch,sjø
115,Sumpf::N,portach,sump
116,Sumpf::N,portach,myrlende
117,Moor::N,caorán,myr
118,Moor::N,caorán,myrhei
119,Moor::N,móinteán,myr
120,Moor::N,móinteán,myrhei
121,Wiese::N,cluain,eng
122,Wiese::N,móinéar,eng
123,Wald::N,coill,skog
124,Wald::N,foraois,skog
125,Hügel::N,ard,haug
126,Hügel::N,ard,bakke
127,Anhöhe::N,ard,haug
128,Anhöhe::N,ard,bakke
129,Anhöhe::N,ardán,haug
130,Anhöhe::N,ardán,bakke
131,Berg::N,sliabh,berg
