,Concept_ID,he,ka
0,Auge::N,עין,თვალი
1,Ohr::N,אזן,ყური
2,Nase::N,אף,ცხვირი
3,Nase::N,חטם,ცხვირი
4,Mund::N,פה,პირი
5,Zahn::N,שן,კბილი
6,Zunge::N,לשון,ენა
7,Lippe::N,שפה,ბაგე
8,Wange::N,לחי,ლოყა
9,Gesicht::N,פנים,სახე
10,Stirn::N,מצח,შუბლი
11,Haar::N,שערה,თმა
12,Schnurrbart::N,שפם,ულვაში
13,Bart::N,זקן,წვერი
14,Kinn::N,סנטר,ნიკაპი
15,Kiefer[Anatomie]::N,לסת,ყბა
16,Kehle::N,גרון,ყელი
17,Hals::N,צואר,ყელი
18,Hals::N,צואר,კისერი
19,Genick::N,ערף,კეფა
20,Kopf::N,ראש,თავი
21,Rücken::N,גב,ზურგი
22,Bauch::N,בטן,მუცელი
23,Nabel::N,טבור,ჭიპი
24,Busen::N,שד,ძუძუ
25,Brust::N,חזה,მკერდი
26,Schulter::N,כתף,მხარი
27,Schulter::N,כתף,მკლავი
28,Arm::N,זרוע,ხელი
29,Ellenbogen::N,מרפק,იდაყვი
30,Hand::N,יד,ხელი
31,Handfläche::N,כף יד,ნები
32,Handfläche::N,כף יד,ხელისგული
33,Finger::N,אצבע,თითი
34,Fingernagel::N,צפרן,ფრჩხილი
35,Nagel[Anatomie]::N,צפרן,ფრჩხილი
36,Zeh::N,אצבע,ფეხის თითი
37,Fuß::N,רגל,ტერფი
38,Fuß::N,רגל,ფეხისგული
39,Ferse::N,עקב,ქუსლი
40,Knie::N,ברך,მუხლი
41,Oberschenkel::N,ירך,ბარძაყი
42,Bein::N,רגל,ფეხი
43,Körper::N,גוף,ტანი
44,Körper::N,גוף,სხეული
45,Haut::N,עור,კანი
46,Blut::N,דם,სისხლი
47,Ader::N,וריד,ძარღვი
48,Sehne::N,גיד,მყესი
49,Knochen::N,עצם,ძვალი
50,Gehirn::N,מוח,ტვინი
51,Herz::N,לב,გული
52,Magen::N,קבה,კუჭი
53,Leber::N,כבד,ღვიძლი
54,Atem::N,נשימה,სუნთქვა
55,Hunger::N,רעב,შიმშილი
56,Träne::N,דמעה,ცრემლი
57,Geschmack::N,טעם,გემო
58,Geruch::N,ריח,სუნი
59,Schlaf::N,שנה,ძილი
60,Traum::N,חלום,სიზმარი
61,Himmel::N,שמים,ცა
62,Sonne::N,שמש,მზე
63,Mond::N,ירח,მთვარე
64,Stern::N,כוכב,ვარსკვლავი
65,Luft::N,אויר,ჰაერი
66,Wind::N,רוח,ქარი
67,Welle::N,גל,ტალღა
68,Wasser::N,מים,წყალი
69,Stein::N,אבן,ქვა
70,Boden::N,קרקע,მიწა
71,Erde::N,אדמה,ნიადაგი
72,Staub::N,אבק,მტვერი
73,Rauch::N,עשן,ბოლი
74,Rauch::N,עשן,კვამლი
75,Funke::N,ניצוץ,ნაკვესი
76,Feuer::N,אש,ცეცხლი
77,Licht::N,אור,შუქი
78,Licht::N,אור,სინათლე
79,Schatten::N,צל,ლანდი
80,Schatten::N,צל,ჩრდილი
81,Wetter::N,מזג אויר,ამინდი
82,Nebel::N,ערפל,ნისლი
83,Wolke::N,ענן,ღრუბელი
84,Regen::N,גשם,წვიმა
85,Schnee::N,שלג,თოვლი
86,Eis::N,קרח,თოში
87,Eis::N,קרח,ყინული
88,Frost::N,צנה,ყინვა
89,Kälte::N,קר,სიცივე
90,Hitze::N,חם,სიცხე
91,Raureif::N,כפור,ჭირხლი
92,Raureif::N,כפור,თრთვილი
93,Regenbogen::N,קשת,ცისარტყელა
94,Donner::N,רעם,ქუხილი
95,Strömung::N,זרימה,დინება
96,Tropfen::N,טפה,წვეთი
97,Schaum::N,קצף,ქაფი
98,Schaum::N,קצף,დორბლი
99,Schmutz::N,לכלוך,ჭუჭყი
100,Schmutz::N,לכלוך,ტალახი
101,See::N,אגם,ტბა
102,Sumpf::N,בצה,ჭაობი
103,Moor::N,בצה,ტორფნარი
104,Wiese::N,מרעה,ველი
105,Wiese::N,מרעה,მდელო
106,Wald::N,יער,ტყე
107,Hügel::N,תל,ბორცვი
108,Anhöhe::N,מעלה,მაღლობი
109,Berg::N,הר,მთა
110,Gipfel::N,פסגה,მწვერვალი
111,Höhle::N,מערה,მღვიმე
112,Höhle::N,מערה,გამოქვებული
113,Abhang::N,מדרון,ფერდობი
114,Abhang::N,שפוע,ფერდობი
115,Quelle::N,מעין,წყარო
116,Quelle::N,מעין,სათავე
117,Bach::N,נחל,რუ
118,Bach::N,נחל,ნაკადული
119,Fluss::N,נהר,მდინარე
120,Ufer::N,גדה,კიდე
121,Ufer::N,גדה,ნაპირი
122,Küste::N,חוף,ნაპირი
123,Festland::N,יבשה,ხმელეთი
124,Meer::N,ים,ზღვა
125,Bucht::N,מפרץ,ყურე
126,Insel::N,אי,კუნძული
127,Blume::N,פרח,ყვავილი
128,Gras::N,דשא,ბალახი
129,Wurzel::N,שרש,ძირი
130,Wurzel::N,שרש,ფესვი
131,Baum::N,עץ,ხე
132,Stamm::N,גזע,ტანი
133,Rinde::N,קלפת עץ,ქერქი
134,Ast::N,ענף,ტოტი
135,Zweig::N,ענף,შტო
136,Blatt::N,עלה,ფოთოლი
137,Birke::N,שדר,არყი
138,Kiefer[Baum]::N,ארן,ფიჭვი
139,Weide[Baum]::N,ערבה,ტირიფი
140,Tanne::N,אשוח,ნაძვი
141,Horn::N,קרן,რქა
