,Concept_ID,hr,fi
0,Auge::N,oko,silmä
1,Ohr::N,uho,korva
2,Nase::N,nos,nenä
3,Mund::N,usta,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jezik,kieli
6,Lippe::N,usna,huuli
7,Wange::N,obraz,poski
8,Gesicht::N,lice,naama
9,Gesicht::N,lice,kasvot
10,Stirn::N,čelo,otsa
11,Haar::N,kosa,hius
12,Haar::N,kosa,tukka
13,Schnurrbart::N,brkovi,viikset
14,Bart::N,brada,parta
15,Kinn::N,brada,leuka
16,Kinn::N,podbradak,leuka
17,Kiefer[Anatomie]::N,čeljust,leukaluu
18,Kehle::N,grlo,kurkku
19,Hals::N,vrat,kaula
20,Genick::N,zatiljak,niska
21,Kopf::N,glava,pää
22,Rücken::N,leđa,selkä
23,Rücken::N,hrbat,selkä
24,Bauch::N,trbuh,maha
25,Bauch::N,trbuh,vatsa
26,Nabel::N,pupak,napa
27,Busen::N,sisa,rinta
28,Busen::N,njedra,rinta
29,Brust::N,prsa,rinta
30,Schulter::N,rame,olka
31,Schulter::N,rame,hartia
32,Schulter::N,rame,olkapää
33,Schulter::N,pleći,olka
34,Schulter::N,pleći,hartia
35,Schulter::N,pleći,olkapää
36,Arm::N,ruka,käsivarsi
37,Ellenbogen::N,lakat,kyynärpää
38,Hand::N,ruka,käsi
39,Handfläche::N,dlan,kämmen
40,Finger::N,prst,sormi
41,Fingernagel::N,nokat,kynsi
42,Nagel[Anatomie]::N,nokat,kynsi
43,Zeh::N,nozni prst,varvas
44,Fuß::N,noga,jalka
45,Fuß::N,stopalo,jalka
46,Ferse::N,peta,kantapää
47,Knie::N,koljeno,polvi
48,Oberschenkel::N,bedro,reisi
49,Bein::N,noga,jalka
50,Körper::N,tijelo,keho
51,Körper::N,tijelo,ruumis
52,Haut::N,put,iho
53,Haut::N,koža,iho
54,Blut::N,krv,veri
55,Ader::N,žila,suoni
56,Sehne::N,tetiva,jänne
57,Knochen::N,kost,luu
58,Herz::N,srce,sydän
59,Magen::N,stomak,maha
60,Magen::N,stomak,vatsa
61,Magen::N,želudac,maha
62,Magen::N,želudac,vatsa
63,Leber::N,jetra,maksa
64,Atem::N,dah,henki
65,Atem::N,dah,hengitys
66,Hunger::N,glad,nälkä
67,Träne::N,suza,kyynel
68,Geschmack::N,ukus,maku
69,Geruch::N,njuh,haju
70,Geruch::N,miris,haju
71,Schlaf::N,san,uni
72,Traum::N,san,uni
73,Himmel::N,nebo,taivas
74,Sonne::N,sunce,aurinko
75,Mond::N,mjesec,kuu
76,Stern::N,zvijezda,tähti
77,Luft::N,zrak,ilma
78,Wind::N,vjetar,tuuli
79,Welle::N,val,aalto
80,Welle::N,talas,aalto
81,Wasser::N,voda,vesi
82,Stein::N,kamen,kivi
83,Boden::N,tlo,maa
84,Boden::N,tlo,maaperä
85,Boden::N,zemlja,maa
86,Boden::N,zemlja,maaperä
87,Erde::N,zemlja,maa
88,Staub::N,prah,pöly
89,Staub::N,prašina,pöly
90,Rauch::N,dim,savu
91,Funke::N,iskra,kipinä
92,Funke::N,varnica,kipinä
93,Feuer::N,vatra,tuli
94,Licht::N,svjetlo,valo
95,Schatten::N,hlad,varjo
96,Schatten::N,sjena,varjo
97,Wetter::N,vrijeme,sää
98,Nebel::N,magla,sumu
99,Wolke::N,oblak,pilvi
100,Regen::N,kiša,sade
101,Schnee::N,snijeg,lumi
102,Eis::N,led,jää
103,Frost::N,mraz,halla
104,Frost::N,mraz,pakkanen
105,Kälte::N,studen,vilu
106,Kälte::N,studen,kylmyys
107,Kälte::N,hladnoća,vilu
108,Kälte::N,hladnoća,kylmyys
109,Hitze::N,vrućina,helle
110,Hitze::N,vrućina,kuumuus
111,Raureif::N,inje,huurre
112,Regenbogen::N,duga,sateenkaari
113,Donner::N,grom,jyrinä
114,Donner::N,grmljavina,jyrinä
115,Strömung::N,struja,virtaus
