,Concept_ID,hu,lv
0,Auge::N,szem,син
1,Auge::N,szem,acs
2,Ohr::N,fül,пель
3,Ohr::N,fül,auss
4,Nase::N,orr,ныр
5,Nase::N,orr,deguns
6,Mund::N,száj,вом
7,Mund::N,száj,mute
8,Zahn::N,fog,пинь
9,Zahn::N,fog,zobs
10,Zunge::N,nyelv,кыв
11,Zunge::N,nyelv,mēle
12,Lippe::N,ajak,вом дор
13,Lippe::N,ajak,lūpa
14,Wange::N,orca,бан
15,Wange::N,orca,vaigs
16,Gesicht::N,arc,чужӧм
17,Gesicht::N,arc,seja
18,Gesicht::N,arc,ģīmis
19,Stirn::N,homlok,плеш
20,Stirn::N,homlok,кымӧс
21,Stirn::N,homlok,piere
22,Haar::N,haj,си
23,Haar::N,haj,юрси
24,Haar::N,haj,mats
25,Schnurrbart::N,bajusz,ус
26,Schnurrbart::N,bajusz,пыртсим
27,Schnurrbart::N,bajusz,ūsas
28,Bart::N,szakáll,тош
29,Bart::N,szakáll,bārda
30,Kinn::N,áll,тшӧка
31,Kinn::N,áll,zods
32,Kinn::N,áll,smakrs
33,Kiefer[Anatomie]::N,állkapocs,черлы
34,Kiefer[Anatomie]::N,állkapocs,алака лы
35,Kiefer[Anatomie]::N,állkapocs,вомкӧтш лы
36,Kiefer[Anatomie]::N,állkapocs,žoklis
37,Kehle::N,gége,голя
38,Kehle::N,gége,rīkle
39,Kehle::N,torok,голя
40,Kehle::N,torok,rīkle
41,Hals::N,nyak,сьылі
42,Hals::N,nyak,kakls
43,Genick::N,tarkó,юрбӧр
44,Genick::N,tarkó,балябӧж
45,Genick::N,tarkó,sprands
46,Kopf::N,fő,юр
47,Kopf::N,fő,galva
48,Kopf::N,fej,юр
49,Kopf::N,fej,galva
50,Rücken::N,hát,мыш
51,Rücken::N,hát,mugura
52,Bauch::N,has,рушку
53,Bauch::N,has,vēders
54,Nabel::N,köldök,гӧг
55,Nabel::N,köldök,naba
56,Busen::N,mell,морӧс
57,Busen::N,mell,krūts
58,Busen::N,kebel,морӧс
59,Busen::N,kebel,krūts
60,Brust::N,mell,морӧс
61,Brust::N,mell,krūts
62,Schulter::N,váll,пельпом
63,Schulter::N,váll,plecs
64,Arm::N,kar,ки
65,Arm::N,kar,roka
