,Concept_ID,hu,sv
0,Auge::N,szem,öga
1,Ohr::N,fül,öra
2,Nase::N,orr,näsa
3,Mund::N,száj,mun
4,Zahn::N,fog,tand
5,Zunge::N,nyelv,tunga
6,Lippe::N,ajak,läpp
7,Wange::N,orca,kind
8,Gesicht::N,arc,syn
9,Gesicht::N,arc,ansikte
10,Stirn::N,homlok,panna
11,Haar::N,haj,hår
12,Schnurrbart::N,bajusz,mustasch
13,Bart::N,szakáll,skägg
14,Kinn::N,áll,haka
15,Kiefer[Anatomie]::N,állkapocs,käke
16,Kehle::N,gége,strupe
17,Kehle::N,torok,strupe
18,Hals::N,nyak,hals
19,Genick::N,tarkó,nacke
20,Kopf::N,fő,huvud
21,Kopf::N,fej,huvud
22,Rücken::N,hát,rygg
23,Bauch::N,has,buk
24,Bauch::N,has,mage
25,Nabel::N,köldök,navel
26,Busen::N,mell,barm
27,Busen::N,kebel,barm
28,Brust::N,mell,bröst
29,Schulter::N,váll,skuldra
30,Arm::N,kar,arm
31,Ellenbogen::N,könyök,armbåge
32,Hand::N,kéz,hand
33,Handfläche::N,tenyér,handflata
34,Finger::N,ujj,finger
35,Fingernagel::N,köröm,fingernagel
36,Nagel[Anatomie]::N,köröm,nagel
37,Zeh::N,lábujj,tå
38,Fuß::N,láb,fot
39,Ferse::N,sarok,häl
40,Knie::N,térd,knä
41,Oberschenkel::N,comb,lår
42,Bein::N,láb,ben
43,Bein::N,lábszár,ben
44,Körper::N,test,kropp
45,Haut::N,bőr,hud
46,Haut::N,bőr,skinn
47,Blut::N,vér,blod
48,Ader::N,ér,åder
49,Sehne::N,ín,sena
50,Knochen::N,csont,ben
51,Gehirn::N,agy,hjärna
52,Gehirn::N,agyvelő,hjärna
53,Herz::N,szív,hjärta
54,Magen::N,gyomor,mage
55,Leber::N,máj,lever
56,Atem::N,lehelet,anda
57,Atem::N,lehelet,andedräkt
58,Atem::N,lélegzet,anda
59,Atem::N,lélegzet,andedräkt
60,Hunger::N,éhség,svält
61,Hunger::N,éhség,hunger
62,Träne::N,könny,tår
63,Geschmack::N,íz,smak
64,Geruch::N,szag,lukt
65,Schlaf::N,álom,sömn
66,Schlaf::N,alvás,sömn
67,Traum::N,álom,dröm
68,Himmel::N,ég,himmel
69,Himmel::N,menny,himmel
70,Sonne::N,nap,sol
71,Mond::N,hold,måne
72,Stern::N,csillag,stjärna
73,Luft::N,levegő,luft
74,Wind::N,szél,vind
75,Welle::N,hullám,våg
76,Welle::N,hullám,bölja
77,Wasser::N,víz,vatten
78,Stein::N,kő,sten
79,Boden::N,föld,mark
80,Boden::N,talaj,mark
81,Erde::N,föld,jord
82,Staub::N,por,damm
83,Rauch::N,füst,rök
84,Funke::N,szikra,gnista
85,Feuer::N,tűz,eld
86,Licht::N,fény,ljus
87,Schatten::N,árnyék,skugga
88,Wetter::N,idő,väder
89,Wetter::N,időjárás,väder
90,Nebel::N,köd,dimma
91,Nebel::N,köd,töcken
92,Wolke::N,felhő,sky
93,Wolke::N,felhő,moln
94,Regen::N,eső,regn
95,Schnee::N,hó,snö
96,Eis::N,jég,is
97,Frost::N,fagy,frost
98,Kälte::N,hideg,köld
99,Hitze::N,hő,hetta
100,Hitze::N,hőség,hetta
101,Raureif::N,zúzmara,rimfrost
102,Regenbogen::N,szivárvány,regnbåge
103,Donner::N,dörgés,åska
104,Donner::N,dörgés,dunder
105,Donner::N,mennydörgés,åska
106,Donner::N,mennydörgés,dunder
107,Strömung::N,áramlat,strömning
108,Tropfen::N,csepp,dropper
109,Schaum::N,hab,skum
110,Schaum::N,tajték,skum
111,Schmutz::N,piszok,lort
112,Schmutz::N,piszok,smuts
113,See::N,tó,sjö
114,Sumpf::N,mocsár,träsk
115,Moor::N,láp,myr
116,Moor::N,láp,mosse
117,Wiese::N,rét,äng
118,Wiese::N,mező,äng
119,Wald::N,erdő,skog
120,Hügel::N,domb,höjd
121,Hügel::N,domb,kulle
122,Anhöhe::N,magaslat,höjd
123,Anhöhe::N,magaslat,backe
124,Berg::N,hegy,berg
125,Berg::N,hegy,fjäll
126,Gipfel::N,csúcs,topp
127,Höhle::N,barlang,håla
128,Höhle::N,barlang,grotta
129,Abhang::N,lejtő,slänt
130,Abhang::N,lejtő,sluttning
131,Quelle::N,forrás,källa
132,Bach::N,patak,bäck
133,Fluss::N,folyó,älv
134,Fluss::N,folyó,flod
135,Ufer::N,part,strand
136,Küste::N,tengerpart,kust
137,Festland::N,szárazföld,fastland
138,Meer::N,tenger,hav
139,Bucht::N,öböl,vik
140,Bucht::N,öböl,bukt
141,Insel::N,sziget,ö
142,Blume::N,virág,blomma
143,Blume::N,virág,blomster
144,Gras::N,fű,gräs
145,Wurzel::N,gyökér,rot
146,Baum::N,fa,träd
147,Stamm::N,tő,stam
148,Stamm::N,törzs,stam
149,Rinde::N,kéreg,bark
150,Ast::N,ág,gren
151,Zweig::N,gally,kvist
152,Blatt::N,levél,löv
153,Blatt::N,levél,blad
154,Birke::N,nyír,björk
155,Kiefer[Baum]::N,fenyő,tall
156,Weide[Baum]::N,fűz,pil
157,Weide[Baum]::N,fűz,vide
158,Tanne::N,fenyő,gran
159,Horn::N,szarv,horn
160,Feder::N,toll,fjäder
161,Fell::N,szőr,fäll
162,Fell::N,szőr,skinn
163,Fell::N,bunda,fäll
164,Fell::N,bunda,skinn
165,Flügel::N,szárny,vinge
166,Klaue::N,köröm,klöv
167,Kralle::N,karom,klo
168,Schwanz::N,farok,svans
169,Schwanz::N,farok,stjärt
170,Ei::N,tojás,ägg
171,Nest::N,fészek,rede
172,Nest::N,fészek,näste
173,Bau::N,odú,bo
174,Tier::N,állat,djur
175,Herde::N,nyáj,flock
176,Herde::N,csorda,flock
177,Kuh::N,tehén,ko
178,Bulle::N,bika,tjur
