,Concept_ID,hy,ka
0,Auge::N,աչք,თვალი
1,Ohr::N,ականջ,ყური
2,Nase::N,քիթ,ცხვირი
3,Mund::N,բերան,პირი
4,Zahn::N,ատամ,კბილი
5,Zunge::N,լեզու,ენა
6,Lippe::N,շրթունք,ბაგე
7,Wange::N,այտ,ლოყა
8,Wange::N,թուշ,ლოყა
9,Gesicht::N,դեմք,სახე
10,Stirn::N,ճակատ,შუბლი
11,Haar::N,մազ,თმა
12,Schnurrbart::N,բեղ,ულვაში
13,Bart::N,մորուք,წვერი
14,Kinn::N,կզակ,ნიკაპი
15,Kiefer[Anatomie]::N,ծնոտ,ყბა
16,Kehle::N,կոկորդ,ყელი
17,Hals::N,վիզ,ყელი
18,Hals::N,վիզ,კისერი
19,Hals::N,պարանոց,ყელი
20,Hals::N,պարանոց,კისერი
21,Genick::N,ծոծրակ,კეფა
22,Kopf::N,գլուխ,თავი
23,Rücken::N,մեջք,ზურგი
24,Bauch::N,փոր,მუცელი
25,Bauch::N,որովայն,მუცელი
26,Nabel::N,պորտ,ჭიპი
27,Busen::N,ծոց,ძუძუ
28,Brust::N,կուրծք,მკერდი
29,Schulter::N,ուս,მხარი
30,Schulter::N,ուս,მკლავი
31,Arm::N,թեւ,ხელი
32,Arm::N,բազուկ,ხელი
33,Ellenbogen::N,արմունկ,იდაყვი
34,Hand::N,ձեռք,ხელი
35,Handfläche::N,ափ,ნები
36,Handfläche::N,ափ,ხელისგული
37,Finger::N,մատ,თითი
38,Fingernagel::N,եղունգ,ფრჩხილი
39,Nagel[Anatomie]::N,եղունգ,ფრჩხილი
40,Zeh::N,ոտքի մատ,ფეხის თითი
41,Fuß::N,ոտք,ტერფი
42,Fuß::N,ոտք,ფეხისგული
43,Ferse::N,գարշապար,ქუსლი
44,Knie::N,ծունկ,მუხლი
45,Oberschenkel::N,ազդր,ბარძაყი
46,Bein::N,ոտք,ფეხი
47,Körper::N,մարմին,ტანი
48,Körper::N,մարմին,სხეული
49,Haut::N,մաշկ,კანი
50,Blut::N,արյուն,სისხლი
51,Ader::N,երակ,ძარღვი
52,Sehne::N,ջիղ,მყესი
53,Sehne::N,ձգտան,მყესი
54,Knochen::N,ոսկոր,ძვალი
55,Gehirn::N,խելք,ტვინი
56,Herz::N,սիրտ,გული
57,Magen::N,ստամոքս,კუჭი
58,Leber::N,լյարդ,ღვიძლი
59,Atem::N,շունչ,სუნთქვა
60,Hunger::N,քաղց,შიმშილი
61,Träne::N,արտասուք,ცრემლი
62,Geschmack::N,համ,გემო
63,Geschmack::N,բուրմունք,გემო
64,Geruch::N,հոտ,სუნი
65,Geruch::N,բուրում,სუნი
66,Schlaf::N,քուն,ძილი
67,Traum::N,երազ,სიზმარი
68,Himmel::N,երկինք,ცა
69,Sonne::N,արեւ,მზე
70,Mond::N,լուսին,მთვარე
71,Stern::N,աստղ,ვარსკვლავი
72,Luft::N,օդ,ჰაერი
73,Wind::N,քամի,ქარი
74,Welle::N,ալիք,ტალღა
75,Wasser::N,ջուր,წყალი
76,Stein::N,քար,ქვა
77,Boden::N,գետին,მიწა
78,Erde::N,հող,ნიადაგი
79,Staub::N,փոշի,მტვერი
80,Rauch::N,ծուխ,ბოლი
81,Rauch::N,ծուխ,კვამლი
82,Funke::N,կայծ,ნაკვესი
83,Feuer::N,կրակ,ცეცხლი
84,Feuer::N,հրդեհ,ცეცხლი
85,Licht::N,լույս,შუქი
86,Licht::N,լույս,სინათლე
87,Schatten::N,ստվեր,ლანდი
88,Schatten::N,ստվեր,ჩრდილი
89,Wetter::N,եղանակ,ამინდი
90,Nebel::N,մեգ,ნისლი
91,Nebel::N,մառախուղ,ნისლი
92,Wolke::N,ամպ,ღრუბელი
93,Regen::N,անձրև,წვიმა
94,Schnee::N,ձյուն,თოვლი
95,Eis::N,սառույց,თოში
96,Eis::N,սառույց,ყინული
97,Frost::N,սառնամանիք,ყინვა
98,Kälte::N,դող,სიცივე
99,Hitze::N,շոգ,სიცხე
100,Raureif::N,ցօղեղեամ,ჭირხლი
101,Raureif::N,ցօղեղեամ,თრთვილი
102,Regenbogen::N,ծիածան,ცისარტყელა
103,Donner::N,որոտ,ქუხილი
104,Strömung::N,հոսանք,დინება
105,Tropfen::N,կաթիլ,წვეთი
106,Schaum::N,փրփուր,ქაფი
107,Schaum::N,փրփուր,დორბლი
108,Schmutz::N,կեղտ,ჭუჭყი
109,Schmutz::N,կեղտ,ტალახი
110,See::N,լիճ,ტბა
111,Sumpf::N,ճահիճ,ჭაობი
112,Moor::N,ճահիճ,ტორფნარი
113,Wiese::N,մարգագետին,ველი
114,Wiese::N,մարգագետին,მდელო
115,Wald::N,անտառ,ტყე
116,Hügel::N,բլուր,ბორცვი
117,Anhöhe::N,բարձունք,მაღლობი
118,Berg::N,լեռ,მთა
119,Gipfel::N,գագաթ,მწვერვალი
120,Gipfel::N,կատար,მწვერვალი
121,Höhle::N,քարայր,მღვიმე
122,Höhle::N,քարայր,გამოქვებული
123,Abhang::N,լանջ,ფერდობი
124,Abhang::N,զառիվայր,ფერდობი
125,Quelle::N,աղբյուր,წყარო
126,Quelle::N,աղբյուր,სათავე
127,Bach::N,վտակ,რუ
128,Bach::N,վտակ,ნაკადული
129,Fluss::N,գետ,მდინარე
130,Ufer::N,ծովափ,კიდე
131,Ufer::N,ծովափ,ნაპირი
132,Küste::N,ափ,ნაპირი
133,Küste::N,ծովափ,ნაპირი
134,Festland::N,ցամաք,ხმელეთი
135,Meer::N,ծով,ზღვა
136,Bucht::N,հաչիւն,ყურე
137,Insel::N,վղզի,კუნძული
138,Blume::N,ծաղիկ,ყვავილი
139,Gras::N,խոտ,ბალახი
140,Wurzel::N,արմատ,ძირი
141,Wurzel::N,արմատ,ფესვი
142,Baum::N,ծառ,ხე
143,Stamm::N,իրան,ტანი
144,Rinde::N,կեղեւ,ქერქი
145,Rinde::N,հաչոց,ქერქი
146,Ast::N,ճյուղ,ტოტი
147,Zweig::N,ճյուղ,შტო
148,Blatt::N,տերեւ,ფოთოლი
149,Birke::N,ցարասի,არყი
150,Kiefer[Baum]::N,սոճի,ფიჭვი
151,Weide[Baum]::N,ուռենի,ტირიფი
152,Tanne::N,եղեւին,ნაძვი
153,Feder::N,փետուր,ფრთა
154,Fell::N,մորթի,ტყავი
155,Flügel::N,թեւ,ფრთა
156,Klaue::N,չանչ,კლანჭი
157,Kralle::N,ճանկ,ტორი
158,Schwanz::N,պոչ,კუდი
159,Ei::N,ձու,კვერცხი
160,Nest::N,բույն,ბუდე
161,Bau::N,որջ,სორო
162,Bau::N,բայոց,სორო
163,Tier::N,կենդանի,ნადირი
164,Tier::N,կենդանի,ცხოველი
165,Herde::N,հոտ,ფარა
166,Kuh::N,կով,ფური
167,Kuh::N,կով,ძროხა
168,Bulle::N,ցուլ,ხარი
169,Pferd::N,ձի,რაში
170,Pferd::N,ձի,ცხენი
171,Schaf::N,ոչխար,ცხვარი
172,Schwein::N,խոզ,ღორი
173,Hund::N,շուն,ძაღლი
174,Katze::N,կատու,კატა
175,Bär::N,արջ,დათვი
176,Eichhörnchen::N,սկյուռ,ციყვი
177,Elch::N,հիւսիսային եղջերու,ცხენ-ირემი
178,Fuchs::N,աղվես,მელა
179,Hase::N,նապաստակ,კურდღელი
180,Maus::N,մուկ,თაგვი
181,Wolf::N,գայլ,მგელი
182,Vogel::N,թռչուն,ჩიტი
183,Vogel::N,թռչուն,ფრინველი
184,Schwarm::N,երամ,გუნდი
185,Huhn::N,հավ,დედალი
186,Hahn::N,աքաղաղ,მამალი
187,Gans::N,սագ,ბატი
188,Adler::N,արծիվ,არწივი
189,Ente::N,բադ,იხვი
190,Eule::N,բու,ბუ
191,Kranich::N,կռունկ,წერო
192,Krähe::N,ագռավ,ყვავი
193,Kuckuck::N,կուկու,გუგული
194,Schwan::N,կարապ,გედი
195,Fisch::N,ձուկ,თევზი
196,Barsch::N,պերկես,ქორჭილა
197,Hecht::N,գայլաձուկ,ქარიყლაპია
198,Schlange[Tier]::N,օձ,გველი
199,Wurm::N,որդ,ჭია
200,Wurm::N,ճիճու,ჭია
201,Spinne::N,սարդ,ობობა
202,Ameise::N,միջյուն,ჭიანჭველა
203,Laus::N,ոջիլ,ტილი
204,Laus::N,ոջիլ,მკბენარი
205,Mücke::N,մժղուկ,კოღო
206,Fliege::N,ճանճ,ბუზი
207,Schmetterling::N,թիթեռ,პეპელა
208,Beere::N,հատապտուղ,კენკრა
