,Concept_ID,hy,sq
0,Auge::N,աչք,sy
1,Ohr::N,ականջ,vesh
2,Nase::N,քիթ,hundë
3,Mund::N,բերան,gojë
4,Zahn::N,ատամ,dhëmb
5,Zunge::N,լեզու,gjuhë
6,Lippe::N,շրթունք,buzë
7,Wange::N,այտ,faqe
8,Wange::N,այտ,mollëz
9,Wange::N,թուշ,faqe
10,Wange::N,թուշ,mollëz
11,Gesicht::N,դեմք,fytyrë
12,Stirn::N,ճակատ,ballë
13,Haar::N,մազ,flokë
14,Schnurrbart::N,բեղ,mustaqe
15,Bart::N,մորուք,mjekër
16,Kinn::N,կզակ,mjekër
17,Kiefer[Anatomie]::N,ծնոտ,nofull
18,Kehle::N,կոկորդ,fyt
19,Kehle::N,կոկորդ,grykë
20,Hals::N,վիզ,qafë
21,Hals::N,պարանոց,qafë
22,Genick::N,ծոծրակ,arrëz
23,Kopf::N,գլուխ,kokë
24,Rücken::N,մեջք,kurriz
25,Bauch::N,փոր,bark
26,Bauch::N,որովայն,bark
27,Nabel::N,պորտ,kërthizë
28,Busen::N,ծոց,gji
29,Brust::N,կուրծք,gjoks
30,Brust::N,կուրծք,kraharor
31,Schulter::N,ուս,sup
32,Schulter::N,ուս,krah
33,Arm::N,թեւ,krah
34,Arm::N,բազուկ,krah
35,Ellenbogen::N,արմունկ,bërryl
36,Hand::N,ձեռք,dorë
37,Handfläche::N,ափ,pëllëmbë
38,Finger::N,մատ,gisht
39,Fingernagel::N,եղունգ,thua
40,Nagel[Anatomie]::N,եղունգ,thua
41,Zeh::N,ոտքի մատ,gisht i këmbës
42,Fuß::N,ոտք,këmbë
43,Ferse::N,գարշապար,thembër
44,Knie::N,ծունկ,gju
45,Oberschenkel::N,ազդր,kofshë
46,Bein::N,ոտք,këmbë
47,Körper::N,մարմին,trup
48,Haut::N,մաշկ,lëkurë
49,Blut::N,արյուն,gjak
50,Ader::N,երակ,venë
51,Sehne::N,ջիղ,dell
52,Sehne::N,ձգտան,dell
53,Knochen::N,ոսկոր,asht
54,Knochen::N,ոսկոր,kockë
55,Gehirn::N,խելք,tru
56,Herz::N,սիրտ,zemër
57,Magen::N,ստամոքս,stomak
58,Leber::N,լյարդ,mëlçi
