,Concept_ID,is,bg
0,Auge::N,auga,око
1,Ohr::N,eyra,ухо
2,Nase::N,nef,нос
3,Mund::N,munnur,уста
4,Zahn::N,tönn,зъб
5,Zunge::N,tunga,език
6,Lippe::N,vör,устна
7,Wange::N,kinn,буза
8,Wange::N,vangi,буза
9,Gesicht::N,andlit,лице
10,Gesicht::N,andlit,образ
11,Stirn::N,enni,чело
12,Haar::N,hár,коса
13,Haar::N,hár,косъм
14,Schnurrbart::N,yfirskegg,мустаци
15,Bart::N,skegg,брада
16,Kinn::N,haka,брада
17,Kinn::N,haka,брадичка
18,Kiefer[Anatomie]::N,kjálki,челюст
19,Kiefer[Anatomie]::N,skoltur,челюст
20,Kehle::N,kverk,гърло
21,Hals::N,háls,врат
22,Genick::N,hnakki,тил
23,Kopf::N,höfuð,глава
24,Rücken::N,hryggur,гръб
25,Bauch::N,kviður,корем
26,Nabel::N,nafli,пъп
27,Busen::N,barmur,бозка
28,Brust::N,brjóst,гръд
29,Schulter::N,öxl,рамо
30,Schulter::N,öxl,плещи
31,Arm::N,armur,ръка
32,Ellenbogen::N,olnbogi,лакът
33,Hand::N,hönd,ръка
34,Hand::N,hönd,китка
35,Handfläche::N,lófi,длан
36,Finger::N,fingur,пръст
37,Fingernagel::N,fingurnögl,нокът
38,Nagel[Anatomie]::N,nögl,нокът
39,Zeh::N,tá,пръст на крак
40,Fuß::N,fótur,крак
41,Fuß::N,fótur,нога
42,Ferse::N,hæll,пета
43,Knie::N,kné,коляно
44,Oberschenkel::N,læri,бедро
45,Bein::N,fótleggur,крак
46,Bein::N,fótleggur,нога
47,Körper::N,búkur,тяло
48,Körper::N,líkami,тяло
49,Haut::N,húð,кожа
50,Haut::N,skinn,кожа
51,Blut::N,blóð,кръв
52,Ader::N,æð,вена
53,Ader::N,æð,артерия
54,Sehne::N,sin,жила
55,Sehne::N,sin,сухожилие
56,Knochen::N,bein,кост
57,Gehirn::N,heili,мозък
58,Herz::N,hjarta,сърце
59,Magen::N,magi,стомах
60,Leber::N,lifur,черен дроб
61,Atem::N,andi,дишане
62,Atem::N,andardráttur,дишане
63,Hunger::N,hungur,глад
64,Träne::N,tár,сълза
65,Geschmack::N,smekkur,вкус
66,Geruch::N,lykt,миризма
67,Schlaf::N,svefn,сън
68,Traum::N,draumur,сън
69,Himmel::N,himinn,небе
70,Sonne::N,sól,слънце
71,Mond::N,tungl,луна
72,Mond::N,tungl,месец
73,Stern::N,stjarna,звезда
74,Luft::N,loft,въздух
75,Wind::N,vindur,вятър
76,Welle::N,alda,вълна
77,Welle::N,bylgja,вълна
78,Wasser::N,vatn,вода
79,Stein::N,steinn,камък
80,Boden::N,botn,земя
81,Boden::N,botn,почва
82,Erde::N,jörð,земя
83,Erde::N,jörð,почва
84,Staub::N,ryk,прах
85,Staub::N,duft,прах
86,Rauch::N,reykur,дим
87,Rauch::N,reykur,пушек
88,Funke::N,neisti,искра
89,Feuer::N,eldur,огън
90,Licht::N,ljós,светлина
91,Schatten::N,skuggi,сянка
92,Wetter::N,veður,време
93,Nebel::N,þoka,мъгла
94,Wolke::N,ský,облак
95,Regen::N,regn,дъжд
96,Schnee::N,snjór,сняг
97,Eis::N,ís,лед
98,Frost::N,frost,мраз
99,Kälte::N,kuldi,студ
100,Hitze::N,hiti,жега
101,Hitze::N,hiti,горещина
102,Raureif::N,hrím,скреж
103,Raureif::N,hrím,слана
104,Regenbogen::N,regnbogi,дъга
105,Donner::N,þruma,гръм
106,Strömung::N,straumur,течение
107,Tropfen::N,dropi,капка
108,Schaum::N,froða,пяна
109,Schmutz::N,óhreinindi,кал
110,Schmutz::N,óhreinindi,мръсотия
111,See::N,stöðuvatn,езеро
112,Sumpf::N,fen,блато
113,Moor::N,mýri,мочурище
114,Wiese::N,engi,ливада
115,Wald::N,skógur,гора
116,Hügel::N,hæð,рид
117,Hügel::N,hæð,хълм
118,Hügel::N,hóll,рид
119,Hügel::N,hóll,хълм
120,Anhöhe::N,hæð,могила
121,Anhöhe::N,hæð,възвишение
122,Anhöhe::N,hóll,могила
123,Anhöhe::N,hóll,възвишение
124,Berg::N,fell,планина
125,Berg::N,fjall,планина
126,Gipfel::N,tindur,връх
127,Höhle::N,hellir,пещера
128,Abhang::N,hlíð,склон
129,Abhang::N,hlíð,стръмнина
130,Abhang::N,brekka,склон
131,Abhang::N,brekka,стръмнина
132,Quelle::N,lind,извор
133,Quelle::N,uppspretta,извор
134,Bach::N,lækur,поток
135,Fluss::N,á,река
136,Fluss::N,fljót,река
137,Ufer::N,árbakki,бряг
138,Ufer::N,sjávarbakki,бряг
139,Küste::N,strönd,бряг
140,Küste::N,strönd,крайбрежие
141,Festland::N,meginland,суша
142,Meer::N,haf,море
143,Meer::N,sjór,море
144,Bucht::N,vík,залив
145,Insel::N,eyja,остров
146,Blume::N,blóm,цвете
147,Gras::N,gras,трева
148,Wurzel::N,rót,корен
149,Baum::N,tré,дърво
150,Stamm::N,stofn,стъбло
151,Rinde::N,börkur,кора
152,Ast::N,grein,клон
153,Zweig::N,angi,клон
154,Zweig::N,kvistur,клон
155,Blatt::N,blað,лист
156,Birke::N,birki,бреза
157,Kiefer[Baum]::N,fura,бор
158,Weide[Baum]::N,víðir,върба
159,Tanne::N,greni,ела
160,Horn::N,horn,рог
161,Feder::N,fjöður,перо
162,Fell::N,skinn,кожа
163,Flügel::N,vængur,крило
164,Klaue::N,kló,нокът
165,Kralle::N,kló,нокът
166,Schwanz::N,rófa,опашка
167,Schwanz::N,skott,опашка
168,Ei::N,egg,яйце
169,Nest::N,hreiður,гнездо
170,Bau::N,greni,дупка
171,Bau::N,bæli,дупка
172,Tier::N,dýr,животно
173,Herde::N,hjörð,стадо
174,Kuh::N,kýr,крава
175,Bulle::N,boli,бик
176,Pferd::N,hestur,кон
177,Schaf::N,kind,овца
178,Schwein::N,svín,свиня
179,Hund::N,hundur,куче
180,Katze::N,köttur,котка
181,Bär::N,björn,мечка
182,Eichhörnchen::N,íkorni,катерица
183,Elch::N,elgur,лос
184,Fuchs::N,refur,лисица
185,Hase::N,héri,заек
186,Maus::N,mús,мишка
187,Wolf::N,úlfur,вълк
188,Vogel::N,fugl,птица
189,Schwarm::N,sægur,рой
190,Schwarm::N,sægur,рояк
191,Huhn::N,hæna,кокошка
192,Hahn::N,hani,петел
193,Gans::N,gæs,гъска
194,Adler::N,örn,орел
195,Ente::N,önd,патица
196,Eule::N,uggla,сова
197,Kranich::N,trana,жерав
198,Krähe::N,kráka,врана
199,Kuckuck::N,gaukur,кукувица
200,Schwan::N,svanur,лебед
201,Fisch::N,fiskur,риба
202,Barsch::N,aborri,костур
203,Hecht::N,gedda,щука
204,Schlange[Tier]::N,naðra,змия
205,Wurm::N,ormur,червей
206,Spinne::N,kónguló,паяк
207,Ameise::N,maur,мравка
208,Laus::N,lús,въшка
209,Mücke::N,mý,комар
210,Mücke::N,mýfluga,комар
211,Fliege::N,fluga,муха
212,Schmetterling::N,fiðrildi,пеперуда
213,Beere::N,ber,плод
214,Apfel::N,epli,ябълка
215,Pilz::N,sveppur,гъба
216,Zwiebel::N,laukur,лук
217,Zwiebel::N,laukur,кромид
218,Saat::N,fræ,семе
219,Saat::N,útsæði,семе
220,Korn::N,korn,зърно
221,Heu::N,hey,сено
222,Schale::N,hýði,кора
223,Grube::N,gryfja,яма
224,Grube::N,gryfja,дупка
225,Falle::N,gildra,примка
226,Schlinge::N,snara,клуп
227,Spur::N,spor,диря
228,Spur::N,spor,следа
229,Asche::N,aska,пепел
230,Dreck::N,óþverri,кал
231,Eisen::N,járn,желязо
232,Gold::N,gull,злато
233,Silber::N,silfur,сребро
234,Kohle::N,kol,въглища
235,Glas::N,gler,стъкло
236,Lehm::N,leir,глина
237,Sand::N,sandur,пясък
238,Mensch::N,maður,човек
239,Mensch::N,manneskja,човек
240,Mann::N,maður,мъж
241,Mann::N,karlmaður,мъж
242,Frau::N,kona,жена
243,Kind::N,barn,дете
244,Kind::N,krakki,дете
245,Junge::N,drengur,момче
246,Mädchen::N,stelpa,момиче
247,Familie::N,fjölskylda,фамилия
248,Familie::N,fjölskylda,семейство
249,Großvater::N,afi,дядо
250,Großmutter::N,amma,баба
251,Eltern::N,foreldrar,родители
252,Vater::N,faðir,баща
253,Mutter::N,móðir,майка
254,Sohn::N,sonur,син
255,Tochter::N,dóttir,дъщеря
256,Bruder::N,bróðir,брат
257,Schwester::N,systir,сестра
258,Onkel::N,föðurbróðir,чичо
259,Onkel::N,föðurbróðir,вуйчо
260,Tante::N,frænka,леля
261,Tante::N,móðursystir,леля
262,Ehemann::N,eiginmaður,съпруг
263,Ehefrau::N,eiginkona,съпруга
264,Freude::N,gleði,радост
265,Gelächter::N,hlátur,смях
266,Glück::N,gæfa,щастие
267,Kummer::N,sorg,тъга
268,Wunsch::N,ósk,желание
269,Lust::N,fýsn,желание
270,Lust::N,löngun,желание
271,Geist::N,andi,дух
272,Gedanke::N,hugsun,мисъл
273,Gedächtnis::N,minni,памет
274,Verstand::N,vit,ум
275,Verstand::N,vit,разум
276,Sinn::N,merking,смисъл
277,Grund::N,ástæða,причина
278,Wahrheit::N,sannleikur,правда
279,Gespräch::N,samtal,разговор
280,Märchen::N,ævintýri,приказка
281,Erzählung::N,saga,разказ
282,Nachricht::N,frétt,вест
283,Nachricht::N,frétt,известие
284,Neuigkeit::N,frétt,новина
285,Name::N,nafn,име
286,Rätsel::N,gáta,гатанка
287,Rede::N,ræða,реч
288,Rede::N,ræða,слово
289,Sprache::N,mál,език
290,Sprache::N,tungumál,език
291,Stimme::N,rödd,глас
292,Wort::N,orð,дума
293,Zeichen::N,tákn,знак
294,Zeichen::N,merki,знак
295,Ruf::N,kall,зов
296,Lärm::N,hávaði,шум
297,Lärm::N,hávaði,глъчка
298,Laut::N,hljóð,звук
299,Ton::N,tónn,тон
