,Concept_ID,is,br
0,Auge::N,auga,lagad
1,Ohr::N,eyra,skouarn
2,Nase::N,nef,fri
3,Mund::N,munnur,genoù
4,Zahn::N,tönn,dant
5,Zunge::N,tunga,teod
6,Lippe::N,vör,muzell
7,Wange::N,kinn,chot
8,Wange::N,vangi,chot
9,Gesicht::N,andlit,dremm
10,Stirn::N,enni,tal
11,Haar::N,hár,blev
12,Schnurrbart::N,yfirskegg,mourenn
13,Bart::N,skegg,barv
14,Kinn::N,haka,groñj
15,Kiefer[Anatomie]::N,kjálki,javed
16,Kiefer[Anatomie]::N,skoltur,javed
17,Kehle::N,kverk,gouzoug
18,Hals::N,háls,gouzoug
19,Genick::N,hnakki,choug
20,Kopf::N,höfuð,penn
21,Rücken::N,hryggur,kein
22,Bauch::N,kviður,kof
23,Nabel::N,nafli,begel
24,Busen::N,barmur,bronn
25,Brust::N,brjóst,bruched
26,Schulter::N,öxl,skoaz
27,Arm::N,armur,brec'h
28,Ellenbogen::N,olnbogi,ilin
29,Hand::N,hönd,dorn
30,Handfläche::N,lófi,palv
31,Finger::N,fingur,biz
32,Fingernagel::N,fingurnögl,ivin
33,Nagel[Anatomie]::N,nögl,ivin
34,Zeh::N,tá,biz-troad
35,Fuß::N,fótur,troad
36,Ferse::N,hæll,seul
37,Knie::N,kné,glin
38,Oberschenkel::N,læri,morzhed
39,Bein::N,fótleggur,gar
40,Körper::N,búkur,korf
41,Körper::N,líkami,korf
42,Haut::N,húð,kroc'hen
43,Haut::N,skinn,kroc'hen
44,Blut::N,blóð,gwad
45,Ader::N,æð,gwazhi
46,Sehne::N,sin,stir
47,Knochen::N,bein,askorn
48,Gehirn::N,heili,empenn
49,Herz::N,hjarta,kalon
50,Magen::N,magi,stomog
51,Leber::N,lifur,avu
52,Atem::N,andi,anal
53,Atem::N,andardráttur,anal
54,Hunger::N,hungur,naon
55,Träne::N,tár,daer
56,Geschmack::N,smekkur,blaz
57,Geruch::N,lykt,c'hwezh
58,Schlaf::N,svefn,kousked
59,Traum::N,draumur,hune
60,Himmel::N,himinn,oabl
61,Sonne::N,sól,heol
62,Mond::N,tungl,loar
63,Stern::N,stjarna,steredenn
64,Luft::N,loft,aer
65,Wind::N,vindur,avel
66,Welle::N,alda,houlenn
67,Welle::N,bylgja,houlenn
68,Wasser::N,vatn,dour
69,Stein::N,steinn,maen
70,Boden::N,botn,tachenn
71,Erde::N,jörð,douar
72,Staub::N,ryk,poultr
73,Staub::N,duft,poultr
74,Rauch::N,reykur,moged
75,Funke::N,neisti,ful
76,Feuer::N,eldur,tan
