,Concept_ID,is,ml
0,Auge::N,auga,കണ്ണ്
1,Ohr::N,eyra,ചെവി
2,Nase::N,nef,മൂക്ക്
3,Mund::N,munnur,വായ
4,Zahn::N,tönn,പല്ല്
5,Zunge::N,tunga,നാക്ക്
6,Lippe::N,vör,ചുണ്ട്
7,Wange::N,kinn,കവിൾത്തടം
8,Wange::N,vangi,കവിൾത്തടം
9,Gesicht::N,andlit,മുഖം
10,Stirn::N,enni,നെറ്റി
11,Haar::N,hár,തലമുടി
12,Schnurrbart::N,yfirskegg,മീശ
13,Bart::N,skegg,താടിരോമം
14,Kinn::N,haka,താടി
15,Kiefer[Anatomie]::N,kjálki,താടിയെല്ല്
16,Kiefer[Anatomie]::N,skoltur,താടിയെല്ല്
17,Kehle::N,kverk,കണ്ഠനാളം
18,Hals::N,háls,കഴുത്ത്
19,Genick::N,hnakki,പിടലി
20,Kopf::N,höfuð,തല
21,Rücken::N,hryggur,മുതുക്
22,Bauch::N,kviður,നയറ്
23,Nabel::N,nafli,നാഭി
24,Busen::N,barmur,സ്തനം
25,Brust::N,brjóst,സ്തനം
26,Schulter::N,öxl,തോൾ
27,Arm::N,armur,കൈ
28,Ellenbogen::N,olnbogi,കൈമുട്ട്
29,Hand::N,hönd,കൈ
30,Handfläche::N,lófi,ഉള്ളം കൈ
31,Finger::N,fingur,വിരൽ
32,Fingernagel::N,fingurnögl,നഖം
33,Nagel[Anatomie]::N,nögl,നഖം
34,Zeh::N,tá,കാൽവിരൽ
35,Fuß::N,fótur,കാൽപ്പാദം
36,Ferse::N,hæll,ഉപ്പൂറ്റി
37,Knie::N,kné,കാൽമുട്ട്
38,Oberschenkel::N,læri,തുട
39,Bein::N,fótleggur,കാൽ
40,Körper::N,búkur,ശരീരം
41,Körper::N,líkami,ശരീരം
42,Haut::N,húð,ചർമ്മം
43,Haut::N,skinn,ചർമ്മം
44,Blut::N,blóð,രക്തം
45,Ader::N,æð,ഞരമ്പ്
46,Sehne::N,sin,സ്നായു
47,Knochen::N,bein,അസ്ഥി
48,Gehirn::N,heili,തലച്ചോറ്
49,Herz::N,hjarta,ഹൃദയം
50,Magen::N,magi,വയർ
51,Leber::N,lifur,കരൾ
52,Atem::N,andi,ശ്വാസം
53,Atem::N,andardráttur,ശ്വാസം
54,Hunger::N,hungur,വിശപ്പ്
55,Träne::N,tár,കണ്ണീർ
56,Geschmack::N,smekkur,രുചി
57,Geruch::N,lykt,ഗന്ധം
58,Schlaf::N,svefn,ഉറകും
59,Traum::N,draumur,സ്വപ്നം
60,Himmel::N,himinn,ആകാശം
61,Sonne::N,sól,സൂര്യൻ
62,Mond::N,tungl,ചന്ദ്രൻ
63,Stern::N,stjarna,നക്ഷത്രം
64,Luft::N,loft,കാറ്റ്
65,Wind::N,vindur,കാറ്റ്
66,Welle::N,alda,തിരമാല
67,Welle::N,bylgja,തിരമാല
68,Wasser::N,vatn,വെള്ളം
69,Stein::N,steinn,ശില
70,Stein::N,steinn,കല്ല്
71,Boden::N,botn,തറ
72,Boden::N,botn,നിലം
73,Erde::N,jörð,മണ്ണ്
74,Staub::N,ryk,പൊടി
75,Staub::N,duft,പൊടി
76,Rauch::N,reykur,പുക
77,Funke::N,neisti,തീപ്പൊരി
78,Feuer::N,eldur,തീ
79,Licht::N,ljós,വിളക്ക്
80,Licht::N,ljós,സൂര്യപ്രകാശം
81,Schatten::N,skuggi,തണൽ
82,Wetter::N,veður,കാലാവസ്ഥ
83,Nebel::N,þoka,മൂടൽമഞ്ഞ്
84,Wolke::N,ský,മേഘം
85,Regen::N,regn,മഴ
86,Schnee::N,snjór,മഞ്ഞ്
87,Eis::N,ís,ഐസ്
88,Frost::N,frost,മൂടൽമഞ്ഞ്
89,Kälte::N,kuldi,തണുപ്പ്
90,Hitze::N,hiti,ചൂട്
91,Raureif::N,hrím,കോടമഞ്ഞ്
92,Regenbogen::N,regnbogi,മഴവില്ല്
93,Donner::N,þruma,ഇടി
94,Strömung::N,straumur,പ്രവാഹം
95,Tropfen::N,dropi,തുള്ളി
96,Schaum::N,froða,നുര
97,Schmutz::N,óhreinindi,അഴുക്ക്
98,See::N,stöðuvatn,തടാകം
99,Sumpf::N,fen,ചതുപ്പുനിലം
100,Moor::N,mýri,പാഴ്നിലം
101,Wiese::N,engi,പുൽത്തകിടി
102,Wald::N,skógur,വനം
103,Wald::N,skógur,കാട്
104,Hügel::N,hæð,കുന്ന്
105,Hügel::N,hóll,കുന്ന്
106,Anhöhe::N,hæð,ഉയർന്ന ഭൂമി
107,Anhöhe::N,hóll,ഉയർന്ന ഭൂമി
108,Berg::N,fell,പർവ്വതം
109,Berg::N,fjall,പർവ്വതം
110,Gipfel::N,tindur,ഉച്ചകോടി
111,Höhle::N,hellir,ഗുഹ
112,Abhang::N,hlíð,ചരിവ്
113,Abhang::N,brekka,ചരിവ്
114,Quelle::N,lind,ഉറവിടം
115,Quelle::N,uppspretta,ഉറവിടം
116,Bach::N,lækur,അരുവി
117,Fluss::N,á,നദി
118,Fluss::N,fljót,നദി
119,Ufer::N,árbakki,തീരം
120,Ufer::N,sjávarbakki,തീരം
121,Küste::N,strönd,കടൽത്തീരം
122,Festland::N,meginland,കര
123,Meer::N,haf,കടൽ
124,Meer::N,sjór,കടൽ
125,Bucht::N,vík,ഉൾക്കടല്
126,Insel::N,eyja,ദ്വീപ്
127,Blume::N,blóm,പൂവ്
128,Gras::N,gras,പുല്ല്
129,Wurzel::N,rót,വേര്
130,Baum::N,tré,മരം
131,Stamm::N,stofn,തായ്ത്തടി
132,Rinde::N,börkur,പട്ട
133,Ast::N,grein,ശാഖ
134,Zweig::N,angi,ശാഖ
135,Zweig::N,kvistur,ശാഖ
136,Blatt::N,blað,ഇല
137,Birke::N,birki,പൂവരശ്
138,Kiefer[Baum]::N,fura,പൈൻമരം
139,Weide[Baum]::N,víðir,വില്ലോ
140,Tanne::N,greni,ദേവദാരു
141,Horn::N,horn,മൃഗത്തിൻറെ കൊമ്പ്
142,Feder::N,fjöður,തൂവൽ
