,Concept_ID,is,uk
0,Auge::N,auga,око
1,Ohr::N,eyra,вухо
2,Nase::N,nef,ніс
3,Mund::N,munnur,рот
4,Zahn::N,tönn,зуб
5,Zunge::N,tunga,язик
6,Lippe::N,vör,губа
7,Wange::N,kinn,щока
8,Wange::N,vangi,щока
9,Gesicht::N,andlit,обличчя
10,Stirn::N,enni,лоб
11,Haar::N,hár,волосся
12,Schnurrbart::N,yfirskegg,вуса
13,Bart::N,skegg,борода
14,Kinn::N,haka,підборіддя
15,Kiefer[Anatomie]::N,kjálki,щелепа
16,Kiefer[Anatomie]::N,skoltur,щелепа
17,Kehle::N,kverk,горло
18,Hals::N,háls,шия
19,Genick::N,hnakki,потилиця
20,Kopf::N,höfuð,голова
21,Rücken::N,hryggur,спина
22,Bauch::N,kviður,живіт
23,Nabel::N,nafli,пупок
24,Busen::N,barmur,груди
25,Brust::N,brjóst,груди
26,Schulter::N,öxl,плече
27,Arm::N,armur,рука
28,Ellenbogen::N,olnbogi,лікоть
29,Hand::N,hönd,рука
30,Handfläche::N,lófi,долоня
31,Finger::N,fingur,палець
32,Fingernagel::N,fingurnögl,ніготь
33,Nagel[Anatomie]::N,nögl,ніготь
34,Zeh::N,tá,палець на нозі
35,Fuß::N,fótur,нога
36,Ferse::N,hæll,п’ятка
37,Knie::N,kné,коліно
38,Oberschenkel::N,læri,стегно
39,Bein::N,fótleggur,нога
40,Körper::N,búkur,тіло
41,Körper::N,líkami,тіло
42,Haut::N,húð,шкіра
43,Haut::N,skinn,шкіра
44,Blut::N,blóð,кров
45,Ader::N,æð,вена
46,Sehne::N,sin,сухожилля
47,Knochen::N,bein,кістка
48,Gehirn::N,heili,мозок
49,Herz::N,hjarta,серце
50,Magen::N,magi,шлунок
51,Leber::N,lifur,печінка
52,Atem::N,andi,дихання
53,Atem::N,andardráttur,дихання
54,Hunger::N,hungur,голод
55,Träne::N,tár,сльоза
56,Geschmack::N,smekkur,смак
57,Geruch::N,lykt,запах
58,Schlaf::N,svefn,сон
59,Schlaf::N,svefn,сплячка
60,Traum::N,draumur,сон
61,Himmel::N,himinn,небо
62,Sonne::N,sól,сонце
63,Mond::N,tungl,місяць
64,Stern::N,stjarna,зірка
65,Luft::N,loft,повітря
66,Wind::N,vindur,вітер
67,Welle::N,alda,хвиля
68,Welle::N,bylgja,хвиля
69,Wasser::N,vatn,вода
70,Stein::N,steinn,камінь
71,Boden::N,botn,ґрунт
72,Erde::N,jörð,земля
