,Concept_ID,ja,sk
0,Auge::N,目,oko
1,Ohr::N,耳,ucho
2,Nase::N,鼻,nos
3,Mund::N,口,ústa
4,Zahn::N,歯,zub
5,Zunge::N,舌,jazyk
6,Lippe::N,唇,pera
7,Wange::N,頬,líce
8,Gesicht::N,顔,tvár
9,Gesicht::N,顔,obličaj
10,Stirn::N,額,čelo
11,Haar::N,髪,vlas
12,Schnurrbart::N,口髭,fúzy
13,Bart::N,髭,brada
14,Kinn::N,顎,brada
15,Kiefer[Anatomie]::N,顎,čeľusť
16,Kehle::N,喉,hrdlo
17,Hals::N,首,krk
18,Genick::N,首,väzy
19,Kopf::N,頭,hlava
20,Rücken::N,背中,chrbát
21,Bauch::N,腹,brucho
22,Bauch::N,お腹,brucho
23,Nabel::N,へそ,pupok
24,Busen::N,乳房,prsia
25,Brust::N,胸,hruď
26,Schulter::N,肩,plece
27,Arm::N,腕,rameno
28,Ellenbogen::N,肘,lakeť
29,Hand::N,手,ruka
30,Handfläche::N,手のひら,dlaň
31,Finger::N,指,prst
32,Fingernagel::N,爪,necht
33,Nagel[Anatomie]::N,爪,necht
34,Zeh::N,足の指,prst na nohe
35,Fuß::N,足,noha
36,Ferse::N,かかと,päta
37,Knie::N,膝,koleno
38,Oberschenkel::N,上腿,stehno
39,Bein::N,足,noha
40,Körper::N,体,telo
41,Haut::N,皮膚,koža
42,Blut::N,血,krv
43,Ader::N,血管,žila
44,Sehne::N,腱,šľacha
45,Knochen::N,骨,kosť
46,Gehirn::N,脳,mozog
47,Herz::N,心,srdce
48,Herz::N,心臓,srdce
49,Magen::N,胃,žalúdok
50,Leber::N,肝臓,pečeň
51,Atem::N,息,dych
52,Atem::N,呼吸,dych
53,Hunger::N,空腹,hlad
54,Träne::N,涙,slza
55,Geschmack::N,味,chuť
56,Geruch::N,匂い,pach
57,Schlaf::N,睡眠,spánok
58,Traum::N,夢,sen
59,Himmel::N,空,nebo
60,Sonne::N,太陽,slnko
61,Mond::N,月,mesiac
62,Stern::N,星,hviezda
63,Luft::N,空気,vzduch
64,Wind::N,風,vietor
65,Welle::N,波,vlna
66,Wasser::N,水,voda
67,Stein::N,石,kameň
68,Boden::N,土地,zem
69,Boden::N,土地,pôda
70,Erde::N,土,zem
71,Staub::N,埃,prach
72,Rauch::N,煙,dym
73,Funke::N,火花,iskra
74,Feuer::N,火,oheň
75,Licht::N,光,svetlo
76,Schatten::N,陰,tieň
77,Wetter::N,天気,počasie
78,Nebel::N,霧,hmla
79,Wolke::N,雲,oblak
80,Wolke::N,雲,mračno
81,Regen::N,雨,dážď
82,Schnee::N,雪,sneh
83,Eis::N,氷,ľad
84,Frost::N,霜,mráz
85,Kälte::N,寒さ,zima
86,Kälte::N,寒さ,chlad
87,Hitze::N,暑さ,horúčava
88,Raureif::N,霧氷,srieň
89,Raureif::N,霧氷,inovať
90,Regenbogen::N,虹,dúha
91,Donner::N,雷,hrom
92,Strömung::N,流れ,prúdenie
93,Tropfen::N,滴,kvapka
94,Schaum::N,泡,pena
95,Schmutz::N,汚れ,špina
96,Schmutz::N,汚れ,nečistota
97,See::N,湖,jazero
98,Sumpf::N,沼,bahno
99,Moor::N,湿原,močiar
100,Wiese::N,草原,lúka
101,Wald::N,森,les
102,Wald::N,森,hora
103,Hügel::N,丘,vŕšok
104,Anhöhe::N,高み,výšina
105,Anhöhe::N,高み,vyvýšenina
106,Berg::N,山,hora
107,Gipfel::N,頂上,vrchol
108,Höhle::N,洞窟,jaskyňa
109,Abhang::N,斜面,úbočie
110,Quelle::N,泉,prameň
111,Bach::N,小川,potok
