,Concept_ID,ka,bn
0,Auge::N,თვალი,চক্ষু
1,Ohr::N,ყური,কর্ণ
2,Nase::N,ცხვირი,নাক
3,Mund::N,პირი,মুখ
4,Zahn::N,კბილი,দাঁত
5,Zunge::N,ენა,জিহবা
6,Lippe::N,ბაგე,অধর
7,Wange::N,ლოყა,গণ্ড
8,Gesicht::N,სახე,মুখমণ্ডল
9,Stirn::N,შუბლი,কপাল
10,Haar::N,თმა,চুল
11,Schnurrbart::N,ულვაში,গোঁফ
12,Bart::N,წვერი,শ্মশ্রু
13,Kinn::N,ნიკაპი,চিবুক
14,Kiefer[Anatomie]::N,ყბა,চোয়াল
15,Kehle::N,ყელი,কণ্ঠ
16,Hals::N,ყელი,গল
17,Hals::N,კისერი,গল
18,Genick::N,კეფა,ঘাড়
19,Kopf::N,თავი,মাথা
20,Rücken::N,ზურგი,পৃষ্ঠ
21,Bauch::N,მუცელი,উদর
22,Nabel::N,ჭიპი,নাভি
23,Busen::N,ძუძუ,স্তন
24,Brust::N,მკერდი,বুক
25,Schulter::N,მხარი,স্কন্ধ
26,Schulter::N,მკლავი,স্কন্ধ
27,Arm::N,ხელი,বাহু
28,Ellenbogen::N,იდაყვი,কনুই
29,Hand::N,ხელი,হাত
30,Handfläche::N,ნები,করতল
31,Handfläche::N,ხელისგული,করতল
32,Finger::N,თითი,আঙ্গুল
33,Fingernagel::N,ფრჩხილი,হাতের নখ
34,Nagel[Anatomie]::N,ფრჩხილი,নখ
35,Zeh::N,ფეხის თითი,আঙ্গুল
36,Fuß::N,ტერფი,পা
37,Fuß::N,ფეხისგული,পা
38,Ferse::N,ქუსლი,গোড়ালি
39,Knie::N,მუხლი,হাঁটু
40,Oberschenkel::N,ბარძაყი,ঊরু
41,Bein::N,ფეხი,পা
42,Körper::N,ტანი,দেহ
43,Körper::N,სხეული,দেহ
44,Haut::N,კანი,ত্বক
45,Blut::N,სისხლი,রক্ত
46,Ader::N,ძარღვი,শিরা
47,Sehne::N,მყესი,কণ্ডরা
48,Knochen::N,ძვალი,অস্থি
49,Gehirn::N,ტვინი,মস্তিষ্ক
50,Herz::N,გული,হৃৎপিণ্ড
51,Magen::N,კუჭი,পাকস্থলী
52,Leber::N,ღვიძლი,যকৃৎ
53,Atem::N,სუნთქვა,শ্বাস
54,Hunger::N,შიმშილი,ক্ষুধা
55,Träne::N,ცრემლი,অশ্রু
56,Geschmack::N,გემო,স্বাদ
57,Geruch::N,სუნი,গন্ধ
58,Schlaf::N,ძილი,ঘুম
59,Traum::N,სიზმარი,স্বপ্ন
60,Himmel::N,ცა,আকাশ
61,Sonne::N,მზე,সূর্য
62,Mond::N,მთვარე,চন্দ্র
63,Stern::N,ვარსკვლავი,নক্ষত্র
64,Luft::N,ჰაერი,বায়ু
65,Wind::N,ქარი,বাতাস
66,Welle::N,ტალღა,ঢেউ
67,Welle::N,ტალღა,তরঙ্গ
68,Wasser::N,წყალი,জল
69,Stein::N,ქვა,ঢিল
70,Stein::N,ქვა,প্রস্তর
71,Boden::N,მიწა,ভূতল
72,Erde::N,ნიადაგი,ভূমি
73,Staub::N,მტვერი,ধুলা
74,Rauch::N,ბოლი,ধোঁয়া
75,Rauch::N,კვამლი,ধোঁয়া
76,Funke::N,ნაკვესი,স্ফুলিঙ্গ
77,Feuer::N,ცეცხლი,অগ্নি
78,Licht::N,შუქი,আলো
79,Licht::N,სინათლე,আলো
80,Schatten::N,ლანდი,ছায়া
81,Schatten::N,ჩრდილი,ছায়া
82,Wetter::N,ამინდი,আবহাওয়া
83,Nebel::N,ნისლი,কুহেলিকা
84,Wolke::N,ღრუბელი,মেঘ
85,Regen::N,წვიმა,বৃষ্টি
86,Schnee::N,თოვლი,তুষার
87,Eis::N,თოში,বরফ
88,Eis::N,ყინული,বরফ
89,Frost::N,ყინვა,তুষার
90,Kälte::N,სიცივე,শৈত্য
91,Hitze::N,სიცხე,তাপ
92,Raureif::N,ჭირხლი,তুহিন
93,Raureif::N,თრთვილი,তুহিন
94,Regenbogen::N,ცისარტყელა,রামধনু
95,Donner::N,ქუხილი,বজ্রধ্বনি
96,Strömung::N,დინება,স্রোত
97,Tropfen::N,წვეთი,ফোঁটা
98,Schaum::N,ქაფი,ফেনা
99,Schaum::N,დორბლი,ফেনা
100,Schmutz::N,ჭუჭყი,ধুলা
101,Schmutz::N,ტალახი,ধুলা
102,See::N,ტბა,হ্রদ
103,Sumpf::N,ჭაობი,জলা
104,Moor::N,ტორფნარი,মাঠ
105,Wiese::N,ველი,তৃণভূমি
106,Wiese::N,მდელო,তৃণভূমি
107,Wald::N,ტყე,বন
108,Hügel::N,ბორცვი,পাহাড়
109,Anhöhe::N,მაღლობი,টিলা
110,Berg::N,მთა,পর্বত
111,Gipfel::N,მწვერვალი,শীর্ষ
112,Höhle::N,მღვიმე,গুহা
113,Höhle::N,გამოქვებული,গুহা
114,Abhang::N,ფერდობი,ঢাল
115,Quelle::N,წყარო,উৎস
116,Quelle::N,სათავე,উৎস
117,Bach::N,რუ,ক্ষুদ্র নদী
118,Bach::N,ნაკადული,ক্ষুদ্র নদী
119,Fluss::N,მდინარე,নদী
120,Ufer::N,კიდე,উপকূল
121,Ufer::N,ნაპირი,উপকূল
122,Küste::N,ნაპირი,তীর
123,Festland::N,ხმელეთი,ভূমি
124,Meer::N,ზღვა,সমুদ্র
125,Bucht::N,ყურე,উপসাগর
126,Insel::N,კუნძული,দ্বীপ
127,Blume::N,ყვავილი,ফুল
128,Gras::N,ბალახი,ঘাস
129,Wurzel::N,ძირი,শিকড়
130,Wurzel::N,ფესვი,শিকড়
131,Baum::N,ხე,গাছ
132,Stamm::N,ტანი,স্কন্ধ
133,Rinde::N,ქერქი,বল্কল
134,Ast::N,ტოტი,শাখা
135,Zweig::N,შტო,ডাল
136,Blatt::N,ფოთოლი,পর্ণ
137,Birke::N,არყი,ভুর্জ
138,Kiefer[Baum]::N,ფიჭვი,পাইন গাছ
139,Weide[Baum]::N,ტირიფი,উইলো
140,Tanne::N,ნაძვი,দেবদারূ গাছ
141,Horn::N,რქა,শিং
142,Feder::N,ფრთა,পালক
143,Fell::N,ტყავი,রোম
144,Flügel::N,ფრთა,ডানা
145,Klaue::N,კლანჭი,নখর
146,Kralle::N,ტორი,নখর
147,Schwanz::N,კუდი,লেজ
148,Ei::N,კვერცხი,ডিম
149,Nest::N,ბუდე,কুলায়
150,Bau::N,სორო,ডেরা
151,Tier::N,ნადირი,জন্তু
152,Tier::N,ცხოველი,জন্তু
153,Herde::N,ფარა,ঝাঁক
154,Kuh::N,ფური,গোরু
155,Kuh::N,ძროხა,গোরু
156,Bulle::N,ხარი,বৃষ
157,Pferd::N,რაში,ঘোড়া
158,Pferd::N,ცხენი,ঘোড়া
159,Schaf::N,ცხვარი,ভেড়া
160,Schwein::N,ღორი,শূকর
161,Hund::N,ძაღლი,কুকুর
162,Katze::N,კატა,বেড়াল
163,Bär::N,დათვი,ভল্লুক
164,Eichhörnchen::N,ციყვი,কাঠবিড়াল
165,Elch::N,ცხენ-ირემი,হরিণবিশেষ
166,Fuchs::N,მელა,পাঁতিশিয়াল
167,Hase::N,კურდღელი,শশক
168,Maus::N,თაგვი,নেংটি ইঁদুর
169,Wolf::N,მგელი,নেকড়ে
170,Vogel::N,ჩიტი,পক্ষী
171,Vogel::N,ფრინველი,পক্ষী
172,Schwarm::N,გუნდი,ঝাঁক
173,Huhn::N,დედალი,মোরগ
