,Concept_ID,kk,kk
0,Auge::N,көз,көз
1,Ohr::N,құлақ,құлақ
2,Nase::N,мұрын,мұрын
3,Mund::N,ауыз,ауыз
4,Zahn::N,тіс,тіс
5,Zunge::N,тіл,тіл
6,Lippe::N,ерін,ерін
7,Wange::N,ұрт,ұрт
8,Gesicht::N,бет-аузы,бет-аузы
9,Stirn::N,маңдай,маңдай
10,Haar::N,қыл,қыл
11,Schnurrbart::N,мұрт,мұрт
12,Bart::N,сақал,сақал
13,Kinn::N,иек,иек
14,Kiefer[Anatomie]::N,жақ,жақ
15,Kehle::N,алқым,алқым
16,Hals::N,мойын,мойын
17,Genick::N,желке,желке
18,Kopf::N,кәллә,кәллә
19,Rücken::N,арқа,арқа
20,Bauch::N,қарын,қарын
21,Nabel::N,кіндік,кіндік
22,Busen::N,омырау,омырау
23,Brust::N,кеуде,кеуде
24,Schulter::N,иық,иық
25,Arm::N,қол,қол
26,Ellenbogen::N,шынтақ,шынтақ
27,Hand::N,қол,қол
28,Handfläche::N,алақан,алақан
29,Finger::N,саусақ,саусақ
30,Fingernagel::N,тырнақ,тырнақ
31,Nagel[Anatomie]::N,тырнақ,тырнақ
32,Zeh::N,тырнақ,тырнақ
33,Zeh::N,тырнақ,тұяқ
34,Zeh::N,тұяқ,тырнақ
35,Zeh::N,тұяқ,тұяқ
36,Fuß::N,аяқ-басы,аяқ-басы
37,Ferse::N,өкше,өкше
38,Ferse::N,өкше,өкшелік
39,Ferse::N,өкшелік,өкше
40,Ferse::N,өкшелік,өкшелік
41,Knie::N,тізе,тізе
42,Oberschenkel::N,жамбас,жамбас
43,Bein::N,аяқ,аяқ
44,Körper::N,дене,дене
45,Haut::N,тері,тері
46,Blut::N,қан,қан
47,Ader::N,көктамыр,көктамыр
48,Ader::N,көктамыр,күретамыр
49,Ader::N,күретамыр,көктамыр
50,Ader::N,күретамыр,күретамыр
51,Sehne::N,сіңір,сіңір
52,Knochen::N,жілік,жілік
53,Gehirn::N,ми,ми
54,Herz::N,жүрек,жүрек
55,Magen::N,асқазан,асқазан
56,Leber::N,бауыр,бауыр
57,Atem::N,леп,леп
58,Hunger::N,ашаршылық,ашаршылық
59,Träne::N,жас,жас
60,Geschmack::N,дәм,дәм
61,Geschmack::N,дәм,татым
62,Geschmack::N,дәм,талғам
63,Geschmack::N,татым,дәм
64,Geschmack::N,татым,татым
65,Geschmack::N,татым,талғам
66,Geschmack::N,талғам,дәм
67,Geschmack::N,талғам,татым
68,Geschmack::N,талғам,талғам
69,Geruch::N,иіс,иіс
70,Schlaf::N,ұйқы,ұйқы
71,Schlaf::N,ұйқы,ұйықтау
72,Schlaf::N,ұйықтау,ұйқы
