,Concept_ID,kn,mrj
0,Auge::N,ಕಣ್ಣು,сӹнзӓ
1,Ohr::N,ಕಿವಿ,пӹлӹш
2,Nase::N,ಮೂಗು,нер
3,Mund::N,ಬಾಯಿ,ышма
4,Zahn::N,ಹಲ್ಲು,пӱ
5,Zunge::N,ನಾಲಿಗೆ,йӹлмӹ
6,Lippe::N,ತುಟಿ,тӹрвӹ
7,Wange::N,ಗಲ್ಲ,шӹргӹ
8,Gesicht::N,ಮುಖ,лицӓ
9,Stirn::N,ಹಣೆ,лепкӓ
10,Haar::N,ಕೂದಲು,ӱп
11,Schnurrbart::N,ಮೀಸೆ,öрш
12,Bart::N,ಗಡ್ಡ,пандаш
13,Kinn::N,ಗದ್ದ,онгылаш
14,Kiefer[Anatomie]::N,ದವಡೆ,пӱ арата
15,Kehle::N,ಗಂಟಲು,логер
16,Hals::N,ಕೊರಳು,шӱ
17,Genick::N,ಹಿಂಗತ್ತು,ланга
18,Kopf::N,ತಲೆ,вуй
19,Rücken::N,ಬೆನ್ನು,туп
20,Bauch::N,ಹೊಟ್ಟೆ,мӹшкӹр
21,Nabel::N,ಹೊಕ್ಕುಳು,кӹлӹмдӹ
22,Busen::N,ಸ್ತನ,цӹзӹ
23,Brust::N,ಎದೆ,мел
24,Schulter::N,ಭುಜ,ӹнгӹжӓ
25,Arm::N,ತೋಳು,кид
26,Ellenbogen::N,ಮೊಣಕೈ,кӹнервуй
27,Hand::N,ಕೈ,лапа
28,Handfläche::N,ಅಂಗೈ,кид лапа
29,Finger::N,ಕೈಬೆರಳು,парня
30,Fingernagel::N,ಉಗುರು,кӹч
31,Nagel[Anatomie]::N,ಉಗುರು,кӹч
32,Zeh::N,ಕಾಲ್ಬೆರಳು,парня
33,Fuß::N,ಪಾದ,ял лапа
34,Ferse::N,ಹಿಮ್ಮಡಿ,ялгавал
35,Ferse::N,ಹಿಮ್ಮಡಿ,ял кавал
36,Knie::N,ಮಂಡಿ,пылвуй
37,Oberschenkel::N,ತೊಡೆ,ӓрдӹ
38,Bein::N,ಕಾಲು,ял
39,Körper::N,ದೇಹ,монгыр
40,Haut::N,ಚರ್ಮ,кавашты
41,Blut::N,ರಕ್ತ,вӹр
42,Ader::N,ನರ,вӹршӓр
43,Sehne::N,ನರ,кукшышӱн
44,Knochen::N,ಮೂಳೆ,лу
45,Gehirn::N,ಮಿದುಳು,вим
46,Herz::N,ಹೃದಯ,шӱм
47,Magen::N,ಉದರ,шӱм
48,Leber::N,ಯಕೃತ್ತು,мокш
49,Atem::N,ಉಸಿರು,шӱлӹш
50,Hunger::N,ಹಸಿವು,шужымаш
51,Träne::N,ಕಣ್ಣೀರು,сӹнзӓвӹд
52,Geschmack::N,ರುಚಿ,тот
53,Geruch::N,ವಾಸನೆ,пыш
54,Schlaf::N,ನಿದ್ರೆ,ом
55,Traum::N,ಕನಸು,ом
56,Himmel::N,ಬಾನು,пӹлгом
57,Sonne::N,ಸೂರ್ಯ,кечӹ
58,Mond::N,ಚಂದ್ರ,тӹлзӹ
59,Stern::N,ಚುಕ್ಕಿ,шӹдӹр
60,Luft::N,ವಾಯು,юж
61,Luft::N,ವಾಯು,воздух
62,Wind::N,ಗಾಳಿ,мардеж
63,Welle::N,ಅಲೆ,ко
64,Welle::N,ಅಲೆ,коэ
65,Wasser::N,ನೀರು,вӹд
66,Stein::N,ಕಲ್ಲು,кӱ
67,Boden::N,ನೆಲ,рок
68,Erde::N,ಭೂಮಿ,свет
69,Staub::N,ದೂಳು,пырак
70,Rauch::N,ಹೊಗೆ,шӹкш
71,Funke::N,ಕಿಡಿ,ип
72,Funke::N,ಕಿಡಿ,тылип
73,Feuer::N,ಬೆಂಕಿ,тыл
74,Licht::N,ಬೆಳಕು,соты
75,Licht::N,ಬೆಳಕು,валгыды
76,Schatten::N,ನೆರಳು,ӹмӹл
77,Wetter::N,ಹವ,игечӹ
78,Nebel::N,ಮಂಜು,тӹтӹрӓ
79,Wolke::N,ಮೋಡ,пӹл
80,Regen::N,ಮಳೆ,юр
81,Schnee::N,ಹಿಮ,лым
82,Eis::N,ಮಂಜುಗಡ್ಡೆ,и
83,Frost::N,ಮಂಜು,ӱштӹ
84,Kälte::N,ಹಿಮ,ӱштӹ
85,Hitze::N,ಉಷ್ಣ,шокшы
86,Raureif::N,ಇಬ್ಬನಿ,пöрш
87,Regenbogen::N,ಇಂದ್ರಚಾಪ,шанавӹл
88,Donner::N,ಗುಡುಗು,хӹдӹртӹш
89,Strömung::N,ಪ್ರವಾಹ,йогы
90,Tropfen::N,ತೊಟ್ಟು,капльы
91,Tropfen::N,ತೊಟ್ಟು,капльык
92,Schaum::N,ನೊರೆ,шонг
93,Schmutz::N,ಕಸ,лявӹрӓ
94,See::N,ಸರೋವರ,йӓр
95,Sumpf::N,ಜೌಗುಸ್ಥಳ,лӱкӹ
96,Moor::N,ಬಂಜರು ಭೂಮಿ,куп
97,Wiese::N,ಹುಲ್ಲುಗಾವಲು,алык
98,Wald::N,ಕಾಡು,шӹргӹ
99,Hügel::N,ಗುಡ್ಡೆ,пӱгӹрикӓ
100,Anhöhe::N,ದಿಬ್ಬ,кӱкшикӓ
101,Berg::N,ಮಲೆ,кырык
102,Berg::N,ಪರ್ವತ,кырык
103,Gipfel::N,ಶೃಂಗ,неркӓ
104,Höhle::N,ಗುಹೆ,ы́раж
105,Abhang::N,ಇಳಿಜಾರು,полом
106,Quelle::N,ಮೂಲ,вӹдсӹнзӓ
107,Bach::N,ತೊರೆ,ӓнгӹр
108,Fluss::N,ನದಿ,вӹд
109,Ufer::N,ತೀರ,сир
110,Küste::N,ದಂಡೆ,сир
111,Festland::N,ಭೂಮಿ,мӱлӓндӹ
112,Meer::N,ಕಡಲು,тангыж
113,Bucht::N,ಖಾರಿ,вӹдъял
114,Insel::N,ದ್ವೀಪ,острок
115,Blume::N,ಸುಮ,пеледӹш
116,Gras::N,ಹುಲ್ಲು,шуды
117,Wurzel::N,ಬೇರು,важ
118,Baum::N,ಮರ,пушӓнгӹ
119,Stamm::N,ಕಾಂಡ,пушӓнгӹ тӹнг
120,Rinde::N,ತೂಗಟಿ,каргыж
121,Ast::N,ಶಾಖೆ,укш
122,Zweig::N,ರೆಂಬೆ,укш
123,Blatt::N,ಎಲೆ,листӹ
124,Birke::N,ಬರ್ಚ್ ಮರ,куги
125,Kiefer[Baum]::N,ದೇವದಾರು ಮರ,йӓктӹ
126,Weide[Baum]::N,ವಿಲೋಮರ,уа
127,Tanne::N,ಭದ್ರದಾರು,кож
128,Horn::N,ಕೊಂಬು,шур
129,Feder::N,ಪುಕ್ಕ,пын
130,Fell::N,ರೋಮ,кавашты
131,Flügel::N,ರೆಕ್ಕೆ,шылдыр
132,Klaue::N,ಪಂಜ,кӹч
133,Kralle::N,ಉಗುರು,лапа
134,Schwanz::N,ಬಾಲ,пач
135,Ei::N,ಮೊಟ್ಟೆ,мыны
136,Nest::N,ಗೂಡು,пӹжӓш
137,Bau::N,ಅಡಗುದಾಣ,ыраж
138,Tier::N,ಪ್ರಾಣಿ,во́льык
139,Herde::N,ಗುಂಪು,кӹтö
140,Kuh::N,ಹಸು,ышкал
141,Bulle::N,ಗೂಳಿ,ӱшкӱж
142,Pferd::N,ಕುದುರೆ,имни
143,Schaf::N,ಕುರಿ,шарык
144,Schwein::N,ಹಂದಿ,сасна
145,Hund::N,ನಾಯಿ,пи
146,Katze::N,ಬೆಕ್ಕು,коти
147,Bär::N,ಕರಡಿ,мöскӓ
148,Eichhörnchen::N,ಉಡುತೆ,ур
149,Elch::N,ಕಡವೆ,шарды
150,Fuchs::N,ನರಿ,рӹвӹж
151,Hase::N,ಮೊಲ,морен
152,Maus::N,ಇಲಿ,каля
153,Wolf::N,ತೋಳ,пирӹ
154,Vogel::N,ಪಕ್ಷಿ,кек
155,Schwarm::N,ಗುಂಪು,цуца
156,Huhn::N,ಚಿಕ್,цӹвӹ
157,Hahn::N,ಹುಂಜ,ӓптӓн
158,Gans::N,ವರಟೆ,комбы
159,Adler::N,ಗರುಡ,кучкыж
160,Ente::N,ಬಾತು,лыды
161,Eule::N,ಗೂಬೆ,тымана
162,Kranich::N,ಕೊಕ್ಕರ,тырня
163,Kranich::N,ಕೊಕ್ಕರ,тыртня
164,Krähe::N,ಕಾಗೆ,лудыгарак
165,Kuckuck::N,ಕೋಗಿಲೆ,куку
166,Schwan::N,ಹಂಸಪಕ್ಷಿ,йӱксӹ
167,Fisch::N,ಮೀನು,кол
168,Barsch::N,ಪರ್ಚ್ ಮೀನು,алангы
169,Hecht::N,ಪೈಕ್ ಮೀನು,нуж
170,Hecht::N,ಪೈಕ್ ಮೀನು,нужгол
171,Schlange[Tier]::N,ಹಾವು,кӹшкы
172,Wurm::N,ಹುಳು,шукш
173,Spinne::N,ಊರ್ಣನಾಭ,ӓнгӹремшӹ
