,Concept_ID,kn,se
0,Auge::N,ಕಣ್ಣು,tjelmie
1,Auge::N,ಕಣ್ಣು,tjalmme
2,Auge::N,ಕಣ್ಣು,čalbmi
3,Auge::N,ಕಣ್ಣು,čalme
4,Auge::N,ಕಣ್ಣು,čâ´lmm
5,Auge::N,ಕಣ್ಣು,ча̄лльм
6,Ohr::N,ಕಿವಿ,bieljie
7,Ohr::N,ಕಿವಿ,biellje
8,Ohr::N,ಕಿವಿ,beallji
9,Ohr::N,ಕಿವಿ,pelji
10,Ohr::N,ಕಿವಿ,pe´llj
11,Ohr::N,ಕಿವಿ,пе̄лльй
12,Nase::N,ಮೂಗು,njuenie
13,Nase::N,ಮೂಗು,njunnje
14,Nase::N,ಮೂಗು,njunni
15,Nase::N,ಮೂಗು,njuṇe
16,Nase::N,ಮೂಗು,njuu´nn
17,Nase::N,ಮೂಗು,нюннҍ
18,Mund::N,ಬಾಯಿ,njaelmie
19,Mund::N,ಬಾಯಿ,njálmme
20,Mund::N,ಬಾಯಿ,njálbmi
21,Mund::N,ಬಾಯಿ,njälmi
22,Mund::N,ಬಾಯಿ,njä´lmm
23,Mund::N,ಬಾಯಿ,ня̄лльм
24,Zahn::N,ಹಲ್ಲು,baenie
25,Zahn::N,ಹಲ್ಲು,bádne
26,Zahn::N,ಹಲ್ಲು,bátni
27,Zahn::N,ಹಲ್ಲು,pääṇi
28,Zahn::N,ಹಲ್ಲು,pää´nn
29,Zahn::N,ಹಲ್ಲು,па̄ннҍ
30,Zunge::N,ನಾಲಿಗೆ,njoektjeme
31,Zunge::N,ನಾಲಿಗೆ,njuovtjav
32,Zunge::N,ನಾಲಿಗೆ,njuovčča
33,Zunge::N,ನಾಲಿಗೆ,njuovčâ
34,Zunge::N,ನಾಲಿಗೆ,njuhččâm
35,Zunge::N,ನಾಲಿಗೆ,нюхчем
36,Lippe::N,ತುಟಿ,bangseme
37,Lippe::N,ತುಟಿ,njálmmerabdda
38,Lippe::N,ತುಟಿ,bavssa
39,Lippe::N,ತುಟಿ,poovsâ
40,Lippe::N,ತುಟಿ,põõus
41,Lippe::N,ತುಟಿ,пэ̄кс
42,Wange::N,ಗಲ್ಲ,skiehrie
43,Wange::N,ಗಲ್ಲ,nierra
44,Wange::N,ಗಲ್ಲ,muohtu
45,Wange::N,ಗಲ್ಲ,nieṛâ
46,Wange::N,ಗಲ್ಲ,njiõrr
47,Wange::N,ಗಲ್ಲ,нӣрр
48,Gesicht::N,ಮುಖ,ååredæjja
49,Gesicht::N,ಮುಖ,muohto
50,Gesicht::N,ಮುಖ,muođut
51,Gesicht::N,ಮುಖ,ámadadju
52,Gesicht::N,ಮುಖ,muáđuh
53,Gesicht::N,ಮುಖ,muâđ
54,Gesicht::N,ಮುಖ,ка̄ссв
55,Stirn::N,ಹಣೆ,gaalloe
56,Stirn::N,ಹಣೆ,gállo
57,Stirn::N,ಹಣೆ,gállu
58,Stirn::N,ಹಣೆ,kállu
59,Stirn::N,ಹಣೆ,käll
60,Stirn::N,ಹಣೆ,вуэххьц
61,Haar::N,ಕೂದಲು,voepte
62,Haar::N,ಕೂದಲು,vuoppta
63,Haar::N,ಕೂದಲು,vuokta
64,Haar::N,ಕೂದಲು,vuop'tâ
65,Haar::N,ಕೂದಲು,vuõpt
66,Haar::N,ಕೂದಲು,вӯппт
67,Schnurrbart::N,ಮೀಸೆ,bijjie-skaavtjoe
68,Schnurrbart::N,ಮೀಸೆ,njunjevuolskávttjá
69,Schnurrbart::N,ಮೀಸೆ,seamu
70,Schnurrbart::N,ಮೀಸೆ,siämu
71,Schnurrbart::N,ಮೀಸೆ,ää´bben
72,Schnurrbart::N,ಮೀಸೆ,о̄а̄бпан
73,Bart::N,ಗಡ್ಡ,skaavtja
74,Bart::N,ಗಡ್ಡ,skaavtjoe
