,Concept_ID,ku,ab
0,Auge::N,çav,ала
1,Ohr::N,guh,алымҳа
2,Nase::N,bêvil,аҧынҵа
3,Mund::N,dev,аҧышə
4,Zahn::N,didan,ахаҧыц
5,Zunge::N,ziman,абз
6,Lippe::N,lêv,ақьышə
7,Wange::N,dêm,аӡамҩа
8,Wange::N,hinarik,аӡамҩа
9,Gesicht::N,rû,аҿы
10,Stirn::N,enî,алахь
11,Haar::N,por,ахəыц
12,Schnurrbart::N,simbêl,аҧаҵа
13,Bart::N,rih,ажакьа
14,Kinn::N,zenî,ацламкəыгə
15,Kiefer[Anatomie]::N,arguşk,ацламҳəа
16,Kehle::N,qirik,ахəда
17,Hals::N,stû,ахəда
18,Hals::N,qirik,ахəда
19,Genick::N,stû,ахəдаџьал
20,Kopf::N,serî,ахы
21,Rücken::N,pişt,азқəа
22,Bauch::N,ûr,амгəа
23,Bauch::N,zik,амгəа
24,Nabel::N,navik,аҷапан
25,Busen::N,sîng,агəыҧҳəы
26,Brust::N,sîng,агəышҧы
27,Schulter::N,mil,ажəҩахыр
28,Arm::N,çepil,амахəар
29,Ellenbogen::N,enîşk,амашьхəылҵ
30,Hand::N,dest,анапы
31,Handfläche::N,kefadest,анапсаргəыҵа
32,Finger::N,tilî,анацəа
33,Fingernagel::N,neynuk,анапхыц
34,Nagel[Anatomie]::N,bizmar,ашьапхыц
35,Zeh::N,tilî linga,ашьацəа
36,Fuß::N,ling,ашьапсыргəыҵа
37,Ferse::N,pahnî,ашьхəа
38,Knie::N,kabok,ашьамхы
39,Oberschenkel::N,rahn,ауаҭəа
40,Bein::N,çip,ашьапы
41,Körper::N,laş,ацəеижь
42,Körper::N,gowde,ацəеижь
43,Haut::N,çerm,ацəа
44,Blut::N,xwîn,ашьа
45,Ader::N,reh,ада
46,Sehne::N,reh,адаш
47,Knochen::N,hestî,абаҩ
48,Gehirn::N,mêjî,ахшлыбаҩ
49,Gehirn::N,mêjî,ахшыбаҩ
50,Herz::N,dil,агəы
51,Magen::N,navêş,аца
52,Magen::N,navêş,ацар
53,Leber::N,kezeb,агəаҵəа
54,Atem::N,hilm,аҧсыҧлагаҩгара
55,Hunger::N,birçîtî,амла
56,Träne::N,hêstir,алабжыш
57,Geschmack::N,tam,агьама
58,Geruch::N,bêhn,афҩы
59,Schlaf::N,xew,ацəа
60,Traum::N,xewn,аҧхыӡ
61,Himmel::N,ezman,ажəҩан
62,Sonne::N,roj,амра
63,Mond::N,heyv,амза
64,Stern::N,stêrk,аеҵəа
65,Luft::N,ba,аҳаир
66,Wind::N,ba,аҧша
67,Welle::N,şewl,ацəқəырҧа
68,Wasser::N,av,аӡы
69,Stein::N,kevir,ахаҳə
70,Boden::N,herd,адгьыл
71,Erde::N,ax,адгьыл
72,Staub::N,toz,асаба
73,Rauch::N,dû,алҩа
74,Funke::N,çirûşk,акəиц
75,Funke::N,çirûşk,ацҧхь
76,Feuer::N,agir,амца
77,Licht::N,ronahî,алашара
78,Schatten::N,sî,ашəшьыра
79,Wetter::N,hewa,амш
80,Nebel::N,mij,анаҟəа
81,Wolke::N,ewr,аҧсҭҳəа
82,Regen::N,baran,ақəа
83,Schnee::N,berf,асы
84,Eis::N,qeşa,аҵаа
85,Frost::N,xûsik,аҵаа
86,Kälte::N,serma,ахьҭа
87,Hitze::N,germayî,ашоура
88,Raureif::N,şext,аҵааҧшқа
89,Regenbogen::N,heftreng,ацəаҟəа
90,Donner::N,gire-gir,адыд
91,Strömung::N,şewl,аиасра
92,Strömung::N,şewl,амҩасра
93,Tropfen::N,dilop,ацəыкəбар
94,Schaum::N,kef,ашəах
95,Schmutz::N,gemar,алымт
96,See::N,gol,аӡиа
97,Sumpf::N,hezek,аӡмах
98,Moor::N,mafêl,
99,Wiese::N,sûrik,адəы
100,Wald::N,çiya,абна
101,Wald::N,daristan,абна
102,Hügel::N,gir,ахəы
103,Anhöhe::N,sere gir,аҳаракыра
104,Berg::N,kaş,ашьха
105,Gipfel::N,sere gir,ацəқəа
106,Höhle::N,şikeft,аҳаҧы
107,Abhang::N,kaş,анаара
108,Quelle::N,kanî,аҵҵырҭа
109,Bach::N,çem,акəараҷҷа
110,Fluss::N,çem,аӡиас
111,Fluss::N,rûbar,аӡиас
112,Ufer::N,kevî,ахықə
113,Küste::N,berav,ахықə
114,Festland::N,bejahî,абарра
115,Meer::N,behr,амшын
116,Bucht::N,derav,аӡбжьахала
117,Insel::N,girav,адгьылбжьаха
118,Blume::N,kulînk,ашəҭ
119,Gras::N,giha,аҳасакьын
120,Wurzel::N,reh,адац
121,Baum::N,dar,аҵла
122,Stamm::N,bavik,ашьапы
123,Rinde::N,qaqil,ацəа
124,Ast::N,gulî,амахə
125,Ast::N,gulî,амахəҭа
126,Zweig::N,şax,амахə
127,Zweig::N,şax,амахəҭа
128,Blatt::N,pel,абҕьы
129,Birke::N,dara sipî,аҵааҵла
130,Kiefer[Baum]::N,dara bî,амза
131,Weide[Baum]::N,dara belalûk,аҧслыш
132,Tanne::N,merx,аҧсаӡ
133,Horn::N,strô,атəыҩа
134,Feder::N,pîrtîk,ахӡы
135,Fell::N,heyar,ацəа
136,Flügel::N,per,амҵəыжəа
137,Klaue::N,napîk,ашьапхыц
138,Kralle::N,dinik,
139,Kralle::N,dirnax,
140,Schwanz::N,dûv,аҵыхəа
141,Ei::N,hêk,акəтаӷь
142,Nest::N,hêlîn,аҭра
143,Nest::N,hêlîn,аҵысҭра
144,Bau::N,avahî,аҭыҩра
145,Tier::N,heywan,аҧстəы
146,Tier::N,heywan,агыгшəыг
147,Herde::N,hoz,агəарҭа
148,Kuh::N,çêlek,ажə
149,Bulle::N,ga,ацə
150,Pferd::N,hesp,аҽы
151,Schaf::N,mîh,ауаса
152,Schwein::N,beraz,аҳəа
153,Hund::N,seh,ала
154,Katze::N,pişîk,ацгəы
155,Bär::N,hirç,амшə
156,Eichhörnchen::N,pilûr,аеш
157,Elch::N,pazkovî,аҽаҩа
158,Fuchs::N,rovî,абгахəыҷы
159,Hase::N,kîroşk,ажьа
160,Maus::N,mişk,аҳəынаҧ
161,Wolf::N,gur,абгаду
162,Vogel::N,çûk,аҧсаатə
163,Schwarm::N,lufik,
164,Huhn::N,mirîşk,акəты
165,Hahn::N,dîk,арбаҕь
166,Gans::N,qaz,аҟыз
167,Adler::N,eylo,ауарба
168,Ente::N,werdek,акəата
169,Eule::N,bûm,аты
170,Eule::N,kund,аты
171,Kranich::N,quling,апҟа
172,Krähe::N,qijik,аҟəараан
173,Kuckuck::N,pepûk,акəыкəу
174,Schwan::N,qû,агьад
175,Fisch::N,masî,аҧсыӡ
176,Barsch::N,okûn,ацəыбла
177,Hecht::N,mesîyê lûf,ахиаала
178,Schlange[Tier]::N,mar,амаҭ
179,Wurm::N,kurm,ахəа
180,Wurm::N,kurm,ахəац
181,Spinne::N,pîrê,абызкаҭаҳа
182,Ameise::N,mîro,ашышкамс
183,Ameise::N,gêrîk,ашышкамс
184,Laus::N,spi,аҵа
185,Mücke::N,mêş,акəыбры
186,Fliege::N,mêş,амҵ
187,Schmetterling::N,perperîk,аҧарҧалыкь
188,Beere::N,hirç,аргуц
189,Apfel::N,sêv,аҵəа
190,Pilz::N,bîrov,акəкəбаа
191,Zwiebel::N,pîvaz,аџьымшьы
192,Zwiebel::N,pîvaz,аџьымшьхы
193,Saat::N,tov,ажəла
194,Korn::N,dexl,арыц
195,Heu::N,sap,аҭəа
196,Schale::N,qaşik,ацəа
197,Grube::N,çahl,ажра
198,Grube::N,çahl,атыша
199,Falle::N,dafik,арыҧҟьа
200,Schlinge::N,dahf,аҟəараҟəантə
201,Spur::N,rêç,ашьҭа
202,Asche::N,xweli,ахəа
203,Dreck::N,gemarî,аҳəынҵəа
204,Dreck::N,gemarî,аҟьамсар
205,Eisen::N,hesing,аиха
206,Gold::N,zêr,ахьы
207,Silber::N,zîv,аразны
208,Kohle::N,komir,арацəа
209,Glas::N,qedeh,асаркьа
210,Lehm::N,kelpîç,анышəаҧшь
211,Sand::N,qûm,аҧслымӡ
212,Mensch::N,mirov,ауаҩы
213,Mann::N,mêr,ахаҵа
214,Frau::N,jin,аҧҳəыс
215,Kind::N,zarok,ахəыҷы
216,Junge::N,kur,аҷкəын
217,Junge::N,kur,ахаҵарҧыс
218,Mädchen::N,keç,аӡӷаб
219,Mädchen::N,keçik,аӡӷаб
220,Familie::N,malbat,аҭаацəа
221,Großvater::N,bapîr,абду
222,Großmutter::N,pîrik,анду
223,Eltern::N,bavudê,ани аби
224,Vater::N,bav,аб
225,Mutter::N,dê,ан
226,Mutter::N,dayik,ан
227,Sohn::N,kur,аҧа
228,Tochter::N,keç,аҧҳа
229,Bruder::N,bira,аиашьа
230,Schwester::N,xweh,Аҳəшьа
231,Onkel::N,am,абиашьа
232,Onkel::N,am,аншьа
233,Onkel::N,xal,абиашьа
234,Onkel::N,xal,аншьа
235,Tante::N,metik,абиаҳəшьа
236,Tante::N,xaltîk,абиаҳəшьа
237,Ehemann::N,mêr,ахаҵа
238,Ehemann::N,mêr,аҧшəма
239,Ehefrau::N,kulfet,аҧҳəыс
240,Freude::N,kêfxweşî,агəырӷьара
241,Gelächter::N,pîrqînî,ачча
242,Gelächter::N,pîrqînî,аччара
243,Glück::N,bext,аразҟы
244,Kummer::N,derd,агəырҩа
245,Wunsch::N,daxwaz,агəхəтəы
246,Wunsch::N,daxwaz,аҭахра
247,Wunsch::N,xwestek,агəхəтəы
248,Wunsch::N,xwestek,аҭахра
249,Lust::N,şewq,агəазыҳəара
250,Geist::N,aqil,аҧсы
251,Gedanke::N,fikir,ахəыцырҭа
252,Gedächtnis::N,aqil,агəынкылара
253,Verstand::N,fêm,ахшыҩ
254,Sinn::N,aqil,аҵакы
255,Grund::N,asas,амзыз
256,Wahrheit::N,rastî,аиаша
257,Gespräch::N,guftûgo,аиҿцәажәара
258,Märchen::N,çirok,алакə
259,Erzählung::N,çirok,ажәабжь
260,Erzählung::N,vegotin,ажәабжь
261,Nachricht::N,nûçe,адырраҭара
262,Neuigkeit::N,hewal,ажәабжь ҿыц
263,Name::N,nav,ахьӡ
264,Name::N,paşnav,ахьӡ
265,Rätsel::N,tiştonek,ацуфара
266,Rede::N,gotar,ажәа
267,Rede::N,axavtin,ажәа
268,Sprache::N,ziman,абызшəа
269,Stimme::N,pejn,абжьы
270,Wort::N,gotin,ажәа
271,Zeichen::N,şanek,адырга
272,Ruf::N,hawar,аҿҭы
273,Lärm::N,xarbalix,ашьҭыбжь
274,Laut::N,deng,ашьҭыбжь
275,Laut::N,hês,ашьҭыбжь
276,Ton::N,awaz,атон
277,Lied::N,sitran,ашəа
278,Ruhe::N,rihetî,аҭынчра
279,Leute::N,xelk,ауаа
280,Volk::N,xelk,ажəлар
281,Arbeit::N,xebat,аусура
282,Gast::N,mêvan,асас
283,Geschenk::N,diyarî,аҳамҭа
284,Geschenk::N,diyarî,аҿанҵа
285,Spiel::N,lîstik,ахəмарра
286,Gesellschaft::N,komal,агəыҧ
287,Hilfe::N,alîkarî,ацхыраара
288,Freund::N,heval,аҩыза
289,Kamerad::N,heval,Аҧхнагьла
290,Angelegenheit::N,pirsgirêk,аус
291,Anzahl::N,çend,ахыҧхьаӡара
292,Art::N,çeh,ахкы
293,Stück::N,lib,аҽыҭ
294,Stück::N,parçe,аҽыҭ
295,Teil::N,parçe,ахəҭа
296,Hälfte::N,nîvî,абжа
297,Kreis::N,çemil,агьагьа
298,Kreuz::N,xaç,аџьар
299,Linie::N,xezik,аицтәар
300,Strich::N,xezik,ацəаҳəа
301,Abstand::N,dûrahî,абжьара
302,Entfernung::N,dûrahî,абжьара
303,Gegend::N,dever,аҭыҧ
304,Platz::N,çih,аҭыҧ
305,Ort::N,dever,аҭыҧ
306,Seite::N,rûpel,аган
307,Mitte::N,nav,агəҭа
308,Mitte::N,nabênê,агəҭа
309,Gegenstand::N,tişt,амаҭəар
310,Sache::N,tişt,
311,Rand::N,kevî,аҵкар
312,Kante::N,kevî,авардым
313,Ecke::N,qunç,акəакь
314,Spitze::N,derzî,аҧынҵа
315,Ende::N,talî,анаӡара
316,Loch::N,qul,акылҵəара
317,Winkel::N,kurnîşk,агҿаҩра
318,Winkel::N,kurnîşk,акəындхə
319,Winkel::N,kurnîşk,акəакь
320,Muster::N,desen,аҟҟа
321,Größe::N,mezinî,изаҟароу
322,Länge::N,dirêjahî,аура
323,Höhe::N,bilindayî,агылара
324,Gewicht::N,giranî,акапан
325,Menge::N,qas,
326,Haufen::N,lod,ачаҟəа
327,Reihe::N,rêz,ацəаҳəа
328,Boot::N,kelek,анышь
329,Ruder::N,bêrik,ажəҩа
330,Schlitten::N,xîjik,ашəаҩауардын
331,Ski::N,lakan,ашəаҩа
332,Ski::N,lakan,ашьахаха
333,Lagerfeuer::N,agir,еиқуу амца
334,Last::N,bar,ахьанҭара
335,Gang::N,fîtêz,аныҟəара
336,Schritt::N,gav,ашьаҿа
337,Norden::N,bakur,аҩада
338,Süden::N,başur,алада
339,Westen::N,rojava,амраҭашəара
340,Osten::N,rojhilat,амрагылара
341,Holz::N,dep,амҿымаҭəахə
342,Brett::N,dep,аӷəы
343,Platte::N,dep,ахаҳәцәы
344,Stütze::N,destek,аҵаргəа
345,Stütze::N,destek,агəышьаҟа
346,Stange::N,sing,акьат
347,Stock::N,çam,алаба
348,Stab::N,qat,акьат
349,Rohr::N,borî,абыкь
350,Haus::N,mal,аҩны
351,Haus::N,xanî,аҩны
352,Heim::N,mal,аҭаацəа
353,Ofen::N,sobe,аҳақə
354,Ofen::N,sobe,ауаџьаҟ
355,Ofen::N,sobe,афрына
356,Fußboden::N,binpê,адашьма
357,Tisch::N,mase,аишәа
358,Stuhl::N,kursî,аҟəардə
359,Wiege::N,derguş,агара
360,Bett::N,qerewêle,акаруаҭ
361,Regal::N,rêbaz,акыӷəра
362,Kiste::N,sindoq,аидчаҧала
363,Fenster::N,çam,аҧенџьыр
364,Fenster::N,şibeke,аҧенџьыр
365,Tür::N,derî,ашə
366,Tor::N,derge,агəашə
367,Zaun::N,hejik,аанда
368,Dach::N,sere xanî,ахыб
369,Leiter::N,pêling,амардуан
370,Besen::N,melkes,аҧссага
371,Spaten::N,mer,ажыга
372,Schaufel::N,bêr,аҭəарӷəы
373,Gabel::N,çetel,ачқьыҧ
374,Löffel::N,kevçî,амҳаҵə
375,Messer::N,kêr,аҳəызба
376,Nagel::N,bizmar,аҵəымӷ
377,Netz::N,tor,акаҭа
378,Haken::N,çenqel,аҵəаҳə
379,Griff::N,destî,амаа
380,Schloss::N,qonax,асаҧаҭ
381,Bild::N,dimen,асахьа
382,Figur::N,figûr,афигура
383,Puppe::N,bûk,акьанџьа
384,Beutel::N,kîsik,асакь
385,Bündel::N,pêçek,аҿаҳəара
386,Tasche::N,bêrîk,арҭмаҟ
387,Eimer::N,dewl,аведра
388,Deckel::N,devik,ахҩа
389,Geschirr::N,ferax,ачысмаҭəа
390,Sack::N,tûr,асакь
391,Tasse::N,kada,аҵəца
392,Topf::N,beroş,акаструлиа
393,Kessel::N,şîril,ачуан
394,Essen::N,xwarin,
395,Nahrung::N,xwarin,афатə
396,Speise::N,xwarin,афатə
397,Fleisch::N,goşt,акəац
398,Getreide::N,zad,ачакуа
399,Brei::N,hewdêl,ақашь
400,Brot::N,,ача
401,Scheibe::N,parçe,аҽыҭ
402,Scheibe::N,parçe,аҿаҵа
403,Fett::N,rûn,ашша
404,Butter::N,rûn,ахəша
405,Öl::N,rûn,азеҭ
406,Salz::N,xwe,аџьыка
407,Suppe::N,şorbe,асуҧ
408,Honig::N,hingiv,ацха
409,Milch::N,şîr,ахш
410,Tee::N,çay,ачаи
411,Leder::N,çerm,ацəа
412,Wolle::N,herî,аласа
413,Stoff::N,paç,Аба
414,Nadel::N,derzî,агəыр
415,Faden::N,ta,арахəыц
