,Concept_ID,kv,pl
0,Auge::N,син,oko
1,Ohr::N,пель,ucho
2,Nase::N,ныр,nos
3,Mund::N,ӧм,usta
4,Zahn::N,пинь,ząb
5,Zunge::N,кыв,język
6,Lippe::N,тырп,warga
7,Wange::N,рожабан,policzek
8,Gesicht::N,бан,twarz
9,Stirn::N,кымӧс,czoło
10,Haar::N,юрси,włos
11,Haar::N,юрси,włosy
12,Schnurrbart::N,уссэз,wąsy
13,Bart::N,тош,broda
14,Kinn::N,тшӧка,podbródek
15,Kiefer[Anatomie]::N,ан,czeluść
16,Kehle::N,юан,gardło
17,Hals::N,юан,szyja
18,Genick::N,юр бӧр,kark
19,Kopf::N,юр,głowa
20,Rücken::N,мышк,plecy
21,Rücken::N,мышк,grzbiet
22,Bauch::N,кынӧм,brzuch
23,Nabel::N,гӧг,pępek
24,Busen::N,морос,biust
25,Brust::N,морос,pierś
26,Schulter::N,пельпон,bark
27,Schulter::N,пельпон,ramię
28,Arm::N,ки,ręka
29,Arm::N,ки,ramię
30,Ellenbogen::N,гырдзза,łokieć
31,Hand::N,кикар,dłoń
32,Handfläche::N,ки пыдӧс,dłoń
33,Finger::N,чунь,palec
34,Fingernagel::N,гыж,paznokieć
35,Nagel[Anatomie]::N,гыж,paznokieć
36,Zeh::N,чунь,palec
37,Fuß::N,кокпыдӧс,stopa
38,Ferse::N,кокдзир,pięta
39,Knie::N,пидзӧс,kolano
40,Oberschenkel::N,лядьбей,udo
41,Bein::N,кок,noga
42,Körper::N,вывтыр,ciało
43,Haut::N,кучик,skóra
44,Blut::N,вир,krew
45,Ader::N,сӧн,żyła
46,Sehne::N,жила,ścięgno
47,Knochen::N,коска,kość
48,Gehirn::N,вем,mózg
49,Herz::N,сьӧлӧм,serce
50,Magen::N,жӧвдӧк,żołądek
51,Leber::N,мус,wątroba
52,Atem::N,лолалӧм,dech
53,Atem::N,лолалӧм,oddech
54,Hunger::N,тшыг,głód
55,Träne::N,синва,łza
56,Geschmack::N,кӧр,smak
57,Geruch::N,дук,woń
58,Geruch::N,дук,zapach
59,Schlaf::N,он,sen
60,Traum::N,вӧт,sen
61,Himmel::N,небо,niebo
62,Sonne::N,шондi,słońce
63,Mond::N,тӧлiсь,księżyc
64,Stern::N,кӧдзыв,gwiazda
65,Luft::N,ру,powietrze
66,Wind::N,тӧв,wiatr
67,Welle::N,гы,fala
68,Wasser::N,ва,woda
69,Stein::N,из,kamień
70,Boden::N,му,grunt
71,Erde::N,му,ziemia
72,Staub::N,бус,pył
73,Staub::N,бус,kurz
74,Rauch::N,тшын,dym
75,Funke::N,бичир,iskra
76,Feuer::N,би,ogień
77,Licht::N,би,światło
78,Schatten::N,вуджӧр,cień
79,Wetter::N,погоддя,pogoda
80,Nebel::N,туман,mgła
81,Wolke::N,кымӧр,obłok
82,Wolke::N,кымӧр,chmura
83,Regen::N,зэр,deszcz
84,Schnee::N,лым,śnieg
85,Eis::N,йы,lód
86,Frost::N,мороз,mróz
87,Kälte::N,кӧдзыт,chłód
88,Hitze::N,ӧд,gorąco
89,Raureif::N,кижа,szron
90,Regenbogen::N,енӧшка,tęcza
91,Donner::N,гым,grzmot
92,Strömung::N,визывтӧм,nurt
93,Tropfen::N,тёп,kropla
94,Schaum::N,быг,piana
95,Schmutz::N,нять,brud
96,See::N,ты,jezioro
97,Sumpf::N,арай,bagno
98,Moor::N,нюр,bagno
99,Wiese::N,видз,łąka
100,Wald::N,вӧр,las
101,Hügel::N,мыльк,pagórek
102,Anhöhe::N,вывтас,wzgórze
103,Anhöhe::N,вылынін,wzgórze
104,Berg::N,керӧс,góra
105,Gipfel::N,йыв,szczyt
106,Gipfel::N,йыв,wierzchołek
107,Höhle::N,нора,pieczara
108,Abhang::N,покат,stok
109,Abhang::N,покат,zbocze
110,Quelle::N,больган,zdrój
111,Quelle::N,больган,źródło
112,Bach::N,шор,potok
113,Bach::N,шор,strumień
114,Fluss::N,ю,rzeka
115,Ufer::N,берег,brzeg
116,Küste::N,берег,wybrzeże
117,Festland::N,му,ląd
118,Meer::N,море,morze
119,Bucht::N,курья,zatoka
120,Blume::N,цветок,kwiat
121,Gras::N,турун,trawa
122,Wurzel::N,вуж,korzeń
123,Baum::N,пу,drzewo
124,Stamm::N,мыр,pień
125,Stamm::N,кер,pień
126,Rinde::N,кач,kora
127,Ast::N,ув,gałąź
128,Zweig::N,ув,gałąź
129,Blatt::N,лист,liść
130,Birke::N,кыдз,brzoza
131,Kiefer[Baum]::N,пожум,sosna
132,Weide[Baum]::N,бадь,wierzba
133,Tanne::N,кӧз,jodła
134,Horn::N,сюр,róg
135,Feder::N,гӧн,pióro
136,Fell::N,кучик,futro
137,Flügel::N,борд,skrzydło
138,Klaue::N,гыж,szpon
139,Kralle::N,кабыр,pazur
140,Schwanz::N,бӧж,ogon
141,Ei::N,кольть,jajko
142,Nest::N,поз,gniazdo
143,Bau::N,осьта,nora
144,Bau::N,нора,nora
145,Tier::N,зверь,zwierzę
146,Herde::N,гурт,stado
147,Herde::N,гурт,trzoda
148,Kuh::N,мӧс,krowa
149,Bulle::N,ӧшка,byk
150,Pferd::N,вӧв,koń
151,Schaf::N,баля,owca
152,Schwein::N,порсь,świnia
153,Hund::N,пон,pies
154,Katze::N,кань,kot
155,Katze::N,кань,kotka
156,Bär::N,ош,niedźwiedż
