,Concept_ID,kv,pt
0,Auge::N,син,olho
1,Ohr::N,пель,orelha
2,Nase::N,ныр,nariz
3,Mund::N,ӧм,boca
4,Zahn::N,пинь,dente
5,Zunge::N,кыв,língua
6,Lippe::N,тырп,lábio
7,Wange::N,рожабан,face
8,Gesicht::N,бан,cara
9,Gesicht::N,бан,rosto
10,Stirn::N,кымӧс,testa
11,Haar::N,юрси,cabelo
12,Schnurrbart::N,уссэз,bigode
13,Bart::N,тош,barba
14,Kinn::N,тшӧка,queixo
15,Kiefer[Anatomie]::N,ан,maxila
16,Kiefer[Anatomie]::N,ан,mandíbula
17,Kehle::N,юан,garganta
18,Hals::N,юан,colo
19,Hals::N,юан,pescoço
20,Genick::N,юр бӧр,nuca
21,Kopf::N,юр,cabeça
22,Rücken::N,мышк,dorso
23,Rücken::N,мышк,costas
24,Bauch::N,кынӧм,ventre
25,Bauch::N,кынӧм,barriga
26,Nabel::N,гӧг,umbigo
27,Busen::N,морос,seio
28,Brust::N,морос,peito
29,Schulter::N,пельпон,ombro
30,Arm::N,ки,braço
31,Ellenbogen::N,гырдзза,cotovelo
32,Hand::N,кикар,mão
33,Handfläche::N,ки пыдӧс,palma
34,Handfläche::N,ки пыдӧс,palma da mão
35,Finger::N,чунь,dedo
36,Fingernagel::N,гыж,unha
37,Nagel[Anatomie]::N,гыж,unha
38,Zeh::N,чунь,dedo do pé
39,Fuß::N,кокпыдӧс,pé
40,Ferse::N,кокдзир,calcanhar
41,Knie::N,пидзӧс,joelho
42,Oberschenkel::N,лядьбей,coxa
43,Bein::N,кок,perna
44,Körper::N,вывтыр,corpo
45,Haut::N,кучик,pele
46,Blut::N,вир,sangue
47,Ader::N,сӧн,veia
48,Sehne::N,жила,tendão
49,Knochen::N,коска,osso
50,Gehirn::N,вем,cérebro
51,Herz::N,сьӧлӧм,coração
52,Magen::N,жӧвдӧк,estômago
53,Leber::N,мус,fígado
54,Atem::N,лолалӧм,fôlego
55,Hunger::N,тшыг,fome
56,Träne::N,синва,lágrima
57,Geschmack::N,кӧр,gosto
58,Geruch::N,дук,odor
59,Geruch::N,дук,cheiro
60,Schlaf::N,он,sono
61,Traum::N,вӧт,sonho
62,Himmel::N,небо,céu
63,Sonne::N,шондi,sol
64,Mond::N,тӧлiсь,lua
65,Stern::N,кӧдзыв,estrela
66,Luft::N,ру,ar
67,Wind::N,тӧв,vento
68,Welle::N,гы,onda
69,Wasser::N,ва,água
70,Stein::N,из,pedra
71,Boden::N,му,solo
72,Erde::N,му,terra
73,Staub::N,бус,pó
74,Rauch::N,тшын,fumo
75,Funke::N,бичир,faísca
76,Funke::N,бичир,centelha
77,Feuer::N,би,fogo
78,Licht::N,би,luz
79,Schatten::N,вуджӧр,sombra
80,Wetter::N,погоддя,tempo
81,Nebel::N,туман,nevoeiro
82,Wolke::N,кымӧр,nuvem
83,Regen::N,зэр,chuva
84,Schnee::N,лым,neve
85,Eis::N,йы,gelo
86,Frost::N,мороз,gelo
87,Frost::N,мороз,geada
88,Kälte::N,кӧдзыт,frio
89,Hitze::N,ӧд,ardor
90,Raureif::N,кижа,geada
91,Regenbogen::N,енӧшка,arco-iris
92,Donner::N,гым,trovão
93,Strömung::N,визывтӧм,corrente
94,Tropfen::N,тёп,gota
95,Schaum::N,быг,espuma
96,Schmutz::N,нять,sujidade
97,Schmutz::N,нять,imundície
98,See::N,ты,lago
99,Sumpf::N,арай,charco
100,Sumpf::N,арай,pântano
101,Moor::N,нюр,pântano
102,Wiese::N,видз,prado
103,Wald::N,вӧр,bosque
104,Wald::N,вӧр,floresta
105,Hügel::N,мыльк,colina
106,Anhöhe::N,вывтас,alto
107,Anhöhe::N,вывтас,outeiro
108,Anhöhe::N,вылынін,alto
109,Anhöhe::N,вылынін,outeiro
110,Berg::N,керӧс,monte
111,Berg::N,керӧс,montanha
112,Gipfel::N,йыв,pico
113,Höhle::N,нора,caverna
114,Abhang::N,покат,encosta
115,Quelle::N,больган,fonte
116,Bach::N,шор,regato
117,Bach::N,шор,ribeiro
118,Fluss::N,ю,rio
119,Ufer::N,берег,beira
120,Küste::N,берег,costa
121,Festland::N,му,terra firme
122,Meer::N,море,mar
123,Bucht::N,курья,baía
124,Blume::N,цветок,flor
125,Gras::N,турун,erva
126,Wurzel::N,вуж,raiz
127,Baum::N,пу,árvore
128,Stamm::N,мыр,tronco
129,Stamm::N,кер,tronco
130,Rinde::N,кач,casca
131,Ast::N,ув,ramo
132,Zweig::N,ув,galho
133,Blatt::N,лист,folha
134,Birke::N,кыдз,bétula
135,Kiefer[Baum]::N,пожум,pinheiro
136,Weide[Baum]::N,бадь,salgueiro
137,Tanne::N,кӧз,abeto
138,Horn::N,сюр,corno
139,Horn::N,сюр,chifre
140,Feder::N,гӧн,pena
141,Fell::N,кучик,pele
142,Flügel::N,борд,asa
143,Klaue::N,гыж,pata
144,Kralle::N,кабыр,unha
145,Kralle::N,кабыр,garra
146,Schwanz::N,бӧж,rabo
147,Schwanz::N,бӧж,cauda
148,Ei::N,кольть,ovo
149,Nest::N,поз,ninho
150,Bau::N,осьта,toca
151,Bau::N,осьта,covil
152,Bau::N,нора,toca
153,Bau::N,нора,covil
154,Tier::N,зверь,animal
155,Herde::N,гурт,rebanho
156,Kuh::N,мӧс,vaca
157,Bulle::N,ӧшка,touro
158,Pferd::N,вӧв,cavalo
159,Schaf::N,баля,ovelha
160,Schwein::N,порсь,porco
161,Hund::N,пон,cão
162,Katze::N,кань,gata
163,Bär::N,ош,urso
164,Eichhörnchen::N,ур,esquilo
165,Elch::N,вӧр мӧс,alce
166,Fuchs::N,руч,raposa
167,Hase::N,кӧч,lebre
168,Maus::N,шыр,rato
169,Wolf::N,кӧин,lobo
170,Vogel::N,кай,ave
171,Vogel::N,кай,pássaro
172,Schwarm::N,стая,bando
173,Schwarm::N,стая,enxame
174,Schwarm::N,чукӧр,bando
175,Schwarm::N,чукӧр,enxame
176,Huhn::N,курӧг,galinha
177,Hahn::N,петух,galo
178,Hahn::N,ай курӧг,galo
179,Gans::N,дзодзог,ganso
180,Adler::N,куч,águia
181,Adler::N,кутш,águia
182,Ente::N,утка,pata
183,Eule::N,тупка,mocho
184,Eule::N,тупка,coruja
