,Concept_ID,kv,te
0,Auge::N,син,కన్ను
1,Ohr::N,пель,చెవి
2,Nase::N,ныр,ముక్కు
3,Mund::N,ӧм,నోరు
4,Zahn::N,пинь,పల్లు
5,Zunge::N,кыв,నాలుక
6,Lippe::N,тырп,పెదవి
7,Wange::N,рожабан,చెంప
8,Gesicht::N,бан,ముఖము
9,Stirn::N,кымӧс,నుదురు
10,Haar::N,юрси,వెండ్రుక
11,Schnurrbart::N,уссэз,మీసము
12,Bart::N,тош,గడ్డము
13,Kinn::N,тшӧка,గడ్డము
14,Kiefer[Anatomie]::N,ан,దౌడ
15,Kehle::N,юан,గొంతు
16,Hals::N,юан,మెడ
17,Genick::N,юр бӧр,మూపు
18,Kopf::N,юр,తల
19,Rücken::N,мышк,వెన్ను
20,Bauch::N,кынӧм,కడుపు
21,Nabel::N,гӧг,బొడ్డు
22,Busen::N,морос,స్తనము
23,Brust::N,морос,ఱొమ్ము
24,Schulter::N,пельпон,భుజము
25,Arm::N,ки,చేయి
26,Ellenbogen::N,гырдзза,మోచేయి
27,Hand::N,кикар,చేయి
28,Handfläche::N,ки пыдӧс,అరచేయు
29,Finger::N,чунь,చేతిప్రేలు
30,Fingernagel::N,гыж,గోరు
31,Nagel[Anatomie]::N,гыж,గోరు
32,Zeh::N,чунь,కాలిప్రేలు
33,Fuß::N,кокпыдӧс,అడుగు
34,Ferse::N,кокдзир,మడమ
35,Knie::N,пидзӧс,మోకాలు
36,Oberschenkel::N,лядьбей,తొడ
37,Bein::N,кок,కాలు
38,Körper::N,вывтыр,కాయము
39,Haut::N,кучик,చర్మము
40,Blut::N,вир,రక్తము
41,Ader::N,сӧн,సిర
42,Sehne::N,жила,స్నాయువు
43,Knochen::N,коска,ఎముక
44,Gehirn::N,вем,మెదడు
45,Herz::N,сьӧлӧм,హృదయము
46,Magen::N,жӧвдӧк,కడుపు
47,Leber::N,мус,కాలేయము
48,Atem::N,лолалӧм,ఉపిరి
49,Hunger::N,тшыг,ఆకలి
50,Träne::N,синва,కన్నీటిచుక్క
51,Geschmack::N,кӧр,రుచి
52,Geruch::N,дук,వాసన
53,Schlaf::N,он,నిద్ర
54,Traum::N,вӧт,కల
55,Himmel::N,небо,ఆకాశము
56,Sonne::N,шондi,సూర్యుడు
