,Concept_ID,la,kv
0,Auge::N,oculus,син
1,Ohr::N,auris,пель
2,Nase::N,nasus,ныр
3,Mund::N,os,ӧм
4,Zahn::N,dens,пинь
5,Zunge::N,lingua,кыв
6,Lippe::N,labrum,тырп
7,Wange::N,gena,рожабан
8,Gesicht::N,vultus,бан
9,Stirn::N,frons,кымӧс
10,Haar::N,capillus,юрси
11,Schnurrbart::N,barba labri superioris,уссэз
12,Bart::N,barba,тош
13,Kinn::N,mentum,тшӧка
14,Kiefer[Anatomie]::N,mala,ан
15,Kehle::N,iugulums,юан
16,Hals::N,collum,юан
17,Genick::N,cervices,юр бӧр
18,Kopf::N,caput,юр
19,Rücken::N,tergum,мышк
20,Bauch::N,venter,кынӧм
21,Nabel::N,umbilicus,гӧг
22,Busen::N,sinus,морос
23,Brust::N,pectus,морос
24,Schulter::N,umerus,пельпон
25,Arm::N,bracchium,ки
26,Ellenbogen::N,cubitum,гырдзза
27,Hand::N,manus,кикар
28,Handfläche::N,palma,ки пыдӧс
29,Finger::N,digitus,чунь
30,Fingernagel::N,unguiculus,гыж
31,Nagel[Anatomie]::N,unguis,гыж
32,Zeh::N,digitus,чунь
33,Fuß::N,pes,кокпыдӧс
34,Ferse::N,calx,кокдзир
35,Knie::N,genu,пидзӧс
36,Oberschenkel::N,femur,лядьбей
37,Bein::N,crus,кок
38,Körper::N,corpus,вывтыр
39,Haut::N,cutis,кучик
40,Haut::N,pellis,кучик
41,Blut::N,sanguis,вир
42,Ader::N,vena,сӧн
43,Sehne::N,nervus,жила
44,Knochen::N,os,коска
45,Gehirn::N,cerebrum,вем
46,Herz::N,cor,сьӧлӧм
47,Herz::N,animus,сьӧлӧм
48,Magen::N,stomachus,жӧвдӧк
49,Leber::N,iecur,мус
50,Atem::N,spiritus,лолалӧм
51,Hunger::N,fames,тшыг
52,Träne::N,lacrima,синва
53,Geschmack::N,sapor,кӧр
54,Geschmack::N,gustus,кӧр
55,Geruch::N,odor,дук
56,Schlaf::N,somnus,он
57,Traum::N,somnium,вӧт
58,Himmel::N,caelum,небо
59,Sonne::N,sol,шондi
60,Mond::N,luna,тӧлiсь
61,Stern::N,sidus,кӧдзыв
62,Stern::N,stella,кӧдзыв
63,Luft::N,aer,ру
64,Wind::N,ventus,тӧв
65,Welle::N,unda,гы
66,Wasser::N,aqua,ва
67,Stein::N,lapis,из
68,Boden::N,solum,му
69,Erde::N,terra,му
70,Staub::N,pulvis,бус
71,Rauch::N,fumus,тшын
72,Funke::N,scintilla,бичир
73,Feuer::N,ignis,би
74,Licht::N,lux,би
75,Licht::N,lumen,би
76,Schatten::N,umbra,вуджӧр
77,Wetter::N,caelum,погоддя
78,Wetter::N,tempestas,погоддя
79,Nebel::N,nebula,туман
80,Wolke::N,nubes,кымӧр
81,Regen::N,imber,зэр
82,Regen::N,pluvia,зэр
83,Schnee::N,nix,лым
