,Concept_ID,lbe,bg
0,Auge::N,я,око
1,Ohr::N,вичӏи,ухо
2,Nase::N,май,нос
3,Mund::N,кьацӏ,уста
4,Zahn::N,ккарччи,зъб
5,Zunge::N,маз,език
6,Lippe::N,мурччи,устна
7,Wange::N,чӏав,буза
8,Gesicht::N,лажин,лице
9,Gesicht::N,лажин,образ
10,Stirn::N,ненттабакӏ,чело
11,Haar::N,чӏара,коса
12,Haar::N,чӏара,косъм
13,Schnurrbart::N,ссирссилтту,мустаци
14,Bart::N,чӏири,брада
15,Kinn::N,лунттубакӏ,брада
16,Kinn::N,лунттубакӏ,брадичка
17,Kiefer[Anatomie]::N,ххинчулул,челюст
18,Kehle::N,кьакьари,гърло
19,Hals::N,ссурссу,врат
20,Genick::N,махъабакӏ,тил
21,Kopf::N,бакӏ,глава
22,Rücken::N,ттиликӏ,гръб
23,Bauch::N,лякьа,корем
24,Nabel::N,цӏумуккутӏ,пъп
25,Busen::N,ккукку,бозка
26,Brust::N,хъазам,гръд
27,Schulter::N,хъачӏ,рамо
28,Schulter::N,хъачӏ,плещи
29,Arm::N,ка,ръка
30,Ellenbogen::N,ссюрхъ,лакът
31,Hand::N,бартка,ръка
32,Hand::N,бартка,китка
33,Handfläche::N,хъат,длан
34,Handfläche::N,битӏянхъ,длан
35,Finger::N,кӏисса,пръст
36,Fingernagel::N,михь,нокът
37,Nagel[Anatomie]::N,михь,нокът
38,Zeh::N,кӏисса,пръст на крак
39,Fuß::N,чӏанччан,крак
40,Fuß::N,чӏанччан,нога
41,Ferse::N,никъа,пета
42,Knie::N,ник,коляно
43,Oberschenkel::N,жира,бедро
44,Bein::N,ччан,крак
45,Bein::N,ччан,нога
46,Körper::N,чурх,тяло
47,Haut::N,бурчу,кожа
48,Blut::N,оь,кръв
49,Ader::N,тунну,вена
50,Ader::N,тунну,артерия
51,Sehne::N,хьхьа,жила
52,Sehne::N,хьхьа,сухожилие
53,Knochen::N,ттаркӏ,кост
54,Gehirn::N,ня,мозък
55,Herz::N,дакӏ,сърце
56,Herz::N,къюкӏ,сърце
57,Magen::N,лякьа,стомах
58,Atem::N,ссихӏ ласаву,дишане
59,Atem::N,ссихӏ бигьаву,дишане
60,Hunger::N,ккаши,глад
61,Träne::N,макь,сълза
62,Geschmack::N,тӏин,вкус
63,Geschmack::N,тӏааьн,вкус
64,Geruch::N,кьанкь,миризма
65,Schlaf::N,шану,сън
66,Traum::N,макӏру,сън
67,Himmel::N,ссав,небе
68,Sonne::N,баргъ,слънце
