,Concept_ID,lbe,sl
0,Auge::N,я,okó
1,Ohr::N,вичӏи,uhó
2,Nase::N,май,nós
3,Mund::N,кьацӏ,ústa
4,Zahn::N,ккарччи,zób
5,Zunge::N,маз,jêzik
6,Lippe::N,мурччи,ústnica
7,Wange::N,чӏав,líce
8,Gesicht::N,лажин,oblíčje
9,Stirn::N,ненттабакӏ,čêlo
10,Haar::N,чӏара,lás
11,Schnurrbart::N,ссирссилтту,bŕki
12,Bart::N,чӏири,bráda
13,Kinn::N,лунттубакӏ,bráda
14,Kiefer[Anatomie]::N,ххинчулул,čeljúst
15,Kehle::N,кьакьари,gŕlo
16,Hals::N,ссурссу,vrát
17,Genick::N,махъабакӏ,zatílnik
18,Kopf::N,бакӏ,gláva
19,Rücken::N,ттиликӏ,hrbèt
20,Bauch::N,лякьа,trébuh
21,Nabel::N,цӏумуккутӏ,pópek
22,Busen::N,ккукку,nédrja
23,Brust::N,хъазам,pŕsi
24,Schulter::N,хъачӏ,ráma
25,Schulter::N,хъачӏ,plêče
26,Arm::N,ка,rôka
27,Ellenbogen::N,ссюрхъ,komólec
28,Hand::N,бартка,rôka
29,Handfläche::N,хъат,dlán
30,Handfläche::N,битӏянхъ,dlán
31,Finger::N,кӏисса,pŕst
32,Fingernagel::N,михь,nóht na rôki
33,Nagel[Anatomie]::N,михь,nóht
34,Zeh::N,кӏисса,pŕst na nôgi
35,Fuß::N,чӏанччан,nôga
36,Ferse::N,никъа,pêta
37,Knie::N,ник,koléno
38,Oberschenkel::N,жира,stêgno
39,Bein::N,ччан,nôga
40,Körper::N,чурх,teló
41,Haut::N,бурчу,kóža
42,Blut::N,оь,krí
43,Ader::N,тунну,žíla
44,Sehne::N,хьхьа,kíta
45,Knochen::N,ттаркӏ,kóst
46,Gehirn::N,ня,možgáni
47,Herz::N,дакӏ,srcé
48,Herz::N,къюкӏ,srcé
49,Magen::N,лякьа,želódec
50,Atem::N,ссихӏ ласаву,díh
51,Atem::N,ссихӏ бигьаву,díh
52,Hunger::N,ккаши,glád
53,Träne::N,макь,sólza
54,Geschmack::N,тӏин,okús
55,Geschmack::N,тӏааьн,okús
56,Geruch::N,кьанкь,vónj
57,Schlaf::N,шану,sèn
58,Schlaf::N,шану,spánec
59,Traum::N,макӏру,sánje
60,Himmel::N,ссав,nebó
61,Sonne::N,баргъ,sónce
62,Mond::N,барз,lúna
63,Mond::N,барз,mésec
64,Stern::N,цӏуку,zvézda
65,Luft::N,гьава,zràk
66,Wind::N,марч,véter
67,Welle::N,щатӏи,vál
68,Wasser::N,щин,vôda
69,Stein::N,чару,kámen
70,Boden::N,аьрщи,tlà
71,Erde::N,аьрщи,pŕst
72,Erde::N,аьрщи,zêmlja
73,Staub::N,ххит,práh
74,Rauch::N,пуркӏу,dìm
75,Funke::N,пиягь,ískra
76,Feuer::N,цӏу,ôgenj
77,Licht::N,чани,lúč
78,Schatten::N,ххют,sénca
79,Wetter::N,гьава,vrême
80,Nebel::N,шархь ттурлу,meglà
81,Wolke::N,ттурлу,oblák
82,Regen::N,гъарал,dèž
83,Schnee::N,марххала,snég
84,Eis::N,микӏ,léd
85,Frost::N,дяркъу,zmrzál
86,Frost::N,замгьар,zmrzál
87,Kälte::N,дяркъу,mràz
88,Hitze::N,кӏиришиву,pripéka
89,Raureif::N,сил,ívje
90,Raureif::N,сил,slána
91,Raureif::N,бурса,ívje
92,Raureif::N,бурса,slána
93,Regenbogen::N,ссурул ккуртта,mávrica
94,Donner::N,къув,gròm
95,Strömung::N,экьинанаву,strúja
96,Tropfen::N,кӏунтӏ,káplja
97,Schaum::N,хьама,péna
98,Schmutz::N,кьяркьи,nesnága
99,See::N,бяр,jézero
100,Sumpf::N,кунцӏа,močvírje
101,Wiese::N,кьан,trávnik
102,Wald::N,вацӏа,lés
103,Wald::N,вацӏа,gòzd
104,Hügel::N,бакӏу,brég
105,Hügel::N,бакӏу,goríca
106,Berg::N,зунтту,gôra
107,Berg::N,зунтту,planína
108,Gipfel::N,мицӏ,vŕh
109,Höhle::N,нух,jáma
110,Höhle::N,нух,votlína
111,Abhang::N,сун,pobóčje
112,Quelle::N,дайдихьу,izvír
113,Quelle::N,бакӏ,izvír
114,Bach::N,чӏрир нех,pôtok
115,Fluss::N,нех,réka
116,Ufer::N,зума,brég
117,Küste::N,зумаинхалу,obála
118,Küste::N,зумаинхалу,obréžje
119,Küste::N,зуманицӏалу,obála
120,Küste::N,зуманицӏалу,obréžje
121,Festland::N,кьири,celína
122,Festland::N,кьири,kopnína
123,Meer::N,хьхьири,mórje
124,Insel::N,жазира,ôtok
125,Blume::N,тӏутӏи,cvetlíca
126,Gras::N,уртту,tráva
127,Wurzel::N,мархха,korenína
128,Baum::N,мурхь,drevó
129,Stamm::N,ттарцӏ,dêblo
130,Rinde::N,ккамара,lúbje
131,Rinde::N,ккамара,skórja
132,Ast::N,матӏи,véja
133,Zweig::N,къяртта,véja
134,Blatt::N,чӏапӏи,líst
135,Birke::N,кӏялахӏи,bréza
136,Birke::N,кӏялахӏилул мурхь,bréza
137,Kiefer[Baum]::N,ттар,bòr
138,Kiefer[Baum]::N,ттарлил мурхь,bòr
139,Weide[Baum]::N,щавщи,vŕba
140,Tanne::N,ттарлил мурхь,hója
141,Horn::N,хъи,róg
142,Feder::N,лелуххул тӏиму,peró
143,Fell::N,бурчу,kŕzno
144,Flügel::N,хъа,krílo
