,Concept_ID,lez,ca
0,Auge::N,вил,ull
1,Ohr::N,яб,orella
2,Nase::N,нер,nas
3,Mund::N,сив,boca
4,Zahn::N,сас,dent
5,Zahn::N,свах,dent
6,Zunge::N,мез,llēngua
7,Lippe::N,пӏуз,llavi
8,Wange::N,хъвехъ,galta
9,Gesicht::N,ччин,cara
10,Stirn::N,пел,front
11,Haar::N,чӏар,cabēll
12,Schnurrbart::N,спел,bigoti
13,Schnurrbart::N,спелар,bigoti
14,Bart::N,ччуру,barba
15,Kinn::N,чене,mentó
16,Kinn::N,чене,barbeta
17,Kiefer[Anatomie]::N,чене,queix
18,Kiefer[Anatomie]::N,чене,mandíbula
19,Kehle::N,туьд,gola
20,Kehle::N,туьд,gorja
21,Hals::N,гардан,coll
22,Genick::N,кьам,nuca
23,Kopf::N,кьил,cap
24,Rücken::N,далу,esquena
25,Bauch::N,руфун,panxa
26,Nabel::N,пицӏ,llombrígol
27,Busen::N,мам,pit
28,Busen::N,мам,mama
29,Brust::N,хур,pit
30,Schulter::N,къуьн,espatlla
31,Arm::N,гъил,braç
32,Ellenbogen::N,кьуьнт,colze
33,Hand::N,капаш,mà
34,Handfläche::N,капан юкь,palma
35,Finger::N,тӏуб,dit
36,Fingernagel::N,кек,ungla
37,Nagel[Anatomie]::N,кек,ungla
38,Zeh::N,кул,dit del peu
39,Fuß::N,кӏвач,peu
40,Ferse::N,дабан,taló
41,Knie::N,мет,genoll
42,Bein::N,кӏвач,cama
43,Körper::N,беден,cos
44,Haut::N,хам,pell
45,Blut::N,иви,sang
46,Ader::N,дамар,vena
47,Sehne::N,кьуру дамар,tendó
48,Knochen::N,кӏараб,os
49,Gehirn::N,мефт,cervell
50,Herz::N,рикӏ,cor
51,Magen::N,хук,estómac
52,Leber::N,лекь,fetge
53,Atem::N,ял,alè
54,Atem::N,ял,hàlit
55,Atem::N,нефес,alè
56,Atem::N,нефес,hàlit
57,Hunger::N,каш,fam
58,Hunger::N,каш,gana
59,Träne::N,вилин нагъв,llàgrima
60,Geschmack::N,дад,gust
61,Geschmack::N,дад,sabor
62,Geschmack::N,тӏям,gust
63,Geschmack::N,тӏям,sabor
64,Geruch::N,ни,olor
65,Schlaf::N,ахвар,son
66,Traum::N,ахвар,somni
67,Himmel::N,цав,celm
68,Sonne::N,рагъ,sol
69,Mond::N,варз,lluna
70,Stern::N,гъед,estel
71,Stern::N,гъед,estrella
72,Luft::N,гьава,aire
73,Wind::N,гар,vent
74,Welle::N,лепе,ona
75,Wasser::N,яд,āigua
76,Stein::N,къван,pedra
77,Boden::N,накьв,sòl
78,Erde::N,ччил,terra
79,Staub::N,руг,pols
80,Rauch::N,гум,fum
81,Funke::N,цӏелхем,guspira
82,Funke::N,цӏелхем,centella
83,Feuer::N,цӏай,foc
84,Licht::N,экв,llum
