,Concept_ID,lez,da
0,Auge::N,вил,øje
1,Ohr::N,яб,øre
2,Nase::N,нер,næse
3,Mund::N,сив,mund
4,Zahn::N,сас,tand
5,Zahn::N,свах,tand
6,Zunge::N,мез,tunge
7,Lippe::N,пӏуз,læbe
8,Wange::N,хъвехъ,kind
9,Gesicht::N,ччин,ansigt
10,Stirn::N,пел,pande
11,Haar::N,чӏар,hår
12,Schnurrbart::N,спел,overskæg
13,Schnurrbart::N,спелар,overskæg
14,Bart::N,ччуру,skæg
15,Kinn::N,чене,hage
16,Kiefer[Anatomie]::N,чене,kæbe
17,Kehle::N,туьд,strube
18,Hals::N,гардан,hals
19,Genick::N,кьам,nakke
20,Kopf::N,кьил,hoved
21,Rücken::N,далу,ryg
22,Bauch::N,руфун,mave
23,Nabel::N,пицӏ,navle
24,Busen::N,мам,barm
25,Brust::N,хур,bryst
26,Schulter::N,къуьн,skulder
27,Arm::N,гъил,arm
28,Ellenbogen::N,кьуьнт,albue
29,Hand::N,капаш,hånd
30,Handfläche::N,капан юкь,håndflade
31,Finger::N,тӏуб,finger
32,Fingernagel::N,кек,fingernegl
33,Nagel[Anatomie]::N,кек,negl
34,Zeh::N,кул,tå
35,Fuß::N,кӏвач,fod
36,Ferse::N,дабан,hæl
37,Knie::N,мет,knæ
38,Bein::N,кӏвач,ben
39,Körper::N,беден,krop
40,Körper::N,беден,legeme
41,Haut::N,хам,hud
42,Blut::N,иви,blod
43,Ader::N,дамар,åre
44,Sehne::N,кьуру дамар,sene
45,Knochen::N,кӏараб,ben
46,Gehirn::N,мефт,hjerne
47,Herz::N,рикӏ,hjerte
48,Magen::N,хук,mave
49,Leber::N,лекь,lever
50,Atem::N,ял,ånde
51,Atem::N,нефес,ånde
52,Hunger::N,каш,sult
53,Träne::N,вилин нагъв,tåre
54,Geschmack::N,дад,smag
55,Geschmack::N,тӏям,smag
56,Geruch::N,ни,lugt
57,Schlaf::N,ахвар,søvn
58,Traum::N,ахвар,drøm
59,Himmel::N,цав,himmel
60,Sonne::N,рагъ,sol
61,Mond::N,варз,måne
62,Stern::N,гъед,stjerne
63,Luft::N,гьава,luft
64,Wind::N,гар,vind
65,Welle::N,лепе,bølge
66,Wasser::N,яд,vand
67,Stein::N,къван,sten
68,Boden::N,накьв,jord
69,Erde::N,ччил,jord
70,Staub::N,руг,støv
71,Rauch::N,гум,røg
72,Funke::N,цӏелхем,gnist
73,Feuer::N,цӏай,ild
74,Licht::N,экв,lys
75,Schatten::N,серин,skygge
76,Wetter::N,гьава,vejr
77,Nebel::N,ччилин циф,tåge
78,Wolke::N,циф,sky
79,Regen::N,марф,regn
80,Schnee::N,жив,sne
81,Eis::N,мурк,is
82,Frost::N,аяз,frost
83,Kälte::N,мекь,kulde
84,Kälte::N,мекьивал,kulde
85,Hitze::N,зегьем,hede
86,Raureif::N,къирав,rimfrost
87,Regenbogen::N,яргъируш,regnbue
88,Donner::N,цавун ван,torden
89,Tropfen::N,стӏал,dråbe
90,Schaum::N,каф,skum
91,Schmutz::N,чирк,snavs
92,Schmutz::N,кьуруш,snavs
93,See::N,вир,sø
94,Sumpf::N,уьлен,sump
95,Wiese::N,векь,eng
96,Wald::N,там,skov
97,Hügel::N,кӏунтӏ,høj
98,Hügel::N,кӏунтӏ,bakke
99,Anhöhe::N,тепе,høj
100,Anhöhe::N,тепе,bakke
101,Anhöhe::N,гьуьндуьрвал,høj
102,Anhöhe::N,гьуьндуьрвал,bakke
103,Berg::N,дагъ,bjerg
104,Gipfel::N,кӏукӏ,top
105,Höhle::N,кьветӏ,hule
106,Abhang::N,гуьне,skrænt
107,Abhang::N,гуьне,skråning
108,Quelle::N,чешме,kilde
109,Bach::N,булах,bæk
110,Fluss::N,вацӏ,flod
111,Ufer::N,къерех,bred
112,Küste::N,къерех,kyst
113,Festland::N,кьурамат,fastland
114,Meer::N,гьуьл,hav
115,Bucht::N,бухта,bugt
116,Insel::N,остров,ø
117,Blume::N,цуьк,blomst
118,Gras::N,хъач,græs
119,Wurzel::N,дувул,rod
120,Baum::N,ттар,træ
121,Stamm::N,тан,stamme
122,Rinde::N,чкал,bark
123,Ast::N,тӏур,gren
124,Zweig::N,хел,kvist
125,Blatt::N,пеш,blad
126,Birke::N,верх,birk
127,Kiefer[Baum]::N,шамагъаж,fyrretræ
128,Weide[Baum]::N,цӏвелин ттар,piletræ
129,Tanne::N,ель,gran
130,Horn::N,карч,horn
131,Feder::N,цӏакул,fjer
132,Fell::N,хам,skind
133,Flügel::N,лув,vinge
134,Klaue::N,къармах,klov
135,Kralle::N,пац,klo
136,Kralle::N,тапас,klo
137,Schwanz::N,ттум,hale
138,Ei::N,кака,æg
139,Nest::N,муг,rede
140,Bau::N,тӏеквен,bo
141,Tier::N,гьайван,dyr
142,Herde::N,суьруь,flok
143,Kuh::N,ккал,ko
144,Bulle::N,яц,tyr
145,Bulle::N,бугъа,tyr
146,Pferd::N,балкӏан,hest
147,Schaf::N,хеб,får
148,Schwein::N,вак,gris
149,Hund::N,кицӏ,hund
150,Katze::N,кац,kat
151,Bär::N,сев,bjørn
152,Eichhörnchen::N,белка,egern
153,Elch::N,лось,elg
154,Fuchs::N,сикӏ,ræv
155,Hase::N,къуьр,hare
156,Maus::N,кьиф,mus
157,Wolf::N,жанавур,ulv
158,Vogel::N,луван ничхир,fugl
159,Schwarm::N,луж,sværm
160,Huhn::N,верч,høne
161,Hahn::N,кӏек,hane
162,Gans::N,къаз,gås
163,Adler::N,лекь,ørn
164,Ente::N,пӏатӏ,and
165,Eule::N,тӏиб,ugle
166,Kranich::N,дурна,trane
167,Krähe::N,къаргъа,krage
168,Kuckuck::N,кукупӏ,gøg
169,Schwan::N,къугь,svane
170,Fisch::N,гъед,fisk
171,Barsch::N,окунь,aborre
172,Hecht::N,щука,gedde
173,Schlange[Tier]::N,илан,slange
174,Schlange[Tier]::N,гъуьлягъ,slange
175,Wurm::N,квак,orm
176,Spinne::N,хуьшрекан,edderkop
177,Ameise::N,цегв,myre
178,Laus::N,нет,lus
179,Mücke::N,ветӏ,myg
180,Fliege::N,тӏветӏ,flue
181,Schmetterling::N,чепелукь,sommerfugl
182,Beere::N,куьлуь емиш,bær
183,Apfel::N,ич,æble
184,Pilz::N,къарникъуз,svamp
185,Zwiebel::N,чичӏек,løg
186,Saat::N,тумар,sæd
187,Korn::N,твар,korn
188,Heu::N,векь,hø
189,Heu::N,векьер,hø
190,Schale::N,пириш,skræl
