,Concept_ID,lez,ta
0,Auge::N,вил,கண்
1,Ohr::N,яб,காது
2,Nase::N,нер,மூக்கு
3,Mund::N,сив,வாய்
4,Zahn::N,сас,பல்
5,Zahn::N,свах,பல்
6,Zunge::N,мез,நாக்கு
7,Lippe::N,пӏуз,உதடு
8,Wange::N,хъвехъ,கன்னம்
9,Gesicht::N,ччин,முகம்
10,Stirn::N,пел,முன்னெற்றி
11,Haar::N,чӏар,முடி
12,Schnurrbart::N,спел,மீசை
13,Schnurrbart::N,спелар,மீசை
14,Bart::N,ччуру,தாடி
15,Kinn::N,чене,கீழதாடை
16,Kiefer[Anatomie]::N,чене,தாடை
17,Kehle::N,туьд,தொண்டை
18,Hals::N,гардан,கழுத்து
19,Genick::N,кьам,கழுத்து
20,Kopf::N,кьил,தலை
21,Rücken::N,далу,முதுகு
22,Bauch::N,руфун,வயிறு
23,Nabel::N,пицӏ,தொப்புள்
24,Busen::N,мам,மார்பகம்
25,Brust::N,хур, மார்பு
26,Schulter::N,къуьн,தோள்பட்டை
27,Arm::N,гъил,கரம்
28,Ellenbogen::N,кьуьнт,முழங்கை
29,Hand::N,капаш,கை
30,Handfläche::N,капан юкь,உள்ளங்கை
31,Finger::N,тӏуб,விரல்
32,Fingernagel::N,кек,விரல் நகம்
33,Nagel[Anatomie]::N,кек,நகம்
34,Zeh::N,кул,கால்விரல்
35,Fuß::N,кӏвач,கால்
36,Ferse::N,дабан,குதிகால்
37,Knie::N,мет,முழங்கால்
38,Bein::N,кӏвач,கால்
39,Körper::N,беден,உடல்
40,Haut::N,хам,சருமம்
41,Blut::N,иви,இரத்தம்
42,Ader::N,дамар,நாளம்
43,Sehne::N,кьуру дамар,தசைநார்
44,Knochen::N,кӏараб,எலுமபு
45,Gehirn::N,мефт,மூனை
46,Herz::N,рикӏ,இதயம
47,Magen::N,хук,வயிறு
48,Leber::N,лекь,கல்லீரல்
49,Atem::N,ял,மூச்சு
50,Atem::N,нефес,மூச்சு
51,Hunger::N,каш,பசி
52,Träne::N,вилин нагъв,கண்ணீர்
53,Geschmack::N,дад,நறுமணம்
54,Geschmack::N,тӏям,நறுமணம்
55,Geruch::N,ни,துர்நாற்றம்
56,Schlaf::N,ахвар,தூக்கம்
57,Traum::N,ахвар,கனவு
58,Himmel::N,цав,வானம்
59,Sonne::N,рагъ,சூரியன்
60,Mond::N,варз,சந்திரன்
61,Stern::N,гъед,நட்சத்திரம்
62,Luft::N,гьава,காறறு
63,Wind::N,гар,காற்று
64,Welle::N,лепе,அலை
65,Wasser::N,яд,நீர்
66,Stein::N,къван,கல்
67,Boden::N,накьв,தரை
68,Erde::N,ччил,மண்
69,Staub::N,руг,தூசி
70,Rauch::N,гум,புகை
71,Funke::N,цӏелхем,தீப்பொறி
72,Feuer::N,цӏай,தீ
73,Licht::N,экв,வெளிச்சம்
74,Schatten::N,серин,நிழல்
75,Wetter::N,гьава,வானிலை
76,Nebel::N,ччилин циф,பனிமூட்டம்
77,Wolke::N,циф,மேகம்
78,Regen::N,марф,மழை
79,Schnee::N,жив,உறைபனி
80,Eis::N,мурк,பனிக்கட்டி
81,Frost::N,аяз,உறைபனி
82,Kälte::N,мекь,குளிர்ந்த
83,Kälte::N,мекьивал,குளிர்ந்த
84,Hitze::N,зегьем,சூடு
85,Raureif::N,къирав,உறைபனி வெண்திரை
86,Regenbogen::N,яргъируш,வானவில்
87,Donner::N,цавун ван,இடி
88,Tropfen::N,стӏал,துளி
89,Schaum::N,каф,நுரை
90,Schmutz::N,чирк,அழுக்கு
91,Schmutz::N,кьуруш,அழுக்கு
92,See::N,вир,ஏரி
93,Sumpf::N,уьлен,சதுப்பு நிலம்
94,Wiese::N,векь,பசும் புல்தரை
95,Wald::N,там,காடு
96,Hügel::N,кӏунтӏ,குன்று
97,Anhöhe::N,тепе,பதுக்கை
98,Anhöhe::N,гьуьндуьрвал,பதுக்கை
99,Berg::N,дагъ,மலை
