,Concept_ID,lt,la
0,Auge::N,akis,oculus
1,Ohr::N,ausis,auris
2,Nase::N,nosis,nasus
3,Mund::N,burna,os
4,Zahn::N,dantis,dens
5,Zunge::N,liežuvis,lingua
6,Lippe::N,lūpa,labrum
7,Wange::N,žandas,gena
8,Wange::N,skruostas,gena
9,Gesicht::N,veidas,vultus
10,Stirn::N,kakta,frons
11,Haar::N,plaukai,capillus
12,Schnurrbart::N,ūsai,barba labri superioris
13,Bart::N,barzda,barba
14,Kinn::N,smakras,mentum
15,Kiefer[Anatomie]::N,žandikaulis,mala
16,Kehle::N,gerklė,iugulums
17,Hals::N,kaklas,collum
18,Genick::N,sprandas,cervices
19,Kopf::N,galva,caput
20,Rücken::N,nugara,tergum
21,Bauch::N,pilvas,venter
22,Nabel::N,bamba,umbilicus
23,Busen::N,krūtinė,sinus
24,Brust::N,krūtis,pectus
25,Schulter::N,petys,umerus
26,Arm::N,ranka,bracchium
27,Ellenbogen::N,alkūnė,cubitum
28,Hand::N,ranka,manus
29,Hand::N,plaštaka,manus
30,Handfläche::N,delnas,palma
31,Handfläche::N,plaštaka,palma
32,Finger::N,pirštas,digitus
33,Fingernagel::N,nagas,unguiculus
34,Nagel[Anatomie]::N,nagas,unguis
35,Zeh::N,pirštas,digitus
36,Fuß::N,pėda,pes
37,Ferse::N,kulnas,calx
38,Knie::N,kelis,genu
39,Oberschenkel::N,kulšis,femur
40,Oberschenkel::N,šlaunis,femur
41,Bein::N,koja,crus
42,Körper::N,kūnas,corpus
43,Haut::N,oda,cutis
44,Haut::N,oda,pellis
45,Blut::N,kraujas,sanguis
46,Ader::N,kraujagyslė,vena
47,Sehne::N,sausgyslė,nervus
48,Knochen::N,kaulas,os
49,Gehirn::N,smegenys,cerebrum
50,Herz::N,širdis,cor
51,Herz::N,širdis,animus
52,Magen::N,skrandis,stomachus
53,Leber::N,kepenys,iecur
54,Atem::N,kvapas,spiritus
55,Hunger::N,badas,fames
56,Hunger::N,alkis,fames
57,Träne::N,ašara,lacrima
58,Geschmack::N,skonis,sapor
59,Geschmack::N,skonis,gustus
60,Geruch::N,kvapas,odor
61,Schlaf::N,miegas,somnus
62,Traum::N,sapnas,somnium
63,Himmel::N,dangus,caelum
64,Sonne::N,saulė,sol
65,Mond::N,mėnulis,luna
66,Stern::N,žvaigždė,sidus
67,Stern::N,žvaigždė,stella
68,Luft::N,oras,aer
69,Wind::N,vėjas,ventus
70,Welle::N,banga,unda
71,Welle::N,vilnis,unda
72,Wasser::N,vanduo,aqua
73,Stein::N,akmuo,lapis
74,Boden::N,žemė,solum
75,Boden::N,dugnas,solum
76,Erde::N,žemė,terra
77,Staub::N,dulkės,pulvis
78,Rauch::N,dūmai,fumus
79,Funke::N,kibirkštis,scintilla
80,Feuer::N,ugnis,ignis
81,Licht::N,šviesa,lux
82,Licht::N,šviesa,lumen
83,Schatten::N,paūksmė,umbra
84,Wetter::N,oras,caelum
85,Wetter::N,oras,tempestas
86,Nebel::N,migla,nebula
87,Nebel::N,rūkas,nebula
88,Wolke::N,debesis,nubes
89,Regen::N,lietus,imber
90,Regen::N,lietus,pluvia
91,Schnee::N,sniegas,nix
92,Eis::N,ledas,glacies
93,Frost::N,šalna,gelu
94,Kälte::N,šaltis,frigus
95,Hitze::N,karštis,calor
96,Hitze::N,karštis,aestus
97,Raureif::N,šerkšnas,pruina
98,Regenbogen::N,vaivorykštė,arcus
99,Donner::N,perkūnas,tonitrus
100,Donner::N,griaustinis,tonitrus
101,Strömung::N,tėkmė,fluctus
102,Tropfen::N,lašas,gutta
103,Schaum::N,putos,spuma
104,Schmutz::N,purvas,sordes
105,Schmutz::N,purvas,squalor
106,See::N,ežeras,lacus
107,Sumpf::N,klampynė,palus
108,Sumpf::N,liūnas,palus
109,Moor::N,pelkė,palus
110,Wiese::N,pieva,pratum
111,Wald::N,miškas,silva
112,Hügel::N,kalva,collis
113,Anhöhe::N,kauburys,specula
114,Berg::N,kalnas,mons
115,Gipfel::N,viršūnė,vertex
116,Höhle::N,ola,caverna
117,Höhle::N,ola,spelunca
118,Abhang::N,šlaitas,declivum
119,Abhang::N,nuokalnė,declivum
120,Quelle::N,versmė,fons
121,Quelle::N,šaltinis,fons
122,Bach::N,upelis,rivus
123,Fluss::N,upė,flumen
124,Ufer::N,krantas,ripa
125,Küste::N,pajūris,litus
126,Festland::N,sausuma,continens
127,Meer::N,jūra,mare
128,Bucht::N,įlanka,sinus
129,Bucht::N,užutekis,sinus
130,Insel::N,sala,insula
131,Blume::N,gėlė,flos
132,Gras::N,žolė,herba
133,Gras::N,žolė,gramen
134,Wurzel::N,šaknis,radix
135,Baum::N,medis,arbor
136,Stamm::N,kamienas,truncus
137,Rinde::N,žievė,cortex
138,Ast::N,šaka,ramus
139,Zweig::N,šakelė,ramus
140,Blatt::N,lapas,folium
141,Birke::N,beržas,betulla
142,Kiefer[Baum]::N,pušis,pinus
143,Weide[Baum]::N,karklas,salix
144,Tanne::N,eglė,abies
145,Tanne::N,kėnis,abies
146,Horn::N,ragas,cornu
147,Feder::N,plunksna,penna
148,Fell::N,kailis,pellis
149,Flügel::N,sparnas,ala
150,Klaue::N,kanopa,unguis
151,Kralle::N,nagas,unguis
152,Schwanz::N,uodega,cauda
153,Ei::N,kiaušinis,ovum
154,Nest::N,gūžta,nidus
155,Nest::N,lizdas,nidus
156,Bau::N,ola,cavum
157,Bau::N,ola,latibulum
158,Tier::N,gyvūnas,bestia
159,Herde::N,banda,grex
160,Herde::N,kaimenė,grex
161,Kuh::N,karvė,vacca
162,Bulle::N,bulius,taurus
163,Pferd::N,arklys,equus
164,Schaf::N,avis,ovis
165,Schwein::N,kiaulė,sus
166,Schwein::N,kiaulė,porcus
167,Hund::N,šuo,canis
168,Katze::N,katė,felis
169,Bär::N,lokys,ursus
170,Eichhörnchen::N,voveraitė,sciurus
171,Elch::N,briedis,alces
172,Fuchs::N,lapė,vulpes
173,Hase::N,kiškas,lepus
174,Maus::N,pelė,mus
175,Wolf::N,vilkas,lupus
176,Vogel::N,paukštis,avis
177,Schwarm::N,spiečius,examen
178,Huhn::N,višta,gallina
179,Hahn::N,gaidys,gallus
180,Gans::N,žąsis,anser
181,Adler::N,erelis,aquila
182,Ente::N,antis,anas
183,Eule::N,pelėda,ulula
184,Eule::N,pelėda,noctua
185,Kranich::N,gervė,grus
186,Krähe::N,varna,cornix
187,Kuckuck::N,gegužė,cuculus
188,Schwan::N,gulbė,olor
189,Schwan::N,gulbė,cycnus
190,Fisch::N,žuvis,piscis
191,Barsch::N,ešerys,perca
192,Hecht::N,lydeka,esox
193,Schlange[Tier]::N,gyvatė,serpens
194,Wurm::N,kirmėlė,vermis
195,Spinne::N,voras,aranea
196,Ameise::N,skruzdė,formica
197,Laus::N,utėlė,pediculus
198,Mücke::N,uodas,culex
199,Fliege::N,musė,musca
200,Schmetterling::N,drugys,papilio
201,Schmetterling::N,peteliškė,papilio
202,Beere::N,uoga,baca
203,Apfel::N,obuolys,malum
204,Pilz::N,grybas,fungus
205,Zwiebel::N,svogūnas,cepa
206,Saat::N,sėkla,seges
207,Korn::N,grūdai,granum
208,Heu::N,šienas,faenum
209,Schale::N,žievelė,putamen
210,Grube::N,duobė,fovea
211,Falle::N,pinklės,pedica
212,Falle::N,žabangai,pedica
213,Schlinge::N,kilpa,laqueus
214,Spur::N,vėžė,vestigium
215,Spur::N,pėdos,vestigium
216,Spur::N,pėdsakas,vestigium
217,Asche::N,pelenai,cinis
218,Dreck::N,purvas,lutum
219,Eisen::N,geležis,ferrum
220,Gold::N,auksas,aurum
221,Silber::N,sidabras,argentum
222,Kohle::N,anglis,carbo
223,Glas::N,stiklas,vitrum
224,Lehm::N,molis,lutum
225,Sand::N,smėlis,arena
226,Mensch::N,žmogus,homo
227,Mann::N,vyras,vir
228,Mann::N,vyriškis,vir
229,Frau::N,moteris,mulier
230,Kind::N,vaikas,puer
231,Kind::N,vaikas,infans
232,Junge::N,vaikinas,puer
233,Junge::N,berniukas,puer
234,Mädchen::N,mergytė,puella
235,Mädchen::N,mergaitė,puella
236,Familie::N,šeima,familia
237,Großvater::N,senelis,avus
238,Großmutter::N,senelė,avia
239,Eltern::N,tėvai,parentes
240,Vater::N,tėvas,pater
241,Mutter::N,motina,mater
242,Sohn::N,sūnus,filius
243,Tochter::N,duktė,filia
244,Bruder::N,brolis,frater
245,Schwester::N,sesuo,soror
246,Onkel::N,dėdė,patruus
247,Onkel::N,dėdė,avunculus
248,Tante::N,teta,amita
249,Ehemann::N,vyras,maritus
250,Ehefrau::N,žmona,uxor
251,Freude::N,džiaugsmas,gaudium
252,Freude::N,džiaugsmas,laetitia
253,Gelächter::N,juokas,risus
254,Glück::N,laimė,felicitas
255,Kummer::N,vargas,aegritudo
256,Kummer::N,rūpestis,aegritudo
257,Wunsch::N,troškimas,voluntas
258,Wunsch::N,troškimas,desiderium
259,Wunsch::N,pageidavimas,voluntas
260,Wunsch::N,pageidavimas,desiderium
261,Lust::N,noras,libido
262,Lust::N,noras,voluptas
263,Lust::N,geidulys,libido
264,Lust::N,geidulys,voluptas
265,Geist::N,dvasia,mens
266,Geist::N,dvasia,animus
267,Gedanke::N,mintis,sententia
268,Gedächtnis::N,atmintis,memoria
269,Verstand::N,protas,ratio
270,Verstand::N,protas,ingenium
271,Sinn::N,prasmė,sensus
272,Grund::N,priežastis,causa
273,Wahrheit::N,tiesa,veritas
274,Wahrheit::N,teisybė,veritas
275,Gespräch::N,pokalbis,sermo
276,Märchen::N,pasaka,fabula
277,Erzählung::N,apsakymas,fabula
278,Erzählung::N,apsakymas,narratio
279,Erzählung::N,pasakojimas,fabula
280,Erzählung::N,pasakojimas,narratio
281,Nachricht::N,žinia,nuntius
282,Neuigkeit::N,naujiena,novitas
283,Name::N,vardas,nomen
284,Rätsel::N,mįslė,aenigma
285,Rede::N,kalba,oratio
286,Sprache::N,kalba,lingua
287,Stimme::N,balsas,vox
288,Wort::N,žodis,verbum
289,Wort::N,žodis,vocabulum
290,Zeichen::N,žymė,signum
291,Zeichen::N,ženklas,signum
292,Ruf::N,šauksmas,clamor
293,Lärm::N,triukšmas,strepitus
294,Laut::N,garsas,sonus
295,Ton::N,tonas,sonus
296,Ton::N,garsas,sonus
297,Lied::N,daina,carmen
298,Lied::N,giesmė,carmen
299,Ruhe::N,ramybė,quies
300,Ruhe::N,ramumas,quies
301,Leute::N,žmonės,homines
302,Volk::N,tauta,populus
303,Arbeit::N,darbas,labor
304,Arbeit::N,triūsas,labor
305,Gast::N,svečias,hospes
306,Gast::N,svečias,conviva
307,Geschenk::N,dovana,munus
308,Spiel::N,žaismas,ludus
309,Spiel::N,žaidimas,ludus
310,Gesellschaft::N,draugija,societas
311,Gesellschaft::N,kompanija,societas
312,Hilfe::N,pagalba,auxilium
313,Hilfe::N,pagalba,subsidium
314,Freund::N,draugas,amicus
315,Freund::N,bičiulis,amicus
316,Kamerad::N,draugas,socius
317,Angelegenheit::N,dalykas,res
318,Angelegenheit::N,reikalas,res
319,Anzahl::N,kiekis,numerus
320,Anzahl::N,skaičius,numerus
321,Art::N,rūšis,genus
322,Stück::N,gabalas,frustum
323,Stück::N,gabalas,fragmentum
324,Teil::N,dalis,pars
325,Hälfte::N,pusė,dimidium
326,Kreis::N,ratas,orbis
327,Kreis::N,ratas,circus
328,Kreis::N,apskritis,orbis
329,Kreis::N,apskritis,circus
330,Kreis::N,apskritimas,orbis
331,Kreis::N,apskritimas,circus
332,Kreuz::N,kryžius,crux
333,Linie::N,linija,linea
334,Strich::N,brėžis,lineamentum
335,Strich::N,brūkšnys,lineamentum
336,Abstand::N,atstumas,intervallum
337,Entfernung::N,atstumas,spatium
338,Gegend::N,vietovė,loca
339,Gegend::N,vietovė,regio
