,Concept_ID,lv,ba
0,Auge::N,син,күҙ
1,Auge::N,acs,күҙ
2,Ohr::N,пель,ҡолаҡ
3,Ohr::N,auss,ҡолаҡ
4,Nase::N,ныр,танау
5,Nase::N,deguns,танау
6,Mund::N,вом,ауыҙ
7,Mund::N,mute,ауыҙ
8,Zahn::N,пинь,теш
9,Zahn::N,zobs,теш
10,Zunge::N,кыв,тел
11,Zunge::N,mēle,тел
12,Lippe::N,вом дор,ирен
13,Lippe::N,lūpa,ирен
14,Wange::N,бан,яцаҡтар
15,Wange::N,vaigs,яцаҡтар
16,Gesicht::N,чужӧм,бит
17,Gesicht::N,seja,бит
18,Gesicht::N,ģīmis,бит
19,Stirn::N,плеш,маңлай
20,Stirn::N,кымӧс,маңлай
21,Stirn::N,piere,маңлай
22,Haar::N,си,сәс
23,Haar::N,юрси,сәс
24,Haar::N,mats,сәс
25,Schnurrbart::N,ус,мылтыҡ
26,Schnurrbart::N,пыртсим,мылтыҡ
27,Schnurrbart::N,ūsas,мылтыҡ
28,Bart::N,тош,һаҡал
29,Bart::N,bārda,һаҡал
30,Kinn::N,тшӧка,эйэк
31,Kinn::N,zods,эйэк
32,Kinn::N,smakrs,эйэк
33,Kiefer[Anatomie]::N,черлы,яңаҡ һөйәге
34,Kiefer[Anatomie]::N,алака лы,яңаҡ һөйәге
35,Kiefer[Anatomie]::N,вомкӧтш лы,яңаҡ һөйәге
36,Kiefer[Anatomie]::N,žoklis,яңаҡ һөйәге
37,Kehle::N,голя,тамаҡ
38,Kehle::N,rīkle,тамаҡ
39,Hals::N,сьылі,муйын
40,Hals::N,kakls,муйын
41,Genick::N,юрбӧр,соңҡа
42,Genick::N,балябӧж,соңҡа
43,Genick::N,sprands,соңҡа
44,Kopf::N,юр,баш
45,Kopf::N,galva,баш
46,Rücken::N,мыш,арҡа
47,Rücken::N,mugura,арҡа
48,Bauch::N,рушку,ҡорһаҡ
49,Bauch::N,vēders,ҡорһаҡ
50,Nabel::N,гӧг,кендек
51,Nabel::N,naba,кендек
