,Concept_ID,lv,el
0,Auge::N,син,μάτι
1,Auge::N,син,οφθαλμός
2,Auge::N,acs,μάτι
3,Auge::N,acs,οφθαλμός
4,Ohr::N,пель,αυτί
5,Ohr::N,auss,αυτί
6,Nase::N,ныр,μύτη
7,Nase::N,deguns,μύτη
8,Mund::N,вом,στόμα
9,Mund::N,mute,στόμα
10,Zahn::N,пинь,δόντι
11,Zahn::N,zobs,δόντι
12,Zunge::N,кыв,γλώσσα
13,Zunge::N,mēle,γλώσσα
14,Lippe::N,вом дор,χείλος
15,Lippe::N,lūpa,χείλος
16,Wange::N,бан,παρειά
17,Wange::N,бан,μάγουλο
18,Wange::N,vaigs,παρειά
19,Wange::N,vaigs,μάγουλο
20,Gesicht::N,чужӧм,πρόσωπο
21,Gesicht::N,seja,πρόσωπο
22,Gesicht::N,ģīmis,πρόσωπο
23,Stirn::N,плеш,μέτωπο
24,Stirn::N,кымӧс,μέτωπο
25,Stirn::N,piere,μέτωπο
26,Haar::N,си,μαλλιά
27,Haar::N,юрси,μαλλιά
28,Haar::N,mats,μαλλιά
29,Schnurrbart::N,ус,μουστάκι
30,Schnurrbart::N,пыртсим,μουστάκι
31,Schnurrbart::N,ūsas,μουστάκι
32,Bart::N,тош,γένια
33,Bart::N,bārda,γένια
34,Kinn::N,тшӧка,πιγούνι
35,Kinn::N,zods,πιγούνι
36,Kinn::N,smakrs,πιγούνι
37,Kiefer[Anatomie]::N,черлы,σαγόνι
38,Kiefer[Anatomie]::N,алака лы,σαγόνι
39,Kiefer[Anatomie]::N,вомкӧтш лы,σαγόνι
40,Kiefer[Anatomie]::N,žoklis,σαγόνι
41,Kehle::N,голя,λαρύγγι
42,Kehle::N,rīkle,λαρύγγι
43,Hals::N,сьылі,λαιμός
44,Hals::N,kakls,λαιμός
45,Genick::N,юрбӧр,σβέρκος
46,Genick::N,балябӧж,σβέρκος
47,Genick::N,sprands,σβέρκος
48,Kopf::N,юр,κεφάλι
49,Kopf::N,galva,κεφάλι
50,Rücken::N,мыш,ράχη
51,Rücken::N,mugura,ράχη
52,Bauch::N,рушку,κοιλιά
53,Bauch::N,vēders,κοιλιά
54,Nabel::N,гӧг,αφαλός
55,Nabel::N,naba,αφαλός
56,Busen::N,морӧс,στήθος
57,Busen::N,krūts,στήθος
58,Brust::N,морӧс,στήθος
59,Brust::N,krūts,στήθος
60,Schulter::N,пельпом,ώμος
61,Schulter::N,plecs,ώμος
62,Arm::N,ки,χέρι
63,Arm::N,ки,μπράτςο
64,Arm::N,roka,χέρι
65,Arm::N,roka,μπράτςο
66,Arm::N,delms,χέρι
67,Arm::N,delms,μπράτςο
68,Ellenbogen::N,гырддза,αγκώνας
69,Ellenbogen::N,elkonis,αγκώνας
70,Hand::N,ки,χέρι
71,Hand::N,roka,χέρι
72,Hand::N,plauksta,χέρι
73,Handfläche::N,ки пыдӧс,παλάμη
74,Handfläche::N,delna,παλάμη
75,Handfläche::N,plauksta,παλάμη
76,Finger::N,чунь,δάχτυλο
77,Finger::N,pirksts,δάχτυλο
78,Fingernagel::N,гыж,νύχι
79,Fingernagel::N,nags,νύχι
80,Nagel[Anatomie]::N,гыж,νύχι
81,Nagel[Anatomie]::N,nags,νύχι
82,Zeh::N,кок чунь,δάχτυλο του ποδιού
83,Zeh::N,pirksts,δάχτυλο του ποδιού
84,Fuß::N,кок,πόδι
85,Fuß::N,kāja,πόδι
86,Ferse::N,кокбӧр,φτέρνα
87,Ferse::N,papēdis,φτέρνα
88,Knie::N,пидзӧс,γόνατο
89,Knie::N,celis,γόνατο
90,Oberschenkel::N,лядьвей,μηρός
91,Oberschenkel::N,бек,μηρός
92,Oberschenkel::N,ciska,μηρός
93,Oberschenkel::N,augšstilbs,μηρός
94,Bein::N,кок,πόδι
95,Bein::N,kāja,πόδι
96,Körper::N,туша,σώμα
97,Körper::N,туша,κορμί
98,Körper::N,вывтыр,σώμα
99,Körper::N,вывтыр,κορμί
100,Körper::N,miesa,σώμα
101,Körper::N,miesa,κορμί
102,Körper::N,ķermenis,σώμα
103,Körper::N,ķermenis,κορμί
104,Haut::N,ку,πετσί
105,Haut::N,āda,πετσί
106,Blut::N,вир,αίμα
107,Blut::N,asins,αίμα
108,Ader::N,сӧн,φλέβα
109,Ader::N,asinsvads,φλέβα
110,Sehne::N,вез,νεύρο
111,Sehne::N,вез,τένοντας
112,Sehne::N,dzīsla,νεύρο
113,Sehne::N,dzīsla,τένοντας
114,Knochen::N,лы,οστό
115,Knochen::N,лы,κόκκαλο
116,Knochen::N,kauls,οστό
117,Knochen::N,kauls,κόκκαλο
118,Gehirn::N,вем,μυαλό
119,Gehirn::N,вем,εγκέφαλος
120,Gehirn::N,smadzenes,μυαλό
121,Gehirn::N,smadzenes,εγκέφαλος
122,Herz::N,сьӧлӧм,καρδιά
123,Herz::N,sirds,καρδιά
124,Magen::N,кынӧм,στομάχι
125,Magen::N,kuņģis,στομάχι
126,Leber::N,мус,ήπαρ
127,Leber::N,мус,συκωτί
128,Leber::N,aknas,ήπαρ
129,Leber::N,aknas,συκωτί
130,Atem::N,лов,αναπνοή
131,Atem::N,elpa,αναπνοή
132,Hunger::N,тшыг,πείνα
133,Hunger::N,bads,πείνα
134,Hunger::N,izsalkums,πείνα
135,Träne::N,синва,δάκρυ
136,Träne::N,asara,δάκρυ
137,Geschmack::N,кӧр,γεύση
138,Geschmack::N,чӧсмӧс,γεύση
139,Geschmack::N,garša,γεύση
140,Geruch::N,зын,οσμή
141,Geruch::N,зын,μυρωδία
142,Geruch::N,дук,οσμή
143,Geruch::N,дук,μυρωδία
144,Geruch::N,smaka,οσμή
145,Geruch::N,smaka,μυρωδία
146,Schlaf::N,узьӧм,ύπνος
147,Schlaf::N,miegs,ύπνος
148,Traum::N,вӧт,όνειρο
149,Traum::N,вӧтасьӧм,όνειρο
150,Traum::N,sapnis,όνειρο
151,Himmel::N,енэж,ουρανός
152,Himmel::N,debess,ουρανός
153,Sonne::N,шонді,ήλιος
154,Sonne::N,saule,ήλιος
155,Mond::N,тӧлысь,σελήνη
156,Mond::N,тӧлысь,φεγγάρι
157,Mond::N,mēness,σελήνη
158,Mond::N,mēness,φεγγάρι
159,Stern::N,кодзув,άστρο
160,Stern::N,кодзув,αστέρι
161,Stern::N,zvaigzne,άστρο
162,Stern::N,zvaigzne,αστέρι
163,Luft::N,сынӧд,αέρας
164,Luft::N,gaiss,αέρας
165,Wind::N,тӧв,αέρας
166,Wind::N,тӧв,άνεμος
167,Wind::N,vējš,αέρας
168,Wind::N,vējš,άνεμος
169,Welle::N,гы,κύμα
170,Welle::N,vilnis,κύμα
171,Wasser::N,ва,νερό
172,Wasser::N,ūdens,νερό
173,Stein::N,из,πέτρα
174,Stein::N,akmens,πέτρα
175,Boden::N,му,χώμα
176,Boden::N,augsne,χώμα
177,Erde::N,му,γη
178,Erde::N,му-ва,γη
179,Erde::N,zeme,γη
180,Staub::N,бус,σκόνη
181,Staub::N,putekļi,σκόνη
182,Rauch::N,тшын,καπνός
183,Rauch::N,dūmi,καπνός
184,Funke::N,кинь,σπίθα
185,Funke::N,кинь,σπινθήρας
186,Funke::N,би кинь,σπίθα
187,Funke::N,би кинь,σπινθήρας
188,Funke::N,dzirkstele,σπίθα
189,Funke::N,dzirkstele,σπινθήρας
190,Feuer::N,би,φωτιά
191,Feuer::N,uguns,φωτιά
192,Licht::N,югӧр,φως
193,Licht::N,gaisma,φως
194,Schatten::N,вуджӧр,σκιά
195,Schatten::N,вуджӧр,ίσκιος
196,Schatten::N,ēna,σκιά
197,Schatten::N,ēna,ίσκιος
198,Wetter::N,поводдя,καιρός
199,Wetter::N,laiks,καιρός
200,Nebel::N,ру,ομίχλη
201,Nebel::N,онь,ομίχλη
202,Nebel::N,migla,ομίχλη
203,Wolke::N,кымӧр,σύννεφο
204,Wolke::N,mākonis,σύννεφο
205,Regen::N,зэр,βροχή
206,Regen::N,lietus,βροχή
