,Concept_ID,lv,myv
0,Auge::N,син,сельме
1,Auge::N,acs,сельме
2,Ohr::N,пель,пиле
3,Ohr::N,auss,пиле
4,Nase::N,ныр,судо
5,Nase::N,deguns,судо
6,Mund::N,вом,курго
7,Mund::N,mute,курго
8,Zahn::N,пинь,пей
9,Zahn::N,zobs,пей
10,Zunge::N,кыв,кель
11,Zunge::N,mēle,кель
12,Lippe::N,вом дор,турва
13,Lippe::N,lūpa,турва
14,Wange::N,бан,чамабока
15,Wange::N,бан,чамаумарь
16,Wange::N,vaigs,чамабока
17,Wange::N,vaigs,чамаумарь
18,Gesicht::N,чужӧм,чама
19,Gesicht::N,seja,чама
20,Gesicht::N,ģīmis,чама
21,Stirn::N,плеш,коня
22,Stirn::N,кымӧс,коня
23,Stirn::N,piere,коня
24,Haar::N,си,черь
25,Haar::N,юрси,черь
26,Haar::N,mats,черь
27,Schnurrbart::N,ус,ус
28,Schnurrbart::N,ус,муюк
29,Schnurrbart::N,пыртсим,ус
30,Schnurrbart::N,пыртсим,муюк
31,Schnurrbart::N,ūsas,ус
32,Schnurrbart::N,ūsas,муюк
33,Bart::N,тош,сакал
34,Bart::N,bārda,сакал
35,Kinn::N,тшӧка,уло
36,Kinn::N,zods,уло
37,Kinn::N,smakrs,уло
38,Kiefer[Anatomie]::N,черлы,пейпакар
39,Kiefer[Anatomie]::N,черлы,пейловажа
40,Kiefer[Anatomie]::N,алака лы,пейпакар
41,Kiefer[Anatomie]::N,алака лы,пейловажа
42,Kiefer[Anatomie]::N,вомкӧтш лы,пейпакар
43,Kiefer[Anatomie]::N,вомкӧтш лы,пейловажа
44,Kiefer[Anatomie]::N,žoklis,пейпакар
45,Kiefer[Anatomie]::N,žoklis,пейловажа
46,Kehle::N,голя,кирьгапарь
47,Kehle::N,rīkle,кирьгапарь
48,Hals::N,сьылі,кирьга
49,Hals::N,kakls,кирьга
50,Genick::N,юрбӧр,човонь
51,Genick::N,балябӧж,човонь
52,Genick::N,sprands,човонь
53,Kopf::N,юр,пря
54,Kopf::N,galva,пря
55,Rücken::N,мыш,копорь
56,Rücken::N,mugura,копорь
57,Bauch::N,рушку,пеке
58,Bauch::N,vēders,пеке
59,Nabel::N,гӧг,почо
60,Nabel::N,naba,почо
61,Busen::N,морӧс,поте
62,Busen::N,krūts,поте
63,Brust::N,морӧс,меште
64,Brust::N,krūts,меште
65,Schulter::N,пельпом,лавтов
66,Schulter::N,plecs,лавтов
67,Arm::N,ки,кедь
68,Arm::N,roka,кедь
69,Arm::N,delms,кедь
70,Ellenbogen::N,гырддза,кенерепакарь
71,Ellenbogen::N,elkonis,кенерепакарь
72,Hand::N,ки,кедь
73,Hand::N,roka,кедь
74,Hand::N,plauksta,кедь
75,Handfläche::N,ки пыдӧс,кедькуншка
76,Handfläche::N,ки пыдӧс,кедьлапушка
77,Handfläche::N,delna,кедькуншка
78,Handfläche::N,delna,кедьлапушка
79,Handfläche::N,plauksta,кедькуншка
80,Handfläche::N,plauksta,кедьлапушка
81,Finger::N,чунь,сур
82,Finger::N,pirksts,сур
83,Fingernagel::N,гыж,кенже
84,Fingernagel::N,nags,кенже
85,Nagel[Anatomie]::N,гыж,кенже
86,Nagel[Anatomie]::N,nags,кенже
87,Zeh::N,кок чунь,пильге сур
88,Zeh::N,pirksts,пильге сур
89,Fuß::N,кок,пильге
90,Fuß::N,kāja,пильге
91,Ferse::N,кокбӧр,кочкаря
92,Ferse::N,papēdis,кочкаря
93,Knie::N,пидзӧс,эле
94,Knie::N,пидзӧс,эзне
95,Knie::N,пидзӧс,кумажа
96,Knie::N,celis,эле
97,Knie::N,celis,эзне
98,Knie::N,celis,кумажа
99,Oberschenkel::N,лядьвей,качо
100,Oberschenkel::N,бек,качо
101,Oberschenkel::N,ciska,качо
102,Oberschenkel::N,augšstilbs,качо
103,Bein::N,кок,пильге
104,Bein::N,kāja,пильге
105,Körper::N,туша,рунго
106,Körper::N,вывтыр,рунго
107,Körper::N,miesa,рунго
108,Körper::N,ķermenis,рунго
109,Haut::N,ку,киське
110,Haut::N,āda,киське
