,Concept_ID,lv,sah
0,Auge::N,син,харах
1,Auge::N,acs,харах
2,Ohr::N,пель,кулгаах
3,Ohr::N,auss,кулгаах
4,Nase::N,ныр,мурун
5,Nase::N,deguns,мурун
6,Mund::N,вом,айах
7,Mund::N,mute,айах
8,Zahn::N,пинь,тиис
9,Zahn::N,zobs,тиис
10,Zunge::N,кыв,тыл
11,Zunge::N,mēle,тыл
12,Lippe::N,вом дор,уос
13,Lippe::N,lūpa,уос
14,Wange::N,бан,иэдэс
15,Wange::N,vaigs,иэдэс
16,Gesicht::N,чужӧм,сирэй
17,Gesicht::N,seja,сирэй
18,Gesicht::N,ģīmis,сирэй
19,Stirn::N,плеш,сүүс
20,Stirn::N,кымӧс,сүүс
21,Stirn::N,piere,сүүс
22,Haar::N,си,баттах
23,Haar::N,юрси,баттах
24,Haar::N,mats,баттах
25,Schnurrbart::N,ус,уос бытыга
26,Schnurrbart::N,пыртсим,уос бытыга
27,Schnurrbart::N,ūsas,уос бытыга
28,Bart::N,тош,сэҥийэ бытыга
29,Bart::N,bārda,сэҥийэ бытыга
30,Kinn::N,тшӧка,сэҥийэ
31,Kinn::N,zods,сэҥийэ
32,Kinn::N,smakrs,сэҥийэ
33,Kiefer[Anatomie]::N,черлы,сыҥаах
34,Kiefer[Anatomie]::N,алака лы,сыҥаах
35,Kiefer[Anatomie]::N,вомкӧтш лы,сыҥаах
36,Kiefer[Anatomie]::N,žoklis,сыҥаах
37,Kehle::N,голя,тамах
38,Kehle::N,голя,күөмэй
39,Kehle::N,rīkle,тамах
40,Kehle::N,rīkle,күөмэй
41,Hals::N,сьылі,моой
42,Hals::N,kakls,моой
43,Genick::N,юрбӧр,кэтэх
44,Genick::N,балябӧж,кэтэх
45,Genick::N,sprands,кэтэх
46,Kopf::N,юр,бас
47,Kopf::N,galva,бас
48,Rücken::N,мыш,көҕүс
49,Rücken::N,mugura,көҕүс
50,Bauch::N,рушку,ис
51,Bauch::N,vēders,ис
52,Nabel::N,гӧг,киин
53,Nabel::N,naba,киин
54,Busen::N,морӧс,эмиий
55,Busen::N,krūts,эмиий
56,Brust::N,морӧс,түөс
57,Brust::N,krūts,түөс
58,Schulter::N,пельпом,сарын
59,Schulter::N,plecs,сарын
60,Arm::N,ки,илии
61,Arm::N,roka,илии
62,Arm::N,delms,илии
63,Ellenbogen::N,гырддза,тоҕонох
64,Ellenbogen::N,elkonis,тоҕонох
65,Hand::N,ки,илии
66,Hand::N,roka,илии
67,Hand::N,plauksta,илии
68,Handfläche::N,ки пыдӧс,ытыс
69,Handfläche::N,delna,ытыс
70,Handfläche::N,plauksta,ытыс
71,Finger::N,чунь,тарбах
72,Finger::N,pirksts,тарбах
73,Fingernagel::N,гыж,тыҥырах
74,Fingernagel::N,nags,тыҥырах
75,Nagel[Anatomie]::N,гыж,тыҥырах
76,Nagel[Anatomie]::N,nags,тыҥырах
77,Zeh::N,кок чунь,тарбах
78,Zeh::N,pirksts,тарбах
79,Fuß::N,кок,уллуҥах
80,Fuß::N,kāja,уллуҥах
81,Ferse::N,кокбӧр,тилэх
82,Ferse::N,papēdis,тилэх
83,Knie::N,пидзӧс,тобук
84,Knie::N,пидзӧс,дьилбэк
85,Knie::N,celis,тобук
86,Knie::N,celis,дьилбэк
87,Oberschenkel::N,лядьвей,уллук
88,Oberschenkel::N,лядьвей,өттүк
89,Oberschenkel::N,бек,уллук
90,Oberschenkel::N,бек,өттүк
91,Oberschenkel::N,ciska,уллук
92,Oberschenkel::N,ciska,өттүк
93,Oberschenkel::N,augšstilbs,уллук
94,Oberschenkel::N,augšstilbs,өттүк
95,Bein::N,кок,атах
96,Bein::N,kāja,атах
97,Körper::N,туша,бэйэ
98,Körper::N,вывтыр,бэйэ
99,Körper::N,miesa,бэйэ
100,Körper::N,ķermenis,бэйэ
101,Haut::N,ку,тирии
102,Haut::N,āda,тирии
103,Blut::N,вир,хаан
104,Blut::N,asins,хаан
105,Ader::N,сӧн,вена
106,Ader::N,сӧн,күөх_тымыр
107,Ader::N,asinsvads,вена
108,Ader::N,asinsvads,күөх_тымыр
109,Sehne::N,вез,иҥиир
110,Sehne::N,dzīsla,иҥиир
111,Knochen::N,лы,уҥуох
112,Knochen::N,лы,уҥгуох
113,Knochen::N,kauls,уҥуох
114,Knochen::N,kauls,уҥгуох
115,Gehirn::N,вем,мэйии
116,Gehirn::N,smadzenes,мэйии
117,Herz::N,сьӧлӧм,сүрэх
118,Herz::N,sirds,сүрэх
119,Magen::N,кынӧм,куртах
120,Magen::N,kuņģis,куртах
121,Leber::N,мус,быар
122,Leber::N,aknas,быар
123,Atem::N,лов,тыын
124,Atem::N,elpa,тыын
125,Hunger::N,тшыг,аас
126,Hunger::N,bads,аас
127,Hunger::N,izsalkums,аас
128,Träne::N,синва,харах уута
129,Träne::N,asara,харах уута
130,Geschmack::N,кӧр,амтан
131,Geschmack::N,чӧсмӧс,амтан
132,Geschmack::N,garša,амтан
133,Geruch::N,зын,сыт
134,Geruch::N,дук,сыт
135,Geruch::N,smaka,сыт
136,Schlaf::N,узьӧм,утуйуу
137,Schlaf::N,miegs,утуйуу
138,Traum::N,вӧт,түүл
139,Traum::N,вӧтасьӧм,түүл
140,Traum::N,sapnis,түүл
141,Himmel::N,енэж,халлаан
142,Himmel::N,debess,халлаан
143,Sonne::N,шонді,күн
144,Sonne::N,saule,күн
145,Mond::N,тӧлысь,ый
146,Mond::N,mēness,ый
147,Stern::N,кодзув,сулус
148,Stern::N,zvaigzne,сулус
149,Luft::N,сынӧд,салгын
150,Luft::N,gaiss,салгын
151,Wind::N,тӧв,тыал
152,Wind::N,vējš,тыал
153,Welle::N,гы,долгун
154,Welle::N,гы,балхаан
155,Welle::N,vilnis,долгун
156,Welle::N,vilnis,балхаан
157,Wasser::N,ва,уу
158,Wasser::N,ūdens,уу
159,Stein::N,из,таас
160,Stein::N,akmens,таас
161,Boden::N,му,сир
162,Boden::N,augsne,сир
163,Erde::N,му,буор
164,Erde::N,му-ва,буор
165,Erde::N,zeme,буор
166,Staub::N,бус,быыл
167,Staub::N,putekļi,быыл
168,Rauch::N,тшын,буруо
169,Rauch::N,dūmi,буруо
170,Funke::N,кинь,кыым
171,Funke::N,би кинь,кыым
172,Funke::N,dzirkstele,кыым
173,Feuer::N,би,уот
174,Feuer::N,uguns,уот
175,Licht::N,югӧр,уот
176,Licht::N,gaisma,уот
177,Schatten::N,вуджӧр,күлүк
178,Schatten::N,ēna,күлүк
179,Wetter::N,поводдя,күн-дьыл
180,Wetter::N,laiks,күн-дьыл
181,Nebel::N,ру,туман
182,Nebel::N,онь,туман
183,Nebel::N,migla,туман
184,Wolke::N,кымӧр,былыт
185,Wolke::N,mākonis,былыт
186,Regen::N,зэр,самыыр
187,Regen::N,lietus,самыыр
188,Schnee::N,лым,хаар
189,Schnee::N,sniegs,хаар
190,Eis::N,йи,муус
191,Eis::N,ledus,муус
192,Frost::N,кӧдзыд,тымныы
193,Frost::N,sals,тымныы
194,Kälte::N,кӧдзыд,тымныы
195,Kälte::N,saltums,тымныы
196,Kälte::N,aukstums,тымныы
197,Hitze::N,пӧсь,куйаас
198,Hitze::N,гожӧд,куйаас
199,Hitze::N,karstums,куйаас
200,Raureif::N,пуж,кырыа
201,Raureif::N,гыӧр,кырыа
202,Raureif::N,sarma,кырыа
203,Regenbogen::N,ӧшкамӧшка,кустук
204,Regenbogen::N,varavīksne,кустук
205,Donner::N,гым,этиҥ
206,Donner::N,pērkons,этиҥ
207,Strömung::N,ва ныр,сүүрүк
208,Strömung::N,визувтӧм,сүүрүк
209,Strömung::N,straume,сүүрүк
210,Strömung::N,strāvojums,сүүрүк
211,Tropfen::N,войт,таммах
212,Tropfen::N,войт,хааппыла
213,Tropfen::N,lāse,таммах
214,Tropfen::N,lāse,хааппыла
215,Schaum::N,быг,күүгэн
216,Schaum::N,быгзьӧм,күүгэн
217,Schaum::N,putas,күүгэн
218,Schmutz::N,няйт,кир
219,Schmutz::N,dubļi,кир
220,See::N,ты,күөл
221,See::N,ezers,күөл
222,Sumpf::N,гыбад,бадараан
223,Sumpf::N,кад,бадараан
224,Sumpf::N,dumbrājs,бадараан
225,Sumpf::N,staignājs,бадараан
226,Moor::N,нюр,дьэбэрэ
227,Moor::N,purvs,дьэбэрэ
228,Moor::N,muklājs,дьэбэрэ
229,Wiese::N,видз,ходуһа
230,Wiese::N,pļava,ходуһа
231,Wald::N,вӧр,ойуур
232,Wald::N,mežs,ойуур
233,Hügel::N,дзиб,булгунньах
234,Hügel::N,мыльк,булгунньах
235,Hügel::N,нӧрыс,булгунньах
236,Hügel::N,paugurs,булгунньах
237,Anhöhe::N,мыльк,үрдэл
238,Anhöhe::N,нӧрыс,үрдэл
239,Anhöhe::N,paugurs,үрдэл
240,Berg::N,чой,хайа
241,Berg::N,керӧс,хайа
242,Berg::N,kalns,хайа
243,Gipfel::N,чук,чыпчаал
244,Gipfel::N,virsotne,чыпчаал
245,Höhle::N,рудӧг,хайа_хаспаҕа
246,Höhle::N,рудӧг,көҥүс
247,Höhle::N,ala,хайа_хаспаҕа
248,Höhle::N,ala,көҥүс
249,Abhang::N,ньывк,эниэ
250,Abhang::N,бокша,эниэ
251,Abhang::N,nogāze,эниэ
252,Quelle::N,ӧшмӧс,дьүүктэ
253,Quelle::N,avots,дьүүктэ
254,Bach::N,шор,үрүйэ
255,Bach::N,urga,үрүйэ
256,Bach::N,strauts,үрүйэ
257,Fluss::N,ю,өрүс
258,Fluss::N,upe,өрүс
259,Ufer::N,вадор,биэрэк
260,Ufer::N,krasts,биэрэк
261,Küste::N,вадор,кытыл
262,Küste::N,piekraste,кытыл
263,Festland::N,му,кураанах сир
264,Festland::N,sauszeme,кураанах сир
265,Meer::N,саридз,муора
266,Meer::N,jūra,муора
267,Bucht::N,куръя,хомо
268,Bucht::N,куръя,бухта
269,Bucht::N,līcis,хомо
270,Bucht::N,līcis,бухта
271,Insel::N,ді,арыы
272,Insel::N,sala,арыы
273,Blume::N,дзоридз,сибэкки
274,Blume::N,puķe,сибэкки
275,Blume::N,zieds,сибэкки
276,Gras::N,турун,от
277,Gras::N,zāle,от
278,Wurzel::N,вуж,силис
279,Wurzel::N,sakne,силис
280,Baum::N,пу,мас
281,Baum::N,koks,мас
282,Stamm::N,пучер,умнас
283,Stamm::N,stumbrs,умнас
284,Rinde::N,кырсь,хатырык
285,Rinde::N,miza,хатырык
286,Ast::N,ув,мутук
287,Ast::N,zars,мутук
288,Zweig::N,вож,лабаа
289,Zweig::N,nozare,лабаа
290,Blatt::N,кор,сэбирдэх
291,Blatt::N,lapa,сэбирдэх
292,Birke::N,кыдз,хатыҥ
293,Birke::N,bērzs,хатыҥ
294,Kiefer[Baum]::N,пожӧм,бэс
295,Kiefer[Baum]::N,priede,бэс
296,Weide[Baum]::N,бадь,үөт
297,Weide[Baum]::N,бадь,талах
298,Weide[Baum]::N,kārkls,үөт
299,Weide[Baum]::N,kārkls,талах
300,Tanne::N,коз,харыйа
301,Tanne::N,egle,харыйа
302,Horn::N,сюр,муос
303,Horn::N,rags,муос
304,Feder::N,гӧн,куорсун
305,Feder::N,тывборд,куорсун
306,Feder::N,spalva,куорсун
307,Fell::N,ку,тирии
308,Fell::N,āda,тирии
309,Flügel::N,борд,кынат
310,Flügel::N,spārns,кынат
311,Klaue::N,гыж,тыҥырах
312,Klaue::N,nags,тыҥырах
313,Kralle::N,гыж,баппаҕай
314,Kralle::N,nags,баппаҕай
315,Schwanz::N,бӧж,кутурук
316,Schwanz::N,ļipa,кутурук
317,Ei::N,кольк,сымыыт
318,Ei::N,ola,сымыыт
319,Nest::N,поз,уйа
320,Nest::N,ligzda,уйа
321,Bau::N,горс,хороон
322,Bau::N,пырмӧс,хороон
323,Bau::N,гу,хороон
324,Bau::N,ala,хороон
325,Tier::N,пемӧс,кыыл
326,Tier::N,пемӧс,харамай
327,Tier::N,dzīvnieks,кыыл
328,Tier::N,dzīvnieks,харамай
329,Herde::N,стада,үөр
330,Herde::N,кельӧб,үөр
331,Herde::N,ganāmpulks,үөр
332,Kuh::N,мӧс,ынах
333,Kuh::N,govs,ынах
334,Bulle::N,ӧш,оҕус
335,Bulle::N,bullis,оҕус
336,Pferd::N,вӧв,сылгы
337,Pferd::N,zirgs,сылгы
338,Schaf::N,ыж,овца
339,Schaf::N,aita,овца
340,Schwein::N,порсь,сибиинньэ
341,Schwein::N,cūka,сибиинньэ
342,Hund::N,пон,ыт
343,Hund::N,suns,ыт
344,Katze::N,кань,куоска
345,Katze::N,kaķis,куоска
346,Bär::N,ош,эһэ
347,Bär::N,lācis,эһэ
348,Eichhörnchen::N,ур,тииҥ
349,Eichhörnchen::N,vāvere,тииҥ
350,Elch::N,йӧра,тайах
351,Elch::N,alnis,тайах
352,Fuchs::N,руч,саһыл
353,Fuchs::N,lapsa,саһыл
354,Hase::N,кӧч,куобах
355,Hase::N,zaķis,куобах
356,Maus::N,шыр,кутуйах
357,Maus::N,pele,кутуйах
358,Wolf::N,кӧин,бөрө
359,Wolf::N,vilks,бөрө
360,Vogel::N,кай,көтөр
361,Vogel::N,лэбач,көтөр
362,Vogel::N,putns,көтөр
363,Schwarm::N,чукӧр,бөлөх
364,Schwarm::N,spiets,бөлөх
365,Huhn::N,курӧг,куурусса
366,Huhn::N,vista,куурусса
367,Hahn::N,петук,бөтүүк
368,Hahn::N,gailis,бөтүүк
369,Gans::N,дзодзӧг,хаас
370,Gans::N,zoss,хаас
371,Adler::N,кутш,хотой
372,Adler::N,ērglis,хотой
373,Ente::N,утка,кус
374,Ente::N,pīle,кус
375,Eule::N,сюзь,мэкчиргэ
376,Eule::N,pūce,мэкчиргэ
377,Kranich::N,тури,туруйа
378,Kranich::N,dzērve,туруйа
