,Concept_ID,mdf,cv
0,Auge::N,сельме,куҫ
1,Ohr::N,пиле,хӑлха
2,Nase::N,шалхка,сӑмса
3,Mund::N,курга,ҫӑвар
4,Zahn::N,пей,шӑл
5,Zunge::N,кяль,чӗлхе
6,Lippe::N,търва́,тута
7,Wange::N,щёка,пит ҫӑмарти
8,Gesicht::N,шама,пит
9,Gesicht::N,шама,пит-куҫ
10,Stirn::N,коня,ҫамка
11,Haar::N,шя́ярь,ҫӳҫ
12,Schnurrbart::N,уса́,усси
13,Bart::N,сакал,сухал
14,Kinn::N,ула,янах
15,Kiefer[Anatomie]::N,саласка,янах
16,Kehle::N,кълдома,пыр
17,Kehle::N,кълдома,карланкӑ
18,Kehle::N,кърга́парь,пыр
19,Kehle::N,кърга́парь,карланкӑ
20,Hals::N,сялдаз,пыр
21,Genick::N,шовонь,ӗнсе
22,Kopf::N,пря,пуҫ
23,Rücken::N,копорь,ҫурӑм
24,Bauch::N,пеке,
25,Nabel::N,по́кон,кӑвапа
26,Busen::N,потя,кӑкӑр
27,Brust::N,мяште,умӗ
28,Schulter::N,лафту,хул пуҫҫи
29,Arm::N,кядь,алӑ
30,Ellenbogen::N,кенерьба́карь,чавса
31,Hand::N,кядь,алӑ сыппи
32,Handfläche::N,кядьлапш,ал лаппи
33,Finger::N,сур,пӳрне
34,Fingernagel::N,кенже,чӗрне
35,Nagel[Anatomie]::N,кенже,чӗрне
36,Zeh::N,пильгосу́р,пӳрне
37,Fuß::N,пильге,ура лаппи
38,Fuß::N,пильгелапа,ура лаппи
39,Ferse::N,кочкяря,кӗле
40,Knie::N,эль,чӗркуҫҫи
41,Knie::N,пълма́нжа,чӗркуҫҫи
42,Oberschenkel::N,пильгепукша,пӗҫӗ
43,Bein::N,пильге,ура
44,Körper::N,ро́нга,ӳт
45,Körper::N,ро́нга,ӳт-пӳ
46,Körper::N,по́нда,ӳт
47,Körper::N,по́нда,ӳт-пӳ
48,Haut::N,киське,тир
49,Blut::N,вер,юн
50,Ader::N,сан,вена
51,Ader::N,верза́н,вена
52,Sehne::N,коське сан,шӑнӑр
53,Knochen::N,пакарь,шӑмӑ
54,Gehirn::N,уй,миме
55,Herz::N,седи,чӗре
56,Magen::N,коткърдазь,хырӑмлӑх
57,Leber::N,макса,пӗвер
58,Atem::N,лекома,сывлав
59,Atem::N,ваймонь тарксема,сывлав
60,Hunger::N,вачеши,выҫлӑх
61,Träne::N,сельмове́дь,куҫҫуль
62,Geschmack::N,таньф,техӗм
63,Geruch::N,шине,шӑршӑ
64,Schlaf::N,удома́,ыйхӑ
65,Traum::N,он,тӗлӗк
66,Himmel::N,менель,пӗлӗт
67,Sonne::N,ши,хӗвел
68,Mond::N,ков,уйӑх
69,Stern::N,тяште,ҫӑлтӑр
70,Luft::N,кожф,сывлӑш
71,Wind::N,варма,ҫил
72,Welle::N,тавла,хум
73,Wasser::N,ведь,шыв
74,Wasser::N,ведь,шыв-шур
75,Stein::N,кев,чул
76,Boden::N,мода,тӑпра
77,Boden::N,потмакс,тӑпра
78,Erde::N,мода,ҫӗр
79,Erde::N,мастор,ҫӗр
80,Staub::N,пуль,тусан
81,Rauch::N,качам,тӗтӗм
82,Funke::N,ця́тка,хӗм
83,Feuer::N,тол,вут
84,Feuer::N,тол,ҫулӑм
85,Licht::N,ва́лда,ҫутӑ
86,Schatten::N,цильф,сулхӑн
87,Wetter::N,уша,ҫанталӑк
88,Nebel::N,тума́н,тӗтре
89,Wolke::N,ковол,пӗлӗт
90,Regen::N,пизем,ҫумӑр
91,Schnee::N,лов,юр
92,Eis::N,эй,пӑр
93,Frost::N,ке́льме,сивӗ
94,Kälte::N,якшама,сивӗ
95,Hitze::N,пси,вӗри
96,Hitze::N,пси,шӑрӑх
97,Raureif::N,леш,пас
98,Regenbogen::N,а́тямъёнга,асамат кӗперӗ
99,Donner::N,атям,аслати
100,Strömung::N,шудема́,юхӑ
101,Tropfen::N,путькс,тумлам
102,Tropfen::N,пътняфкс,тумлам
103,Schaum::N,шов,кӑпӑк
104,Schmutz::N,ърда́з,пылчӑк
105,See::N,эрьхке,кӳлӗ
106,Sumpf::N,шяй,шур
107,Sumpf::N,шяй,шурлӑх
108,Moor::N,шяй,торфлӑ шурлӑх
109,Wiese::N,луга,улӑх
110,Wiese::N,луга,ҫаран
111,Wald::N,вирь,вӑрман
112,Hügel::N,губо́р,сӑрт
113,Hügel::N,губо́р,тӗмеске
114,Hügel::N,пандоня,сӑрт
115,Hügel::N,пандоня,тӗмеске
116,Anhöhe::N,губо́р,сӑрт
117,Berg::N,панда,ту
118,Gipfel::N,пря,тӳпе
119,Höhle::N,у́нда,ҫӗр хӑвӑлӗ
120,Abhang::N,па́нда ша́ма,тӑвайкки
121,Quelle::N,эшиня,ҫӑл куҫ
122,Bach::N,шудерькс,пӗчӗк шыв
123,Fluss::N,ляй,юхан шыв
124,Ufer::N,търва́,ҫыран
125,Küste::N,ляйтърва́,тинӗс ҫыранӗ
126,Festland::N,мода,тип ҫӗр
127,Meer::N,моря,тинӗс
128,Bucht::N,ведьуське,тинӗс кукӑрӗ
129,Insel::N,цёнга,утрав
130,Blume::N,панчф,чечек
131,Gras::N,тише,курӑк
132,Wurzel::N,юр,тымар
133,Wurzel::N,ункс,тымар
134,Baum::N,шуфта,йывӑҫ
135,Stamm::N,ро́нга,вулӑ
136,Rinde::N,кер,хуйӑр
137,Ast::N,морга,турат
138,Zweig::N,тарад,турат
139,Blatt::N,лопа,ҫулҫӑ
140,Birke::N,ке́лу,хурӑн
141,Kiefer[Baum]::N,пиче,хыр
142,Weide[Baum]::N,каль,хӑва
143,Tanne::N,куз,чӑрӑш
144,Horn::N,сюра,мӑйрака
145,Feder::N,толга,тӗк
146,Fell::N,кедь,ҫӑм
147,Flügel::N,паця,ҫунат
148,Klaue::N,кенже,чӗрне
149,Kralle::N,кенже,ура
150,Schwanz::N,пула,хӳре
151,Ei::N,ал,ҫӑмарта
152,Nest::N,пиза,йӑва
153,Bau::N,пиза,йӗнӗ
154,Tier::N,жува́та,выльӑх
155,Herde::N,нал,кӗтӳ
156,Herde::N,стада,кӗтӳ
157,Kuh::N,скал,ӗне
158,Kuh::N,тракс,ӗне
159,Bulle::N,бука,вӑкӑр
160,Pferd::N,лишме,лаша
161,Schaf::N,уча́,сурӑх
162,Schwein::N,тува,сысна
163,Hund::N,пине,йытӑ
164,Katze::N,катоня,кушак
165,Katze::N,аваката,кушак
166,Bär::N,офта,упа
167,Eichhörnchen::N,ур,пакша
168,Elch::N,ся́рда,пӑши
169,Fuchs::N,келазь,тилӗ
170,Hase::N,ну́мол,куян
171,Hase::N,ну́мол,мулкач
172,Maus::N,шеер,шӑши
173,Wolf::N,върьгаз,кашкӑр
174,Vogel::N,нармонь,кайӑк
175,Vogel::N,нармонь,вӗҫен кайӑк
176,Schwarm::N,ко́вол,ушкӑн
177,Schwarm::N,ме́швеле,ушкӑн
178,Huhn::N,сараз,чӑх
179,Huhn::N,сараз,чӑхӑ
180,Hahn::N,а́тякш,автан
181,Gans::N,маци,хур
