,Concept_ID,mhr,fa
0,Auge::N,шинча́,چشم
1,Ohr::N,пы́лыш,گوش
2,Nase::N,нер,بینی
3,Mund::N,умша́,دهان
4,Zahn::N,пӱй,دندان
5,Zunge::N,йы́лме,زبان
6,Lippe::N,тӱ́рвӧ,لب
7,Wange::N,шӱ́ргӧ,لپ
8,Gesicht::N,чури́й,رو
9,Gesicht::N,чури́й,چهره
10,Stirn::N,саҥга́,پیشانی
11,Haar::N,ӱп,مو
12,Schnurrbart::N,ӧ́рыш,سبیل
13,Bart::N,понда́ш,ریش
14,Kinn::N,оҥыла́ш,چانه
15,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,فک
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,آرواره
17,Kiefer[Anatomie]::N,пӱйората́,فک
18,Kiefer[Anatomie]::N,пӱйората́,آرواره
19,Kehle::N,лога́р,حلق
20,Hals::N,шӱй,گردن
21,Genick::N,шӱйло́дыш,پشت گردن
22,Kopf::N,вуй,سر
23,Kopf::N,вуй,کله
24,Rücken::N,туп,پشت
25,Bauch::N,мӱ́шкыр,شکم
26,Nabel::N,кы́лымде,ناف
27,Busen::N,чы́зе,پستان
28,Brust::N,оҥ,سینه
29,Schulter::N,ва́че,دوش
30,Schulter::N,ва́че,شانه
31,Arm::N,кид,بازو
32,Ellenbogen::N,кынерву́й,آرنج
33,Hand::N,кид,دست
34,Hand::N,копа́,دست
35,Handfläche::N,со́во,کف دست
36,Finger::N,парня́,انگشت
37,Fingernagel::N,кидкӱ́ч,ناخن دست
38,Fingernagel::N,парнягӱ́ч,ناخن دست
39,Nagel[Anatomie]::N,кӱч,ناخن
40,Zeh::N,йолварня́,انگشت پا
41,Fuß::N,йол,پا
42,Fuß::N,йолкопа́,پا
43,Ferse::N,тага́н,پاشنه
44,Knie::N,пулву́й,زانو
45,Oberschenkel::N,э́рде,ران
46,Bein::N,йол,پا
47,Bein::N,йол,لنگ
48,Körper::N,кап,تن
49,Körper::N,кап,بدن
50,Haut::N,кова́ште,پوست
