,Concept_ID,mhr,lez
0,Auge::N,шинча́,вил
1,Ohr::N,пы́лыш,яб
2,Nase::N,нер,нер
3,Mund::N,умша́,сив
4,Zahn::N,пӱй,сас
5,Zahn::N,пӱй,свах
6,Zunge::N,йы́лме,мез
7,Lippe::N,тӱ́рвӧ,пӏуз
8,Wange::N,шӱ́ргӧ,хъвехъ
9,Gesicht::N,чури́й,ччин
10,Stirn::N,саҥга́,пел
11,Haar::N,ӱп,чӏар
12,Schnurrbart::N,ӧ́рыш,спел
13,Schnurrbart::N,ӧ́рыш,спелар
14,Bart::N,понда́ш,ччуру
15,Kinn::N,оҥыла́ш,чене
16,Kiefer[Anatomie]::N,пӱйдӱ́ҥ,чене
17,Kiefer[Anatomie]::N,пӱйората́,чене
18,Kehle::N,лога́р,туьд
19,Hals::N,шӱй,гардан
20,Genick::N,шӱйло́дыш,кьам
21,Kopf::N,вуй,кьил
22,Rücken::N,туп,далу
23,Bauch::N,мӱ́шкыр,руфун
24,Nabel::N,кы́лымде,пицӏ
25,Busen::N,чы́зе,мам
26,Brust::N,оҥ,хур
27,Schulter::N,ва́че,къуьн
28,Arm::N,кид,гъил
29,Ellenbogen::N,кынерву́й,кьуьнт
30,Hand::N,кид,капаш
31,Hand::N,копа́,капаш
32,Handfläche::N,со́во,капан юкь
33,Finger::N,парня́,тӏуб
34,Fingernagel::N,кидкӱ́ч,кек
35,Fingernagel::N,парнягӱ́ч,кек
36,Nagel[Anatomie]::N,кӱч,кек
37,Zeh::N,йолварня́,кул
38,Fuß::N,йол,кӏвач
39,Fuß::N,йолкопа́,кӏвач
40,Ferse::N,тага́н,дабан
41,Knie::N,пулву́й,мет
42,Oberschenkel::N,э́рде,
43,Bein::N,йол,кӏвач
44,Körper::N,кап,беден
45,Haut::N,кова́ште,хам
46,Blut::N,вӱр,иви
47,Ader::N,шӧн,дамар
48,Sehne::N,шӧн,кьуру дамар
49,Sehne::N,кӱсе́н,кьуру дамар
50,Knochen::N,лу,кӏараб
51,Gehirn::N,вем,мефт
52,Gehirn::N,вуйве́м,мефт
53,Herz::N,шӱм,рикӏ
54,Magen::N,пага́р,хук
55,Leber::N,мокш,лекь
56,Atem::N,шӱ́лыш,ял
57,Atem::N,шӱ́лыш,нефес
58,Hunger::N,шужыма́ш,каш
59,Träne::N,шинчавӱ́д,вилин нагъв
60,Geschmack::N,там,дад
61,Geschmack::N,там,тӏям
62,Geruch::N,пуш,ни
63,Schlaf::N,о́мо,ахвар
64,Traum::N,йӱдо́мо,ахвар
65,Himmel::N,кава́,цав
66,Sonne::N,ке́че,рагъ
67,Mond::N,ты́лзе,варз
68,Stern::N,шӱ́дыр,гъед
69,Luft::N,юж,гьава
70,Wind::N,марде́ж,гар
71,Welle::N,то́лкын,лепе
72,Wasser::N,вӱд,яд
73,Stein::N,кӱ,къван
74,Boden::N,рок,накьв
75,Erde::N,мла́нде,ччил
76,Staub::N,пура́к,руг
77,Rauch::N,шикш,гум
78,Funke::N,сеске́м,цӏелхем
79,Funke::N,тулйы́п,цӏелхем
80,Feuer::N,тул,цӏай
81,Licht::N,со́то,экв
82,Schatten::N,ӱ́мыл,серин
83,Wetter::N,иге́че,гьава
84,Nebel::N,тӱтыра́,ччилин циф
85,Wolke::N,пыл,циф
86,Regen::N,йӱр,марф
87,Schnee::N,лум,жив
88,Eis::N,ий,мурк
89,Frost::N,чатлама́,аяз
90,Kälte::N,йӱ́штӧ,мекь
91,Kälte::N,йӱ́штӧ,мекьивал
92,Hitze::N,шо́кшо,зегьем
93,Raureif::N,пӧрш,къирав
94,Raureif::N,по́кшым,къирав
95,Regenbogen::N,шонанпы́л,яргъируш
96,Donner::N,кӱ́дырчӧ,цавун ван
97,Strömung::N,йо́гын,
98,Tropfen::N,чӱча́лтыш,стӏал
99,Schaum::N,шоҥ,каф
100,Schmutz::N,лавыра́,чирк
101,Schmutz::N,лавыра́,кьуруш
102,See::N,ер,вир
103,Sumpf::N,лӱ́кӧ,уьлен
104,Moor::N,куп,
105,Wiese::N,о́лык,векь
106,Wald::N,чодыра́,там
107,Hügel::N,арка́,кӏунтӏ
108,Anhöhe::N,тӧва́,тепе
109,Anhöhe::N,тӧва́,гьуьндуьрвал
110,Anhöhe::N,кӱкшака́,тепе
111,Anhöhe::N,кӱкшака́,гьуьндуьрвал
112,Berg::N,ку́рык,дагъ
113,Gipfel::N,чаҥга́,кӏукӏ
114,Gipfel::N,курыкву́й,кӏукӏ
115,Höhle::N,пеще́р,кьветӏ
116,Höhle::N,курыкпо́мыш,кьветӏ
117,Abhang::N,та́йыл,гуьне
118,Quelle::N,важ,чешме
119,Quelle::N,вӱдшинча́,чешме
120,Bach::N,изэҥе́р,булах
121,Fluss::N,эҥе́р,вацӏ
122,Ufer::N,сер,къерех
123,Küste::N,вӱдтӱ́р,къерех
124,Festland::N,мла́нде,кьурамат
125,Meer::N,те́ҥыз,гьуьл
126,Bucht::N,икса́,бухта
127,Insel::N,отро́,остров
128,Blume::N,пеле́дыш,цуьк
129,Gras::N,шу́до,хъач
130,Wurzel::N,вож,дувул
131,Baum::N,пуше́ҥге,ттар
132,Stamm::N,йы́тыр,тан
133,Rinde::N,шӱм,чкал
134,Ast::N,укш,тӏур
135,Zweig::N,торма́к,хел
136,Blatt::N,лышта́ш,пеш
137,Birke::N,куэ́,верх
138,Kiefer[Baum]::N,пӱ́нчӧ,шамагъаж
139,Weide[Baum]::N,уа́,цӏвелин ттар
140,Tanne::N,кож,ель
141,Horn::N,шур,карч
142,Feder::N,пы́стыл,цӏакул
143,Fell::N,кова́ште,хам
144,Flügel::N,шу́лдыр,лув
145,Klaue::N,кӱч,къармах
146,Kralle::N,ла́па,пац
147,Kralle::N,ла́па,тапас
148,Kralle::N,копа́,пац
149,Kralle::N,копа́,тапас
150,Schwanz::N,поч,ттум
151,Ei::N,му́но,кака
152,Nest::N,пыжа́ш,муг
153,Bau::N,пыжа́ш,тӏеквен
154,Tier::N,я́нлык,гьайван
155,Tier::N,живо́тный,гьайван
156,Herde::N,кӱ́тӱ,суьруь
157,Herde::N,тӱшка́,суьруь
158,Kuh::N,ушка́л,ккал
159,Bulle::N,ӱ́шкыж,яц
160,Bulle::N,ӱ́шкыж,бугъа
161,Pferd::N,и́мне,балкӏан
162,Schaf::N,шо́рык,хеб
163,Schwein::N,сӧсна́,вак
164,Hund::N,пий,кицӏ
165,Katze::N,пы́рыс,кац
166,Bär::N,маска́,сев
167,Eichhörnchen::N,ур,белка
168,Elch::N,шо́рдо,лось
169,Fuchs::N,ры́выж,сикӏ
